key,l1,l2,f,E11,am_expect_diff,adv,adv_total,adj,adj_total,am_p1_given2,am_log_likelihood,am_odds_ratio_disc,log_ratio,conservative_log_ratio,am_expect_diff_%
NEG-ever_clear,NEGATIVE,ever_clear,21,3.057,17.943,ever,5050.0,clear,8610.0,0.854,80.942,2.402,16.912,2.238,85.442856
NEG-more_mistaken,NEGATIVE,more_mistaken,27,4.221,22.779,more,312474.0,mistaken,337.0,0.785,90.143,1.81,6.308,2.235,84.36666
NEG-that_fond,NEGATIVE,that_fond,24,3.639,20.361,that,7441.0,fond,1242.0,0.814,84.423,1.982,7.137,2.212,84.8375
NEG-exactly_new,NEGATIVE,exactly_new,29,4.658,24.342,exactly,1079.0,new,14653.0,0.761,92.809,1.694,5.826,2.204,83.93793
NEG-overtly_wrong,NEGATIVE,overtly_wrong,20,2.911,17.089,overtly,833.0,wrong,23764.0,0.854,77.088,2.381,16.841,2.135,85.44501
NEG-any_younger,NEGATIVE,any_younger,20,2.911,17.089,any,1495.0,younger,1042.0,0.854,77.088,2.381,16.841,2.135,85.44501
NEG-particularly_likeable,NEGATIVE,particularly_likeable,25,3.93,21.07,particularly,14612.0,likeable,292.0,0.78,82.73,1.777,6.197,2.076,84.28
NEG-as_disappointing,NEGATIVE,as_disappointing,27,4.367,22.633,as,125578.0,disappointing,1120.0,0.754,85.508,1.664,5.723,2.057,83.82592
NEG-ever_worried,NEGATIVE,ever_worried,22,3.348,18.652,ever,5050.0,worried,2680.0,0.811,76.884,1.945,7.011,2.029,84.78182
NEG-too_groundbreaking,NEGATIVE,too_groundbreaking,21,3.202,17.798,too,186765.0,groundbreaking,134.0,0.809,73.121,1.925,6.944,1.928,84.75238
NEG-more_antithetical,NEGATIVE,more_antithetical,21,3.202,17.798,more,312474.0,antithetical,90.0,0.809,73.121,1.925,6.944,1.928,84.75238
NEG-ever_late,NEGATIVE,ever_late,21,3.202,17.798,ever,5050.0,late,13991.0,0.809,73.121,1.925,6.944,1.928,84.75238
NEG-especially_unusual,NEGATIVE,especially_unusual,23,3.639,19.361,especially,4308.0,unusual,2673.0,0.774,75.342,1.742,6.076,1.899,84.17826
NEG-really_permanent,NEGATIVE,really_permanent,20,3.057,16.943,really,63523.0,permanent,1173.0,0.807,69.362,1.904,6.874,1.821,84.715004
NEG-exactly_easy,NEGATIVE,exactly_easy,20,3.057,16.943,exactly,1079.0,easy,21735.0,0.807,69.362,1.904,6.874,1.821,84.715004
NEG-ever_open,NEGATIVE,ever_open,20,3.057,16.943,ever,5050.0,open,4196.0,0.807,69.362,1.904,6.874,1.821,84.715004
NEG-ever_acceptable,NEGATIVE,ever_acceptable,22,3.493,18.507,ever,5050.0,acceptable,1504.0,0.771,71.658,1.723,6.012,1.802,84.12273
NEG-remotely_believable,NEGATIVE,remotely_believable,21,3.348,17.652,remotely,2609.0,believable,730.0,0.767,67.981,1.703,5.945,1.699,84.057144
NEG-fully_satisfactory,NEGATIVE,fully_satisfactory,21,3.348,17.652,fully,4795.0,satisfactory,402.0,0.767,67.981,1.703,5.945,1.699,84.057144
NEG-particularly_positive,NEGATIVE,particularly_positive,20,3.202,16.798,particularly,14612.0,positive,4353.0,0.764,64.313,1.682,5.875,1.59,83.990005
POS-necessarily_wrong,POSITIVE,necessarily_wrong,20,199.084,-179.084,necessarily,1617.0,wrong,23764.0,-0.769,-690.951,-1.787,-5.966,-4.379,895.42
POS-really_able,POSITIVE,really_able,25,298.199,-273.199,really,63523.0,able,8146.0,-0.783,-1076.998,-1.874,-6.249,-4.83,1092.796
POS-too_special,POSITIVE,too_special,34,416.112,-382.112,too,186765.0,special,16913.0,-0.785,-1510.727,-1.888,-6.289,-5.055,1123.8589
POS-particularly_new,POSITIVE,particularly_new,24,368.263,-344.263,particularly,14612.0,new,14653.0,-0.799,-1391.483,-1.99,-6.637,-5.213,1434.4292
POS-too_fancy,POSITIVE,too_fancy,32,480.195,-448.195,too,186765.0,fancy,1184.0,-0.798,-1808.133,-1.982,-6.603,-5.348,1400.6094
POS-too_careful,POSITIVE,too_careful,37,610.07,-573.07,too,186765.0,careful,2162.0,-0.803,-2331.281,-2.027,-6.747,-5.576,1548.8379
POS-too_sure,POSITIVE,too_sure,24,481.049,-457.049,too,186765.0,sure,11285.0,-0.812,-1887.477,-2.112,-7.042,-5.634,1904.3708
POS-too_pleased,POSITIVE,too_pleased,86,1178.272,-1092.272,too,186765.0,pleased,3903.0,-0.793,-4371.82,-1.945,-6.464,-5.662,1270.0837
POS-too_early,POSITIVE,too_early,317,4713.942,-4396.942,too,186765.0,early,5753.0,-0.799,-17795.498,-1.991,-6.589,-6.159,1387.048
POS-quite_sure,POSITIVE,quite_sure,66,2591.515,-2525.515,quite,43128.0,sure,11285.0,-0.834,-10847.003,-2.423,-8.044,-7.163,3826.5376
