key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
POS~entertaining,POSMIR,entertaining,1631,1612.42774,1.26832,0.029331382,0.00955474,7.68314e-05,0.8381295,0.0011565785,1410194,1946,1701929,1631.0,1408563.0,315.0,291420.0,1410194.0,291735.0,1946.0,1699983.0,1408581.572264178,333.572264178,291401.427735822,0.45987296,0.002309969,0.004973701,7.68314e-05,0.00955474,0.00955474,0.0048157857,18.57226,0.011387039,0.0,0.0,0.0,0.0,0.0,0.0,40.38564101261734,1187.5158946304678,44.11349000022555
POS~proud,POSMIR,proud,4582,4534.84943,2.90825,0.026776372,0.008642916,0.0001950567,0.8372008,0.0032491982,1410194,5473,1701929,4582.0,1405612.0,891.0,290844.0,1410194.0,291735.0,5473.0,1696456.0,1405659.15056621,938.15056621,290796.84943379,0.69656134,0.006473274,0.004492213,0.0001950567,0.008642916,0.008642916,0.0044189864,47.15057,0.010290391,0.0,0.0,0.0,0.0,0.0,0.0,67.6904720030818,1187.5158946304678,73.97972695272672
POS~productive,POSMIR,productive,1413,1398.65263,0.871,0.025910275,0.008508065,5.93535e-05,0.8370853,0.0010019898,1410194,1688,1701929,1413.0,1408781.0,275.0,291460.0,1410194.0,291735.0,1688.0,1700241.0,1408795.347369955,289.347369955,291445.652630045,0.3816816,0.002001584,0.004432296,5.93535e-05,0.008508065,0.008508065,0.0042837095,14.34737,0.010153836,0.0,0.0,0.0,0.0,0.0,0.0,37.589892258425,1187.5158946304678,41.08527716834828
POS~present,POSMIR,present,1772,1756.60164,0.79747,0.022121424,0.007272434,6.37013e-05,0.83584905,0.0012565647,1410194,2120,1701929,1772.0,1408422.0,348.0,291387.0,1410194.0,291735.0,2120.0,1699809.0,1408437.398355631,363.398355631,291371.601644369,0.36579898,0.002509357,0.003790433,6.37013e-05,0.007272434,0.007272434,0.0036680677,15.39836,0.00868982,0.0,0.0,0.0,0.0,0.0,0.0,42.09513035969837,1187.5158946304678,46.04345773288535
POS~violent,POSMIR,violent,1135,1126.87653,0.34511,0.017765462,0.005977919,3.36059e-05,0.83455884,0.0008048538,1410194,1360,1701929,1135.0,1409059.0,225.0,291510.0,1410194.0,291735.0,1360.0,1700569.0,1409067.123473423,233.123473423,291501.876526577,0.24112588,0.001608157,0.003119529,3.36059e-05,0.005977919,0.005977919,0.0030057624,8.12347,0.0071572424,0.0,0.0,0.0,0.0,0.0,0.0,33.689761055846034,1187.5158946304678,36.87817782917155
POS~new,POSMIR,new,10696,10635.72581,2.02252,0.014545835,0.004731399,0.0002493478,0.8332814,0.007584772,1410194,12836,1701929,10696.0,1399498.0,2140.0,289595.0,1410194.0,291735.0,12836.0,1689093.0,1399558.274194752,2200.274194752,289534.725805248,0.5828016,0.015032712,0.002454262,0.0002493478,0.004731399,0.004731399,0.0024903733,60.27419,0.0056352085,0.0,0.0,0.0,0.0,0.0,0.0,103.42146779078317,1187.5158946304678,113.29607230614837
NEG~complicated,NEGMIR,complicated,1011,989.74628,0.5496,0.011367768,0.003693466,8.79243e-05,0.17509526,0.003465474,291735,5774,1701929,1011.0,290724.0,4763.0,1405431.0,291735.0,1410194.0,5774.0,1696155.0,290745.253723863,4784.253723863,1405409.746276137,0.6684354,0.006796433,0.009227279,8.79243e-05,0.003693466,0.003693466,0.0018906952,21.25372,0.021022473,0.0,0.0,0.0,0.0,0.0,0.0,31.796226191169293,540.1249855357554,75.98684096605149
NEG~interested,NEGMIR,interested,1437,1415.0252,0.41219,0.008248417,0.002674973,9.09073e-05,0.17407632,0.004925703,291735,8255,1701929,1437.0,290298.0,6818.0,1403376.0,291735.0,1410194.0,8255.0,1693674.0,290319.974799184,6839.974799184,1403354.025200816,0.579691,0.009580319,0.006692594,9.09073e-05,0.002674973,0.002674973,0.0013829401,21.9748,0.015292136,0.0,0.0,0.0,0.0,0.0,0.0,37.907782842049734,540.1249855357554,90.85703054799887
POS~sweet,POSMIR,sweet,2286,2280.26779,0.08447,0.006040137,0.002086297,2.37135e-05,0.8306686,0.0016210536,1410194,2752,1701929,2286.0,1407908.0,466.0,291269.0,1410194.0,291735.0,2752.0,1699177.0,1407913.732205045,471.732205045,291263.267794955,0.119890176,0.003235792,0.001090372,2.37135e-05,0.002086297,0.002086297,0.0010550052,5.73221,0.0025075285,0.0,0.0,0.0,0.0,0.0,0.0,47.81213235152768,1187.5158946304678,52.459508194416
POS~challenging,POSMIR,challenging,2968,2963.0224,0.04899,0.003995697,0.001394878,2.05918e-05,0.82997763,0.002104675,1410194,3576,1701929,2968.0,1407226.0,608.0,291127.0,1410194.0,291735.0,3576.0,1698353.0,1407230.977603648,612.977603649,291122.022396351,0.09136679,0.004198703,0.000728962,2.05918e-05,0.001394878,0.001394878,0.0007077349,4.9776,0.0016770889,0.0,0.0,0.0,0.0,0.0,0.0,54.47935388750494,1187.5158946304678,59.799665550904216
POS~painful,POSMIR,painful,2352,2351.52616,0.00056,0.000157904,0.00016724,1.9602e-06,0.82875264,0.0016678557,1410194,2838,1701929,2352.0,1407842.0,486.0,291249.0,1410194.0,291735.0,2838.0,1699091.0,1407842.473836453,486.473836453,291248.526163547,0.009770343,0.003329012,8.7502e-05,1.9602e-06,0.00016724,0.00016724,8.46001e-05,0.47384,0.00020146258,0.0,0.0,0.0,0.0,0.0,0.0,48.49742261192856,1187.5158946304678,53.27288240746881
POS~long,POSMIR,long,1473,1475.7111,-0.02902,-0.00519964,-0.001523828,-1.12155e-05,0.82706344,0.001044537,1410194,1781,1701929,1473.0,1408721.0,308.0,291427.0,1410194.0,291735.0,1781.0,1700148.0,1408718.288901594,305.288901593,291429.711098407,-0.070638895,0.002086439,-0.000798597,-0.001523828,-1.12155e-05,0.001523828,-0.00076752173,-2.7111,-0.0018405295,0.0,0.0,0.0,0.0,0.0,0.0,38.379682124790975,1187.5158946304678,42.20189569201838
POS~interested,POSMIR,interested,6818,6839.9748,-0.41219,-0.008248417,-0.002674973,-9.09073e-05,0.8259237,0.004834796,1410194,8255,1701929,6818.0,1403376.0,1437.0,290298.0,1410194.0,291735.0,8255.0,1693674.0,1403354.025200816,1415.025200816,290319.974799184,-0.26613158,0.009613317,-0.001397505,-0.002674973,-9.09073e-05,0.002674973,-0.0013829401,-21.9748,-0.0032230567,0.0,0.0,0.0,0.0,0.0,0.0,82.57118141337206,1187.5158946304678,90.85703054799887
POS~visible,POSMIR,visible,1703,1708.54367,-0.10463,-0.008656465,-0.002691755,-2.29336e-05,0.8258972,0.0012076353,1410194,2062,1701929,1703.0,1408491.0,359.0,291376.0,1410194.0,291735.0,2062.0,1699867.0,1408485.456325146,353.456325146,291381.543674854,-0.13433538,0.002411744,-0.001411437,-0.002691755,-2.29336e-05,0.002691755,-0.0013573443,-5.54367,-0.0032552378,0.0,0.0,0.0,0.0,0.0,0.0,41.2674205639267,1187.5158946304678,45.40925015897091
POS~complicated,POSMIR,complicated,4763,4784.25372,-0.5496,-0.011367768,-0.003693466,-8.79243e-05,0.82490474,0.0033775496,1410194,5774,1701929,4763.0,1405431.0,1011.0,290724.0,1410194.0,291735.0,5774.0,1696155.0,1405409.746276137,989.746276137,290745.253723863,-0.3079603,0.006727553,-0.001933622,-0.003693466,-8.79243e-05,0.003693466,-0.0018906952,-21.25372,-0.0044622547,0.0,0.0,0.0,0.0,0.0,0.0,69.01449123191448,1187.5158946304678,75.98684096605149
NEG~new,NEGMIR,new,2140,2200.27419,-2.02252,-0.014545835,-0.004731399,-0.0002493478,0.1667186,0.0073354244,291735,12836,1701929,2140.0,289595.0,10696.0,1399498.0,291735.0,1410194.0,12836.0,1689093.0,289534.725805248,10635.725805248,1399558.274194752,-1.3029404,0.014052553,-0.012063032,-0.004731399,-0.0002493478,0.004731399,-0.0024903733,-60.27419,-0.02816551,0.0,0.0,0.0,0.0,0.0,0.0,46.26013402488151,540.1249855357554,113.29607230614837
POS~obvious,POSMIR,obvious,4047,4073.32721,-0.9875,-0.016419902,-0.005370927,-0.0001089128,0.82323027,0.002869818,1410194,4916,1701929,4047.0,1406147.0,869.0,290866.0,1410194.0,291735.0,4916.0,1697013.0,1406120.672790698,842.672790698,290892.327209302,-0.41384548,0.005719697,-0.002816094,-0.005370927,-0.0001089128,0.005370927,-0.0027399198,-26.32721,-0.0065053646,0.0,0.0,0.0,0.0,0.0,0.0,63.61603571427569,1187.5158946304678,70.11419257183242
POS~nervous,POSMIR,nervous,1135,1143.44824,-0.36106,-0.019169286,-0.006126881,-3.49494e-05,0.82246375,0.0008048538,1410194,1380,1701929,1135.0,1409059.0,245.0,291490.0,1410194.0,291735.0,1380.0,1700549.0,1409050.551759798,236.551759797,291498.448240203,-0.2507658,0.001608134,-0.003220649,-0.006126881,-3.49494e-05,0.006126881,-0.0030809152,-8.44824,-0.0074433833,0.0,0.0,0.0,0.0,0.0,0.0,33.689761055846034,1187.5158946304678,37.14835124201342
POS~pleasant,POSMIR,pleasant,1321,1332.36578,-0.56012,-0.021880858,-0.007074953,-4.7019e-05,0.8215174,0.0009367505,1410194,1608,1701929,1321.0,1408873.0,287.0,291448.0,1410194.0,291735.0,1608.0,1700321.0,1408861.63422446,275.634224459,291459.365775541,-0.31271425,0.001871367,-0.003720651,-0.007074953,-4.7019e-05,0.007074953,-0.003560986,-11.36578,-0.008603921,0.0,0.0,0.0,0.0,0.0,0.0,36.345563690772494,1187.5158946304678,40.099875311526844
POS~appropriate,POSMIR,appropriate,1793,1808.80254,-0.79765,-0.022237822,-0.007248208,-6.53734e-05,0.82134676,0.0012714562,1410194,2183,1701929,1793.0,1408401.0,390.0,291345.0,1410194.0,291735.0,2183.0,1699746.0,1408385.197457708,374.197457708,291360.802542292,-0.37319586,0.002538982,-0.00381087,-0.007248208,-6.53734e-05,0.007248208,-0.0036567906,-15.80254,-0.008813463,0.0,0.0,0.0,0.0,0.0,0.0,42.34383071948026,1187.5158946304678,46.72258554489466
POS~intense,POSMIR,intense,1924,1944.69059,-1.26902,-0.026862461,-0.008827936,-8.55947e-05,0.8197699,0.0013643513,1410194,2347,1701929,1924.0,1408270.0,423.0,291312.0,1410194.0,291735.0,2347.0,1699582.0,1408249.309405974,402.309405974,291332.690594026,-0.47170493,0.002724169,-0.004645446,-0.008827936,-8.55947e-05,0.008827936,-0.0044567655,-20.69059,-0.0107539445,0.0,0.0,0.0,0.0,0.0,0.0,43.86342439892262,1187.5158946304678,48.4458460551573
