adj_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
proud,465,110.85,908.46,0,0,1,7,16519,51546,8.195239384186339,16519,7,17.5,-10.5,3.778416519126444,1.7239759882042056
responsible,465,109.29,576.46,0,0,2,16,9766,50819,5.274644010994831,9766,16,40.0,-24.0,5.9643252838663114,2.1762061060090003
impossible,465,103.79,798.16,0,0,1,12,12589,48263,7.690079582592367,12589,12,30.0,-18.0,4.701339229548445,1.9345842128336344
similar,465,102.37,1009.67,0,0,3,13,21212,47600,9.86334666433666,21212,13,32.5,-19.5,5.804925140937063,2.350523585407689
valuable,465,101.01,917.14,0,0,1,6,16666,46971,9.07940701944009,16666,6,15.0,-9.0,3.624150325469451,1.7857034099240183
fun,465,100.73,599.98,0,0,1,9,8366,46839,5.9563274851892185,8366,9,22.5,-13.5,4.331560029620874,1.8952970498592348
familiar,465,100.39,600.61,0,0,2,13,8771,46680,5.982934649257444,8771,13,32.5,-19.5,5.580056758275084,2.2209290547295635
busy,465,99.73,828.84,0,0,1,9,14552,46374,8.310921944399325,14552,9,22.5,-13.5,4.474588943543788,2.0286348781191057
competitive,465,99.35,747.73,0,0,2,9,12048,46198,7.526176613839096,12048,9,22.5,-13.5,4.656166092660301,2.108763419091391
right,465,99.23,659.27,0,0,2,9,8977,46143,6.64372128040359,8977,9,22.5,-13.5,4.788774930285603,2.087629580996385
free,465,99.09,473.25,0,1,4,21,5518,46077,4.775938603833378,5518,20,51.0,-29.0,7.386669557109272,2.6043711328435037
positive,465,98.02,738.18,0,1,3,20,11579,45581,7.5306698170858,11579,19,48.5,-27.5,7.0264569721380425,2.6612833197330996
special,465,97.38,978.81,0,0,1,3,19372,45282,10.051425187082643,19372,3,7.5,-4.5,2.858406185415274,1.5974261798493972
impressive,465,96.57,632.67,0,0,1,9,9048,44904,6.551593335065374,9048,9,22.5,-13.5,4.427305635898964,1.9343798907957297
old,465,95.98,631.48,0,0,2,12,9418,44629,6.579564623987039,9418,12,30.0,-18.0,5.236070046909529,2.209404151406706
