key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,adv,adj,adv_total,adj_total
POS~still_available,POSMIR,still_available,133,73.5,111.34884,0.96429044,0.4048639,0.0004079044,0.9047619,0.0004558932,291735,147,583470,133.0,291602.0,14.0,291721.0,291735.0,291735.0,147.0,583323.0,291661.5,73.5,291661.5,5.159304,0.000911327,0.2575643,0.0004079044,0.4048639,0.4048639,0.2026359,59.5,0.4473684,1.4048797,1.320452,1.4429415,1.5358539,2.1637325,1.6317511,11.532562594670797,540.1249855357554,12.12435565298214,still,available,3016,3078
NEG~that_important,NEGMIR,that_important,113,62.5,94.25326,0.9582362,0.40408656,0.0003462046,0.904,0.00038733782,291735,125,583470,113.0,291622.0,12.0,291723.0,291735.0,291735.0,125.0,583345.0,291672.5,62.5,291672.5,4.7506404,0.000774344,0.25719842,0.0003462046,0.40408656,0.40408656,0.20221639,50.5,0.44690266,1.2616146,1.1719829,1.302024,1.4006749,2.0682042,1.5025146,10.63014581273465,540.1249855357554,11.180339887498949,that,important,4538,20745
NEG~as_impressive,NEGMIR,as_impressive,150,83.0,124.88913,0.9602521,0.40372932,0.000459321,0.90361446,0.00051416527,291735,166,583470,150.0,291585.0,16.0,291719.0,291735.0,291735.0,166.0,583304.0,291652.0,83.0,291652.0,5.470527,0.001027746,0.25701317,0.000459321,0.40372932,0.40372932,0.20209432,67.0,0.44666666,1.4892155,1.4088229,1.5254513,1.6138855,2.2103884,1.7051256,12.24744871391589,540.1249855357554,12.884098726725126,as,impressive,47332,1788
POS~very_poor,POSMIR,very_poor,140,77.5,116.34201,0.95753074,0.40333295,0.000428471,0.9032258,0.00047988756,291735,155,583470,140.0,291595.0,15.0,291720.0,291735.0,291735.0,155.0,583315.0,291657.5,77.5,291657.5,5.282214,0.000959265,0.25682634,0.000428471,0.40333295,0.40333295,0.20188071,62.5,0.44642857,1.4317256,1.3492701,1.4688928,1.5596058,2.171874,1.6532078,11.832159566199232,540.1249855357554,12.449899597988733,very,poor,45886,562
POS~too_scared,POSMIR,too_scared,112,62.0,93.06932,0.9543914,0.40331152,0.0003427768,0.9032258,0.00038391005,291735,124,583470,112.0,291623.0,12.0,291723.0,291735.0,291735.0,124.0,583346.0,291673.0,62.0,291673.0,4.724556,0.000767494,0.25682634,0.0003427768,0.40331152,0.40331152,0.20182715,50.0,0.44642857,1.2471277,1.1573653,1.2875938,1.3863784,2.0546372,1.4883482,10.583005244258363,540.1249855357554,11.135528725660043,too,scared,69845,750
POS~even_worse,POSMIR,even_worse,989,548.0,819.62714,0.9653228,0.40312952,0.0030232917,0.90237224,0.0033900628,291735,1096,583470,989.0,290746.0,107.0,291628.0,291735.0,291735.0,1096.0,582374.0,291187.0,548.0,291187.0,14.0229845,0.006754749,0.25641572,0.0030232917,0.40312952,0.40312952,0.20307639,441.0,0.44590494,2.4803584,2.443358,2.4969752,2.5373642,2.8028796,2.578779,31.448370387032774,540.1249855357554,33.1058907144937,even,worse,14978,1936
NEG~more_inspiring,NEGMIR,more_inspiring,158,87.5,131.0698,0.9572012,0.402978,0.0004833153,0.9028571,0.0005415874,291735,175,583470,158.0,291577.0,17.0,291718.0,291735.0,291735.0,175.0,583295.0,291647.5,87.5,291647.5,5.608679,0.001082525,0.25664905,0.0004833153,0.402978,0.402978,0.20173067,70.5,0.44620255,1.5215745,1.4429344,1.5570167,1.6435027,2.226318,1.7327145,12.569805089976535,540.1249855357554,13.228756555322953,more,inspiring,121848,435
NEG~more_alive,NEGMIR,more_alive,129,71.5,106.61441,0.951073,0.40219647,0.0003941934,0.9020979,0.00044218212,291735,143,583470,129.0,291606.0,14.0,291721.0,291735.0,291735.0,143.0,583327.0,291663.5,71.5,291663.5,5.0625925,0.000883931,0.25628367,0.0003941934,0.40219647,0.40219647,0.20129533,57.5,0.44573644,1.3557112,1.270889,1.393945,1.4872615,2.117367,1.583554,11.357816691600547,540.1249855357554,11.958260743101398,more,alive,121848,835
POS~very_old,POSMIR,very_old,165,91.5,136.07237,0.95184517,0.40176535,0.0005038819,0.90163934,0.0005655818,291735,183,583470,165.0,291570.0,18.0,291717.0,291735.0,291735.0,183.0,583287.0,291643.5,91.5,291643.5,5.721967,0.001130454,0.25606284,0.0005038819,0.40176535,0.40176535,0.20113462,73.5,0.44545454,1.5422136,1.4651395,1.5769453,1.661685,2.23215,1.7490752,12.84523257866513,540.1249855357554,13.527749258468683,very,old,45886,3289
POS~very_familiar,POSMIR,very_familiar,178,99.0,144.91957,0.9401196,0.39912534,0.0005415874,0.8989899,0.0006101428,291735,198,583470,178.0,291557.0,20.0,291715.0,291735.0,291735.0,198.0,583272.0,291636.0,99.0,291636.0,5.9213004,0.001219458,0.25478482,0.0005415874,0.39912534,0.39912534,0.19983347,79.0,0.44382024,1.5716286,1.4973462,1.6050935,1.6867177,2.2351313,1.7708565,13.341664064126334,540.1249855357554,14.071247279470288,very,familiar,45886,2730
NEG~too_extreme,NEGMIR,too_extreme,151,84.0,122.824104,0.93757415,0.39892438,0.000459321,0.89880955,0.000517593,291735,168,583470,151.0,291584.0,17.0,291718.0,291735.0,291735.0,168.0,583302.0,291651.0,84.0,291651.0,5.4523826,0.00103459,0.25469765,0.000459321,0.39892438,0.39892438,0.19969185,67.0,0.4437086,1.4494019,1.3702483,1.4850678,1.5720816,2.157831,1.6618106,12.288205727444508,540.1249855357554,12.96148139681572,too,extreme,69845,545
POS~brand_new,POSMIR,brand_new,105,58.5,84.832,0.92648095,0.3975156,0.0003187825,0.8974359,0.0003599157,291735,117,583470,105.0,291630.0,12.0,291723.0,291735.0,291735.0,117.0,583353.0,291676.5,58.5,291676.5,4.5379353,0.000719543,0.25403345,0.0003187825,0.3975156,0.3975156,0.1989172,46.5,0.44285715,1.1414942,1.050746,1.182389,1.2821804,1.9559368,1.3851326,10.246950765959598,540.1249855357554,10.816653826391969,brand,new,125,4393
NEG~more_rewarding,NEGMIR,more_rewarding,798,445.0,642.93774,0.93718576,0.39723513,0.0024200045,0.8966292,0.0027353591,291735,890,583470,798.0,290937.0,92.0,291643.0,291735.0,291735.0,890.0,582580.0,291290.0,445.0,291290.0,12.496064,0.005454079,0.2536429,0.0024200045,0.39723513,0.39723513,0.19982757,353.0,0.4423559,2.331626,2.2919052,2.3494682,2.3928447,2.6783676,2.437337,28.24889378365107,540.1249855357554,29.832867780352597,more,rewarding,121848,1211
POS~very_best,POSMIR,very_best,226,126.0,182.08534,0.9321202,0.39699686,0.0006855537,0.8968254,0.00077467563,291735,252,583470,226.0,291509.0,26.0,291709.0,291735.0,291735.0,252.0,583218.0,291609.0,126.0,291609.0,6.6519012,0.001548014,0.2537379,0.0006855537,0.39699686,0.39699686,0.1988412,100.0,0.44247788,1.7110771,1.6438912,1.74133,1.8150784,2.3086534,1.8910314,15.033296378372908,540.1249855357554,15.874507866387544,very,best,45886,422
NEG~really_worried,NEGMIR,really_worried,155,86.5,124.33738,0.92476267,0.3960712,0.0004696043,0.8959538,0.0005313041,291735,173,583470,155.0,291580.0,18.0,291717.0,291735.0,291735.0,173.0,583297.0,291648.5,86.5,291648.5,5.5020523,0.001061978,0.2533156,0.0004696043,0.3960712,0.3960712,0.1982704,68.5,0.44193548,1.4428077,1.3650422,1.4778411,1.5632923,2.1377232,1.6513803,12.449899597988733,540.1249855357554,13.152946437965905,really,worried,21297,823
NEG~as_strong,NEGMIR,as_strong,454,253.5,363.50012,0.92977756,0.39580745,0.0013745351,0.8954635,0.0015562068,291735,507,583470,454.0,291281.0,53.0,291682.0,291735.0,291735.0,507.0,582963.0,291481.5,253.5,291481.5,9.409931,0.003107014,0.2530779,0.0013745351,0.39580745,0.39580745,0.198591,200.5,0.44162995,2.081425,2.0311153,2.1040475,2.1591089,2.5240135,2.2156832,21.307275752662516,540.1249855357554,22.516660498395403,as,strong,47332,1784
NEG~physically_wrong,NEGMIR,physically_wrong,212,118.5,168.88759,0.9210972,0.39467508,0.0006409927,0.89451474,0.0007266869,291735,237,583470,212.0,291523.0,25.0,291710.0,291735.0,291735.0,237.0,583233.0,291616.5,118.5,291616.5,6.4216065,0.001452194,0.2526175,0.0006409927,0.39467508,0.39467508,0.19765803,93.5,0.44103774,1.6471765,1.5787163,1.6780026,1.7531463,2.2560897,1.8305354,14.560219778561036,540.1249855357554,15.394804318340652,physically,wrong,890,8526
POS~so_familiar,POSMIR,so_familiar,101,56.5,80.1673,0.90968853,0.3938816,0.0003050714,0.8938053,0.0003462046,291735,113,583470,101.0,291634.0,12.0,291723.0,291735.0,291735.0,113.0,583357.0,291678.5,56.5,291678.5,4.4279156,0.000692141,0.25227293,0.0003050714,0.3938816,0.3938816,0.19709334,44.5,0.44059405,1.0775269,0.98615307,1.1186938,1.2191241,1.896365,1.3226992,10.04987562112089,540.1249855357554,10.63014581273465,so,familiar,47033,2730
POS~too_afraid,POSMIR,too_afraid,126,70.5,99.92288,0.9119241,0.39371216,0.0003804823,0.89361703,0.0004318988,291735,141,583470,126.0,291609.0,15.0,291720.0,291735.0,291735.0,141.0,583329.0,291664.5,70.5,291664.5,4.944333,0.00086338,0.25218144,0.0003804823,0.39371216,0.39371216,0.19704632,55.5,0.44047618,1.2619914,1.1781762,1.2997512,1.3918587,2.0118284,1.4868251,11.224972160321824,540.1249855357554,11.874342087037917,too,afraid,69845,706
POS~very_hard,POSMIR,very_hard,325,182.0,256.86758,0.9163799,0.39310238,0.0009803417,0.89285713,0.0011140247,291735,364,583470,325.0,291410.0,39.0,291696.0,291735.0,291735.0,364.0,583106.0,291553.0,182.0,291553.0,7.932213,0.002225273,0.25181198,0.0009803417,0.39310238,0.39310238,0.19704136,143.0,0.44,1.8842703,1.8269649,1.9100522,1.9728403,2.3905025,2.0374112,18.027756377319946,540.1249855357554,19.078784028338912,very,hard,45886,2124
POS~very_busy,POSMIR,very_busy,181,101.5,142.16127,0.90693086,0.39176193,0.0005450152,0.89162564,0.0006204261,291735,203,583470,181.0,291554.0,22.0,291713.0,291735.0,291735.0,203.0,583267.0,291633.5,101.5,291633.5,5.9091883,0.001239989,0.25121254,0.0005450152,0.39176193,0.39176193,0.19615346,79.5,0.4392265,1.5140235,1.4416959,1.5465931,1.6259943,2.1579583,1.7077826,13.45362404707371,540.1249855357554,14.247806848775006,very,busy,45886,2551
NEG~more_stressful,NEGMIR,more_stressful,171,96.0,133.64775,0.90204906,0.3907536,0.0005141653,0.890625,0.0005861484,291735,192,583470,171.0,291564.0,21.0,291714.0,291735.0,291735.0,192.0,583278.0,291639.0,96.0,291639.0,5.7353935,0.001171526,0.25072488,0.0005141653,0.3907536,0.3907536,0.19563387,75.0,0.4385965,1.4653212,1.3915368,1.4985471,1.5795507,2.122426,1.6629939,13.076696830622021,540.1249855357554,13.856406460551018,more,stressful,121848,380
NEG~as_scary,NEGMIR,as_scary,122,68.5,95.289825,0.8979637,0.39060265,0.0003667712,0.890511,0.00041818773,291735,137,583470,122.0,291613.0,15.0,291720.0,291735.0,291735.0,137.0,583333.0,291666.5,68.5,291666.5,4.8436623,0.000835983,0.25066927,0.0003667712,0.39060265,0.39060265,0.19548471,53.5,0.4385246,1.2096407,1.1253788,1.2475951,1.3401601,1.9626548,1.4355743,11.045361017187261,540.1249855357554,11.704699910719626,as,scary,47332,718
NEG~more_perfect,NEGMIR,more_perfect,169,95.0,131.34004,0.8969516,0.38960055,0.0005073097,0.8894737,0.0005792928,291735,190,583470,169.0,291566.0,21.0,291714.0,291735.0,291735.0,190.0,583280.0,291640.0,95.0,291640.0,5.6923075,0.001157832,0.2501631,0.0005073097,0.38960055,0.38960055,0.19505394,74.0,0.43786982,1.4466436,1.3727331,1.4799247,1.5610584,2.1046636,1.6446294,13.0,540.1249855357554,13.784048752090222,more,perfect,121848,1280
POS~very_powerful,POSMIR,very_powerful,143,80.5,110.43492,0.8898663,0.3883059,0.000428471,0.88819873,0.00049017085,291735,161,583470,143.0,291592.0,18.0,291717.0,291735.0,291735.0,161.0,583309.0,291654.5,80.5,291654.5,5.2265124,0.000979801,0.24954015,0.000428471,0.3883059,0.3883059,0.19436719,62.5,0.43706295,1.3138214,1.2350975,1.3492731,1.4357097,2.0156288,1.5247642,11.958260743101398,540.1249855357554,12.68857754044952,very,powerful,45886,2825
