      l1  l2                    f       E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff       f1     f2        N  
NEGATIVE  exasperating         23      7.86               693                 1219                566    2499        405           55         1087                3597                2488                  55                 550           1087              24.73                 24.73               0.641   0.0002        3.16         0.280       0.00006                0.426               0.0001                0.280              0.00005           15.14   285435     54  1960936  
NEGATIVE  major               283     97.38                81                  158                578     374         52           56          142                3598                 373                  56                  75            142             300.85                300.85               0.634   0.0020       11.03         0.278       0.00076                0.423               0.0010                0.277              0.00065          185.62   285435    669  1960936  
NEGATIVE  ours                 49     16.89               398                  740                580    1569        243           57          642                3599                1569                  57                 310            642              51.94                 51.94               0.634   0.0003        4.59         0.277       0.00013                0.422               0.0002                0.277              0.00011           32.11   285435    116  1960936  
NEGATIVE  rampant              19      6.55               804                 1380                576    2804        470           58         1240                3600                2802                  58                 627           1240              20.12                 20.12               0.635   0.0001        2.86         0.277       0.00005                0.422               0.0001                0.277              0.00004           12.45   285435     45  1960936  
NEGATIVE  absolute             43     14.85               448                  826                582    1708        267           59          709                3601                1707                  59                 353            709              45.42                 45.42               0.633   0.0003        4.29         0.276       0.00012                0.422               0.0002                0.276              0.00010           28.15   285435    102  1960936  
NEGATIVE  irksome              16      5.53               892                 1516                581    3105        537           60         1383                3602                3103                  60                 704           1383              16.86                 16.86               0.634   0.0001        2.62         0.275       0.00004                0.421               0.0001                0.275              0.00004           10.47   285435     38  1960936  
NEGATIVE  effusive             18      6.26               842                 1442                593    2878        492           61         1286                3603                2878                  61                 654           1286              18.78                 18.78               0.629   0.0001        2.77         0.273       0.00005                0.419               0.0001                0.273              0.00004           11.74   285435     43  1960936  
NEGATIVE  annoying            867    302.47                34                   67                594     119         23           62           41                3605                 117                  63                  25             41             900.50                900.50               0.625   0.0060       19.17         0.272       0.00231                0.417               0.0030                0.272              0.00198          564.53   285435   2078  1960936  
NEGATIVE  infuriating         111     38.72               207                  398                596     869        127           63          341                3604                 869                  62                 167            341             115.18                115.18               0.624   0.0008        6.86         0.272       0.00030                0.417               0.0004                0.272              0.00025           72.28   285435    266  1960936  
NEGATIVE  rewarding           971    339.88                29                   57                601     102         21           64           38                3606                 103                  64                  23             38            1002.79               1002.79               0.622   0.0067       20.25         0.271       0.00259                0.416               0.0034                0.270              0.00221          631.12   285435   2335  1960936  
NEGATIVE  american            444    157.35                56                  111                618     228         33           65           99                3609                 229                  65                  49             99             448.13                448.13               0.613   0.0031       13.60         0.265       0.00118                0.411               0.0016                0.265              0.00100          286.65   285435   1081  1960936  
NEGATIVE  vital               506    182.10                50                   99                635     195         31           66           86                3610                 195                  66                  40             86             496.80                496.80               0.601   0.0035       14.40         0.259       0.00133                0.404               0.0018                0.259              0.00113          323.90   285435   1251  1960936  
NEGATIVE  pleased            1570    568.12                16                   31                638      52         15           67           28                3613                  52                  68                  17             28            1528.84               1528.84               0.598   0.0109       25.29         0.257       0.00411                0.402               0.0055                0.257              0.00351         1001.88   285435   3903  1960936  
NEGATIVE  thrilling           283    102.33                87                  170                639     375         56           68          147                3612                 373                  67                  76            147             275.35                275.35               0.598   0.0020       10.74         0.257       0.00074                0.403               0.0010                0.257              0.00063          180.67   285435    703  1960936  
NEGATIVE  off-putting          72     26.06               314                  594                640    1182        181           69          491                3614                1182                  69                 239            491              69.93                 69.93               0.598   0.0005        5.41         0.257       0.00019                0.402               0.0003                0.257              0.00016           45.94   285435    179  1960936  
NEGATIVE  apparent           1169    423.44                25                   49                641      77         19           70           36                3615                  76                  70                  21             36            1135.51               1135.51               0.597   0.0081       21.81         0.257       0.00306                0.402               0.0041                0.256              0.00261          745.56   285435   2909  1960936  
NEGATIVE  blissful             23      8.44               756                 1312                656    2501        429           71         1117                3616                2488                  71                 561           1117              21.76                 21.76               0.590   0.0002        3.04         0.251       0.00006                0.397               0.0001                0.251              0.00005           14.56   285435     58  1960936  
NEGATIVE  satisfying         1805    664.63                14                   27                659      44         12           72           24                3617                  44                  72                  15             24            1702.90               1702.90               0.586   0.0124       26.84         0.250       0.00468                0.395               0.0063                0.250              0.00400         1140.37   285435   4566  1960936  
NEGATIVE  swift                31     11.50               624                 1113                663    2070        358           73          937                3618                2069                  73                 467            937              28.76                 28.76               0.581   0.0002        3.50         0.247       0.00008                0.392               0.0001                0.247              0.00007           19.50   285435     79  1960936  
NEGATIVE  preachy              16      5.97               982                 1656                668    3106        568           74         1420                3620                3103                  74                 725           1420              14.69                 14.69               0.580   0.0001        2.51         0.245       0.00004                0.390               0.0001                0.245              0.00004           10.03   285435     41  1960936  
NEGATIVE  striking             66     25.04               358                  671                697    1262        204           75          536                3621                1262                  75                 265            536              58.69                 58.69               0.564   0.0005        5.04         0.238       0.00017                0.384               0.0002                0.238              0.00014           40.96   285435    172  1960936  
NEGATIVE  fond                475    180.79                61                  121                704     211         34           76           96                3622                 211                  76                  48             96             419.99                419.99               0.561   0.0033       13.50         0.237       0.00121                0.382               0.0017                0.237              0.00103          294.21   285435   1242  1960936  
NEGATIVE  appetizing           39     14.85               544                  983                701    1818        313           77          803                3623                1818                  77                 392            803              34.44                 34.44               0.563   0.0003        3.87         0.237       0.00010                0.382               0.0001                0.237              0.00008           24.15   285435    102  1960936  
NEGATIVE  noteworthy          203     77.87               140                  272                714     516         77           78          210                3624                 517                  78                 102            210             176.69                176.69               0.556   0.0014        8.78         0.234       0.00051                0.379               0.0007                0.234              0.00044          125.13   285435    535  1960936  
NEGATIVE  convincing          361    138.86                77                  151                718     285         46           79          122                3625                 287                  79                  59            122             312.65                312.65               0.554   0.0025       11.69         0.233       0.00091                0.378               0.0013                0.233              0.00078          222.14   285435    954  1960936  
NEGATIVE  irritating          230     88.65               129                  251                732     454         74           80          183                3626                 455                  80                  90            183             198.39                198.39               0.552   0.0016        9.32         0.232       0.00058                0.378               0.0008                0.232              0.00050          141.35   285435    609  1960936  
NEGATIVE  degrading            24      9.32               793                 1365                735    2436        437           81         1110                3627                2435                  81                 559           1110              20.41                 20.41               0.550   0.0002        3.00         0.229       0.00006                0.375               0.0001                0.229              0.00005           14.68   285435     64  1960936  
NEGATIVE  unsightly            22      8.59               851                 1456                741    2574        468           82         1185                3628                2573                  82                 596           1185              18.50                 18.50               0.547   0.0002        2.86         0.227       0.00005                0.373               0.0001                0.227              0.00005           13.41   285435     59  1960936  
NEGATIVE  contemptible         22      8.59               851                 1456                741    2574        468           82         1185                3628                2573                  82                 596           1185              18.50                 18.50               0.547   0.0002        2.86         0.227       0.00005                0.373               0.0001                0.227              0.00005           13.41   285435     59  1960936  
NEGATIVE  cut                  19      7.42               930                 1574                743    2805        524           84         1298                3630                2802                  84                 662           1298              15.95                 15.95               0.547   0.0001        2.66         0.227       0.00005                0.373               0.0001                0.227              0.00004           11.58   285435     51  1960936  
NEGATIVE  consequential        59     23.14               415                  768                750    1372        235           85          590                3631                1371                  85                 288            590              49.14                 49.14               0.541   0.0004        4.67         0.226       0.00015                0.371               0.0002                0.226              0.00013           35.86   285435    159  1960936  
NEGATIVE  illustrative         23      9.02               831                 1426                749    2502        450           86         1152                3632                2488                  86                 587           1152              19.15                 19.15               0.543   0.0002        2.91         0.225       0.00006                0.371               0.0001                0.225              0.00005           13.98   285435     62  1960936  
NEGATIVE  whole                56     21.98               436                  805                751    1424        247           87          620                3633                1424                  87                 298            620              46.59                 46.59               0.541   0.0004        4.55         0.225       0.00014                0.371               0.0002                0.225              0.00012           34.02   285435    151  1960936  
NEGATIVE  ferocious            36     14.26               617                 1100                767    1885        340           88          862                3635                1885                  88                 431            862              29.39                 29.39               0.535   0.0003        3.62         0.222       0.00009                0.367               0.0001                0.222              0.00008           21.74   285435     98  1960936  
NEGATIVE  fitting              99     39.30               281                  535                772     934        156           89          394                3636                 933                  89                 196            394              80.53                 80.53               0.532   0.0007        6.00         0.221       0.00024                0.367               0.0003                0.221              0.00021           59.70   285435    270  1960936  
NEGATIVE  constant             52     20.67               477                  873                773    1501        264           90          656                3637                1500                  90                 318            656              42.18                 42.18               0.532   0.0004        4.34         0.221       0.00013                0.366               0.0002                0.221              0.00011           31.33   285435    142  1960936  
NEGATIVE  humbling             97     38.57               284                  541                775     951        160           91          403                3638                 951                  91                 201            403              78.63                 78.63               0.531   0.0007        5.93         0.221       0.00024                0.366               0.0003                0.220              0.00020           58.43   285435    265  1960936  
NEGATIVE  urgent              522    208.30                60                  119                782     192         32           92           89                3639                 192                  92                  43             89             420.54                420.54               0.528   0.0036       13.73         0.219       0.00129                0.365               0.0018                0.219              0.00110          313.70   285435   1431  1960936  
