bigram_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
really_sustainable,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
so_conscious,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
so_competitive,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
strategically_important,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
really_dangerous,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
really_available,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
really_able,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
quite_certain,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
probably_clear,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
pretty_encouraging,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
still_significant,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
that_surprised,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
surprisingly_close,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
very_crowded,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
yet_ready,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
yet_evident,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
virtually_unknown,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
very_normal,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
very_important,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
very_heavy,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
