adj_form_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely,nones,nothings,nobodies,nobody's,nobodys,non-exalts,nothingis,nys
obvious,865,445,213,78,25,14,6,0,22,48,1,11,2,0,0,0,0,0,0,0,0
safe,845,534,112,70,50,14,14,41,4,4,2,0,0,0,0,0,0,0,0,0,0
hard,832,258,378,102,23,25,25,5,3,5,3,4,1,0,0,0,0,0,0,0,0
relevant,824,498,98,93,34,38,12,0,29,11,4,2,5,0,0,0,0,0,0,0,0
perfect,822,181,430,79,18,24,8,39,25,12,0,5,1,0,0,0,0,0,0,0,0
funny,819,380,233,84,41,8,25,5,5,29,1,7,1,0,0,0,0,0,0,0,0
likely,796,101,223,107,148,86,59,34,17,9,4,0,3,5,0,0,0,0,0,0,0
critical,793,469,147,79,19,21,5,20,13,12,1,5,2,0,0,0,0,0,0,0,0
fancy,780,15,746,6,9,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
aware,756,375,8,70,73,6,28,91,35,26,33,7,4,0,0,0,0,0,0,0,0
more,731,230,338,43,14,47,5,7,17,14,8,5,3,0,0,0,0,0,0,0,0
careful,730,685,7,11,5,9,4,3,2,3,0,1,0,0,0,0,0,0,0,0,0
dramatic,700,53,407,117,16,19,5,0,47,23,1,9,3,0,0,0,0,0,0,0,0
cold,670,258,25,7,324,10,17,1,1,14,7,3,2,0,1,0,0,0,0,0,0
necessary,634,292,82,94,65,31,15,0,23,22,2,2,5,0,1,0,0,0,0,0,0
crazy,631,68,506,25,3,11,5,9,2,1,0,0,1,0,0,0,0,0,0,0,0
memorable,626,23,264,288,21,2,13,0,4,6,0,4,1,0,0,0,0,0,0,0,0
attractive,624,109,345,77,17,9,41,4,12,8,1,0,1,0,0,0,0,0,0,0,0
large,620,174,87,206,52,5,45,4,9,19,13,1,4,1,0,0,0,0,0,0,0
ready,612,329,25,76,25,14,54,74,6,6,1,1,1,0,0,0,0,0,0,0,0
complex,611,130,313,68,45,24,8,0,9,9,3,1,1,0,0,0,0,0,0,0,0
challenging,610,217,255,72,19,19,3,1,10,9,1,4,0,0,0,0,0,0,0,0,0
precious,610,39,501,24,31,7,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0
concerned,595,266,18,73,107,11,29,79,4,7,1,0,0,0,0,0,0,0,0,0,0
expensive,594,149,168,75,91,38,38,0,15,11,7,2,0,0,0,0,0,0,0,0,0
hot,584,302,78,21,71,8,52,10,5,30,2,5,0,0,0,0,0,0,0,0,0
alone,566,509,4,21,3,3,1,5,10,8,1,1,0,0,0,0,0,0,0,0,0
real,559,204,201,91,9,37,7,3,1,1,3,0,2,0,0,0,0,0,0,0,0
accurate,555,214,41,96,72,33,49,3,12,29,2,3,1,0,0,0,0,0,0,0,0
unusual,550,2,439,57,23,14,3,0,8,3,1,0,0,0,0,0,0,0,0,0,0
impressed,526,321,1,122,16,3,17,27,3,12,1,3,0,0,0,0,0,0,0,0,0
urgent,522,329,116,33,11,10,1,0,9,10,0,2,1,0,0,0,0,0,0,0,0
vital,506,220,222,39,5,9,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0
useful,503,77,190,79,56,40,27,0,10,14,5,2,3,0,0,0,0,0,0,0,0
compelling,501,89,175,144,22,18,23,1,13,13,1,1,1,0,0,0,0,0,0,0,0
appealing,495,119,198,80,16,14,48,4,9,7,0,0,0,0,0,0,0,0,0,0,0
painful,492,37,352,51,16,22,6,2,1,4,0,0,1,0,0,0,0,0,0,0,0
spectacular,491,37,332,92,2,6,6,1,10,5,0,0,0,0,0,0,0,0,0,0,0
worth,490,48,241,65,18,16,6,12,42,9,29,1,3,0,0,0,0,0,0,0,0
remarkable,479,9,348,68,13,13,9,2,11,0,0,1,5,0,0,0,0,0,0,0,0
possible,478,177,63,64,86,30,16,0,21,8,9,0,3,0,0,0,0,0,1,0,0
original,475,29,317,73,25,7,12,0,10,1,0,1,0,0,0,0,0,0,0,0,0
fond,475,324,1,89,24,2,25,8,1,0,0,0,1,0,0,0,0,0,0,0,0
sweet,456,169,152,43,52,9,19,0,2,5,1,2,0,0,2,0,0,0,0,0,0
enjoyable,455,112,269,33,11,12,4,0,4,10,0,0,0,0,0,0,0,0,0,0,0
romantic,453,22,395,11,7,3,5,0,6,1,1,2,0,0,0,0,0,0,0,0,0
unique,452,10,296,95,21,9,7,5,1,7,1,0,0,0,0,0,0,0,0,0,0
boring,452,108,304,7,13,7,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0
worried,452,296,11,25,33,4,12,65,3,2,1,0,0,0,0,0,0,0,0,0,0
scary,447,118,247,39,14,5,8,2,7,6,0,0,1,0,0,0,0,0,0,0,0
american,444,16,379,12,21,5,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0
cool,436,216,104,48,25,9,10,17,4,2,0,1,0,0,0,0,0,0,0,0,0
essential,432,125,247,42,6,4,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0
surprised,430,67,1,54,9,13,10,262,7,3,0,2,1,0,0,0,0,1,0,0,0
intense,427,203,122,40,15,24,2,1,5,10,1,3,1,0,0,0,0,0,0,0,0
accessible,425,315,18,27,31,5,9,1,4,10,2,3,0,0,0,0,0,0,0,0,0
crucial,423,210,123,63,5,12,2,1,5,1,0,1,0,0,0,0,0,0,0,0,0
black,421,110,166,61,14,15,1,8,6,36,2,2,0,0,0,0,0,0,0,0,0
convenient,419,226,123,24,19,4,12,0,5,4,1,1,0,0,0,0,0,0,0,0,0
confident,416,323,6,26,24,3,9,11,5,5,1,2,0,1,0,0,0,0,0,0,0
relaxing,409,18,382,3,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
keen,407,210,4,122,27,2,24,15,0,0,0,3,0,0,0,0,0,0,0,0,0
comforting,404,8,364,15,4,2,4,0,5,0,0,0,2,0,0,0,0,0,0,0,0
secure,402,236,77,32,21,11,8,3,7,4,0,2,1,0,0,0,0,0,0,0,0
scared,402,374,1,4,3,6,3,9,0,1,1,0,0,0,0,0,0,0,0,0,0
appropriate,389,164,114,21,30,15,4,3,24,8,1,3,1,0,1,0,0,0,0,0,0
active,387,230,12,45,29,17,17,11,8,10,2,4,2,0,0,0,0,0,0,0,0
wonderful,376,27,308,20,7,4,2,1,2,1,1,2,1,0,0,0,0,0,0,0,0
low,375,204,26,15,102,5,11,2,1,6,3,0,0,0,0,0,0,0,0,0,0
alive,374,197,16,62,22,7,10,11,34,0,11,1,3,0,0,0,0,0,0,0,0
amazing,373,32,269,46,4,10,3,2,3,4,0,0,0,0,0,0,0,0,0,0,0
helpful,369,37,118,81,43,25,39,2,7,12,2,2,0,0,1,0,0,0,0,0,0
famous,362,112,8,193,16,3,10,14,3,1,1,1,0,0,0,0,0,0,0,0,0
open,362,196,28,46,21,7,13,3,16,22,7,3,0,0,0,0,0,0,0,0,0
terrible,362,17,271,44,12,3,7,2,2,3,0,0,1,0,0,0,0,0,0,0,0
convincing,361,125,70,86,22,13,23,2,13,3,0,4,0,0,0,0,0,0,0,0,0
common,359,71,169,58,16,17,14,0,7,3,2,0,2,0,0,0,0,0,0,0,0
visible,353,134,44,57,23,21,6,4,20,18,21,4,1,0,0,0,0,0,0,0,0
straightforward,351,135,108,12,9,4,6,0,15,50,0,11,1,0,0,0,0,0,0,0,0
complete,350,213,46,42,18,3,8,0,10,5,3,2,0,0,0,0,0,0,0,0,0
deep,348,104,139,51,27,5,10,3,1,6,0,1,1,0,0,0,0,0,0,0,0
natural,346,22,282,7,13,8,3,2,4,3,1,0,1,0,0,0,0,0,0,0,0
heavy,343,90,170,20,43,7,6,0,0,3,2,1,1,0,0,0,0,0,0,0,0
rich,340,189,19,53,37,8,6,17,2,4,1,2,2,0,0,0,0,0,0,0,0
worse,339,18,193,25,33,9,11,6,36,0,4,0,4,0,0,0,0,0,0,0,0
present,339,183,16,52,28,4,5,4,15,14,8,9,0,0,1,0,0,0,0,0,0
extreme,334,63,205,32,7,8,3,1,4,8,1,1,1,0,0,0,0,0,0,0,0
affordable,333,287,14,9,14,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0
full,330,176,18,15,21,4,9,3,10,18,54,2,0,0,0,0,0,0,0,0,0
personal,329,40,227,22,10,10,2,0,8,9,0,1,0,0,0,0,0,0,0,0,0
frightening,326,31,246,33,3,6,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0
severe,326,71,128,61,13,21,3,1,9,13,1,3,2,0,0,0,0,0,0,0,0
healthy,317,178,35,41,14,9,20,9,4,6,0,1,0,0,0,0,0,0,0,0,0
embarrassing,314,6,290,7,2,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0
shocking,313,5,205,62,12,10,9,0,6,3,0,0,1,0,0,0,0,0,0,0,0
entertaining,313,90,123,51,12,6,8,3,2,13,1,2,2,0,0,0,0,0,0,0,0
correct,311,80,41,47,46,9,49,2,13,16,1,6,1,0,0,0,0,0,0,0,0
long,309,161,10,83,8,6,26,2,1,8,2,1,1,0,0,0,0,0,0,0,0
controversial,308,26,142,84,20,15,3,0,12,4,1,0,1,0,0,0,0,0,0,0,0
sexy,306,64,171,32,9,1,7,4,10,5,1,1,1,0,0,0,0,0,0,0,0
bright,306,93,47,113,29,5,12,1,3,1,1,1,0,0,0,0,0,0,0,0,0
many,305,163,5,48,15,38,4,0,7,3,18,3,1,0,0,0,0,0,0,0,0
terrifying,303,20,247,23,0,6,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0
efficient,296,141,53,27,26,14,11,2,6,10,4,0,2,0,0,0,0,0,0,0,0
gratifying,295,7,273,12,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
smart,289,119,18,88,19,6,9,22,2,4,0,1,0,0,0,0,1,0,0,0,0
specific,288,50,164,25,11,6,11,3,9,7,0,1,1,0,0,0,0,0,0,0,0
pleasant,286,44,121,61,26,5,10,0,10,5,1,2,1,0,0,0,0,0,0,0,0
damaging,285,4,183,53,13,14,1,1,7,3,0,0,6,0,0,0,0,0,0,0,0
