adj_form_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely,nones,nothings,nobodies,nobody's,nobodys,non-exalts,nothingis,nys
sappy,10,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gratuitous,10,2,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
legible,10,3,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
grievous,10,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
legit,10,3,0,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
flowery,10,3,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tumultuous,10,4,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lighthearted,10,0,2,3,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
relative,10,0,7,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
distinguishable,10,1,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
elemental,10,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gendered,10,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proactive,10,5,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
abrupt,10,4,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
derivative,10,3,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preferable,10,1,4,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gifted,10,5,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
weaker,10,3,1,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
considerate,10,1,4,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
gaudy,10,1,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
content,10,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lively,10,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
garish,10,2,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
envious,10,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elated,10,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
comedic,10,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unreliable,10,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consensual,10,6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
futuristic,10,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lyrical,10,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
distraught,10,4,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
defensive,10,2,3,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
privy,10,6,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unconscious,10,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unlimited,10,6,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
indignant,10,1,0,2,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
lightweight,10,0,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prompt,10,4,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
blank,10,5,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
adversarial,10,4,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
illustrious,10,3,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
noxious,10,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
external,10,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intractable,10,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extinct,10,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balanced,10,4,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
enamoured,10,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
online,10,1,0,4,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
condescending,10,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unwilling,10,3,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utilitarian,10,4,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
foreboding,10,1,4,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fleeting,10,1,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
closed,10,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annoyed,10,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
populist,10,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mighty,10,2,2,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
spacious,10,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
humid,10,1,0,0,5,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
unwise,10,0,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deliberate,10,1,3,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unable,10,2,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
cutesy,10,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vegetarian,10,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bearish,10,4,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0
eye-opening,10,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mischievous,10,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
posh,10,1,5,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
honourable,10,0,6,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
undemocratic,10,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subservient,10,2,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hairy,10,2,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ardent,10,1,1,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
inadequate,10,2,1,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
slippery,10,3,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
far-reaching,10,3,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
supreme,10,0,6,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
homeless,10,3,0,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
historical,10,1,2,1,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
psyched,10,6,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impractical,10,1,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
masterful,10,5,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
restorative,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
national,9,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stagnant,9,4,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
tenacious,9,1,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
unattainable,9,1,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
repressive,9,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
obsessive,9,2,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nicer,9,0,3,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
sexist,9,2,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sneaky,9,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sugary,9,2,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sterile,9,1,4,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
moist,9,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleepy,9,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
superstitious,9,3,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
noticable,9,0,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
scarce,9,5,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
own,9,4,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
suave,9,5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mental,9,0,5,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
monogamous,9,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rotten,9,1,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
muscular,9,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tolerable,9,0,2,0,1,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
profane,9,1,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
meticulous,9,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recyclable,9,0,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resourceful,9,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mortified,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
life-changing,9,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cliche,9,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordy,9,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chilly,9,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wary,9,5,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
educated,9,3,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hungover,9,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
venomous,9,1,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
instantaneous,9,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
inaccessible,9,4,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
impoverished,9,2,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
inactive,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contrived,9,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unreal,9,2,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devious,9,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deferential,9,3,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
arcane,9,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
awash,9,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
watery,9,2,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloudy,9,2,1,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
brighter,9,3,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unsuitable,9,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crunchy,9,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
equitable,9,3,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
forward,9,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jolly,9,0,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
binding,9,1,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crispy,9,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flattered,9,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
invincible,9,3,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frail,9,3,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
eminent,9,4,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
grumpy,9,4,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
intolerant,9,1,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
egalitarian,9,2,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
left-wing,9,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unprepared,9,5,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
long-lasting,9,1,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deplorable,9,0,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
dormant,9,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
clueless,9,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contemptuous,9,3,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
upfront,9,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
incomprehensible,9,0,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
high-profile,9,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dressy,9,2,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unlucky,9,0,3,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
lifelike,9,2,1,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0
alert,9,5,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
unforgettable,9,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infallible,9,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dim,9,0,1,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
confidential,9,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apologetic,9,4,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
domestic,9,2,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
goofy,9,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fanatical,9,3,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
passable,8,0,1,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
taut,8,3,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gloomy,8,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
impersonal,8,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
illogical,8,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
frenetic,8,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
oblivious,8,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
negligent,8,2,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
slight,8,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disturbed,8,3,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
senior,8,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bombastic,8,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
irreversible,8,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numb,8,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
distrustful,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distressed,8,4,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
unthinkable,8,0,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crooked,8,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impolite,8,3,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sadistic,8,2,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloying,8,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheery,8,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
celebratory,8,1,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
integrated,8,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sexier,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
affecting,8,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
giddy,8,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
inhumane,8,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
incisive,8,1,1,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
mute,8,0,4,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
reachable,8,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unwelcome,8,2,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
due,8,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
incidental,8,2,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
genetic,8,1,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clad,8,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sex,8,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
greek,8,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enviable,8,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gritty,8,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
collaborative,8,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cosmetic,8,2,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
native,8,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chummy,8,4,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
droll,8,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
insufferable,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perverted,8,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosmic,8,1,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ungrateful,8,3,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chewy,8,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inconsequential,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corny,8,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unfounded,8,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blameless,8,0,0,3,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
flimsy,8,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unseemly,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fickle,8,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
homogenous,8,5,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fiery,8,1,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tougher,8,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
repetitive,8,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laudable,8,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
overjoyed,8,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
marginal,8,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
first,8,2,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
vertical,8,1,0,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
steadfast,8,3,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
disheartened,8,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
overrated,8,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barren,8,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malevolent,8,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
predictive,8,2,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
oppressed,8,0,0,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hasty,8,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akin,8,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
digital,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
livable,8,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
valiant,8,1,1,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
analytical,8,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submissive,8,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prideful,8,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
approachable,8,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unscientific,8,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
republican,8,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighter,8,1,0,0,1,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0
feeble,8,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disciplined,8,3,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dejected,8,2,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
medical,8,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dedicated,8,1,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
obsolete,8,3,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
bent,8,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
acrimonious,8,2,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
disposable,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spoiled,8,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
polarizing,8,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unanimous,8,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ephemeral,8,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prohibitive,8,0,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
idiotic,8,1,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bittersweet,8,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bereft,8,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
speechless,8,3,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
illicit,8,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
custom,8,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bewildering,8,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
afield,8,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
merry,8,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transferable,8,1,1,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
parochial,7,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
immortal,7,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
homely,7,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
upscale,7,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unhinged,7,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
curable,7,0,0,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
overblown,7,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abysmal,7,1,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
saddening,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unremarkable,7,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unimportant,7,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cuddly,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resentful,7,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
healthier,7,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gratified,7,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
retarded,7,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
granular,7,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hearted,7,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
illegitimate,7,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
heated,7,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
despondent,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dodgy,7,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavier,7,1,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
