bigram_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely,nones,nothings,nobodies,nobody's,nobodys,non-exalts,nothingis,nys
so_simple,683,413,137,14,9,5,1,0,16,74,0,14,0,0,0,0,0,0,0,0,0
too_careful,677,666,0,7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
really_new,654,2,602,42,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
more_serious,647,79,485,23,2,32,0,4,15,3,0,0,4,0,0,0,0,0,0,0,0
more_different,614,8,32,2,1,1,0,0,496,1,3,0,70,0,0,0,0,0,0,0,0
more_critical,590,392,118,47,3,2,0,15,8,2,0,1,2,0,0,0,0,0,0,0,0
as_big,576,227,84,181,14,11,20,13,6,6,12,0,2,0,0,0,0,0,0,0,0
more_effective,554,46,243,48,12,173,5,8,7,5,5,2,0,0,0,0,0,0,0,0,0
too_sure,539,455,0,49,2,3,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0
so_important,532,349,112,41,4,10,3,1,3,7,0,2,0,0,0,0,0,0,0,0,0
too_fancy,530,4,522,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
really_wrong,529,3,516,3,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
too_good,519,153,266,73,6,4,1,11,1,1,1,0,0,0,2,0,0,0,0,0,0
more_relevant,513,417,50,10,0,7,0,0,18,5,0,1,5,0,0,0,0,0,0,0,0
more_proud,485,440,9,5,2,0,1,18,2,7,0,0,1,0,0,0,0,0,0,0,0
too_crazy,480,19,450,6,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
that_simple,478,308,87,1,0,2,0,0,12,63,0,5,0,0,0,0,0,0,0,0,0
too_bad,460,36,380,19,7,9,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0
as_strong,460,302,38,50,18,10,19,1,5,12,1,4,0,0,0,0,0,0,0,0,0
more_clear,460,376,47,6,4,1,0,0,18,5,0,1,2,0,0,0,0,0,0,0,0
that_easy,457,347,74,3,3,0,2,1,2,23,0,2,0,0,0,0,0,0,0,0,0
too_special,453,0,451,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
much_more,451,153,245,15,10,7,4,0,4,6,3,3,1,0,0,0,0,0,0,0,0
that_good,448,328,21,34,9,3,11,30,0,12,0,0,0,0,0,0,0,0,0,0,0
more_excited,448,360,3,11,6,4,0,56,6,2,0,0,0,0,0,0,0,0,0,0,0
more_obvious,445,298,70,36,0,3,0,0,18,13,0,5,2,0,0,0,0,0,0,0,0
as_effective,443,146,103,107,19,9,25,0,6,22,1,5,0,0,0,0,0,0,0,0,0
as_popular,439,302,14,76,10,6,16,1,10,3,0,0,1,0,0,0,0,0,0,0,0
too_cold,437,104,12,1,302,1,9,0,0,4,1,2,0,0,1,0,0,0,0,0,0
more_precious,433,14,402,13,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
so_good,432,259,101,22,11,17,2,9,2,7,1,0,1,0,0,0,0,0,0,0,0
too_exciting,431,8,402,17,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quite_clear,427,404,7,2,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
too_difficult,425,66,257,43,45,2,7,1,2,0,0,1,0,0,1,0,0,0,0,0,0
too_hard,421,92,285,14,10,3,13,2,0,1,1,0,0,0,0,0,0,0,0,0,0
more_significant,412,30,252,102,5,13,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
particularly_new,407,0,338,57,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more_urgent,405,290,72,21,8,2,0,0,6,4,0,1,1,0,0,0,0,0,0,0,0
more_vital,397,173,192,27,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
particularly_good,392,177,36,95,25,0,52,5,0,1,1,0,0,0,0,0,0,0,0,0,0
so_close,390,338,11,10,10,0,1,4,2,13,0,1,0,0,0,0,0,0,0,0,0
more_complicated,386,62,246,3,2,56,0,0,5,10,1,0,1,0,0,0,0,0,0,0,0
quite_right,384,222,54,90,2,4,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
any_better,382,83,21,49,35,2,12,15,113,5,32,1,14,0,0,0,0,0,0,0,0
more_relaxing,372,5,365,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ever_easy,368,33,313,5,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0
entirely_sure,366,270,0,7,7,8,7,66,0,1,0,0,0,0,0,0,0,0,0,0,0
really_special,365,0,360,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
so_bad,362,164,116,39,12,12,6,2,1,8,1,1,0,0,0,0,0,0,0,0,0
quite_able,340,321,2,8,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
more_american,335,4,318,5,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0
more_likely,332,25,155,24,35,64,4,7,6,4,3,0,2,3,0,0,0,0,0,0,0
more_crucial,331,172,111,41,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
entirely_clear,329,300,3,0,17,0,4,2,0,1,0,2,0,0,0,0,0,0,0,0,0
more_interesting,327,46,205,52,2,6,0,1,4,5,5,1,0,0,0,0,0,0,0,0,0
particularly_special,327,1,320,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
too_hot,325,171,20,4,55,3,49,3,0,18,0,2,0,0,0,0,0,0,0,0,0
much_better,324,42,185,20,39,5,6,8,18,1,0,0,0,0,0,0,0,0,0,0,0
really_able,324,289,2,13,3,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0
more_essential,324,106,204,9,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
as_powerful,321,74,138,68,17,5,9,1,2,3,0,4,0,0,0,0,0,0,0,0,0
more_attractive,321,57,244,7,2,4,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0
so_excited,320,308,1,1,1,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0
as_great,317,182,41,55,12,5,4,5,4,5,0,3,1,0,0,0,0,0,0,0,0
as_successful,317,145,13,103,15,0,16,5,7,13,0,0,0,0,0,0,0,0,0,0,0
more_romantic,311,4,301,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
really_interested,311,194,0,16,9,1,17,72,0,0,1,1,0,0,0,0,0,0,0,0,0
more_impressive,308,22,116,139,1,5,0,7,13,3,0,1,1,0,0,0,0,0,0,0,0
more_comforting,303,0,296,2,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
more_painful,301,7,261,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
really_good,301,172,87,24,1,4,8,3,0,2,0,0,0,0,0,0,0,0,0,0,0
more_challenging,301,164,101,25,1,6,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
ever_good,300,13,260,6,0,0,0,9,9,3,0,0,0,0,0,0,0,0,0,0,0
so_fun,299,280,12,1,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
more_enjoyable,292,49,225,12,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
that_great,288,220,9,41,1,2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
so_great,285,155,43,51,11,13,2,0,2,4,1,3,0,0,0,0,0,0,0,0,0
more_special,281,7,231,30,1,6,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0
too_high,279,177,18,5,46,4,21,2,1,0,5,0,0,0,0,0,0,0,0,0,0
more_appropriate,277,135,99,7,3,5,0,2,19,3,1,1,1,0,1,0,0,0,0,0,0
less_important,272,12,16,23,9,182,1,3,14,0,0,0,12,0,0,0,0,0,0,0,0
too_complicated,268,15,234,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as_close,263,177,15,51,1,1,7,3,3,5,0,0,0,0,0,0,0,0,0,0,0
as_high,262,188,5,21,9,1,6,1,4,21,5,1,0,0,0,0,0,0,0,0,0
as_exciting,260,70,126,34,4,2,4,0,5,10,0,5,0,0,0,0,0,0,0,0,0
more_natural,258,4,240,0,2,7,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0
more_gratifying,257,2,249,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more_certain,252,72,162,2,3,10,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
so_scared,248,246,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more_convenient,246,127,97,8,4,1,2,0,3,3,1,0,0,0,0,0,0,0,0,0,0
as_beautiful,246,61,141,29,6,3,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0
more_embarrassing,245,4,236,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
so_high,245,218,6,2,7,1,0,0,1,7,0,3,0,0,0,0,0,0,0,0,0
really_happy,238,189,3,5,0,0,4,36,0,0,0,1,0,0,0,0,0,0,0,0,0
more_boring,237,5,225,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
as_large,235,67,28,95,8,2,10,0,6,5,11,0,2,1,0,0,0,0,0,0,0
as_interesting,232,74,37,65,9,3,13,1,9,12,0,9,0,0,0,0,0,0,0,0,0
more_complex,231,71,110,17,5,17,1,0,6,1,2,0,1,0,0,0,0,0,0,0,0
more_terrifying,231,6,213,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
really_bad,228,24,172,22,3,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0
particularly_interested,227,116,0,12,53,1,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0
as_satisfying,226,58,141,17,2,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0
more_refreshing,225,1,220,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
particularly_interesting,225,10,115,66,16,1,12,0,1,3,0,1,0,0,0,0,0,0,0,0,0
more_wrong,224,79,107,2,0,0,3,2,24,1,1,1,4,0,0,0,0,0,0,0,0
more_disappointing,224,0,212,9,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mutually_exclusive,224,43,16,83,33,1,19,0,18,8,0,3,0,0,0,0,0,0,0,0,0
too_safe,222,217,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more_affordable,220,202,7,1,5,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
so_much,219,104,59,15,4,21,1,3,1,4,1,1,5,0,0,0,0,0,0,0,0
remotely_close,219,21,140,34,5,2,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0
so_proud,216,210,0,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0
more_comfortable,214,83,114,3,3,2,0,2,5,1,0,0,1,0,0,0,0,0,0,0,0
necessarily_wrong,213,0,198,10,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
particularly_wrong,212,0,211,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physically_wrong,212,0,211,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
more_necessary,212,143,53,2,5,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
too_heavy,210,39,133,3,28,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
fully_satisfied,209,193,0,2,1,0,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0
too_keen,209,89,0,100,5,2,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0
more_surprised,208,16,0,10,0,8,0,168,4,1,0,0,0,0,0,0,0,1,0,0,0
ever_simple,207,13,184,1,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,0,0
more_accessible,207,192,5,2,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ever_perfect,207,3,182,4,0,0,1,9,7,1,0,0,0,0,0,0,0,0,0,0,0
that_bad,205,124,31,23,2,8,2,5,4,5,1,0,0,0,0,0,0,0,0,0,0
too_surprising,205,3,121,76,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as_fun,203,95,57,33,4,5,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0
more_frightening,202,9,180,8,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
more_real,198,79,83,7,1,24,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
really_alone,195,190,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
really_clear,194,163,9,10,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
much_good,194,129,23,21,4,0,10,0,0,4,0,3,0,0,0,0,0,0,0,0,0
too_low,193,68,18,1,90,3,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0
more_irritating,193,3,188,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
so_blind,191,4,2,184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intrinsically_wrong,191,1,186,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as_cool,190,90,38,33,6,5,6,10,1,1,0,0,0,0,0,0,0,0,0,0,0
more_appealing,190,41,123,11,1,5,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0
truly_alone,188,176,0,7,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0
more_damaging,188,0,135,33,3,5,0,1,4,1,0,0,6,0,0,0,0,0,0,0,0
too_major,187,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more_expensive,186,73,59,6,8,24,2,0,8,2,4,0,0,0,0,0,0,0,0,0,0
more_thrilling,185,9,166,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
more_wonderful,184,2,169,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
as_funny,183,93,31,16,10,1,13,5,1,12,0,1,0,0,0,0,0,0,0,0,0
as_happy,183,150,2,11,2,0,2,6,2,7,0,1,0,0,0,0,0,0,0,0,0
more_simple,180,46,120,5,2,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0
so_glad,179,172,1,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
very_successful,178,108,2,37,11,1,14,2,0,2,0,1,0,0,0,0,0,0,0,0,0
more_common,176,11,135,16,3,8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
as_dramatic,174,27,65,36,7,0,1,0,16,15,0,7,0,0,0,0,0,0,0,0,0
quite_enough,174,152,8,11,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
particularly_unusual,173,0,156,10,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
more_stressful,173,4,165,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
really_close,173,133,12,16,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
more_dramatic,172,13,81,47,1,1,0,0,25,1,0,1,2,0,0,0,0,0,0,0,0
so_sure,170,136,9,3,3,9,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0
too_little,170,44,16,3,97,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
more_perfect,170,30,110,6,3,2,0,3,15,0,0,0,1,0,0,0,0,0,0,0,0
seriously_wrong,169,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
particularly_surprising,168,2,69,79,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fundamentally_wrong,167,1,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more_sinister,166,3,152,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
more_depressing,166,2,155,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
long_enough,165,109,5,26,11,1,2,0,1,2,5,3,0,0,0,0,0,0,0,0,0
so_strong,164,105,32,8,7,1,3,1,3,3,0,1,0,0,0,0,0,0,0,0,0
immediately_available,164,2,10,51,6,7,27,60,0,1,0,0,0,0,0,0,0,0,0,0,0
as_smart,162,69,4,62,5,3,3,13,1,2,0,0,0,0,0,0,0,0,0,0,0
very_interested,162,111,0,10,12,0,13,14,0,1,0,1,0,0,0,0,0,0,0,0,0
very_interesting,161,30,74,31,12,0,6,0,1,3,0,4,0,0,0,0,0,0,0,0,0
more_inspiring,160,4,139,12,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
even_aware,160,34,1,23,20,0,2,12,19,11,32,4,2,0,0,0,0,0,0,0,0
too_bright,159,17,34,97,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quite_certain,159,117,9,6,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
so_popular,159,131,4,15,2,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0
more_successful,158,46,8,34,10,27,3,9,13,3,0,0,5,0,0,0,0,0,0,0,0
more_intense,158,101,24,15,1,9,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0
really_worried,158,128,4,3,2,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0
more_compelling,155,35,73,34,4,4,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0
more_memorable,154,1,37,115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
so_clear,152,108,17,5,5,1,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0
very_popular,152,124,1,7,10,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0
too_extreme,151,9,134,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
as_impressive,151,21,32,70,6,6,5,1,4,6,0,0,0,0,0,0,0,0,0,0,0
very_happy,151,71,3,26,10,2,9,29,0,0,0,1,0,0,0,0,0,0,0,0,0
quite_satisfied,150,144,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
really_worth,149,18,76,33,4,2,5,8,1,1,1,0,0,0,0,0,0,0,0,0,0
truly_free,148,69,40,35,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
inherently_bad,148,2,86,38,13,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0
exactly_sure,148,67,0,5,3,5,3,65,0,0,0,0,0,0,0,0,0,0,0,0,0
so_difficult,147,60,35,28,13,3,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0
very_clear,147,98,20,9,9,3,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0
ever_enough,147,17,109,4,1,0,0,1,10,5,0,0,0,0,0,0,0,0,0,0,0
too_fond,147,69,0,74,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not_funny,146,142,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
as_clear,146,79,27,11,6,3,1,0,4,14,0,1,0,0,0,0,0,0,0,0,0
much_interested,146,80,1,9,19,1,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0
as_sweet,145,44,64,20,10,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0
more_exhilarating,144,6,135,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more_timely,144,62,14,8,1,0,0,0,48,1,0,0,10,0,0,0,0,0,0,0,0
as_serious,144,29,54,44,5,0,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0
more_fundamental,143,1,128,9,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
completely_satisfied,143,127,0,5,2,0,2,3,0,2,1,1,0,0,0,0,0,0,0,0,0
more_aware,143,84,0,5,3,2,0,46,1,2,0,0,0,0,0,0,0,0,0,0,0
ever_certain,143,4,132,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
too_thin,141,64,2,2,66,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more_prevalent,140,98,9,24,1,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
as_famous,140,74,1,50,3,1,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0
really_free,139,61,62,9,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
more_famous,139,8,5,116,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
particularly_close,138,95,2,32,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
truly_happy,138,122,0,2,0,0,4,6,0,1,0,3,0,0,0,0,0,0,0,0,0
really_satisfied,137,124,3,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
so_exciting,137,82,48,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more_devastating,137,6,111,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
more_personal,137,11,122,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
more_tragic,137,4,112,12,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
more_confident,136,124,4,1,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
so_beautiful,136,50,67,14,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
more_apt,136,84,26,7,0,1,0,0,10,3,0,5,0,0,0,0,0,0,0,0,0
ever_able,136,22,2,18,9,1,9,26,23,19,3,3,1,0,0,0,0,0,0,0,0
too_rich,134,109,5,2,12,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0
more_useful,133,18,82,8,3,13,1,0,3,0,3,0,2,0,0,0,0,0,0,0,0
more_alive,133,118,7,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
completely_sure,133,104,0,4,5,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
more_vulnerable,132,85,14,10,3,6,0,5,6,3,0,0,0,0,0,0,0,0,0,0,0
particularly_memorable,132,2,62,52,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more_entertaining,132,28,75,22,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0
too_thrilled,132,7,0,115,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
too_impressed,131,22,0,105,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
as_straightforward,131,47,40,7,6,1,3,0,2,20,0,4,1,0,0,0,0,0,0,0,0
too_short,130,20,13,1,78,0,15,0,1,0,2,0,0,0,0,0,0,0,0,0,0
as_dangerous,130,22,43,25,18,2,6,1,10,2,0,1,0,0,0,0,0,0,0,0,0
more_substantial,130,0,115,0,0,11,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
very_close,129,86,13,17,2,2,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
more_delicious,129,18,107,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quite_ready,129,59,6,16,6,1,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0
too_strong,129,33,43,18,16,3,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0
more_amazing,128,3,110,8,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
more_disappointed,127,54,0,3,0,2,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0
more_accurate,127,57,20,7,4,24,3,2,4,3,1,1,1,0,0,0,0,0,0,0,0
more_magical,127,6,119,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as_much,126,60,7,15,6,5,3,1,8,6,8,1,6,0,0,0,0,0,0,0,0
so_powerful,126,40,60,20,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
most_intelligent,125,1,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
too_great,125,20,76,17,8,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
quite_good,125,89,14,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
too_concerned,123,57,6,24,9,2,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0
readily_available,122,46,18,23,15,1,8,0,1,6,1,3,0,0,0,0,0,0,0,0,0
