bigram_lower,SUM,neg-mirror-R,neg-mirror-L
too_worried,80,69,11
even_worth,80,74,6
particularly_successful,80,78,2
too_cautious,80,78,2
inherently_good,80,40,40
more_offensive,79,40,39
more_hopeful,79,67,12
more_practical,79,42,37
particularly_compelling,79,61,18
terribly_exciting,78,9,69
seriously_hurt,78,78,0
very_large,78,74,4
more_welcome,78,65,13
quite_happy,78,78,0
more_impressed,77,76,1
more_influential,77,61,16
so_quick,77,69,8
completely_comfortable,77,77,0
more_terrible,77,29,48
more_severe,77,42,35
as_young,76,67,9
seriously_ill,76,73,3
too_tired,76,75,1
as_compelling,76,66,10
as_cheap,76,75,1
entirely_happy,75,74,1
absolutely_sure,75,75,0
too_light,75,65,10
structurally_wrong,75,13,62
overly_concerned,75,74,1
as_wonderful,75,33,42
half_full,75,75,0
too_interesting,74,3,71
as_unique,74,43,31
particularly_happy,74,73,1
more_potent,74,48,26
very_long,73,73,0
as_tough,73,65,8
still_alive,73,67,6
more_empowering,73,16,57
so_tired,73,73,0
more_luxurious,73,29,44
as_safe,73,67,6
really_safe,73,71,2
more_right,73,68,5
too_impressive,73,9,64
too_crowded,72,70,2
too_terrible,72,8,64
as_amazing,72,44,28
more_humbling,72,18,54
more_upsetting,72,33,39
more_reliable,71,45,26
remotely_similar,71,9,62
so_naive,71,70,1
as_complex,71,48,23
quite_comfortable,71,71,0
as_obvious,71,52,19
so_foolish,71,67,4
more_strenuous,71,5,66
more_distracting,71,33,38
too_dry,70,65,5
too_important,70,34,36
so_fast,70,68,2
too_subtle,70,15,55
much_easier,70,68,2
really_necessary,70,68,2
more_qualified,70,42,28
terribly_new,69,7,62
so_affordable,69,69,0
as_black,69,68,1
so_stupid,69,60,9
more_exotic,69,15,54
very_difficult,69,56,13
too_severe,69,16,53
ever_free,69,69,0
as_spectacular,69,41,28
more_thankful,68,68,0
more_humiliating,68,27,41
more_worthy,68,36,32
too_dark,68,54,14
more_scary,68,18,50
too_eager,68,19,49
more_charming,68,37,31
entirely_free,68,67,1
more_liberating,68,23,45
even_able,67,67,0
really_great,67,44,23
particularly_great,67,46,21
too_scary,67,17,50
so_afraid,67,66,1
any_easier,67,67,0
too_interested,67,55,12
terribly_surprising,67,41,26
so_real,67,62,5
so_comfortable,67,66,1
very_new,67,12,55
too_new,66,7,59
more_reassuring,66,30,36
more_applicable,66,64,2
as_extreme,66,42,24
much_worse,66,37,29
very_funny,66,56,10
particularly_popular,66,65,1
very_helpful,65,60,5
more_uncertain,65,53,12
more_acute,65,65,0
as_enjoyable,65,44,21
again_able,65,65,0
that_popular,65,65,0
fully_aware,65,64,1
so_hot,65,60,5
as_rich,65,60,5
as_comprehensive,65,43,22
particularly_funny,64,44,20
far_better,64,15,49
directly_related,64,54,10
more_shocking,64,38,26
as_deep,64,56,8
more_interested,64,57,7
so_evident,64,60,4
more_intriguing,64,39,25
more_diverse,64,63,1
very_surprising,64,33,31
more_peaceful,64,25,39
more_noble,63,14,49
truly_satisfied,63,63,0
so_rich,63,57,6
as_many,63,60,3
too_harsh,63,30,33
more_scared,63,62,1
really_aware,63,63,0
more_intimidating,62,28,34
entirely_certain,62,62,0
longer_viable,62,62,0
more_stark,62,59,3
especially_new,62,18,44
much_wrong,62,2,60
that_interested,62,62,0
really_certain,62,61,1
so_interesting,61,36,25
more_human,61,41,20
particularly_useful,61,49,12
completely_clear,61,61,0
most_important,61,59,2
so_intense,61,56,5
obviously_wrong,61,13,48
widely_available,61,58,3
less_significant,61,51,10
more_adorable,61,28,33
too_obvious,61,30,31
more_mysterious,61,25,36
too_comfortable,61,46,15
remotely_true,61,61,0
more_costly,60,42,18
too_shocking,60,10,50
very_fond,60,60,0
so_delicious,60,46,14
that_close,60,60,0
as_precious,60,50,10
particularly_concerned,60,59,1
more_confusing,60,40,20
more_deadly,60,35,25
as_clean,60,57,3
so_poor,59,43,16
so_accessible,59,58,1
too_popular,59,21,38
so_small,59,45,14
more_demoralizing,59,25,34
that_hard,59,59,0
more_desirable,59,45,14
just_enough,59,11,48
as_ambitious,59,43,16
even_sure,58,58,0
so_lucky,58,57,1
more_passionate,58,44,14
too_intense,58,9,49
less_effective,58,45,13
particularly_hard,58,48,10
more_glaring,58,41,17
more_concerned,58,54,4
as_old,58,49,9
so_straightforward,58,54,4
inherently_evil,58,8,50
more_black,58,13,45
too_strange,58,21,37
more_horrifying,57,18,39
medically_wrong,57,4,53
as_sharp,57,56,1
any_closer,57,57,0
very_convincing,57,53,4
as_awesome,57,33,24
fully_comfortable,57,57,0
as_accurate,57,57,0
very_remarkable,57,10,47
so_strange,57,14,43
really_possible,57,57,0
more_beneficial,57,35,22
more_open,57,54,3
too_clear,57,35,22
too_warm,57,47,10
remotely_interesting,57,19,38
totally_sure,57,57,0
more_off-putting,57,23,34
completely_wrong,57,27,30
more_miserable,57,27,30
ever_boring,57,57,0
terribly_interesting,56,28,28
more_amusing,56,25,31
so_clean,56,51,5
as_rewarding,56,31,25
so_urgent,56,48,8
so_apparent,56,52,4
as_dominant,56,55,1
ever_black,56,56,0
so_rewarding,55,48,7
more_elegant,55,27,28
too_thick,55,47,8
most_likely,55,35,20
less_difficult,55,53,2
really_easy,55,54,1
too_surprised,55,43,12
so_terrible,55,22,33
so_cool,55,50,5
more_sexy,54,13,41
more_invigorating,54,13,41
particularly_novel,54,19,35
more_enticing,54,25,29
more_glorious,54,23,31
very_useful,54,42,12
more_glamorous,54,21,33
more_eager,54,50,4
as_smooth,54,49,5
ever_worth,53,45,8
so_free,53,50,3
so_certain,53,44,9
more_indicative,53,49,4
as_dark,53,46,7
as_productive,53,50,3
more_symbolic,53,39,14
very_bad,53,17,36
less_certain,53,42,11
necessarily_true,53,53,0
particularly_religious,53,48,5
so_pleased,53,50,3
more_lovely,53,22,31
super_special,52,2,50
particularly_strong,52,49,3
as_attractive,52,43,9
so_wonderful,52,14,38
as_prominent,52,43,9
as_real,52,48,4
really_more,52,23,29
very_appealing,52,50,2
exactly_right,52,51,1
too_distracting,52,9,43
exactly_clear,52,52,0
much_worth,52,3,49
less_real,52,20,32
as_fast,52,52,0
as_true,52,45,7
that_difficult,52,51,1
particularly_appealing,51,43,8
so_complicated,51,36,15
too_different,51,7,44
any_different,51,49,2
as_romantic,51,23,28
even_possible,51,51,0
as_cute,51,37,14
very_different,51,34,17
as_consistent,51,46,5
too_weird,51,25,26
as_tasty,51,33,18
as_pure,51,42,9
less_interesting,51,35,16
most_popular,51,49,2
ever_true,51,50,1
less_dangerous,51,44,7
as_comforting,50,21,29
more_sad,50,25,25
more_perilous,50,18,32
truly_new,50,19,31
fully_present,50,50,0
necessarily_bad,50,45,5
very_deep,50,40,10
too_trivial,50,39,11
ever_available,50,50,0
too_precious,50,35,15
more_stylish,49,35,14
more_nervous,49,48,1
as_reliable,49,43,6
more_awesome,49,12,37
so_perfect,49,39,10
more_positive,49,27,22
more_active,49,44,5
as_clever,49,46,3
ever_right,49,49,0
that_serious,49,47,2
as_strange,48,28,20
more_radical,48,16,32
as_magical,48,21,27
as_expensive,48,47,1
so_open,48,47,1
fully_clear,48,48,0
as_entertaining,48,41,7
too_outrageous,48,14,34
so_severe,48,33,15
more_pleasurable,48,19,29
so_critical,48,44,4
overly_special,48,2,46
even_noticeable,48,48,0
so_aware,48,48,0
more_pure,48,18,30
too_extravagant,48,8,40
ever_happy,48,48,0
commercially_successful,48,48,0
particularly_innovative,47,16,31
more_advanced,47,29,18
commercially_available,47,41,6
more_complete,47,34,13
as_complete,47,38,9
more_unique,47,24,23
easily_accessible,47,45,2
especially_good,47,39,8
very_attractive,47,42,5
less_likely,47,43,4
overly_complicated,47,19,28
more_extreme,46,27,19
more_vibrant,46,44,2
so_cheap,46,45,1
really_stuck,46,16,30
so_black,46,46,0
as_influential,46,39,7
more_violent,46,32,14
as_annoying,46,26,20
even_more,46,36,10
completely_certain,46,46,0
particularly_challenging,46,34,12
more_present,46,45,1
as_proud,46,46,0
as_tall,46,43,3
very_common,45,43,2
so_vulnerable,45,44,1
really_concerned,45,45,0
more_lethal,45,17,28
as_frightening,45,34,11
more_emblematic,45,38,7
very_complicated,45,24,21
more_engaging,45,25,20
more_authentic,45,17,28
that_straightforward,45,45,0
more_afraid,45,42,3
terribly_original,45,11,34
so_weak,45,40,5
more_upset,45,42,3
more_detrimental,45,31,14
as_healthy,45,45,0
too_original,45,5,40
particularly_controversial,45,18,27
particularly_spectacular,45,10,35
too_memorable,45,5,40
as_bright,45,43,2
particularly_notable,45,12,33
so_embarrassed,45,45,0
too_technical,45,9,36
more_tempting,44,26,18
really_spectacular,44,2,42
really_much,44,30,14
as_delicious,44,24,20
more_divisive,44,18,26
inherently_better,44,27,17
more_toxic,44,22,22
especially_wrong,44,1,43
remotely_comparable,44,7,37
too_wild,44,19,25
as_critical,44,39,5
more_flattering,44,20,24
completely_secure,44,44,0
not_good,44,39,5
particularly_comfortable,44,42,2
ever_satisfied,44,43,1
so_grand,44,18,26
as_devastating,44,31,13
personally_identifiable,43,35,8
truly_private,43,43,0
as_open,43,42,1
really_fancy,43,2,41
previously_available,43,42,1
really_funny,43,30,13
more_disconcerting,43,13,30
very_active,43,42,1
super_fancy,43,0,43
longer_pink,43,43,0
well_enough,43,42,1
as_aggressive,43,41,2
more_imperative,43,39,4
totally_different,43,42,1
too_remarkable,43,1,42
less_complicated,43,41,2
so_appealing,43,33,10
so_few,43,42,1
as_drastic,43,22,21
too_personal,43,14,29
too_specific,43,10,33
too_tough,42,30,12
very_unusual,42,4,38
particularly_important,42,27,15
as_controversial,42,37,5
as_busy,42,41,1
overtly_political,42,34,8
that_lucky,42,42,0
completely_successful,42,42,0
so_thankful,42,42,0
more_pertinent,42,39,3
fundamentally_new,42,7,35
very_keen,42,42,0
as_brilliant,42,34,8
so_successful,42,39,3
most_expensive,42,42,0
more_joyful,42,9,33
as_useful,42,35,7
too_steep,42,29,13
so_vile,42,9,33
too_confident,42,33,9
more_evil,42,26,16
as_glamorous,42,35,7
particularly_shocking,42,28,14
so_sick,42,42,0
as_innocent,42,37,5
particularly_outstanding,42,16,26
any_more,42,38,4
particularly_helpful,42,38,4
all_right,42,42,0
as_certain,42,36,6
more_patriotic,42,16,26
as_complicated,42,38,4
totally_free,41,41,0
more_alluring,41,23,18
that_happy,41,41,0
physically_abusive,41,41,0
totally_happy,41,41,0
completely_accurate,41,41,0
more_favorable,41,40,1
more_shocked,41,40,1
too_cool,41,39,2
too_graphic,41,7,34
as_iconic,41,28,13
really_right,41,39,2
remotely_funny,41,14,27
more_formidable,41,26,15
that_high,41,41,0
always_right,41,38,3
overtly_sexual,40,17,23
as_radical,40,33,7
entirely_successful,40,39,1
exactly_alike,40,39,1
so_tasty,40,34,6
more_elaborate,40,10,30
as_cold,40,38,2
that_strong,40,40,0
terribly_interested,40,40,0
more_embarrassed,40,40,0
too_outlandish,40,13,27
more_insulting,40,20,20
so_vital,40,35,5
so_precious,40,24,16
as_awful,40,28,12
more_topical,40,40,0
totally_satisfied,40,39,1
more_committed,40,38,2
as_interested,40,40,0
very_nice,40,34,6
more_unusual,39,26,13
more_satisfied,39,37,2
so_blatant,39,28,11
very_expensive,39,37,2
so_entertaining,39,33,6
more_uplifting,39,12,27
very_specific,39,29,10
completely_new,39,25,14
as_detailed,39,29,10
there_much,39,39,0
ever_sick,39,39,0
truly_complete,39,39,0
so_different,39,30,9
truly_able,39,39,0
too_fussy,39,14,25
as_dire,39,34,5
more_foolish,39,34,5
more_fatal,39,36,3
remotely_interested,39,38,1
really_complete,39,39,0
more_awful,39,13,26
more_creative,39,26,13
so_sad,39,32,7
always_easy,39,39,0
more_tedious,39,15,24
as_vital,39,31,8
very_hard,39,36,3
as_shocking,39,36,3
less_powerful,39,30,9
as_talented,39,37,2
so_terrified,39,38,1
so_useless,39,5,34
really_major,39,2,37
particularly_revolutionary,39,14,25
particularly_attractive,39,32,7
more_unsettling,39,12,27
so_confident,39,39,0
ever_alone,38,38,0
economically_viable,38,38,0
too_weak,38,38,0
fully_happy,38,38,0
that_stupid,38,38,0
as_passionate,38,33,5
better_qualified,38,23,15
as_deadly,38,29,9
any_bigger,38,37,1
less_attractive,38,22,16
so_funny,38,34,4
as_elegant,38,27,11
sexually_active,38,38,0
particularly_dangerous,38,20,18
more_consequential,38,26,12
real_good,38,35,3
more_distressing,38,18,20
really_dead,38,38,0
more_familiar,38,29,9
more_heartwarming,38,6,32
more_hilarious,38,15,23
really_significant,38,6,32
really_surprised,38,37,1
more_notable,38,12,26
more_persuasive,38,29,9
remotely_possible,38,37,1
much_fun,38,38,0
so_complex,38,26,12
more_transparent,38,35,3
more_dominant,37,33,4
more_cruel,37,27,10
ever_dull,37,37,0
overly_exciting,37,4,33
more_permanent,37,14,23
too_kind,37,8,29
entirely_satisfactory,37,35,2
as_common,37,34,3
that_interesting,37,36,1
very_impressive,37,27,10
more_risky,37,27,10
really_memorable,37,15,22
very_religious,37,35,2
publicly_available,37,35,2
too_clever,37,11,26
more_striking,36,30,6
very_original,36,17,19
so_desperate,36,32,4
more_straightforward,36,32,4
as_heavy,36,28,8
as_warm,36,28,8
more_intelligent,36,21,15
more_capable,36,30,6
so_fascinating,36,31,5
fully_healthy,36,36,0
more_erotic,36,9,27
fully_operational,36,36,0
very_much,36,22,14
directly_responsible,36,36,0
fundamentally_different,36,5,31
so_compelling,36,20,16
too_spicy,36,21,15
as_personal,36,29,7
so_ready,36,33,3
quite_perfect,36,35,1
so_enjoyable,36,32,4
more_suitable,36,18,18
so_stark,36,32,4
more_disastrous,36,25,11
more_obnoxious,36,14,22
legally_wrong,35,2,33
as_violent,35,28,7
more_determined,35,33,2
as_sad,35,15,20
more_disruptive,35,28,7
as_ugly,35,30,5
entirely_true,35,35,0
as_terrible,35,18,17
more_fashionable,35,29,6
as_extensive,35,26,9
really_impressed,35,35,0
more_jarring,35,19,16
more_valid,35,30,5
too_full,35,32,3
as_free,35,34,1
more_robust,35,35,0
more_possible,35,34,1
more_sensitive,35,27,8
as_grand,35,18,17
more_unpleasant,35,17,18
as_hard,35,35,0
more_shameful,35,11,24
as_harsh,35,32,3
as_evident,35,30,5
very_impressed,34,34,0
too_significant,34,1,33
essentially_wrong,34,1,33
more_recent,34,7,27
particularly_convincing,34,32,2
more_willing,34,30,4
so_prominent,34,30,4
more_contrary,34,28,6
more_honorable,34,12,22
too_friendly,34,10,24
as_profound,34,22,12
truly_independent,34,34,0
so_safe,34,31,3
so_young,34,29,5
as_crucial,34,26,8
more_predictable,34,23,11
especially_surprising,34,26,8
too_aggressive,34,22,12
more_political,34,18,16
more_troubling,34,20,14
as_concerned,34,34,0
very_pleasant,34,33,1
really_successful,34,32,2
as_surprising,34,33,1
too_fast,34,32,2
more_therapeutic,34,7,27
so_impressive,34,25,9
more_aggressive,34,27,7
so_effective,34,29,5
so_extreme,34,17,17
more_acceptable,34,32,2
as_loud,34,29,5
quite_complete,34,33,1
more_alarming,34,22,12
more_unattractive,33,9,24
more_false,33,24,9
entirely_safe,33,33,0
more_conducive,33,20,13
so_permanent,33,21,12
more_consistent,33,29,4
as_likely,33,33,0
truly_comfortable,33,33,0
more_useless,33,12,21
so_valuable,33,23,10
so_cruel,33,26,7
inherently_dangerous,33,2,31
remotely_related,33,18,15
more_damning,33,17,16
overly_complex,33,19,14
as_convenient,33,25,8
more_solid,33,15,18
especially_close,33,33,0
really_private,33,33,0
more_traditional,33,18,15
so_mad,33,32,1
particularly_keen,33,32,1
too_certain,33,24,9
as_meaningful,33,30,3
more_maddening,33,12,21
as_small,33,26,7
too_radical,32,9,23
immediately_clear,32,32,0
so_crucial,32,31,1
more_egregious,32,15,17
slightly_close,32,0,32
more_versatile,32,16,16
more_available,32,27,5
very_confident,32,32,0
so_wide,32,31,1
actually_free,32,32,0
entirely_accurate,32,32,0
now_alive,32,30,2
as_helpful,32,27,5
more_insidious,32,15,17
as_lovely,32,17,15
terribly_good,32,29,3
more_extraordinary,32,15,17
more_delighted,32,27,5
too_dangerous,32,14,18
so_bright,32,22,10
as_weird,32,19,13
too_extraordinary,32,2,30
more_bizarre,32,22,10
as_crazy,32,21,11
very_excited,32,27,5
any_good,32,32,0
very_accurate,32,31,1
too_obscure,32,19,13
more_horrible,32,11,21
more_festive,32,8,24
much_concerned,32,30,2
less_serious,32,31,1
ever_straightforward,32,32,0
ever_final,32,31,1
too_tricky,32,8,24
too_formal,32,9,23
too_exotic,31,5,26
as_quick,31,29,2
ever_necessary,31,31,0
too_clean,31,12,19
more_emotional,31,15,16
more_eloquent,31,25,6
