adv_form_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely,nones,nothings,nobodies,nobody's,nobodys,non-exalts,nothingis,nys
SUM,285435,108877,97524,30579,15099,8249,6273,6228,5298,4303,1185,1002,749,32,26,6,1,1,1,1,1
more,77335,20673,43222,5476,775,2538,163,1546,1911,395,174,115,336,5,4,0,0,1,0,1,0
too,46567,26194,11188,4933,2823,183,599,350,99,113,44,17,16,1,6,0,1,0,0,0,0
as,30872,12121,7424,5454,1676,466,937,442,723,1195,144,245,38,1,5,1,0,0,0,0,0
so,24760,15784,4535,1921,744,230,144,188,165,820,11,187,30,0,1,0,0,0,0,0,0
really,11124,4444,4539,903,156,65,235,736,6,19,7,13,0,0,1,0,0,0,0,0,0
particularly,9079,1546,3625,1990,962,18,802,112,5,13,2,4,0,0,0,0,0,0,0,0,0
very,8861,3843,1686,1359,693,144,682,159,81,130,7,71,3,0,3,0,0,0,0,0,0
quite,6203,4632,279,300,86,36,117,734,3,14,0,0,0,1,1,0,0,0,0,0,0
less,4718,397,663,620,235,2150,22,25,328,22,44,6,203,3,0,0,0,0,0,0,0
ever,4613,745,2082,279,179,9,47,205,679,321,22,27,17,0,1,0,0,0,0,0,0
that,4318,2967,369,354,78,30,90,165,55,193,1,15,0,0,0,1,0,0,0,0,0
inherently,2814,18,2558,116,50,2,63,2,1,3,0,1,0,0,0,0,0,0,0,0,0
even,2759,295,704,343,504,74,53,180,212,59,307,9,19,0,0,0,0,0,0,0,0
truly,2757,1403,807,270,68,16,49,63,9,49,2,21,0,0,0,0,0,0,0,0,0
completely,2384,1358,263,248,188,24,93,87,10,75,10,27,0,1,0,0,0,0,0,0,0
entirely,2352,1339,139,251,288,14,147,114,8,31,0,19,2,0,0,0,0,0,0,0,0
much,2223,646,1024,123,154,36,69,52,63,25,9,12,9,0,0,1,0,0,0,0,0
remotely,1758,126,1103,351,75,4,64,29,1,4,1,0,0,0,0,0,0,0,0,0,0
fully,1568,1161,24,108,120,3,82,30,9,24,2,5,0,0,0,0,0,0,0,0,0
terribly,1557,283,797,250,102,1,96,27,0,1,0,0,0,0,0,0,0,0,0,0,0
especially,1542,244,591,326,214,3,141,14,3,5,0,1,0,0,0,0,0,0,0,0,0
not,1391,486,185,79,99,419,22,23,9,33,26,4,1,3,1,0,0,0,0,0,1
overly,1364,388,495,118,217,5,89,39,5,6,0,2,0,0,0,0,0,0,0,0,0
most,1300,268,57,66,538,34,41,4,236,40,4,10,2,0,0,0,0,0,0,0,0
any,1068,289,89,142,102,5,26,47,248,15,66,5,34,0,0,0,0,0,0,0,0
actually,1038,270,252,328,23,7,39,52,8,47,2,10,0,0,0,0,0,0,0,0,0
necessarily,936,19,338,219,253,4,95,6,1,0,1,0,0,0,0,0,0,0,0,0,0
totally,896,470,106,93,66,28,34,45,6,19,25,4,0,0,0,0,0,0,0,0,0
exactly,787,312,65,185,44,20,72,84,0,4,0,1,0,0,0,0,0,0,0,0,0
longer,781,2,18,10,15,722,4,5,1,0,3,0,1,0,0,0,0,0,0,0,0
just,716,205,343,39,30,44,14,8,4,16,7,5,0,0,0,1,0,0,0,0,0
all,691,109,233,75,120,14,38,34,36,19,2,8,3,0,0,0,0,0,0,0,0
super,563,130,317,47,30,6,19,1,2,8,0,2,0,0,1,0,0,0,0,0,0
absolutely,535,197,165,61,33,17,14,33,2,12,0,1,0,0,0,0,0,0,0,0,0
politically,516,200,68,57,97,6,31,3,21,21,3,6,2,1,0,0,0,0,0,0,0
always,502,65,64,37,251,20,33,23,3,3,2,1,0,0,0,0,0,0,0,0,0
physically,495,165,250,20,28,2,13,2,2,10,1,1,0,0,1,0,0,0,0,0,0
seriously,428,82,201,53,11,4,12,58,1,4,0,2,0,0,0,0,0,0,0,0,0
intrinsically,419,2,373,26,13,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
immediately,407,20,75,121,49,23,44,61,2,10,0,2,0,0,0,0,0,0,0,0,0
wholly,400,161,22,47,107,5,40,5,2,7,0,3,1,0,0,0,0,0,0,0,0
overtly,370,80,210,19,22,3,10,1,5,13,0,7,0,0,0,0,0,0,0,0,0
real,336,90,139,16,2,66,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0
fundamentally,318,5,281,16,8,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yet,313,13,77,97,44,3,32,27,12,1,3,0,4,0,0,0,0,0,0,0,0
perfectly,312,134,56,35,18,5,11,21,0,27,0,5,0,0,0,0,0,0,0,0,0
morally,309,54,156,13,53,5,9,4,8,4,1,2,0,0,0,0,0,0,0,0,0
extremely,303,65,113,36,47,15,16,3,1,3,0,2,1,1,0,0,0,0,0,0,0
directly,269,48,34,88,41,4,20,4,1,24,0,5,0,0,0,0,0,0,0,0,0
still,263,22,30,97,22,13,21,15,12,7,19,2,3,0,0,0,0,0,0,0,0
technically,252,30,147,27,22,1,17,2,1,1,4,0,0,0,0,0,0,0,0,0,0
mutually,248,46,21,86,37,1,20,0,20,12,2,3,0,0,0,0,0,0,0,0,0
currently,247,2,39,146,18,2,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0
n't,245,21,54,18,24,108,3,12,1,2,1,0,0,1,0,0,0,0,0,0,0
long,235,138,15,30,25,9,2,0,1,5,5,5,0,0,0,0,0,0,0,0,0
obviously,211,11,134,33,19,2,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0
sufficiently,209,59,25,35,55,0,12,2,4,8,2,5,2,0,0,0,0,0,0,0,0
purely,200,61,39,17,48,2,8,7,0,16,0,2,0,0,0,0,0,0,0,0,0
readily,195,63,26,37,34,7,14,0,2,8,1,3,0,0,0,0,0,0,0,0,0
merely,191,84,26,5,67,1,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0
easily,183,53,12,36,53,6,15,1,1,3,0,1,0,2,0,0,0,0,0,0,0
medically,173,83,65,4,6,1,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0
again,171,166,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
incredibly,166,32,84,13,14,9,9,3,0,1,0,1,0,0,0,0,0,0,0,0,0
only,162,26,30,11,33,36,2,3,8,5,6,2,0,0,0,0,0,0,0,0,0
far,158,31,91,8,9,5,2,4,5,1,1,0,1,0,0,0,0,0,0,0,0
now,155,5,39,38,20,4,11,5,28,1,2,0,1,0,0,1,0,0,0,0,0
financially,155,81,7,15,27,2,9,3,3,6,2,0,0,0,0,0,0,0,0,0,0
hugely,154,52,61,24,9,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sexually,151,72,33,18,12,3,5,3,3,1,1,0,0,0,0,0,0,0,0,0,0
never,149,103,6,2,4,13,0,0,1,16,0,4,0,0,0,0,0,0,0,0,0
commercially,145,72,11,34,7,1,12,0,2,4,1,1,0,0,0,0,0,0,0,0,0
economically,144,47,12,14,50,2,7,0,2,6,3,1,0,0,0,0,0,0,0,0,0
legally,143,26,53,14,31,3,8,5,0,0,3,0,0,0,0,0,0,0,0,0,0
statistically,135,8,10,62,15,3,12,0,5,3,16,0,0,1,0,0,0,0,0,0,0
specifically,132,4,96,18,6,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0
genuinely,132,33,46,14,12,2,4,6,3,9,0,3,0,0,0,0,0,0,0,0,0
strictly,131,22,28,26,29,0,16,2,4,3,0,1,0,0,0,0,0,0,0,0,0
half,128,25,8,2,12,2,1,0,5,3,66,1,3,0,0,0,0,0,0,0,0
pretty,126,32,44,14,10,19,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0
significantly,126,11,42,42,16,6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
personally,125,33,25,35,17,1,6,3,3,2,0,0,0,0,0,0,0,0,0,0,0
better,125,23,29,13,5,2,1,41,6,0,3,0,2,0,0,0,0,0,0,0,0
damn,123,8,4,2,1,105,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
simply,121,45,23,15,21,1,5,2,1,7,0,1,0,0,0,0,0,0,0,0,0
highly,121,25,28,24,23,4,10,2,2,2,0,1,0,0,0,0,0,0,0,0,0
previously,119,91,8,13,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
clearly,117,24,20,32,20,3,11,2,2,2,0,1,0,0,0,0,0,0,0,0,0
well,112,49,15,15,12,1,8,5,1,1,4,1,0,0,0,0,0,0,0,0,0
consistently,110,43,8,24,11,1,12,4,2,3,0,2,0,0,0,0,0,0,0,0,0
altogether,109,33,16,9,33,1,11,2,1,0,0,1,2,0,0,0,0,0,0,0,0
slightly,109,12,65,14,8,3,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0
emotionally,108,49,20,13,13,0,3,1,0,6,2,1,0,0,0,0,0,0,0,0,0
exceptionally,106,10,51,24,14,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniquely,105,4,68,15,12,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0
however,103,3,59,24,6,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
wildly,103,38,34,15,9,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
structurally,102,3,89,5,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
excessively,101,22,23,9,33,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0
also,101,33,11,12,14,10,4,3,2,7,1,1,1,1,0,0,0,0,1,0,0
socially,96,29,21,4,25,2,5,1,6,1,2,0,0,0,0,0,0,0,0,0,0
visually,92,17,49,10,10,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0
essentially,91,2,74,5,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
mentally,90,26,14,5,26,3,10,1,0,4,0,1,0,0,0,0,0,0,0,0,0
widely,89,54,5,12,10,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
historically,85,9,29,17,21,0,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0
explicitly,83,26,31,14,3,0,1,0,1,4,1,2,0,0,0,0,0,0,0,0,0
outright,82,33,24,11,2,0,2,3,0,2,0,5,0,0,0,0,0,0,0,0,0
publicly,82,45,7,14,2,1,4,1,1,6,0,1,0,0,0,0,0,0,0,0,0
objectively,80,3,59,7,1,0,6,1,0,2,0,1,0,0,0,0,0,0,0,0,0
ultimately,80,15,23,22,7,2,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0
equally,80,11,10,5,35,5,1,4,0,5,0,4,0,0,0,0,0,0,0,0,0
utterly,80,24,30,9,6,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
once,80,72,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
potentially,77,9,34,14,14,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deeply,77,27,23,6,13,2,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0
then,76,7,55,8,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
exclusively,75,11,15,7,32,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0
often,74,18,11,4,24,7,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0
usually,74,11,11,12,21,3,10,1,0,3,1,1,0,0,0,0,0,0,0,0,0
no,74,5,26,3,9,20,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0
solely,73,14,3,5,42,0,1,4,0,3,0,1,0,0,0,0,0,0,0,0,0
else,72,0,61,0,1,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
apparently,71,5,24,24,12,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
radically,70,4,54,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
openly,69,28,5,17,5,0,3,2,0,8,0,1,0,0,0,0,0,0,0,0,0
near,68,6,5,6,2,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
environmentally,68,8,20,9,24,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
overwhelmingly,65,20,24,8,8,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
over,64,32,7,2,8,1,4,1,3,4,2,0,0,0,0,0,0,0,0,0,0
innately,63,0,57,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
outwardly,63,14,38,2,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
intellectually,62,9,20,2,16,1,2,4,6,2,0,0,0,0,0,0,0,0,0,0,0
there,62,2,3,3,44,0,4,2,0,1,3,0,0,0,0,0,0,0,0,0,0
universally,61,10,14,13,15,0,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0
about,59,34,13,5,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
dramatically,57,6,38,6,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
ethically,57,13,31,2,7,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
vaguely,55,3,35,7,4,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
nearly,54,17,18,10,1,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
probably,53,3,11,18,7,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
intentionally,52,21,17,3,4,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
culturally,52,14,13,3,15,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
substantially,51,2,33,4,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
seemingly,50,8,24,5,6,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
precisely,48,24,3,8,3,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
factually,48,1,28,10,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
visibly,48,6,29,6,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
majorly,48,2,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
generally,48,5,6,5,26,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
notably,47,4,19,9,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noticeably,45,7,17,4,10,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0
consciously,45,28,0,5,6,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0
spectacularly,44,2,30,6,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
blatantly,44,7,20,3,4,0,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0
naturally,44,13,10,4,8,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0
almost,42,5,12,1,5,11,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0
aesthetically,42,3,16,0,13,0,2,0,4,2,0,2,0,0,0,0,0,0,0,0,0
fiscally,41,9,15,0,12,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0
scientifically,40,3,12,6,10,2,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0
horribly,40,6,27,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
likely,39,0,1,14,17,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0
otherwise,39,2,14,6,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clinically,39,15,4,8,4,1,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0
unduly,38,12,3,1,19,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
remarkably,38,1,26,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
drastically,37,2,32,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
properly,37,19,3,3,7,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
actively,37,11,7,5,5,1,1,2,0,4,0,1,0,0,0,0,0,0,0,0,0
relatively,37,3,9,7,7,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0
painfully,37,24,4,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
both,36,10,3,8,3,0,4,2,1,5,0,0,0,0,0,0,0,0,0,0,0
anywhere,36,11,7,10,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
thoroughly,36,17,5,5,2,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
mechanically,35,0,27,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glaringly,35,9,19,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
critically,34,6,8,13,2,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0
enough,34,15,1,2,0,3,4,0,2,0,5,2,0,0,0,0,0,0,0,0,0
typically,34,6,3,1,19,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
individually,34,2,3,22,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
racially,33,4,20,1,4,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
extraordinarily,33,6,18,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
officially,32,22,4,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
outrageously,32,9,18,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psychologically,32,7,15,1,4,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0
rather,31,8,12,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quintessentially,31,0,28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
profoundly,31,7,16,2,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
amazingly,30,4,17,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
musically,30,7,7,8,2,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0
distinctively,30,1,20,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
strongly,30,5,3,4,13,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
knowingly,30,22,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
literally,29,9,9,8,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
grossly,29,3,17,4,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
instantly,29,5,8,10,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
indeed,29,1,11,0,14,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
automatically,29,0,12,3,9,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
this,28,22,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
strikingly,28,2,17,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
basically,28,2,20,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
spiritually,28,11,7,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
acutely,28,17,2,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
logically,28,0,16,4,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mildly,28,0,15,7,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
massively,28,9,12,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
specially,28,2,19,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
criminally,27,0,22,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniformly,27,3,2,3,9,0,3,0,3,1,0,2,1,0,0,0,0,0,0,0,0
conventionally,27,6,7,6,3,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
offensively,27,8,13,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
deliberately,27,9,8,2,2,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0
permanently,27,7,11,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
startlingly,27,0,22,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
closely,27,4,3,10,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extra,26,5,16,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
technologically,26,3,10,2,8,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
already,26,0,10,5,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
downright,26,7,2,9,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
definitely,26,5,8,1,1,6,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0
hardly,25,2,12,4,1,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0
further,25,4,13,0,1,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perhaps,25,0,9,9,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
insanely,25,10,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fast,25,7,1,2,8,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0
primarily,24,8,0,6,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
certainly,24,2,13,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wide,24,6,4,1,2,1,1,0,1,0,7,1,0,0,0,0,0,0,0,0,0
greatly,24,11,5,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dangerously,23,8,7,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
egregiously,22,3,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
practically,22,1,7,3,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
faintly,22,4,10,4,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
humanly,22,2,11,1,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0
fairly,22,6,9,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
singularly,21,6,10,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ridiculously,21,3,7,3,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
initially,21,2,4,5,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
tremendously,21,4,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
traditionally,21,5,5,2,4,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
constitutionally,21,3,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distinctly,21,3,11,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
authentically,20,5,11,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
around,20,10,1,2,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0
unusually,20,1,9,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
functionally,20,2,14,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
severely,20,1,5,8,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
independently,20,5,1,5,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
above,20,3,0,4,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0
realistically,19,8,1,3,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
reliably,19,4,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
therefore,19,5,4,4,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
religiously,19,6,2,1,1,0,2,0,2,0,0,0,0,5,0,0,0,0,0,0,0
grammatically,19,2,10,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
theoretically,18,2,7,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out,18,10,2,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
barely,18,0,4,1,1,1,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0
second,18,14,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncomfortably,18,10,1,0,3,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0
intensely,17,6,4,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brutally,17,9,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keenly,17,10,0,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
simultaneously,17,6,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
formally,17,3,4,2,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
peculiarly,17,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biologically,17,5,4,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
shockingly,17,4,4,2,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
nutritionally,17,1,9,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
terminally,16,0,0,7,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
anymore,16,3,2,1,3,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0
rarely,16,5,3,0,0,1,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0
alone,16,2,0,3,6,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
classically,16,4,6,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
substantively,16,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brand,16,4,4,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
somewhat,16,2,6,1,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
though,16,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prohibitively,16,2,2,4,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0
best,16,2,4,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ideologically,16,4,1,0,8,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
similarly,16,3,6,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
definitively,15,1,6,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
plain,15,4,3,1,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
genetically,15,2,3,4,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
infinitely,15,1,5,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
finally,15,7,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
militarily,15,7,0,0,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
aggressively,15,3,5,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
exceedingly,15,2,6,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
strategically,15,4,7,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ostensibly,15,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soon,15,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
either,15,3,6,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
materially,15,6,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wonderfully,14,5,3,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
heavily,14,4,1,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
