ADV,ADJ,be-adv-adj_with-not_counts
very,cold,5
too,knowledgeable,1
real,long,2
too,critical,9
totally,distraught,1
completely,declassified,1
so,humble,1
always,harmonious,1
as,inspired,5
quite,evil,1
so,bent,1
entirely,subordinated,1
so,open-minded,1
tantalizingly,close,1
uniformly,great,4
overwhelmingly,powerful,1
as,known,2
exactly,amazon.com,1
pin-drop,clear,2
completely,unwarranted,3
so,dominant,7
so,paranoid,4
acutely,sensitive,1
too,concentrated,1
necessarily,ready,5
so,straight,2
physically,possible,4
simply,appealing,3
as,welcoming,6
effectively,unbreakable,1
so,light,7
intellectually,sloppy,3
that,intriguing,1
too,grandiose,1
only,asian,6
as,showy,10
completely,responsible,2
so,infatuated,3
remotely,qualified,5
completely,technocratic,2
so,predominant,2
so,firm,8
entirely,naked,2
usually,fatal,2
just,bilingual,3
as,snobby,1
quite,poor,3
only,charming,3
automatically,bad,1
even,tenable,18
so,life-altering,18
much,hands-on,1
that,bouncy,1
necessarily,adept,1
so,super,2
particularly,super,1
anywhere,complete,1
historically,correct,4
particularly,voluntary,1
that,hospitable,1
aggressively,offensive,1
nearly,gruff,1
particularly,fattening,1
so,novel,2
longer,cool,1
really,bridgeable,1
especially,tolerant,1
very,sportsmanlike,1
always,glad,1
scathingly,hilarious,1
ever,great,1
sufficiently,neurotic,1
particularly,intuitive,2
officially,jewish,1
entirely,irrational,1
completely,perfect,1
always,real,3
always,coherent,3
legally,drunk,3
somewhat,intrigued,1
so,cut-and-dried,2
exactly,close,2
altogether,true,8
technically,subject,1
racially,discriminatory,2
wildly,successful,6
completely,soft,1
always,critical,1
that,revealing,2
sufficiently,dazzling,1
even,italian,4
overly,fearful,1
really,exceptional,1
completely,transcribed,2
heroically,motivated,1
terribly,comforting,2
sufficiently,elastic,1
very,innovative,3
only,sexist,1
absolutely,candid,1
successfully,opaque,1
quite,fearless,1
sufficiently,egregious,1
carefully,concentrated,1
as,dance-driven,1
that,sympathetic,2
too,time-consuming,1
as,unpleasant,8
totally,personality-driven,2
just,useful,1
very,fluent,5
about,coaching,3
impersonally,multinational,3
too,destructive,2
completely,dependent,4
entirely,unimpressed,1
psychologically,equipped,1
easily,molded,1
remotely,credible,2
always,ethical,1
as,ardent,2
as,morose,4
so,elitist,2
completely,schizophrenic,2
as,manageable,1
overly,taxing,2
nearly,significant,1
so,incredible,4
especially,proud,2
especially,startling,1
home,much,5
totally,disoriented,1
particularly,hospitable,1
as,lucid,1
as,quantifiable,5
inherently,conservative,2
only,difficult,18
necessarily,small,8
as,beloved,4
easily,identifiable,5
overtly,aggressive,4
yet,free,3
so,thankful,1
only,nice,3
that,hopeful,1
so,detailed,1
as,appreciative,1
truly,competitive,8
really,allergies,1
very,italian,1
as,sure-fire,1
too,compelling,2
just,patient,2
as,determined,11
well,seasoned,1
completely,vulnerable,2
inevitably,overweight,3
exactly,conducive,9
publicly,dishonored,3
darn,busy,3
that,destructive,1
perfectly,straight,6
particularly,busy,2
physically,prepared,3
as,educational,1
as,exhausting,2
as,alluring,1
as,headline-grabbing,1
especially,racy,1
overly,robust,3
yet,high,10
just,retired,1
multiculturally,sensitive,1
as,gamy,1
perfectly,specific,2
all,cheery,3
publicly,widespread,3
so,comforting,2
sufficiently,trained,6
racially,polarizing,1
so,marvelous,2
so,prim,1
really,touring,5
necessarily,famous,1
always,endearing,1
as,wholehearted,3
extremely,careful,4
even,steiger,2
as,effusive,2
as,selfish,1
now,feasible,1
overwhelmingly,important,2
as,commercialized,1
so,tarnished,1
already,big,1
all,bledsoe,1
very,broad,2
sufficiently,generalized,1
fully,recoverable,2
just,squat,8
too,awed,2
as,unstudied,1
entirely,settled,1
so,autocratic,1
terribly,frightened,1
merely,ghostly,1
as,numerous,10
nutritionally,equal,2
only,relevant,7
as,open-ended,2
very,aware,7
intrinsically,democratic,1
that,pleased,3
easily,forgivable,1
necessarily,uplifting,3
particularly,huge,1
fully,deductible,1
genuinely,interested,3
about,flaunting,2
unusually,long,5
only,intelligible,1
easily,segmented,1
very,savvy,3
necessarily,exempt,2
quite,patient,2
openly,critical,3
directly,applicable,5
much,anti-american,3
fully,awake,3
initially,visible,1
sufficiently,solicitous,2
as,watertight,4
ultimately,encouraging,1
demonstrably,crazy,2
so,damaged,3
really,substantial,2
that,sad,2
necessarily,much,2
that,well-educated,1
too,pressing,1
necessarily,innocent,3
unduly,concerned,11
clearly,visible,5
about,flopping,1
fully,normal,1
as,cuddly,2
this,interested,1
always,independent,7
quite,cad,1
insufferably,patronizing,1
physically,recognizable,1
functionally,obsolete,1
technologically,complicated,1
educationally,constructive,1
technologically,possible,3
just,splitting,2
just,love-ins,1
that,positive,6
usually,equipped,1
mutually,intelligible,1
exactly,world-beaters,3
that,biblical,1
as,single-minded,3
completely,thawed,2
entirely,joking,14
as,transparent,8
also,eligible,1
that,ritz,1
necessarily,subtle,2
very,global,2
necessarily,compatible,2
too,fierce,1
real,important,1
even,dreamable,1
as,professional,3
highly,effective,2
often,grammatical,1
normally,admissible,1
involuntarily,committed,1
exclusively,responsible,1
only,slippery,1
carefully,balanced,1
so,selective,3
necessarily,straightforward,1
as,alarmist,3
obviously,great,1
too,onerous,5
always,productive,3
so,likable,7
exactly,greek,7
exactly,commonplace,1
always,diplomatic,4
as,contemplative,3
cinematically,exciting,2
as,opportunistic,1
that,compelling,5
often,memorable,1
only,uneven,1
extra,clever,1
so,static,1
always,criminal,4
politically,skewed,3
totally,untouchable,1
particularly,tremendous,1
that,funky,1
precisely,correct,1
too,complacent,2
overly,confident,4
politically,risky,2
exactly,crazy,2
so,chummy,2
as,bone-dry,2
always,well-defined,1
so,orderly,2
overly,oily,1
coldly,futuristic,1
so,mean,4
famously,depressed,1
hugely,cheap,2
as,breathtaking,1
truly,disabled,2
only,visible,1
exactly,french,1
always,cordial,7
thoroughly,factual,2
so,claustrophobic,1
entirely,applicable,1
absolutely,dependent,2
so,daunting,6
overly,helpful,1
awesomely,sweeping,1
so,onerous,4
that,primitive,1
exactly,well-braced,1
freely,convertible,6
totally,unhappy,3
all,bogus,4
also,naive,2
so,tragic,16
so,conducive,3
as,delightful,1
sufficiently,punitive,3
only,dull,1
necessarily,explicit,1
too,informative,1
precisely,racial,1
fully,jewish,4
optimally,productive,1
particularly,joyous,1
unduly,dispiriting,1
so,demeaned,1
completely,transparent,2
slavishly,pro-tudjman,2
just,true,8
so,glaring,1
even,profitable,4
particularly,well-positioned,1
terribly,contemplative,1
too,lavish,2
real,careful,1
only,smooth,1
too,age-appropriate,2
altogether,bleak,2
just,token,2
particularly,spooky,1
damned,old,1
so,celebrated,1
extra,thick,1
as,unconventional,2
consistently,good,1
essentially,cinematic,1
exactly,endearing,3
just,hopeful,1
just,available,1
always,dramatic,5
too,significant,3
crushingly,high,1
only,likely,9
properly,road-tested,3
all,first-teamers,1
as,malleable,3
quite,nasty,1
especially,gripping,2
completely,immune,3
really,easy,5
entirely,competent,2
long,hid,2
that,tight,6
mostly,feasting,2
always,ugly,1
as,peaceful,4
adequately,factored,1
as,impulsive,1
commercially,driven,1
very,embarrassing,1
technically,sound,3
just,plano,1
financially,stable,1
yet,excessive,2
so,serendipitous,1
necessarily,wealthy,1
necessarily,disadvantaged,1
always,terrific,1
so,hasty,3
quite,shermanesque,1
very,able,1
as,deaf,1
sufficiently,attentive,1
so,prudent,2
yet,determined,1
as,politically-charged,1
generally,condoned,2
so,free-spirited,1
exactly,dostoevski,1
as,choosy,2
fully,assured,2
altogether,evil,1
particularly,deadly,1
highly,potent,2
ordinarily,sufficient,1
terribly,inspiring,1
completely,familiar,4
as,usable,1
termite,infested,1
fully,rational,1
just,perfect,1
particularly,welcoming,1
yet,concrete,2
entirely,able,2
as,wired,2
so,cautious,2
really,blind,1
substantially,dilutive,1
really,noticeable,1
so,contrived,1
as,resolute,3
so,amiable,1
partially,state-owned,1
actually,subliminal,1
as,machiavellian,2
so,subject,2
totally,realistic,1
that,gifted,1
as,specific,8
so,gaping,1
so,supple,1
as,uproarious,1
as,frivolous,5
as,little,2
necessarily,shocked,2
well,known,3
totally,devoid,2
inherently,true,1
psychologically,mature,1
usually,liable,1
necessarily,sufficient,2
overtly,wasteful,1
particularly,revealing,2
yet,precise,1
perfectly,periodic,1
generally,covariant,1
yet,conclusive,7
widely,active,1
often,funny,1
currently,satisfactory,1
especially,convincing,3
even,gay,1
so,bountiful,1
altogether,helpful,1
fully,free,3
really,jews,1
democratically,supportable,1
very,glaring,2
maybe,optimistic,2
necessarily,appropriate,1
as,well-seasoned,1
on-line,capable,2
only,central,1
above,scheming,1
necessarily,defective,1
always,hassle-free,1
always,dominant,2
wholly,surprising,3
particularly,big,6
exceedingly,violent,1
as,hard-hit,1
as,out-on-a-limb,1
always,limited,6
necessarily,successful,2
morally,wonderful,3
exactly,clouded,1
usually,headline-grabbing,1
hugely,redundant,5
quite,fiction,1
necessarily,noteworthy,2
terribly,exciting,2
really,mexican,2
too,cranky,2
particularly,anarchic,1
exactly,heroic,1
even,french,3
so,calm,3
totally,impossible,6
as,fusty,1
that,disappointing,9
entirely,effective,1
really,r.e.m.,1
too,intense,2
only,strange,2
even,miraculous,3
as,gentle,8
already,overburdened,2
exactly,low,1
even,familiar,5
infinitely,divisible,1
clearly,female,1
perfectly,smooth,1
that,affected,2
as,childproof,2
spectacularly,bad,1
so,sore,1
just,unfamiliar,1
real,scientific,1
so,casual,5
too,undignified,1
terribly,sad,1
yet,deserved,1
universally,acclaimed,1
particularly,loaded,1
only,astonishing,1
very,populated,1
exactly,trance-inducing,1
just,strong,2
particularly,confident,4
as,lavish,8
so,good-natured,2
precariously,close,1
exactly,white,2
always,well-suited,1
particularly,aristocratic,1
really,global,1
so,straitlaced,3
already,successful,3
especially,sanguine,1
so,equipped,9
too,bothersome,1
utterly,lacking,1
very,many,2
as,left-leaning,1
as,sweeps-enriched,1
real,loud,2
especially,seaworthy,1
terribly,bright,4
that,regal,1
entirely,willing,2
as,eclectic,1
as,structured,3
as,right,2
only,plausible,5
really,photos,2
exactly,scientific,2
particularly,gifted,4
intellectually,dishonest,4
negatively,impacted,1
vitally,important,3
necessarily,taxable,1
necesarily,mandatory,1
completely,beholden,1
always,tidy,2
only,poisonous,1
necessarily,worth,1
too,appetizing,1
always,subtle,2
psychologically,compelling,1
as,manipulative,3
particularly,stable,1
merely,specialized,1
yet,well-known,1
dramatically,bad,1
exactly,potsdam,1
that,bullish,12
as,drunk,3
very,family-friendly,2
necessarily,subject,1
easily,pigeon-holed,3
easily,pidgeon-holed,1
directly,over-exposed,2
only,farcical,2
as,fertile,4
java,compatible,1
naturally,biodegrading,1
fundamentally,equipped,1
so,slight,1
too,prevalent,1
inherently,visual,1
just,misguided,2
always,stylish,1
as,enthralled,1
so,grateful,2
desperately,ill,1
acutely,ill,1
just,significant,1
really,discouraged,2
so,striking,11
as,doddering,1
morally,equivalent,6
exactly,flattering,8
as,reclusive,3
shimmeringly,clear,1
even,sweating,4
as,uncool,1
so,wealthy,3
always,understandable,1
physically,available,2
as,judgmental,2
as,sandy,1
yet,independent,1
only,lothar,1
mime,compliant,2
as,tiring,2
as,catchy,8
especially,pro-labor,1
too,liberal,3
so,excessive,12
yet,idiot-proof,1
necessarily,funny,2
simply,flawed,1
entirely,right,3
as,comical,1
proudly,unfancy,1
particularly,spacious,1
physically,clean,5
all,unsympathetic,1
only,great,8
straight,steals,1
necessarily,firm,1
fundamentally,committed,1
overly,motivated,1
previously,sensitive,1
legally,disabled,5
altogether,bad,7
too,delicate,1
so,unfathomable,2
remotely,happy,2
as,disgruntled,1
totally,excited,1
shrewdly,camera-ready,1
as,mass,1
as,well-executed,5
wholly,bleak,1
so,substantial,3
entirely,intentional,1
usualy,competitive,1
entirely,hedonistic,4
only,non-binding,1
so,sturdy,1
profoundly,depressed,1
terribly,evident,1
extremely,successful,2
too,conspicuous,1
only,pleasant,2
completely,lifeless,1
so,accurate,1
only,versatile,2
that,credible,2
completely,normal,5
usually,fragrant,1
too,major,1
that,evident,2
only,mahlerian,1
as,pathetic,2
so,commonplace,1
even,irish,3
properly,velvety,1
so,brilliant,8
really,broken,1
so,snowy,1
totally,perfect,1
entirely,confident,4
as,well-trained,1
as,torturous,1
nearly,powerful,1
too,mundane,1
universally,beloved,3
so,polite,4
overly,emotional,2
particularly,engaging,2
still,interested,1
particylarly,concerned,1
as,silent,3
as,embarrassed,2
only,belated,1
normally,worthy,1
really,troubling,1
quite,impressive,1
as,release-prone,1
only,proper,5
entirely,substantiated,1
yet,committed,4
quite,caddish,1
particularly,well-written,3
strictly,surreal,1
so,agreeable,4
automatically,popular,5
especially,personal,1
terribly,fond,3
too,furious,1
so,legitimate,2
only,negligible,1
as,outgoing,3
visually,interesting,3
totally,recession-proof,1
impetuously,compelling,1
real,easy,3
really,sweet,2
now,visible,1
real,fair,1
as,dissimilar,2
even,jewish,3
sublimely,silly,3
terribly,fun,1
completely,different,1
totally,answerable,1
traditionally,lucrative,1
necessarily,predictable,3
that,welcome,2
easily,star-struck,1
even,sad,1
really,criminal,1
even,pretty,2
really,consistent,2
only,cute,2
physically,imposing,1
so,logical,1
as,formal,6
inherently,red,1
overly,active,1
as,statistics-obsessed,1
visibly,upset,1
as,indignant,2
otherwise,exempt,1
only,14-0,1
quite,established,1
totally,rosy,1
as,paradoxical,3
financially,dependent,2
altogether,unfamiliar,1
just,automotive,1
very,offensive,3
only,tough,4
just,convenient,1
really,alternative,1
blindly,worshipful,1
entirely,fortuitous,1
yet,brisk,1
entirely,tangible,1
that,devoted,1
sexually,hostile,1
immediately,huge,2
fully,yours,2
only,disruptive,2
sonically,pristine,1
entirely,fluent,1
viscerally,punishing,1
excessively,noisy,1
classically,beautiful,1
just,pleased,1
too,warm,2
yet,inevitable,1
even,insulting,1
nearly,stylized,1
as,sleazy,2
currently,accessible,4
even,afraid,4
as,stalwart,1
especially,taxing,1
just,tuberculosis,2
so,turbulent,1
always,rosy,5
solely,political,1
only,personal,1
quite,free,2
naturally,fast,1
quite,hot,1
so,dishonest,1
terribly,satisfying,1
totally,unfair,1
only,convenient,6
only,humanitarian,1
that,reasonable,1
as,riveting,7
only,third,1
personally,motivated,2
open,wide,2
immediately,frightened,1
even,accurate,1
so,critical,9
as,drab,1
so,stiff,2
only,e-mail,1
just,paranoid,2
entirely,sorry,1
totally,naked,1
potentially,dangerous,1
always,complementary,1
exactly,unacquainted,1
anymore,real,1
barely,able,1
wholly,reliable,1
particularly,encouraged,2
as,blue,1
always,flawless,1
just,special,1
as,docile,2
only,tame,1
bitterly,anti-israel,1
terribly,angry,4
very,inviting,1
real,logical,1
much,offended,2
so,usual,2
exactly,happy,8
equally,shiny,1
exactly,anonymous,2
all,easy,1
entirely,spontaneous,3
very,tough,7
too,cyclical,1
necessarily,recognizable,1
uproariously,funny,1
this,uneasy,1
exactly,choirboys,1
very,kinky,1
normally,afraid,1
just,restricted,12
reliably,redundant,2
necessarily,new,7
only,unsure,1
overly,complex,2
legally,relevant,2
fully,familiar,3
purely,administrative,1
unrelentingly,grim,1
so,phenomenal,1
really,distinguishable,1
even,winded,1
so,lacking,3
particularly,daring,1
so,humiliated,4
as,charmed,2
that,quick,6
totally,fluent,4
exactly,profound,1
as,fraught,1
entirely,legal,3
that,ready,1
as,interruptive,1
maternally,oriented,1
so,benighted,1
just,pink,1
exactly,lucrative,1
legitimately,disabled,1
really,blue,1
completely,warm,1
so,offensive,3
very,motivated,3
as,defiant,2
that,linear,1
all,electronica,1
extremely,elevated,1
anymore,proud,1
exactly,unpleasant,1
perfectly,clean,2
that,insensitive,13
sharply,satirical,2
extra,hungry,1
always,cool,5
really,girly,1
as,hopeless,8
completely,sympathetic,1
too,homesick,3
simply,desirable,1
blackhawk,bad,1
so,blase,7
as,stressful,3
as,run-down,1
so,demonstrative,3
perilously,close,1
as,disruptive,9
yet,occupied,1
functionally,strong,1
especially,newsworthy,1
too,demure,1
so,satisfying,2
just,impossible,7
as,persistent,1
very,imposing,2
very,secretive,1
still,hungry,1
reasonably,prompt,1
totally,blotto,1
entirely,sporty,1
as,concise,1
quite,honest,1
as,relevant,8
too,wet,3
then,operational,1
particular,concerned,1
economically,important,1
exactly,straightforward,1
extremely,cold,1
as,sharp-edged,2
so,swollen,2
too,attractive,5
clearly,irritated,1
really,creative,1
exactly,risk-averse,1
real,clever,2
very,credible,2
officially,ready,1
always,pragmatic,1
aggressively,misogynist,1
as,buttery,2
very,decent,1
completely,irrational,2
as,prosperous,3
necessarily,sex-related,1
always,disgusting,1
pretty,fast,1
so,unreasonable,2
sufficiently,large,1
always,convincing,1
too,technical,2
terribly,scary,1
yet,sick,3
so,overeducated,1
grossly,disproportional,1
just,novel,1
exactly,flattered,1
remotely,ok,1
very,welcoming,2
too,smooth,5
nearly,sufficient,4
that,simplistic,3
simply,testament,1
routinely,x-rayed,1
entirely,bump,1
overly,polished,2
purely,financial,2
real,pinpoint,1
too,quiet,1
entirely,harmless,1
just,tall,1
only,worth,1
glaringly,bad,1
yet,well-established,1
particularly,novel,1
totally,true,3
totally,wrong,5
resolutely,self-defeating,1
that,articulate,2
already,true,1
quintessentially,different,2
terribly,confident,5
outwardly,visible,1
especially,aware,2
much,bad,2
near,verbatim,1
overly,pessimistic,1
usually,theirs,1
totally,worthless,3
altogether,worried,1
greatly,divergent,1
very,appetizing,3
so,perceptive,1
always,biological,1
as,mean-spirited,3
merely,musical,1
overwhelmingly,positive,2
always,political,2
usually,developed,1
really,private,5
easily,prone,2
so,shabby,3
that,shy,2
too,farfetched,5
perfectly,adaptable,1
particularly,vicious,2
entirely,normal,1
hugely,surprising,1
exactly,unpredictable,1
as,reactive,2
sure,early,1
so,restrained,7
always,grand,1
so,cohesive,1
consistently,secure,1
entirely,perfect,1
exactly,whining,1
too,pooped,1
universally,true,5
just,tripp,1
humiliatingly,offensive,1
completely,attentive,1
yet,overwhelming,1
as,traditional,6
completely,foolhardy,1
so,gabby,2
so,warm-hearted,1
fiscally,prudent,1
exclusively,male,2
terribly,insightful,2
vividly,conveyed,1
so,unsung,1
always,detectable,10
even,compelling,1
too,positive,3
racially,segregated,2
that,true,2
really,reflective,4
exactly,cozy,1
sharply,rolling,1
so,commercial,1
far,distant,2
as,refined,6
too,plentiful,1
as,syrupy,1
as,empty,3
that,benign,2
increasingly,difficult,3
entirely,unknown,2
too,jewish,1
as,delicate,4
exactly,worthy,1
commercially,motivated,2
as,altruistic,3
always,french,1
really,due,1
so,unlucky,1
exactly,tough,1
deliberately,indifferent,1
only,stupid,1
completely,aware,3
so,nerve-wracking,1
totally,reusable,1
really,ecotourism,1
technically,oversold,2
that,grateful,1
that,mad,2
palestinian,connected,1
as,astute,2
so,partisan,3
yet,real,1
just,bizarre,2
very,well-developed,2
very,public,1
exactly,voluntary,2
naturally,introspective,1
necessarily,harmful,9
as,well-built,14
that,well-organized,1
quite,stars,6
really,japanese,4
as,no-brainerish,1
real,materialistic,1
sufficiently,competent,2
only,abstract,1
that,convinced,8
as,finicky,3
fully,printable,3
consistently,profitable,3
foolishly,optimistic,2
entirely,sane,1
as,hopeful,7
merely,law-breaking,1
so,practical,1
yet,urgent,3
as,eerie,1
very,heartening,1
quite,reasonable,2
just,warm,2
too,fancy,5
always,articulate,2
too,intelligent,1
damn,close,1
as,dizzy,1
visually,graphic,1
hotly,pursued,1
especially,familiar,1
as,penalizing,1
as,golden,3
necessarily,profound,2
too,depressed,3
very,royal,4
just,offensive,6
entirely,unique,2
totally,virtuous,1
as,de-sovietized,1
too,amusing,2
so,unrelenting,1
only,necessary,8
actively,spouse-hunting,1
so,close-knit,1
exactly,high-tech,2
still,crying,1
overly,particular,1
yet,cost-effective,2
abnormally,aggressive,2
that,disabled,2
exactly,clean,2
too,sympathetic,1
technically,able,3
so,stylized,1
terribly,likely,9
as,jolly,1
only,misogynist,6
normally,combative,1
unusually,aggressive,1
highly,nutritious,1
still,relevant,1
unintentionally,hilarious,1
only,bull-headed,2
so,torrid,2
as,regal,3
just,fascinating,12
as,irritated,1
classically,precise,1
mentally,tenacious,1
overly,burdensome,4
as,slavish,1
exactly,revolutionary,13
so,ego-swollen,2
always,willing,11
logically,sound,2
so,encouraged,1
exactly,apologetic,3
legally,necessary,2
only,dishonest,2
absolutely,committed,9
so,creepy,2
sufficiently,important,2
densely,populated,2
as,glitzy,7
only,brief,2
aggressively,moronic,2
exactly,unknown,4
tremendously,common,1
someplace,else,1
particularly,productive,1
predominantly,conservative,1
so,raucous,1
presently,available,3
just,quiet,1
as,well-received,6
yet,convertible,1
that,strong-willed,1
memorably,ferocious,1
that,sturdy,1
properly,qualified,1
necessarily,quick-hitting,1
particularly,afraid,1
overtly,bad,1
too,squeaky-clean,1
exactly,basic,1
especially,compelling,2
so,ill,2
unreservedly,optimistic,1
mentally,capable,2
unusually,large,3
as,rock-steady,1
very,fancy,2
too,driven,4
very,numerous,2
too,objective,1
just,cra,1
only,unseemly,1
especially,cold,1
particularly,daunting,1
so,insistent,1
that,earthshaking,1
always,believable,1
so,all-inclusive,3
exactly,delighted,2
only,undersized,1
long,ason,1
even,omnipotent,1
really,racists,1
terribly,high,4
currently,functional,2
just,peppy,2
totally,uncool,2
seriously,interested,5
very,physical,1
entirely,corrupted,1
as,universal,6
altogether,flawed,1
really,certain,2
as,obsessive-moronic,1
enough,connected,2
already,possible,1
exactly,fairy-tale-oriented,1
as,panoramic,1
just,skyboxes,3
real,hands-on,1
really,hers,2
just,ugly,1
remotely,salacious,2
so,fast-paced,1
truly,marginal,1
velvety,soft,2
as,haunting,1
quite,halloween,1
really,running,1
always,interested,5
equally,inventive,1
just,extras,1
very,ethereal,2
frilly,lace,1
relatively,benign,2
as,established,1
overly,sweaty,1
just,emotional,1
exactly,sun-dappled,1
usually,prone,1
necessarily,beaujolais,1
only,translucent,1
too,content,1
particularly,squeamish,1
only,similar,3
completely,reliant,1
legally,culpable,2
as,cinematic,1
phenomenally,well-supported,1
mainly,due,1
ever,acceptable,1
completely,dispelled,1
as,swoopy,2
always,imminent,1
scientifically,sensible,4
morally,wrong,3
entirely,inconceivable,3
absolutely,yes,1
cautiously,optimistic,1
entirely,dispassionate,1
as,patriotic,1
exactly,bowe,2
exactly,unanimous,1
erroneously,transposed,1
overly,frightened,1
fully,utilized,1
very,tall,8
just,lousy,1
totally,bleak,1
that,twisted,1
too,self-righteous,1
yet,admissible,1
only,wealthy,1
so,human,1
always,determinative,2
especially,sterling,1
definitely,young,1
even,subject,1
totally,pure,1
that,fair,1
only,blind,1
fully,gender-integrated,1
particularly,lucrative,2
altogether,precise,1
as,muscled,3
so,direct,3
so,ridiculous,2
sufficiently,committed,1
overly,partial,2
much,optimistic,3
grossly,overworked,2
always,soul-searching,1
only,secure,5
as,distinct,2
as,canted,1
completely,altruistic,3
very,convenient,4
darn,flip,1
altogether,smooth,4
too,disheartening,1
exactly,pristine,2
too,predictable,1
real,efficient,1
very,annoying,1
exactly,enthused,1
predictably,conservative,1
that,clumsy,6
economically,sensible,1
well,prepared,4
as,think,3
that,embarrassing,1
very,well-played,1
purely,linguistic,5
personally,prepared,1
deeply,interested,4
yet,fluent,1
academically,ready,6
as,devoted,1
so,rudimentary,1
too,commercial,2
particularly,challenging,4
especially,productive,1
necessarily,ill,3
patently,illegal,1
as,precocious,2
quite,naturalistic,1
really,hectic,2
developmentally,damaging,1
truly,personal,2
actually,open,1
largely,present,1
necessarily,sophisticated,1
as,copious,2
spoonably,soft,1
that,conscious,2
necessarily,profitable,5
too,discouraged,1
only,blissful,1
all,fun-money,2
so,acquiescent,1
as,technical,4
merely,bad,2
even,protestant,1
as,acrobatic,2
even,friendly,2
too,outstanding,1
that,deadly,1
especially,handsome,1
all,burlesque,1
totally,repentant,1
as,paved,1
fully,diligent,1
so,alarmed,2
completely,pessimistic,2
much,heroic,3
so,up-front,1
so,settled,2
as,activist,2
clearly,informed,1
congenitally,sunny,1
uniformly,successful,1
as,pretentious,2
quite,jordan,1
so,welcome,2
even,scuffed,2
very,brave,1
particularly,bright,10
too,black,1
very,marketable,1
much,penetrating,2
any,18-year-old,2
legally,obscene,3
infrequently,abused,2
too,fair,3
all,great,4
just,young,1
often,uncomfortable,2
very,astute,1
only,faithless,1
now,ready,2
even,addictive,1
so,slick,1
just,confusing,2
that,stylish,1
aesthetically,satisfying,1
deeply,mourned,2
too,bulky,1
fully,respected,3
clearly,nationalist,1
perfectly,sound,1
as,gunky,2
as,foul,2
exactly,objective,1
terribly,believable,3
entirely,ideal,1
truly,bad,1
only,potent,2
just,memorizing,1
too,odd,1
all,convincing,3
completely,right,1
half,full,7
very,mixable,3
severely,critical,1
completely,miserable,1
that,re-ignited,2
politically,unrealistic,1
quite,mature,2
so,commodious,2
really,burdens,1
that,off,3
too,blase,1
exactly,expensive,6
already,rich,5
totally,nostalgic,1
very,washable,1
hilariously,funny,1
always,familiar,5
as,slim,1
only,sensitive,1
exactly,immaculate,1
really,autobiographical,1
shallowly,disturbed,1
only,cruel,1
all,american,1
properly,competitive,1
as,corrupt,3
much,prosafety,1
altogether,sound,2
entirely,obvious,3
as,comely,1
no,thoreau,1
selfishly,selective,1
necessarily,young,1
totally,useless,3
particularly,distinctive,4
as,frisky,7
really,groggy,1
entirely,idyllic,11
absolutely,central,1
so,elite,1
so,many,3
even,fathomable,1
that,risible,1
developmentally,ready,2
only,thirsty,3
only,clever,1
so,alluring,1
very,lucky,11
completely,comparable,2
conspicuously,successful,1
entirely,reasonable,1
so,disturbed,4
only,color-blind,1
slavishly,imitative,1
just,psychological,1
just,phat,1
as,fierce,9
that,similar,1
really,suprising,1
very,enjoyable,2
entirely,cold,1
overly,enthused,1
only,comforting,5
too,dumb,2
purely,visceral,1
merely,implausible,1
always,accommodating,1
as,rabid,2
really,typical,1
very,fit,2
real,solid,1
even,aggressive,1
as,wicked,4
particularly,impressive,9
completely,compatible,1
gonna,pretend,1
exactly,average,1
very,persuasive,1
that,titillating,1
technically,binding,2
necessarily,paranoid,1
too,disturbing,4
as,ringing,1
so,relentless,1
as,iconic,1
quite,apparent,1
exactly,unwilling,1
exactly,human,1
too,shallow,1
all,asian,1
so,engrossed,2
too,round,1
as,sad,2
so,re-assuring,1
universally,uncritical,1
terribly,political,1
potentially,capable,2
usually,life-threatening,4
really,eager,1
glaringly,contradictory,2
really,shiny,3
so,congested,1
too,correct,1
even,lukewarm,3
so,aware,1
neatly,self-contained,1
as,callow,1
necessarily,enforceable,1
now,prepared,8
that,cheerful,2
often,subtle,1
anywhere,enough,1
little,reassuring,1
downright,criminals,1
entirely,facetious,1
as,discouraged,1
so,prejudiced,1
terribly,pretty,2
as,unnatural,2
that,miserable,3
terribly,convenient,3
real,patient,2
immediately,explicable,3
really,nice,4
exactly,uneventful,1
yet,brooding,1
especially,artful,1
particularly,perturbing,1
remotely,unusual,1
as,fickle,3
always,well-founded,3
as,monolithic,2
exactly,sensational,1
that,flexible,1
specifically,legal,1
as,congested,3
entirely,inconsistent,1
thatcherism,unadulterated,2
yet,solid,1
always,satisfied,1
closely,connected,1
terribly,clear,1
only,erroneous,1
only,self-educated,1
too,traumatic,3
so,unpleasant,2
so,bellicose,2
as,impatient,1
too,cocky,2
only,satisfying,2
as,impartial,2
recessionary,minded,1
just,anti-incumbent,1
only,restricted,1
just,pataki,1
as,mild,2
really,normal,1
so,central,3
really,ito,1
that,far-reaching,1
especially,meaningful,1
really,embarrassed,3
necessarily,fated,1
absolutely,truthful,1
so,major,1
only,unusable,1
very,connected,1
exactly,bird-mchale-parish,1
terribly,credible,1
as,uninhabited,1
totally,encouraging,1
falsely,reassuring,1
so,flaunted,1
publicly,concerned,1
only,inexpensive,1
extremely,awkward,1
strictly,realistic,1
very,counterproductive,1
sufficiently,prominent,1
only,simple,2
