ADV,ADJ,be-adv-adj_with-not_counts
too,long,151
physically,ready,13
immediately,supportive,1
sufficiently,autonomous,8
competitively,neutral,1
widely,available,119
entirely,unfamiliar,6
just,interested,19
as,comforting,5
remotely,ready,12
too,polluted,2
all,gloomy,3
as,respectful,13
usually,hostile,1
altogether,wrong,5
as,favored,1
yet,extinguished,1
quite,dead,17
even,halfway,11
as,similar,2
as,big,316
so,sad,21
entirely,unjustified,7
so,marked,3
as,horrific,2
only,discouraging,1
very,solid,2
severely,retarded,2
necessarily,curative,1
so,amusing,1
already,discerning,2
always,chief,1
starkly,different,1
very,clear,56
too,concerned,167
economically,viable,39
as,bold,15
overly,grained,1
as,splotchy,1
as,naive,11
very,stylish,1
real,cliquish,1
particularly,cheap,6
so,conservative,5
as,feasible,1
necessarily,incompatible,5
as,successful,219
altogether,successful,1
always,satisfactory,3
as,boatlike,1
slam,dunks,4
as,clear-cut,36
only,custom-made,24
immediately,sure,6
all,good,40
as,envelope-pushing,1
too,keen,59
as,well-known,39
always,civil,3
as,sound,10
that,popular,28
only,unamusing,1
really,serious,28
exactly,favorable,1
that,ambitious,12
particularly,sure,2
really,enough,12
so,focused,3
still,active,1
as,up-close,1
really,true,39
as,abundant,7
luminously,real,1
especially,charismatic,1
always,evident,28
far,advanced,8
as,harsh,24
so,pessimistic,8
yet,possible,47
only,cold,1
as,thorough,15
that,unclear,1
so,honest,4
fully,aware,60
too,protective,2
only,unlikely,7
readily,accessible,18
that,knowledgeable,3
wildly,cheap,1
just,visual,3
so,child-friendly,1
so,hospitable,2
that,tough,60
exactly,classic,2
economically,possible,4
materially,different,5
only,wrong,18
so,enthusiastic,52
very,french,2
really,surprised,46
so,obvious,63
just,mini-pcs,1
already,public,2
terribly,fussy,3
well,disposed,2
as,nimble,24
as,leveraged,5
that,dimwitted,2
absolutely,representative,2
highly,probable,2
really,strong,4
only,weighty,1
necessarily,committed,2
as,carefree,6
thoroughly,persuasive,1
so,confident,46
as,forthcoming,16
particularly,unusual,8
logistically,impossible,1
politically,fashionable,1
so,smart,20
incredibly,strategic,1
even,hangers-on,1
as,different,15
all,corrupt,1
that,clear,38
instantly,impressed,1
always,smooth,32
that,surprising,102
exactly,remarkable,2
so,uncommon,11
real,great,2
as,pretty,19
as,plentiful,28
only,legal,12
so,invisible,1
especially,accurate,1
as,chic,1
fully,reliable,1
yet,wise,1
all,powerful,3
really,exciting,3
too,rusty,1
especially,candid,1
politically,skillful,1
keenly,political,1
as,telling,3
exactly,typical,2
as,sanguine,40
heavily,leveraged,1
really,good,39
very,favorable,9
completely,voluntary,2
too,likely,9
as,serious,109
all,serious,6
too,devious,1
as,angry,13
altogether,tolerant,1
as,crazy,34
exactly,robust,3
too,eager,8
entirely,foreign,6
particularly,new,12
so,enterprising,1
very,patient,6
really,classifiable,3
especially,distinctive,1
overly,self-critical,1
as,cozy,8
always,constant,2
really,sick,8
so,discerning,2
always,good,38
so,cosmopolitan,1
as,able,18
as,concerned,97
that,enjoyable,4
directly,concerned,1
militarily,ready,1
necessarily,surprising,6
entirely,fluid,1
as,monogamous,1
much,miscast,1
really,clear,25
emotionally,gripping,1
falsely,modest,1
currently,strong,1
so,crazy,44
yet,certain,51
as,damaging,22
yet,willing,26
highly,intimate,3
only,long,4
as,lively,5
far,fetched,3
that,comfortable,24
so,convinced,18
just,sad,3
so,free,15
as,amusing,6
that,realistic,1
so,segregated\/we,1
exactly,right,10
so,forgiving,28
readily,available,129
as,honest,5
solely,responsible,27
as,qualified,5
primarily,responsible,7
as,dead,7
fiscally,responsible,6
that,satisfying,6
really,necessary,66
as,safe,78
much,interested,98
particularly,civilized,3
so,painful,10
so,impressed,18
as,true,12
statistically,significant,52
only,skeptical,4
that,unusual,130
medically,trained,2
as,convinced,15
exactly,true,65
even,able,34
as,proficient,9
so,rapturous,2
precisely,accurate,8
significantly,different,25
about,theatrics,1
as,sensitive,37
as,tolerant,12
as,widespread,51
necessarily,final,4
so,proud,7
as,rosy,67
quite,clear,56
as,shy,14
fully,convinced,9
exactly,magical,1
so,cruel,1
very,concerned,19
scientifically,valid,12
so,positive,15
as,familiar,37
about,black,20
as,groundbreaking,3
exactly,glowing,1
blazingly,satirical,1
too,laden,2
too,narrow,9
exactly,fat,1
ravenously,hungry,1
spectacularly,successful,2
as,far-fetched,25
always,flattering,7
entirely,ours,3
too,proud,38
overtly,partisan,3
precisely,parallel,1
new-business,driven,1
now,subject,4
near,mature,1
even,open,6
particularly,memorable,2
that,special,13
as,capable,9
as,disturbed,1
so,iron-clad,1
yet,guilty,1
too,comfortable,20
so,strong,46
too,liquid,1
so,unusual,50
very,close,37
as,weak,79
strictly,observant,2
very,successful,68
so,adept,5
too,nervous,5
as,evil,4
as,pessimistic,20
particularly,interested,82
fully,effective,11
right,upfront,1
legally,defensible,4
necessarily,liberal,1
that,heavy,2
home,free,22
as,automatic,7
as,quick,118
broadly,diversified,7
breathtakingly,scenic,1
clinically,relevant,4
as,meaty,5
as,soft,17
only,full,5
completely,isolated,2
as,competitive,35
as,accustomed,6
terribly,successful,9
so,plentiful,4
readily,apparent,74
so,serious,36
too,pinched,1
as,rapid,20
so,adventurous,4
necessarily,fair,5
as,stupid,11
immediately,accessible,3
exactly,visible,1
immediately,unavailable,1
particularly,costly,1
only,remade,1
entirely,secure,3
too,celebratory,2
particularly,committed,1
as,calamitous,3
too,spectacular,1
overly,sympathetic,2
widely,popular,6
real,hard,7
very,cool,5
only,effective,11
otherwise,apologetic,1
particularly,handsome,7
particularly,verbal,1
particularly,horrible,1
as,generous,39
very,specific,19
always,able,65
only,lonely,1
completely,pure,11
as,disheartening,1
as,challenging,8
as,splintered,2
as,vulgar,3
yet,aware,21
that,impressed,32
as,onerous,11
as,grand,6
so,old-fashioned,4
so,successful,32
even,greedy,3
that,complicated,49
as,protective,4
quite,jubilation,1
fully,operational,15
as,distressed,1
so,popular,59
very,friendly,29
so,certain,76
far,wrong,30
that,sure,23
strikingly,original,2
as,flashy,27
yet,right,13
always,free,1
as,problematic,6
so,deep,16
as,desolate,1
so,robust,5
so,bullish,8
that,confident,12
that,tall,7
that,impressive,36
exactly,eager,3
too,excited,38
as,intrigued,3
granite,inside,1
totally,out,5
overly,excited,14
immediately,evident,18
as,surprising,13
as,all-inclusive,1
very,large,20
all,rosy,22
quite,long,2
only,abusive,2
too,wild,7
as,interesting,85
that,interesting,51
as,crucial,42
exactly,original,10
visually,astounding,29
really,over,14
highly,unusual,8
really,gay,5
always,brilliant,1
entirely,false,1
extremely,complicated,1
completely,pleased,2
completely,surprised,4
politically,oriented,2
on,bright,1
that,overwhelming,3
as,tactful,1
exactly,hyper,1
too,upset,48
so,well-written,1
so,bumpy,2
too,choosy,5
as,recent,2
particularly,worried,39
totally,committed,3
as,radio-friendly,1
very,energetic,1
visually,compelling,1
easily,disposed,1
so,happy,64
very,secure,3
as,realistic,5
usually,coated,1
just,bad,16
real,talkative,1
as,dramatic,112
mentally,sharp,2
completely,devoid,4
always,different,4
even,resolute,2
currently,profitable,2
as,rigid,13
entirely,clear,235
about,buzz,1
entirely,convincing,45
especially,attractive,9
so,grand,8
very,long,48
truly,malicious,1
exactly,warm,7
lovably,bad,2
that,open,5
especially,relative,1
as,romantic,14
real,happy,66
yet,serious,2
as,enthusiastic,55
rabidly,interested,1
only,alien,1
only,distant,1
always,automatic,2
only,racist,6
necessarily,loyal,5
simply,white,1
as,active,61
so,insider-ish,1
so,perfect,15
willfully,quirky,2
too,surprising,92
substantially,different,30
as,pronounced,19
necessarily,unrelated,4
entirely,pleasant,9
particularly,potent,5
even,good,26
exactly,handsome,2
so,mysterious,8
as,precise,16
as,wealthy,20
as,tall,36
already,numb,1
as,thick,30
inherently,sensitive,1
particularly,receptive,7
as,devious,3
as,rewarding,12
as,sympathetic,10
as,out,1
extremely,upset,1
as,punctual,1
economically,justified,2
only,notable,3
as,sentimental,7
that,invisible,1
as,polished,20
so,pricey,2
as,quirky,7
as,unfavorable,2
always,obvious,51
psychologically,easy,6
as,smitten,2
real,satisfied,3
as,poetic,2
so,quick,115
just,right,11
remotely,similar,2
too,rich,12
legally,binding,63
as,original,6
even,ok,1
too,clean,1
just,overrated,1
necessarily,good,61
as,fearsome,8
as,frigid,2
real,interested,11
so,sullen,1
necessarily,head-to-head,3
particularly,good,70
too,chewy,2
too,tart,7
very,vocal,4
as,appealing,31
that,apparent,3
exactly,new,51
so,devastating,9
that,stable,3
all,pretty,6
sufficiently,upset,1
really,abrasive,1
very,reflective,2
as,arresting,5
just,boring,2
that,naive,15
really,pink,1
highly,knowledgeable,1
even,safe,14
only,comfortable,42
necessarily,old,1
as,novel,2
too,light,3
very,strong,68
particularly,helpful,22
really,independent,2
as,white,5
too,shabby,69
therapeutically,useful,1
yet,comfortable,15
really,emergencies,1
so,personal,9
as,gritty,3
only,hard,5
that,notable,1
yet,economical,1
especially,new,2
exactly,sisyphean,1
so,surprising,116
entirely,surprised,15
as,upset,34
so,sunny,4
as,expensive,54
only,palatial,1
as,calm,5
physically,demanding,3
completely,free,13
yet,secure,13
so,severe,21
as,dickensian,1
overly,optimistic,35
too,sick,3
as,outrageous,9
only,weak,1
very,big,89
as,rigorous,17
politically,sustainable,5
terribly,exacting,2
uniformly,bad,2
just,african-americans,1
exactly,realistic,1
as,tender,2
particularly,flavorful,1
as,ancient,3
that,rare,17
so,tempting,1
as,vigorous,5
as,distressing,2
always,nimble-footed,1
that,high,109
exactly,sharp,1
too,fond,20
as,dangerous,50
absolutely,necessary,17
readily,copyable,1
so,excited,15
only,legitimate,6
entirely,gloomy,2
otherwise,available,10
entirely,dead,10
much,political,2
already,illegal,1
only,distinctive,1
so,simplistic,1
only,functional,3
as,baggy,1
as,outspoken,12
quite,able,12
so,maudlin,1
that,pleasant,2
exactly,perfect,4
so,mired,1
as,excessive,3
so,enamored,10
psychologically,ready,4
necessarily,optimistic,2
even,angry,3
just,big,8
very,nice,63
that,fresh,4
just,concerned,11
particularly,impressed,24
too,strict,3
totally,immoral,1
as,trendy,6
always,wrong,16
overly,cautious,1
very,fast,20
as,concerend,4
too,unusual,18
superbly,gifted,1
that,successful,26
pretty,boys,2
necessarily,evil,7
instantly,compelling,1
quite,tender,2
home,late,1
as,stringent,24
wholly,comfortable,3
all,wonderful,1
very,adventurous,6
as,vulnerable,49
as,portable,3
completely,convinced,30
as,critical,31
really,airtight,1
as,advanced,27
physically,present,13
entirely,implausible,3
so,gullible,8
physically,fit,11
very,popular,67
as,inspiring,6
immediately,visible,17
physically,taxing,1
immediately,obvious,32
technically,true,2
just,short,1
even,comfortable,4
especially,difficult,22
sufficiently,prepared,3
currently,active,1
obviously,commercial,1
as,stiff,17
just,funny,1
that,weird,7
always,fantastic,15
very,pro-mcdo,1
as,beautiful,22
as,enticing,10
as,pristine,9
especially,french,1
that,old,53
always,available,51
so,clear-cut,31
entirely,free,25
even,unusual,2
even,conscious,1
as,contentious,3
necessarily,formidable,1
as,broad,25
as,entrepreneurial,1
inherently,wrong,3
only,instantaneous,1
as,violent,22
always,personal,2
as,autobiographical,2
as,tardy,2
as,noisy,5
yet,hot,3
always,fashionable,2
so,shocked,7
so,wise,2
particularly,upset,8
so,tough,39
only,interesting,3
exactly,uplifting,1
as,desperate,10
necessarily,prologue,6
yet,firm,7
as,agile,7
as,physical,19
as,diplomatic,10
that,bleak,8
as,detailed,9
heavily,detailed,1
partly,criminal,1
too,soft,9
so,close,16
so,big,60
utterly,clotted,1
as,balmy,1
especially,significant,2
as,confident,62
as,cavalier,3
user,friendly,10
only,fluorescent,1
easily,visible,4
that,scary,13
as,poor,17
so,surprised,21
as,radical,19
too,bright,14
already,sleep-deprived,1
as,reliable,45
always,bad,11
almost,silent,1
entirely,honest,1
still,alive,7
necessarily,irrational,4
just,gagne,1
quite,true,52
extraordinarily,expensive,1
as,charismatic,5
particularly,arduous,1
medically,necessary,43
that,advanced,15
as,painful,17
so,steady,2
even,enlightening,1
always,sexy,5
as,dazzling,6
always,apparent,39
always,necessary,32
bilaterally,symmetrical,1
as,derivative,2
really,equal,1
fully,prepared,9
even,reloading,1
always,dependable,3
phenomenally,rich,1
notably,different,3
only,impressive,3
purely,educational,2
much,worried,18
as,inevitable,2
always,alive,1
deeply,concerned,2
entirely,functional,1
as,polite,4
as,fancy,12
especially,interesting,6
visually,slick,1
that,entertaining,1
publicly,visible,2
sufficiently,forthcoming,2
sufficiently,altruistic,2
so,worried,38
as,immediate,4
as,menacing,3
physically,abusive,6
very,sentimental,2
as,dry,5
yet,out,2
very,profitable,15
hip,enough,1
all,horrible,2
as,common,58
so,neighborly,2
very,old,11
truly,pregnant,1
that,hungry,22
really,black,7
completely,smooth,10
so,leggy,1
obviously,illegal,2
only,fast,2
so,rigid,11
as,innocent,15
so,compassionate,2
particularly,fond,22
always,fatal,4
yet,mature,7
particularly,accurate,3
as,speedy,4
as,silly,8
very,profound,2
that,tight-lipped,1
really,disappointed,2
very,impressive,13
exactly,grant,1
as,hungry,22
merely,military,6
overly,gifted,1
only,fitting,1
truly,free,6
too,ugly,3
readily,visible,5
too,cautious,2
as,aware,15
completely,happy,33
that,young,23
too,easy,16
as,productive,38
just,courteous,1
even,novel,1
particularly,adept,5
about,hazing,1
as,crowded,25
as,loose,9
particularly,generous,8
only,possible,50
terribly,friendly,3
totally,black,1
completely,blank,1
terribly,concerned,47
just,coop,1
so,predictable,21
very,fond,8
that,fast,22
that,super,2
very,tasty,3
devilishly,hard,1
as,nice,40
legally,married,11
super,serious,1
as,firm,14
as,arduous,3
so,strange,23
overly,pleased,8
totally,surprised,19
so,intent,7
fully,open,18
as,attentive,3
so,frightening,14
very,apologetic,3
terribly,worried,23
so,buoyant,1
entirely,certain,24
as,ubiquitous,23
anymore,sacred,1
really,livable,1
particularly,aggressive,6
as,prominent,19
specifically,familiar,2
very,interested,65
so,nasty,3
as,spectacular,44
as,up-to-date,3
only,carcinogenic,1
remotely,stupid,1
moderately,sedentary,2
always,attractive,6
even,deep,2
even,cheap,6
very,severe,4
as,comprehensive,25
as,combative,2
only,independent,2
totally,surprising,4
as,friendly,46
really,yours,6
physically,strong,5
as,chocolaty,2
as,fragile,8
personally,flamboyant,1
otherwise,responsible,1
that,generous,17
honestly,raw,1
as,intense,70
particularly,experienced,1
only,likable,1
exactly,bragging,1
entirely,successful,54
politically,popular,16
as,dreadful,2
entirely,smooth,19
as,momentous,5
entirely,concerned,1
around,long,33
even,wrong,3
always,quiet,2
especially,reliable,1
always,identifiable,2
truly,representative,2
as,chummy,1
as,acidic,3
especially,vivid,1
as,clear,103
as,open,41
too,wonderful,1
sufficiently,lit,1
so,recognizable,3
almost,reactionary,1
very,impressed,28
solely,dependent,13
particularly,severe,3
that,wide,4
that,stupid,46
just,limited,8
as,willing,63
always,recoverable,1
only,mineral-deficient,1
real,measurable,1
anywhere,close,35
as,athletic,9
simply,nervous,1
so,blunt,7
as,wild,18
as,bombs-away,1
fully,random,2
even,ready,11
perfectly,aware,1
that,warm,4
wholly,explicit,1
really,overwhelming,1
as,taxing,6
sufficiently,aware,3
dramatically,interesting,2
universally,admired,8
quite,cheeky,11
quite,over,33
physically,impressive,1
really,mad,12
terribly,encouraging,1
so,urgent,5
particularly,fast,13
really,informed,1
just,chechnya,1
as,seamless,5
even,noteworthy,1
that,paramount,1
entirely,traditional,1
necessarily,easy,21
too,careful,53
financially,feasible,26
really,quiet,1
so,keen,30
that,excited,23
as,demanding,7
as,dominant,33
so,open,15
yet,capable,6
too,interested,36
yet,irreversible,4
necessarily,unhealthy,3
terribly,heavy,1
that,bummed,1
however,benign,1
very,talkative,7
as,terrible,16
as,pointed,5
so,difficult,48
truly,interactive,3
very,flexible,8
exactly,namathian,1
as,nervous,26
so,harsh,12
as,closed,2
particularly,outgoing,1
mentally,competent,23
socially,offensive,1
that,effective,18
so,grandiose,2
directly,culpable,1
necessarily,right,3
so,appropriate,7
really,documentaries,1
so,wonderful,18
all,touchy,1
only,embarrassing,7
as,noticeable,9
legally,insane,5
even,capable,4
very,much,53
wide,open,8
as,spry,7
so,dedicated,1
yet,open,17
otherwise,accessible,1
that,hot,44
so,cramped,1
as,surprised,9
just,red,1
as,obtrusive,2
really,comfortable,38
as,eager,45
constitutionally,ineffective,1
reasonably,probable,1
bodily,transposed,1
altogether,disregarded,2
consistently,healthy,1
necessarily,deadly,1
currently,suicidal,1
now,evident,1
yet,able,45
really,flashy,2
uniformly,enthusiastic,2
quite,midseason,1
as,hectic,5
even,political,2
so,old,17
morally,indifferent,1
always,present,6
as,farfetched,37
so,favorable,13
critically,ill,3
really,immigrants,1
morally,equal,1
personally,liable,7
that,new,19
completely,focused,2
really,right,6
fully,satisfied,24
as,desirable,9
exactly,necessary,1
necessarily,verbatim,1
absolutely,failsafe,1
remotely,interested,9
so,angry,12
really,coaching,1
only,mind-boggling,3
that,worrisome,2
yet,old,8
really,hard,8
totally,successful,11
really,scared,5
as,laudable,1
much,ado,5
even,objective,1
too,petulant,1
as,prolonged,5
only,common,8
quite,prepared,16
necessarily,comfortable,8
very,pleased,21
terminally,ill,28
exactly,chatsworth,1
only,acceptable,13
just,academic,14
as,confrontational,7
completely,keen,1
especially,keen,3
too,obvious,8
especially,prone,4
real,conducive,2
too,unfair,1
so,charmed,1
mentally,retarded,13
particularly,large,7
that,sexy,3
always,unexpected,2
yet,full,1
only,appropriate,10
only,perfect,1
very,prepared,2
musically,compelling,1
always,fruitful,1
quite,human,9
so,obsessed,3
even,noticeable,5
only,sympathetic,1
commercially,viable,17
so,lethal,2
as,prepared,19
just,greenberg,1
down,21-0,1
as,touchy-feely,2
easily,available,14
as,gratifying,2
