ADV,ADJ,p1_counts,p1_counts,ratio_p1,ratio_p2,total
too,pleased,3,1,0.75,0.25,4
so,glib,3,1,0.75,0.25,4
real,healthy,3,1,0.75,0.25,4
fully,usable,6,2,0.75,0.25,8
so,much,18,6,0.75,0.25,24
necessarily,true,3,1,0.75,0.25,4
necessarily,ugly,3,1,0.75,0.25,4
necessarily,rested,3,1,0.75,0.25,4
back,different,3,1,0.75,0.25,4
quite,normal,3,1,0.75,0.25,4
really,interested,9,3,0.75,0.25,12
as,small,3,1,0.75,0.25,4
merely,ridiculous,3,1,0.75,0.25,4
that,bullish,3,1,0.75,0.25,4
too,popular,3,1,0.75,0.25,4
as,consistent,3,1,0.75,0.25,4
totally,sure,3,1,0.75,0.25,4
as,clean-cut,3,1,0.75,0.25,4
politically,sensible,6,2,0.75,0.25,8
altogether,true,3,1,0.75,0.25,4
simply,economic,3,1,0.75,0.25,4
particularly,political,3,1,0.75,0.25,4
quite,trustful,6,2,0.75,0.25,8
importantly,humdrum,3,1,0.75,0.25,4
much,anti-automobile,3,1,0.75,0.25,4
perhaps,dire,3,1,0.75,0.25,4
as,visible,9,3,0.75,0.25,12
so,extensive,3,1,0.75,0.25,4
necessarily,bad,3,1,0.75,0.25,4
as,optimistic,9,3,0.75,0.25,12
maybe,necessary,3,1,0.75,0.25,4
obviously,good,3,1,0.75,0.25,4
terribly,upset,3,1,0.75,0.25,4
now,criminal,3,1,0.75,0.25,4
too,bad,6,2,0.75,0.25,8
certainly,smooth,3,1,0.75,0.25,4
mentally,prepared,15,5,0.75,0.25,20
probably,thrilling,12,4,0.75,0.25,16
so,equivalent,3,1,0.75,0.25,4
always,glib,3,1,0.75,0.25,4
only,inconsistent,3,1,0.75,0.25,4
currently,fast,3,1,0.75,0.25,4
only,wrong,6,2,0.75,0.25,8
even,high,30,10,0.75,0.25,40
that,great,9,3,0.75,0.25,12
secondly,fair,3,1,0.75,0.25,4
either,first,3,1,0.75,0.25,4
then,important,3,1,0.75,0.25,4
just,sure,6,2,0.75,0.25,8
still,able,3,1,0.75,0.25,4
here,crazy,15,5,0.75,0.25,20
really,true,15,5,0.75,0.25,20
as,outlandish,3,1,0.75,0.25,4
yet,deep,3,1,0.75,0.25,4
so,pastoral,3,1,0.75,0.25,4
suddenly,attractive,3,1,0.75,0.25,4
as,fast,6,2,0.75,0.25,8
no,serious,3,1,0.75,0.25,4
always,admirable,3,1,0.75,0.25,4
that,dependent,3,1,0.75,0.25,4
anymore,frustrated,3,1,0.75,0.25,4
particularly,happy,6,2,0.75,0.25,8
fully,curable,24,8,0.75,0.25,32
really,bad,6,2,0.75,0.25,8
so,horrible,3,1,0.75,0.25,4
overly,concerned,3,1,0.75,0.25,4
however,available,3,1,0.75,0.25,4
as,interesting,12,4,0.75,0.25,16
already,seasoned,3,1,0.75,0.25,4
now,much,3,1,0.75,0.25,4
even,willing,3,1,0.75,0.25,4
enough,crazy,12,4,0.75,0.25,16
perhaps,obsolete,3,1,0.75,0.25,4
also,effective,3,1,0.75,0.25,4
still,bad,3,1,0.75,0.25,4
very,happy,12,4,0.75,0.25,16
furthermore,cumbersome,3,1,0.75,0.25,4
as,detrimental,6,2,0.75,0.25,8
here,great,3,1,0.75,0.25,4
so,repugnant,3,1,0.75,0.25,4
very,high,3,1,0.75,0.25,4
yet,clear,3,1,0.75,0.25,4
enough,long,6,2,0.75,0.25,8
alas,enough,3,1,0.75,0.25,4
sufficiently,pronounced,9,3,0.75,0.25,12
especially,friendly,6,2,0.75,0.25,8
exactly,beautiful,3,1,0.75,0.25,4
as,commonplace,3,1,0.75,0.25,4
as,mistake-free,3,1,0.75,0.25,4
fully,conscious,3,1,0.75,0.25,4
now,close,3,1,0.75,0.25,4
generally,equivalent,3,1,0.75,0.25,4
enough,broad,3,1,0.75,0.25,4
probably,fair,3,1,0.75,0.25,4
completely,ungrateful,3,1,0.75,0.25,4
too,worried,30,10,0.75,0.25,40
as,rich,3,1,0.75,0.25,4
unfairly,branded,3,1,0.75,0.25,4
bit,ambitious,6,2,0.75,0.25,8
as,dynamic,3,1,0.75,0.25,4
as,well-planned,3,1,0.75,0.25,4
as,normal,3,1,0.75,0.25,4
much,sharp,3,1,0.75,0.25,4
always,harmless,3,1,0.75,0.25,4
so,bad,45,15,0.75,0.25,60
also,scary,15,5,0.75,0.25,20
very,similar,3,1,0.75,0.25,4
really,ready,6,2,0.75,0.25,8
too,late,3,1,0.75,0.25,4
still,nice,12,4,0.75,0.25,16
totally,unfettered,3,1,0.75,0.25,4
here,welcome,3,1,0.75,0.25,4
just,normal,3,1,0.75,0.25,4
however,clear,6,2,0.75,0.25,8
frankly,sure,3,1,0.75,0.25,4
yet,religious,3,1,0.75,0.25,4
even,apparent,3,1,0.75,0.25,4
though,sure,15,5,0.75,0.25,20
entirely,one-sided,3,1,0.75,0.25,4
enough,violent,3,1,0.75,0.25,4
certainly,first,3,1,0.75,0.25,4
even,able,9,3,0.75,0.25,12
directly,concerned,3,1,0.75,0.25,4
too,complicated,3,1,0.75,0.25,4
as,sanguine,3,1,0.75,0.25,4
enough,black,3,1,0.75,0.25,4
just,worth,6,2,0.75,0.25,8
necessarily,same,9,3,0.75,0.25,12
too,literal,3,1,0.75,0.25,4
always,accurate,3,1,0.75,0.25,4
very,interested,3,1,0.75,0.25,4
so,right,3,1,0.75,0.25,4
right,likely,3,1,0.75,0.25,4
as,cynical,3,1,0.75,0.25,4
probably,interested,3,1,0.75,0.25,4
however,easy,6,2,0.75,0.25,8
officially,open,3,1,0.75,0.25,4
