ADV,ADJ,p1_counts
b'still',b'sluggish',52
b'very',b'fortunate',436
b'just',b'unbelievable',217
b'almost',b'impossible',1577
b'awfully',b'quiet',13
b'really',b'sick',85
b'as',b'unconvinced',2
b'very',b'clear',1064
b'firmly',b'committed',64
b'as',b'scarce',79
b'absolutely',b'nuts',5
b'as',b'significant',83
b'hardly',b'grand',1
b'almost',b'uncontestable',1
b'increasingly',b'skeptical',38
b'so',b'popular',985
b'too',b'rich',147
b'practically',b'unheard',21
b'very',b'sincere',45
b'seriously',b'ill',270
b'always',b'instantaneous',2
b'so',b'stunning',35
b'so',b'simple',387
b'so',b'important',1588
b'too',b'miserly',1
b'also',b'interested',337
b'deeply',b'concerned',300
b'blatantly',b'flashy',1
b'very',b'dubious',21
b'generally',b'favorable',29
b'as',b'important',1186
b'often',b'irritated',1
b'especially',b'tough',98
b'very',b'attractive',335
b'relatively',b'muted',14
b'always',b'perilous',2
b'totally',b'incompatible',2
b'just',b'serene',1
b'as',b'stressful',5
b'very',b'great',97
b'pretty',b'sure',851
b'basically',b'sound',37
b'primarily',b'worried',1
b'almost',b'desperate',10
b'exceedingly',b'vague',2
b'truly',b'expensive',2
b'often',b'insufficient',5
b'very',b'competitive',461
b'probably',b'true',217
b'very',b'brave',97
b'virtually',b'level',3
b'quite',b'surprising',30
b'uniformly',b'bearish',1
b'quite',b'nice',45
b'as',b'long',221
b'especially',b'anxious',12
b'also',b'conciliatory',1
b'very',b'conscientious',23
b'extremely',b'helpful',66
b'scorchingly',b'hot',2
b'usually',b'free',28
b'equally',b'exacting',3
b'so',b'stark',22
b'hardly',b'political',3
b'politically',b'disorganized',2
b'also',b'muslim',3
b'fairly',b'good',72
b'pretty',b'risk-free',2
b'very',b'high',873
b'so',b'lucky',471
b'particularly',b'important',559
b'mostly',b'shuttered',2
b'psychologically',b'devastating',15
b'so',b'slow',242
b'probably',b'sweet',1
b'increasingly',b'embittered',1
b'hardly',b'surprised',26
b'hardly',b'surprising',452
b'very',b'controversial',56
b'as',b'ambiguous',10
b'largely',b'absent',87
b'apparently',b'worried',18
b'virtually',b'unheard',107
b'pretty',b'clear',591
b'really',b'affordable',2
b'fairly',b'rich',5
b'unusually',b'dry',17
b'partly',b'cloudy',67
b'very',b'interesting',440
b'probably',b'unchanged',14
b'particularly',b'keen',43
b'physically',b'present',452
b'somewhat',b'high',3
b'intrinsically',b'risky',4
b'as',b'productive',64
b'too',b'heavenly',1
b'now',b'dead',123
b'so',b'pervasive',193
b'deeply',b'relaxing',2
b'naturally',b'rich',2
b'often',b'afraid',21
b'keenly',b'disappointed',5
b'very',b'satisfied',118
b'especially',b'noteworthy',39
b'very',b'mediocre',17
b'very',b'dangerous',429
b'just',b'one-of-a-kind',1
b'extremely',b'leveraged',1
b'that',b'high',107
b'essentially',b'insolvent',2
b'always',b'painful',26
b'as',b'healthy',90
b'essentially',b'flat',68
b'half',b'short',1
b'fairly',b'safe',16
b'just',b'right',485
b'also',b'philosophical',2
b'woefully',b'ignorant',12
b'perfectly',b'content',73
b'so',b'nice',363
b'usually',b'fabulous',1
b'brilliantly',b'lit',4
b'also',b'enough',19
b'very',b'popular',557
b'now',b'able',229
b'soooo',b'british',1
b'very',b'hip',15
b'so',b'witty',13
b'highly',b'risky',10
b'still',b'true',139
b'very',b'pleased',1487
b'so',b'low',1006
b'unusually',b'silent',12
b'still',b'shaky',31
b'exceptionally',b'strong',80
b'also',b'obvious',69
b'so',b'aggressive',108
b'too',b'difficult',435
b'totally',b'tired',2
b'ultimately',b'hollow',5
b'certainly',b'right',54
b'very',b'solid',122
b'very',b'susceptible',48
b'still',b'harmless',1
b'very',b'cold',101
b'primarily',b'overseas',1
b'very',b'simple',523
b'very',b'honest',106
b'really',b'responsible',25
b'relatively',b'small',576
b'quite',b'persuasive',9
b'too',b'convenient',12
b'also',b'innocent',2
b'pretty',b'tame',29
b'almost',b'abject',1
b'so',b'emotional',98
b'only',b'37th',1
b'particularly',b'unprecedented',1
b'still',b'supportive',20
b'very',b'regrettable',23
b'already',b'underway',112
b'basically',b'safe',10
b'particularly',b'successful',94
b'very',b'sensible',9
b'surprisingly',b'strong',102
b'relatively',b'numb',1
b'now',b'80-percent',7
b'non-weather',b'dependent',1
b'generally',b'supportive',56
b'absolutely',b'amazing',53
b'slightly',b'off-key',1
b'fairly',b'common',161
b'also',b'cautious',65
b'strongly',b'cyclical',2
b'sadly',b'mistaken',60
b'especially',b'effective',137
b'completely',b'blind',14
b'half',b'black',14
b'especially',b'evident',60
b'very',b'motivated',49
b'especially',b'significant',63
b'especially',b'memorable',28
b'either',b'reminiscent',2
b'barely',b'big',19
b'too',b'weak',635
b'always',b'afraid',113
b'really',b'loyal',3
b'also',b'vulnerable',84
b'very',b'volatile',121
b'very',b'thankful',83
b'politically',b'motivated',406
b'hardly',b'concerned',13
b'absolutely',b'awesome',6
b'really',b'great',294
b'quite',b'dramatic',37
b'absolutely',b'clear',123
b'really',b'embarrassing',20
b'so',b'befuddled',2
b'blissfully',b'unaware',33
b'as',b'intimidating',16
b'as',b'unlikely',25
b'especially',b'upset',49
b'as',b'simple',1113
b'too',b'paper-thin',1
b'justifiably',b'proud',50
b'as',b'active',71
b'too',b'feeble',35
b'so',b'frustrating',183
b'as',b'rugged',10
b'absolutely',b'addictive',2
b'equally',b'good',63
b'also',b'fabulous',4
b'determinedly',b'traditional',2
b'so',b'embarrassed',123
b'already',b'tired',34
b'all',b'digital',12
b'pretty',b'harsh',19
b'pretty',b'good',2303
b'so',b'impressed',407
b'consistently',b'funny',8
b'very',b'interested',858
b'still',b'strong',560
b'flinchingly',b'brutal',2
b'almost',b'balletic',9
b'mostly',b'latino',7
b'as',b'exciting',126
b'very',b'catchy',3
b'as',b'delightful',7
b'blatantly',b'unconstitutional',21
b'extremely',b'similar',15
b'as',b'false',15
b'quite',b'plausible',15
b'extremely',b'vulnerable',83
b'still',b'good',431
b'really',b'flat',20
b'still',b'hot',133
b'so',b'prodigious',13
b'too',b'deep',170
b'almost',b'sad',23
b'relatively',b'crude',16
b'perfectly',b'clear',142
b'extremely',b'poor',39
b'so',b'tight',281
b'often',b'sterile',13
b'roughly',b'spherical',14
b'very',b'big',348
b'so',b'loose',51
b'rather',b'stiff',16
b'too',b'slow',624
b'too',b'easy',644
b'always',b'awed',15
b'too',b'pricey',91
b'so',b'new',370
b'politically',b'unwise',6
b'wildly',b'successful',102
b'as',b'extensive',40
b'nearly',b'complete',132
b'really',b'smug',4
b'pretty',b'hard',502
b'as',b'myopic',6
b'perfectly',b'legal',289
b'so',b'complex',268
b'so',b'busy',773
b'essentially',b'repetitive',4
b'pretty',b'enough',29
b'too',b'sedate',10
