space_key,l2,polarity,space,dP1,LRC,P1,G2,f1,f2,N,f,unexp_f,f_sqrt,f2_sqrt,unexp_r,exp_f,polar_l2,space_l2,exp_f_sqrt,unexp_f_sqrt,dP1m,P1m,LRCm,f_sqrt_m,f2_sqrt_m,unexp_f_sqrt_m,unexp_r_m
NEQ+sup:POS~rather,rather,pos,NEQ+sup,0.4727938175201416,4.760037899017334,0.9715151190757751,19395.883452,3173681,17167,6347362,16678,8094.5,129.14333122542564,131.0228987620103,0.4853399693965912,8583.5,pos~rather,NEQ+sup:rather,92.64718020533599,36.496151020089656,0.292542062091378,0.9871586305572342,4.6996015953144274,216.01245103652337,216.7221982844127,17.433546374551685,0.29738881730966965
NEQ+sup:POS~sometimes,sometimes,pos,NEQ+sup,0.47276222705841064,4.60719108581543,0.9722548723220825,7722.24469,3173681,6812,6347362,6623,3217.0,81.38181615078395,82.5348411278534,0.4857315421104431,3406.0,pos~sometimes,NEQ+sup:sometimes,58.360945845659494,23.020870305124454,0.2858545639841135,0.9811935997741196,3.7188099789178954,127.87631648807877,128.34629161731954,9.758213545039034,0.29390614162192497
NEQ+mir:POS~otherwise,otherwise,pos,NEQ+mir,0.472414987,4.063671728240045,0.9712328767,1646.3870561,291735,1460,583470,1418,688.0,37.656340767525464,38.2099463490856,0.48519040902679833,730.0,pos~otherwise,NEQ+mir:otherwise,27.018512172212592,10.637828595312872,0.2268390967106252,0.9218920433327149,2.671246086623915,121.3019307369201,124.75011383538575,8.398271658813247,0.251293827494546
NEQ+mir:POS~downright,downright,pos,NEQ+mir,0.4721043522,3.8829932049840195,0.9712871287,1138.6302909,291735,1010,583470,981,476.0,31.32091952673165,31.78049716414141,0.48521916411824667,505.0,pos~downright,NEQ+mir:downright,22.47220505424423,8.84871447248742,0.17317210085447096,0.8684200041922883,1.9655544698469218,88.15055498703198,93.25247456243602,4.391519711994248,0.186110427910481
NEQ+mir:NEG~necessarily,necessarily,neg,NEQ+mir,0.4705894096,3.8239157893455724,0.9697885196,1109.0283772,291735,993,583470,963,466.5,31.0322412983658,31.51190251317746,0.48442367601246106,496.5,neg~necessarily,NEQ+mir:necessarily,22.282279955157193,8.749961343208607,0.6268415327693772,0.9299696157522415,5.529986696893888,118.7089014044276,123.06653636683639,61.495914986658555,0.6833634249564272
NEQ+mir:POS~relatively,relatively,pos,NEQ+mir,0.4687445914,3.8460719633448877,0.9677966102,1302.0456202,291735,1180,583470,1142,552.0,33.793490497431605,34.351128074635334,0.48336252189141854,590.0,pos~relatively,NEQ+mir:relatively,24.289915602982237,9.503574894449368,0.2924790691025487,0.9870783652870834,4.902830780753214,258.1552601049707,258.65484071578015,19.949012687497483,0.29715462771917966
NEQ+sup:NEG~yet,yet,neg,NEQ+sup,0.4684158265590668,4.590548038482666,0.9644470810890198,58435.1734,3173681,53779,6347362,51867,24977.5,227.7432765198569,231.9029969620919,0.48156824707984924,26889.5,neg~yet,NEQ+sup:yet,163.9801817293785,63.76309479047839,0.36818105401761014,0.6713694274968368,2.8371019616778117,122.8159101699276,147.11490798155816,59.111445589757714,0.5798549816012383
NEQ+mir:POS~almost,almost,pos,NEQ+mir,0.463911512,3.6720738411847336,0.9630297565,1188.3397484,291735,1109,583470,1068,513.5,32.68026927673638,33.301651610693426,0.48080524344569286,554.5,pos~almost,NEQ+mir:almost,23.547823678633232,9.13244559810315,0.289009062822321,0.9837783461694107,4.493509411834269,226.38942863438226,227.03810025314806,17.62569094202323,0.2953391091632988
NEQ+mir:POS~sometimes,sometimes,pos,NEQ+mir,0.4621666332,2.822295017066235,0.9619377163,307.2777215,291735,289,583470,278,133.5,16.673332000533065,17.0,0.4802158273381295,144.5,pos~sometimes,NEQ+mir:sometimes,12.020815280171307,4.652516720361758,0.2858545639841135,0.9811935997741196,3.7188099789178954,127.87631648807877,128.34629161731954,9.758213545039034,0.29390614162192497
NEQ+sup:POS~now,now,pos,NEQ+sup,0.46006304025650024,4.277005672454834,0.9585723876953125,21473.348252,3173681,20566,6347362,19714,9431.0,140.40655255364686,143.40850741849314,0.47839099168777466,10283.0,pos~now,NEQ+sup:now,101.4051280754578,39.001424478189065,0.25699339183424835,0.9518037946732071,3.2742322682703104,226.06572066959995,227.81084190060974,16.750742618302777,0.27525635322921344
NEQ+sup:POS~definitely,definitely,pos,NEQ+sup,0.4598889648914337,4.0414323806762695,0.9595486521720886,4923.245446,3173681,4697,6347362,4507,2158.5,67.1341939699882,68.53466276272175,0.47892168164253235,2348.5,pos~definitely,NEQ+sup:definitely,48.46132478585372,18.672869184134484,0.26868293631082657,0.9640717530778763,3.118641854698259,108.47381161624696,109.17355207189738,8.221421115443624,0.28355725825878614
NEQ+mir:POS~mostly,mostly,pos,NEQ+mir,0.4587047108,2.751697509236692,0.9584775087,300.9083198,291735,289,583470,277,132.5,16.64331697709324,17.0,0.47833935018050544,144.5,pos~mostly,NEQ+mir:mostly,12.020815280171307,4.6225016969219315,0.28693428562297124,0.982215675631192,3.932074539052337,148.78591716742727,149.20538392999055,11.224859213493172,0.2943874472644624
NEQ+sup:POS~somewhat,somewhat,pos,NEQ+sup,0.4562077224254608,4.115160942077637,0.955220639705658,14041.623058,3173681,13734,6347362,13119,6252.0,114.53820323368095,117.19214990774766,0.47656071186065674,6867.0,pos~somewhat,NEQ+sup:somewhat,82.86736390159881,31.67083933208214,0.28809442517553957,0.9830768961357513,4.215175521741481,186.60412150503583,187.507027457685,14.419096219613884,0.29512158178477765
NEQ+mir:POS~largely,largely,pos,NEQ+mir,0.4540859311,2.44323505808264,0.9539170507,219.8142461,291735,217,583470,207,98.5,14.38749456993816,14.730919862656235,0.4758454106280193,108.5,pos~largely,NEQ+mir:largely,10.41633332799983,3.9711612419383293,0.28459196256288616,0.9799242974173553,3.6601413236293943,137.58299670813182,138.02209416468966,10.287416581122296,0.2930319866048541
NEQ+mir:NEG~that,that,neg,NEQ+mir,0.4528388823,3.7635873676185017,0.9493168797,4499.7940227,291735,4538,583470,4308,2039.0,65.63535632568775,67.36467917239716,0.47330547818012997,2269.0,neg~that,NEQ+mir:that,47.634021455258214,18.001334870429538,0.5815159341923248,0.8807203820820587,5.074724707028374,235.77580192240174,251.07717927197368,120.12032013630026,0.6729859000654717
NEQ+sup:NEG~any,any,neg,NEQ+sup,0.45219096541404724,4.014158248901367,0.9510385990142822,16135.266746,3173681,16176,6347362,15384,7296.0,124.03225386970922,127.18490476467717,0.4742589592933655,8088.0,neg~any,NEQ+sup:any,89.93330862366847,34.098945246040756,0.5276618504235717,0.8313938264832359,4.406379931906265,78.34095465216912,93.40484859410091,37.063462911012785,0.6709319643578431
NEQ+sup:NEG~before,before,neg,NEQ+sup,0.4506402909755707,2.62467885017395,0.9506173133850098,321.715314,3173681,324,6347362,308,146.0,17.549928774784245,18.0,0.4740259647369385,162.0,neg~before,NEQ+sup:before,12.727922061357855,4.82200671342639,0.5477436489135513,0.8520617261528969,4.163787982095702,17.274964387392124,19.46877058314164,7.957073573857514,0.6760469824075699
NEQ+sup:NEG~anymore,anymore,neg,NEQ+sup,0.4483460485935211,2.792875289916992,0.9483146071434021,435.857182,3173681,445,6347362,422,199.5,20.54263858417414,21.095023109728988,0.4727488160133362,222.5,neg~anymore,NEQ+sup:anymore,14.916433890176299,5.62620469399784,0.5176840076256256,0.8220920488238335,1.8172125965356827,12.207810965190777,14.863891245733004,5.770409711666304,0.6699152141809464
NEQ+mir:POS~increasingly,increasingly,pos,NEQ+mir,0.4481702373,2.05913979858976,0.9480519481,150.6247761,291735,154,583470,146,69.0,12.083045973594572,12.409673645990857,0.4726027397260274,77.0,pos~increasingly,NEQ+mir:increasingly,8.774964387392123,3.3080815862024497,0.2877719830863678,0.9829098181798233,4.553014653550639,194.97126611457708,195.17628687974138,14.305407169430543,0.2944895252075097
