           l1  l2                              f   E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple       f1    f2         N  
      utterly  butterly                        5  0.01             66370               1200          129       182176                   1              278315              67.95                3.99        0.9989         0.000               1.0000                0.000    80559     5  71961373  
      clearly  not-notable                     5  0.01             66568               1213          130       183035                   1              280016              67.68                3.98        0.9989         0.000               1.0000                0.000    82729     5  71961373  
         real  estate-related                 17  0.02             27845                661          131       138328                   1              205646             229.04                4.47        0.9988         0.000               1.0000                0.000    85420    17  71961373  
         real  sociedad                       13  0.02             33807                752          132       149156                   1              224104             175.15                4.36        0.9988         0.000               1.0000                0.000    85420    13  71961373  
         real  madrid                          9  0.01             43961                901          133       163594                   1              248688             121.25                4.20        0.9988         0.000               1.0000                0.000    85420     9  71961373  
    virtually  nicotine-free                   6  0.01             58816               1124          134       178265                   1              272167              80.80                4.04        0.9988         0.000               1.0000                0.000    85709     6  71961373  
    certainly  health-saving                   6  0.01             59331               1186          135       181186                   1              276377              79.73                4.00        0.9987         0.000               1.0000                0.000    93635     6  71961373  
         once  were                           45  0.06             14070                443          136       105665                   1              151366             590.99                4.81        0.9986         0.000               1.0000                0.000   101243    45  71961373  
         once  caldas                         13  0.02             34463                817          137       155958                   1              235452             170.73                4.28        0.9986         0.000               1.0000                0.000   101243    13  71961373  
         ever  slept                           8  0.01             49220               1118          138       177287                   1              270484             103.59                4.04        0.9985         0.000               1.0000                0.000   110979     8  71961373  
         ever  goalscorer                      6  0.01             60382               1298          139       186624                   1              285818              77.69                3.93        0.9985         0.000               1.0000                0.000   110979     6  71961373  
       simply  saudagar                        6  0.01             60497               1316          140       187111                   1              286610              77.50                3.92        0.9984         0.000               1.0000                0.000   112809     6  71961373  
  politically  instigated                      7  0.01             54440               1228          141       182867                   1              279821              90.12                3.97        0.9984         0.000               1.0000                0.000   115227     7  71961373  
  politically  in-correct                      5  0.01             68943               1482          142       193485                   1              297537              64.37                3.84        0.9984         0.000               1.0000                0.000   115227     5  71961373  
    currently  in-production                   5  0.01             69147               1508          143       194305                   1              299007              64.09                3.82        0.9984         0.000               1.0000                0.000   118484     5  71961373  
     probably  usafe                          12  0.02             37326                963          144       167159                   1              254807             152.53                4.16        0.9983         0.000               1.0000                0.000   125038    12  71961373  
significantly  subaverage                     20  0.03             25847                743          145       147350                   1              221381             253.99                4.37        0.9983         0.000               1.0000                0.000   125736    20  71961373  
    generally  i-shaped                        6  0.01             61354               1419          146       191117                   1              293207              75.99                3.86        0.9982         0.000               1.0000                0.000   127889     6  71961373  
      usually  touch-screen                    6  0.01             61397               1425          147       191350                   1              293699              75.90                3.86        0.9982         0.000               1.0000                0.000   128897     6  71961373  
      usually  me-deep                         5  0.01             69772               1594          148       196908                   1              303119              63.25                3.79        0.9982         0.000               1.0000                0.000   128897     5  71961373  
    sometimes  transl                         12  0.02             37862               1033          149       171733                   1              262222             149.46                4.10        0.9980         0.000               1.0000                0.000   142108    12  71961373  
    seemingly  non-ending                      5  0.01             71540               1809          150       203231                   1              313475              61.08                3.69        0.9978         0.000               1.0000                0.000   160158     5  71961373  
         well  looked-after                    6  0.01             63260               1692          151       199444                   1              307059              72.68                3.74        0.9977         0.000               1.0000                0.000   168552     6  71961373  
    perfectly  lobbed                          5  0.01             72059               1911          152       205019                   1              316812              60.43                3.66        0.9976         0.000               1.0000                0.000   170924     5  71961373  
      largely  non-differentiated             15  0.04             33021               1024          153       170843                   1              260421             180.90                4.11        0.9976         0.000               1.0000                0.000   173122    15  71961373  
       nearly  32-year                        49  0.12             14117                573          154       125246                   1              184085             587.84                4.60        0.9975         0.000               1.0000                0.000   178695    49  71961373  
       nearly  zero-energy                    27  0.07             21675                764          155       149432                   1              224747             323.91                4.34        0.9975         0.000               1.0000                0.000   178695    27  71961373  
       nearly  25-year                        19  0.05             27948                907          156       163231                   1              247991             227.93                4.20        0.9975         0.000               1.0000                0.000   178695    19  71961373  
       nearly  eight-week                     17  0.04             30256                971          157       167489                   1              255357             203.94                4.15        0.9975         0.000               1.0000                0.000   178695    17  71961373  
       nearly  14-year                        16  0.04             31589               1003          158       169705                   1              258492             191.94                4.12        0.9975         0.000               1.0000                0.000   178695    16  71961373  
       nearly  two-month-long                 10  0.02             44297               1294          159       185545                   1              283825             119.96                3.93        0.9975         0.000               1.0000                0.000   178695    10  71961373  
       nearly  three-year-long                10  0.02             44297               1294          159       185545                   1              283825             119.96                3.93        0.9975         0.000               1.0000                0.000   178695    10  71961373  
       nearly  four-decade-old                 9  0.02             47785               1389          161       188867                   1              289549             107.97                3.88        0.9975         0.000               1.0000                0.000   178695     9  71961373  
       nearly  2-meter                         9  0.02             47785               1389          161       188867                   1              289549             107.97                3.88        0.9975         0.000               1.0000                0.000   178695     9  71961373  
       nearly  6-week-old                      8  0.02             52023               1487          163       192545                   1              295956              95.97                3.83        0.9975         0.000               1.0000                0.000   178695     8  71961373  
       nearly  400-year                        8  0.02             52023               1487          163       192545                   1              295956              95.97                3.83        0.9975         0.000               1.0000                0.000   178695     8  71961373  
       nearly  five-year-long                  8  0.02             52023               1487          163       192545                   1              295956              95.97                3.83        0.9975         0.000               1.0000                0.000   178695     8  71961373  
       nearly  2-week-old                      8  0.02             52023               1487          163       192545                   1              295956              95.97                3.83        0.9975         0.000               1.0000                0.000   178695     8  71961373  
       nearly  half-trillion                   8  0.02             52023               1487          163       192545                   1              295956              95.97                3.83        0.9975         0.000               1.0000                0.000   178695     8  71961373  
       nearly  28-year                         7  0.02             57239               1613          168       196524                   1              302607              83.98                3.78        0.9975         0.000               1.0000                0.000   178695     7  71961373  
       nearly  10-week-old                     7  0.02             57239               1613          168       196524                   1              302607              83.98                3.78        0.9975         0.000               1.0000                0.000   178695     7  71961373  
       nearly  9-inch                          7  0.02             57239               1613          168       196524                   1              302607              83.98                3.78        0.9975         0.000               1.0000                0.000   178695     7  71961373  
       nearly  8-year                          7  0.02             57239               1613          168       196524                   1              302607              83.98                3.78        0.9975         0.000               1.0000                0.000   178695     7  71961373  
       nearly  five-decade-long                6  0.01             63701               1744          172       201137                   1              310364              71.98                3.72        0.9975         0.000               1.0000                0.000   178695     6  71961373  
       nearly  two-century-old                 6  0.01             63701               1744          172       201137                   1              310364              71.98                3.72        0.9975         0.000               1.0000                0.000   178695     6  71961373  
       nearly  five-month-long                 6  0.01             63701               1744          172       201137                   1              310364              71.98                3.72        0.9975         0.000               1.0000                0.000   178695     6  71961373  
       nearly  two-touchdown                   6  0.01             63701               1744          172       201137                   1              310364              71.98                3.72        0.9975         0.000               1.0000                0.000   178695     6  71961373  
       nearly  800-page                        6  0.01             63701               1744          172       201137                   1              310364              71.98                3.72        0.9975         0.000               1.0000                0.000   178695     6  71961373  
       nearly  9-year                          5  0.01             72423               1955          177       206252                   1              318577              59.98                3.65        0.9975         0.000               1.0000                0.000   178695     5  71961373  
       nearly  37-year                         5  0.01             72423               1955          177       206252                   1              318577              59.98                3.65        0.9975         0.000               1.0000                0.000   178695     5  71961373  
       nearly  3-meter                         5  0.01             72423               1955          177       206252                   1              318577              59.98                3.65        0.9975         0.000               1.0000                0.000   178695     5  71961373  
       nearly  trillion-dollar                 5  0.01             72423               1955          177       206252                   1              318577              59.98                3.65        0.9975         0.000               1.0000                0.000   178695     5  71961373  
       nearly  3-million                       5  0.01             72423               1955          177       206252                   1              318577              59.98                3.65        0.9975         0.000               1.0000                0.000   178695     5  71961373  
       nearly  17-month-old                    5  0.01             72423               1955          177       206252                   1              318577              59.98                3.65        0.9975         0.000               1.0000                0.000   178695     5  71961373  
       nearly  three-ton                       5  0.01             72423               1955          177       206252                   1              318577              59.98                3.65        0.9975         0.000               1.0000                0.000   178695     5  71961373  
       nearly  4-week-old                      5  0.01             72423               1955          177       206252                   1              318577              59.98                3.65        0.9975         0.000               1.0000                0.000   178695     5  71961373  
       nearly  36-year                         5  0.01             72423               1955          177       206252                   1              318577              59.98                3.65        0.9975         0.000               1.0000                0.000   178695     5  71961373  
       nearly  200-foot                        5  0.01             72423               1955          177       206252                   1              318577              59.98                3.65        0.9975         0.000               1.0000                0.000   178695     5  71961373  
