key,index,l1,l2,f,E11,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
NEG~inherently,10,NEGMIR,inherently,2814,795.77974,4123.409409,4123.409409,0.7978335618972778,0.019346721470355988,38.045780181884766,0.37019622325897217,0.00827522948384285,0.5147247314453125,0.009858637116849422,0.3691641092300415,0.007070682477205992,2018.220258,285435,5467,1960936
NEG~precisely,11,NEGMIR,precisely,48,14.55606,62.903035,62.903035,0.7342788577079773,0.00033621100010350347,4.827217102050781,0.3344564735889435,0.00013712889631278813,0.47999998927116394,0.00016816440620459616,0.33443939685821533,0.00011716830340446904,33.443941,285435,100,1960936
NEG~again,12,NEGMIR,again,171,51.96513,223.390366,223.390366,0.7324341535568237,0.0011966745369136333,9.102824211120605,0.333491712808609,0.0004880740016233176,0.4789915978908539,0.0005990855861455202,0.3334310054779053,0.0004170296888332814,119.03487,285435,357,1960936
NEG~overtly,13,NEGMIR,overtly,370,121.25197,427.644586,427.644586,0.6718186140060425,0.002584990346804261,12.931794166564941,0.29874399304389954,0.0010199317475780845,0.44417765736579895,0.0012962671462446451,0.29861709475517273,0.0008714700234122574,248.748029,285435,833,1960936
NEG~intrinsically,14,NEGMIR,intrinsically,419,137.84588,481.158887,481.158887,0.6688249111175537,0.002926161512732506,13.735278129577637,0.2970327138900757,0.0011528052855283022,0.4424498379230499,0.0014679349260404706,0.2968892455101013,0.0009850022615864873,281.154122,285435,947,1960936
NEG~majorly,15,NEGMIR,majorly,48,17.46727,46.141252,46.141252,0.5940949320793152,0.00033618739689700305,4.407020092010498,0.25445497035980225,0.00012519219308160245,0.4000000059604645,0.00016816440620459616,0.25443941354751587,0.00010696909885155037,30.532729,285435,120,1960936
NEG~specially,16,NEGMIR,specially,28,10.3348,26.217152,26.217152,0.5850238800048828,0.00019614299526438117,3.3384087085723877,0.24881461262702942,7.243190339067951e-05,0.39436620473861694,9.809590119402856e-05,0.24880561232566833,6.188869883771986e-05,17.665198,285435,71,1960936
NEG~outwardly,17,NEGMIR,outwardly,63,23.58082,57.463703,57.463703,0.5736576914787292,0.00044118109508417547,4.966350555419922,0.2433484047651291,0.00016162889369297773,0.3888888955116272,0.0002207156940130517,0.2433283030986786,0.00013810209929943085,39.419185,285435,162,1960936
NEG~knowingly,18,NEGMIR,knowingly,30,11.64485,25.512003,25.512003,0.5496779680252075,0.00021014659432694316,3.351177215576172,0.22944876551628113,7.526089757448062e-05,0.375,0.0001051026993081905,0.2294394075870514,6.430590292438865e-05,18.355153,285435,80,1960936
NEG~yet,19,NEGMIR,yet,313,124.4543,253.881531,253.881531,0.5308105945587158,0.0021865940652787685,10.657233238220215,0.22061747312545776,0.000773086620029062,0.3660818636417389,0.0010965719120576978,0.22052128612995148,0.0006605556118302047,188.545696,285435,855,1960936
