key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,first_char
really~fun,really,fun,1567,563.275504,1258.53501,0.47040272,0.051210172,0.005682376,0.07970093,0.008617087,181848,19661,6347362,1567.0,180281.0,18094.0,6147420.0,181848.0,6165514.0,19661.0,6327701.0,181284.724496255,19097.724496255,6146416.275503744,25.355959,0.015552655,0.44434813,0.005682376,0.051210172,0.051210172,0.028446274,1003.724496,0.64053893,1.3457831,1.334552,1.3507882,1.3628521,1.445853,1.3792416,39.585350825778974,426.43639619525914,140.21768789992225,r
very~appealing,very,appealing,1049,681.944453,190.75722,0.21273448,0.0511656,0.00067292,0.14605959,0.001740518,602694,7182,6347362,1049.0,601645.0,6133.0,5738535.0,602694.0,5744668.0,7182.0,6340180.0,602012.055546856,6500.055546856,5738167.944453144,11.332978,0.003440044,0.18702649,0.00067292,0.0511656,0.0511656,0.02591926,367.05554700000005,0.34990996,0.4403966,0.42609602,0.44676864,0.46212453,0.56768477,0.48298097,32.38826948140329,776.3336911406074,84.74668135095321,v
most~impressive,most,impressive,1747,900.746413,670.68789,0.3129938,0.051106665,0.002598311,0.10522828,0.005072914,344378,16602,6347362,1747.0,342631.0,14855.0,5988129.0,344378.0,6002984.0,16602.0,6330760.0,343477.253586608,15701.253586608,5987282.746413392,20.24669,0.009679207,0.28769037,0.002598311,0.051106665,0.051106665,0.026852487,846.253587,0.48440388,0.8360403,0.8252958,0.8408293,0.8523739,0.93187255,0.86806214,41.79712908801273,586.8372857956454,128.84874853874211,m
as~lucky,as,lucky,2420,1626.000658,383.2358,0.1985199,0.050602157,0.001349651,0.15384616,0.003688333,656123,15730,6347362,2420.0,653703.0,13310.0,5677929.0,656123.0,5691239.0,15730.0,6331632.0,654496.999341774,14103.999341774,5677135.000658226,16.140331,0.007203957,0.17269465,0.001349651,0.050602157,0.050602157,0.025975903,793.9993420000001,0.3280989,0.4836644,0.47435808,0.48781368,0.4978197,0.56685597,0.5114249,49.193495504995376,810.0141974064405,125.41929676090518,a
as~cool,as,cool,2285,1535.242325,361.85826,0.19850866,0.05060033,0.001274448,0.15385133,0.003482579,656123,14852,6347362,2285.0,653838.0,12567.0,5678672.0,656123.0,5691239.0,14852.0,6332510.0,654587.757674763,13316.757674763,5677922.242325237,15.684758,0.006810984,0.17270927,0.001274448,0.05060033,0.05060033,0.02593739,749.7576750000001,0.3281215,0.47858417,0.46899864,0.48285782,0.49316335,0.5642524,0.507175,47.80167361086848,810.0141974064405,121.86878189265698,a
as~healthy,as,healthy,1502,1010.84936,235.75393,0.19749981,0.050302535,0.000834864,0.15359443,0.002289205,656123,9779,6347362,1502.0,654621.0,8277.0,5682962.0,656123.0,5691239.0,9779.0,6337583.0,655112.150639746,8768.150639746,5682470.849360254,12.673009,0.004511174,0.1719835,0.000834864,0.050302535,0.050302535,0.0255687,491.15063999999995,0.32699776,0.4332031,0.42129704,0.43850985,0.4513029,0.5394084,0.46868813,38.7556447501522,810.0141974064405,98.88882646689666,a
as~heavy,as,heavy,1391,936.113284,218.33988,0.19750038,0.050302193,0.000773222,0.15359983,0.002120029,656123,9056,6347362,1391.0,654732.0,7665.0,5683574.0,656123.0,5691239.0,9056.0,6338306.0,655186.886715773,8119.886715773,5683119.113284227,12.196626,0.004182333,0.17199872,0.000773222,0.050302193,0.050302193,0.025537707,454.886716,0.32702136,0.42442042,0.41202998,0.42994276,0.44325462,0.53490275,0.46134317,37.296112397943034,810.0141974064405,95.16301802696255,a
particularly~useful,particularly,useful,1200,233.86052,2054.36691,0.7383747,0.049723715,0.012839382,0.061570037,0.015755888,76162,19490,6347362,1200.0,74962.0,18290.0,6252910.0,76162.0,6271200.0,19490.0,6327872.0,75928.139479677,19256.139479677,6251943.860520323,27.890045,0.025090955,0.71022433,0.012839382,0.049723715,0.049723715,0.03128155,966.13948,0.80511624,2.1970599,2.1842544,2.202765,2.216512,2.3109348,2.2351785,34.64101615137755,275.9746365157494,139.60659010233005,p
very~competitive,very,competitive,1369,900.903505,235.88516,0.20657387,0.04940949,0.000858157,0.14428753,0.002271468,602694,9488,6347362,1369.0,601325.0,8119.0,5736549.0,602694.0,5744668.0,9488.0,6337874.0,601793.096495205,8587.096495205,5736080.903504794,12.651257,0.004472526,0.18172517,0.000858157,0.04940949,0.04940949,0.025133824,468.096495,0.34192586,0.45372954,0.4412947,0.45927143,0.47262993,0.56457746,0.49078056,37.0,776.3336911406074,97.40636529508737,v
as~consistent,as,consistent,1126,763.383017,170.49834,0.19368088,0.04915902,0.000616381,0.15247123,0.001716142,656123,7385,6347362,1126.0,654997.0,6259.0,5684980.0,656123.0,5691239.0,7385.0,6339977.0,655359.616982772,6621.616982772,5684617.383017228,10.806348,0.003394081,0.1687959,0.000616381,0.04915902,0.04915902,0.024887701,362.616983,0.32203996,0.38576478,0.37194008,0.39192528,0.4067727,0.50888777,0.42694154,33.555923471125034,810.0141974064405,85.93602271457529,a
so~proud,so,proud,2285,1475.097809,425.87254,0.21484755,0.049129754,0.00156978,0.13825025,0.004033596,566492,16528,6347362,2285.0,564207.0,14243.0,5766627.0,566492.0,5780870.0,16528.0,6330834.0,565016.902191493,15052.902191493,5765817.097808507,16.942966,0.007838496,0.19006538,0.00156978,0.049129754,0.049129754,0.025349768,809.9021909999999,0.35444298,0.53397053,0.52446276,0.5382094,0.5484306,0.61892295,0.5623267,47.80167361086848,752.6566282176753,128.56126943990557,s
as~aggressive,as,aggressive,1354,920.504505,202.31012,0.19228761,0.048748404,0.000736861,0.1520494,0.002063637,656123,8905,6347362,1354.0,654769.0,7551.0,5683688.0,656123.0,5691239.0,8905.0,6338457.0,655202.495495136,7984.495495136,5683254.504504863,11.780813,0.004072009,0.16759275,0.000736861,0.048748404,0.048748404,0.024742631,433.495495,0.32015917,0.40415373,0.39159828,0.40974945,0.42323792,0.51608783,0.44156557,36.796738985948195,810.0141974064405,94.36630754670864,a
completely~different,completely,different,4592,745.603465,9454.37951,0.84106344,0.048310377,0.066153616,0.056942325,0.07824694,58686,80643,6347362,4592.0,54094.0,76051.0,6212625.0,58686.0,6288676.0,80643.0,6266719.0,57940.396535443,79897.396535443,6208778.603464558,56.761402,0.06591593,0.789494,0.048310377,0.066153616,0.066153616,0.057231996,3846.396535,0.8376299,2.574726,2.568351,2.5775688,2.5844254,2.6317744,2.593751,67.76429738438966,242.25193497679228,283.9771117537468,c
so~hard,so,hard,6180,4021.622843,1118.17033,0.21191268,0.04824148,0.004183441,0.13714743,0.010909245,566492,45061,6347362,6180.0,560312.0,38881.0,5741989.0,566492.0,5780870.0,45061.0,6302301.0,562470.377156998,41039.377156998,5739830.622843002,27.455736,0.02021084,0.18658714,0.004183441,0.04824148,0.04824148,0.026212461,2158.377157,0.34925196,0.5907882,0.5850802,0.59333414,0.5994762,0.64195174,0.6078335,78.61297602813418,752.6566282176753,212.27576404290716,s
yet~able,yet,able,1320,198.254134,2840.56251,0.85431546,0.048207603,0.02099719,0.056518946,0.024498433,53881,23355,6347362,1320.0,52561.0,22035.0,6271446.0,53881.0,6293481.0,23355.0,6324007.0,53682.745866235,23156.745866235,6270324.254133765,30.875038,0.03418095,0.8233517,0.02099719,0.048207603,0.048207603,0.034602396,1121.745866,0.8498075,2.5820787,2.5699253,2.5874934,2.600542,2.6902084,2.618263,36.3318042491699,232.12281232140884,152.82342752340034,y
that~impressive,that,impressive,1231,435.953543,1009.24599,0.4750185,0.04801418,0.004898646,0.074147694,0.007385586,166676,16602,6347362,1231.0,165445.0,15371.0,6165315.0,166676.0,6180686.0,16602.0,6330760.0,166240.046457095,16166.046457095,6164519.953542905,22.660187,0.013433145,0.45081785,0.004898646,0.04801418,0.04801418,0.026456414,795.0464569999999,0.6458542,1.3354257,1.3227177,1.3410878,1.3547317,1.4484811,1.3732606,35.08560958569767,408.2597212559672,128.84874853874211,t
well~enough,well,enough,1353,44.531054,6860.07077,1.5636305,0.047610186,0.12798664,0.049016412,0.13212891,10240,27603,6347362,1353.0,8887.0,26250.0,6310872.0,10240.0,6337122.0,27603.0,6319759.0,10195.468945997,27558.468945997,6309563.531054003,35.57251,0.07150596,1.4826348,0.047610186,0.12798664,0.12798664,0.08779842,1308.468946,0.96708715,4.7743573,4.7624006,4.779684,4.7925215,4.880737,4.8099556,36.78314831549904,101.19288512538814,166.14150595200465,w
especially~true,especially,true,1795,147.550451,5858.74006,1.1341212,0.047375396,0.061769366,0.051334117,0.06701762,26784,34967,6347362,1795.0,24989.0,33172.0,6287406.0,26784.0,6320578.0,34967.0,6312395.0,26636.449548647,34819.449548647,6285758.550451353,38.884804,0.05813671,1.0851239,0.047375396,0.061769366,0.061769366,0.05457238,1647.449549,0.9177992,3.483148,3.472822,3.4877503,3.498843,3.5751793,3.513914,42.36744032862972,163.65818036383027,186.994652329953,e
as~painful,as,painful,1008,693.091825,142.25822,0.18644561,0.047015835,0.000535285,0.15033557,0.001536297,656123,6705,6347362,1008.0,655115.0,5697.0,5685542.0,656123.0,5691239.0,6705.0,6340657.0,655429.908174609,6011.908174609,5685227.091825391,9.918675,0.003041513,0.16266975,0.000535285,0.047015835,0.047015835,0.02377556,314.908175,0.3124089,0.3471531,0.33252007,0.35367307,0.3693852,0.4773805,0.39072466,31.74901573277509,810.0141974064405,81.88406438373708,a
so~nice,so,nice,3029,1992.381624,520.33612,0.20559038,0.046599045,0.002009209,0.13568357,0.005346942,566492,22324,6347362,3029.0,563463.0,19295.0,5761575.0,566492.0,5780870.0,22324.0,6325038.0,564499.618376264,20331.618376264,5760538.381623736,18.835157,0.010288443,0.18192674,0.002009209,0.046599045,0.046599045,0.024304127,1036.618376,0.3422312,0.52649295,0.5182799,0.5301551,0.5389872,0.5999536,0.550998,55.036351623268054,752.6566282176753,149.41218156495808,s
particularly~surprising,particularly,surprising,1097,225.293234,1781.32424,0.7136188,0.04656439,0.011584431,0.05842565,0.014403508,76162,18776,6347362,1097.0,75065.0,17679.0,6253521.0,76162.0,6271200.0,18776.0,6328586.0,75936.706766055,18550.706766055,6252649.293233945,26.318861,0.02310982,0.68745846,0.011584431,0.04656439,0.04656439,0.02907441,871.706766,0.79462785,2.1058385,2.0924335,2.1118102,2.1261978,2.2249658,2.1457312,33.12099032335839,275.9746365157494,137.02554506368512,p
so~happy,so,happy,6326,4184.322704,1064.24011,0.20370004,0.04602027,0.004151072,0.13492876,0.011166971,566492,46884,6347362,6326.0,560166.0,40558.0,5740312.0,566492.0,5780870.0,46884.0,6300478.0,562307.677295859,42699.677295859,5738170.322704141,26.927092,0.020626826,0.17950402,0.004151072,0.04602027,0.04602027,0.02508567,2141.677296,0.33855158,0.5649394,0.55930567,0.5674522,0.5735145,0.6154393,0.5817632,79.5361553005927,752.6566282176753,216.527134558235,s
