colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
as_grating,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_grave,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_heady,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_high-profile,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_hurt,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_ideological,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_intransigent,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_intrigued,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_irreversible,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_melodramatic,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_muscled,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_nutty,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_obstreperous,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_pressured,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_privileged,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_punky,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_self-sustaining,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_settled,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_single-minded,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_stagnant,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_strident,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_surreal,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_swashbuckling,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_trusting,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
as_uncommon,0,2,2,-0.13694,0.12166,-0.08118,0.0,1.0,0.0,8.61435,1,3
