    l1  l2                             f    E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple      f1   f2        N  
NEGMIR  too_amused                    12   2.08              1643                196          128         3586                   1                5787              42.03               2.076     0.8264195      0.000041                 1.00             0.000041  291735   12  1680633  
NEGMIR  necessarily_easy              12   2.08              1643                196          128         3586                   1                5787              42.03               2.076     0.8264195      0.000041                 1.00             0.000041  291735   12  1680633  
NEGMIR  before_possible               12   2.08              1643                196          128         3586                   1                5787              42.03               2.076     0.8264195      0.000041                 1.00             0.000041  291735   12  1680633  
NEGMIR  before_have                   11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  longer_valid                  11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  that_neat                     11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  particularly_glamorous        11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  wholly_satisfactory           11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  ever_secure                   11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  before_accessible             11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  ever_serious                  11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  particularly_sophisticated    11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  not_right                     11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  especially_fancy              11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  really_past                   11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  n't_enough                    11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  immediately_forthcoming       11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  completely_rid                11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  longer_welcome                11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  longer_young                  11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  so_fatiguing                  11   1.91              1805                225          148         3868                   1                6274              38.52               2.039     0.8264190      0.000038                 1.00             0.000038  291735   11  1680633  
NEGMIR  fully_possible                10   1.74              1977                258          166         4234                   1                6846              35.02               2.000     0.8264185      0.000034                 1.00             0.000034  291735   10  1680633  
NEGMIR  not_free                      10   1.74              1977                258          166         4234                   1                6846              35.02               2.000     0.8264185      0.000034                 1.00             0.000034  291735   10  1680633  
NEGMIR  particularly_nefarious        10   1.74              1977                258          166         4234                   1                6846              35.02               2.000     0.8264185      0.000034                 1.00             0.000034  291735   10  1680633  
NEGMIR  ever_forthcoming              10   1.74              1977                258          166         4234                   1                6846              35.02               2.000     0.8264185      0.000034                 1.00             0.000034  291735   10  1680633  
NEGMIR  terribly_successful           10   1.74              1977                258          166         4234                   1                6846              35.02               2.000     0.8264185      0.000034                 1.00             0.000034  291735   10  1680633  
NEGMIR  longer_red                    10   1.74              1977                258          166         4234                   1                6846              35.02               2.000     0.8264185      0.000034                 1.00             0.000034  291735   10  1680633  
NEGMIR  ever_responsible              10   1.74              1977                258          166         4234                   1                6846              35.02               2.000     0.8264185      0.000034                 1.00             0.000034  291735   10  1680633  
NEGMIR  that_unusual                  10   1.74              1977                258          166         4234                   1                6846              35.02               2.000     0.8264185      0.000034                 1.00             0.000034  291735   10  1680633  
NEGMIR  terribly_memorable            10   1.74              1977                258          166         4234                   1                6846              35.02               2.000     0.8264185      0.000034                 1.00             0.000034  291735   10  1680633  
NEGMIR  really_threatened             10   1.74              1977                258          166         4234                   1                6846              35.02               2.000     0.8264185      0.000034                 1.00             0.000034  291735   10  1680633  
NEGMIR  ostensibly_wrong              10   1.74              1977                258          166         4234                   1                6846              35.02               2.000     0.8264185      0.000034                 1.00             0.000034  291735   10  1680633  
NEGMIR  that_quick                    10   1.74              1977                258          166         4234                   1                6846              35.02               2.000     0.8264185      0.000034                 1.00             0.000034  291735   10  1680633  
NEGMIR  ever_shy                      10   1.74              1977                258          166         4234                   1                6846              35.02               2.000     0.8264185      0.000034                 1.00             0.000034  291735   10  1680633  
NEGMIR  as_reassuring                 10   1.74              1977                258          166         4234                   1                6846              35.02               2.000     0.8264185      0.000034                 1.00             0.000034  291735   10  1680633  
