     l1  l2                      f       E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple       f1      f2         N  
NEGATED  specified              21      2.21              1628                353           59         3667               41675                8564              65.68               1.199         0.376       0.00001                0.420              0.00001  3173681      50  71961373  
NEGATED  inculpable              7      0.75              3085                365           60         6192               41677               13475              21.56               1.190         0.368       0.00000                0.412              0.00000  3173681      17  71961373  
NEGATED  meanness                7      0.75              3085                365           60         6192               41677               13475              21.56               1.190         0.368       0.00000                0.412              0.00000  3173681      17  71961373  
NEGATED  joking                 23      2.47              1546                376           62         3504               41680                8231              70.72               1.182         0.367       0.00001                0.411              0.00001  3173681      56  71961373  
NEGATED  salesy                 40      4.41              1079                419           63         2670               41681                6460             120.51               1.162         0.356       0.00001                0.400              0.00001  3173681     100  71961373  
NEGATED  rosey                  22      2.43              1618                413           64         3596               41681                8419              66.28               1.163         0.356       0.00001                0.400              0.00001  3173681      55  71961373  
NEGATED  gloom                  16      1.76              1966                411           65         4191               41681                9587              48.20               1.164         0.356       0.00000                0.400              0.00001  3173681      40  71961373  
NEGATED  privvy                  6      0.66              3428                401           66         6645               41681               14264              18.08               1.171         0.356       0.00000                0.400              0.00000  3173681      15  71961373  
NEGATED  duplicable              6      0.66              3428                401           66         6645               41681               14264              18.08               1.171         0.356       0.00000                0.400              0.00000  3173681      15  71961373  
NEGATED  put-heavy              14      1.59              2169                442           68         4473               41687               10162              41.27               1.145         0.345       0.00000                0.389              0.00000  3173681      36  71961373  
NEGATED  drudgery                7      0.79              3179                432           69         6207               41687               13475              20.63               1.150         0.345       0.00000                0.389              0.00000  3173681      18  71961373  
NEGATED  censurable              7      0.79              3179                432           69         6207               41687               13475              20.63               1.150         0.345       0.00000                0.389              0.00000  3173681      18  71961373  
NEGATED  rosy                 2073    236.17                57                455           71          164               41691                 518            6089.55               1.137         0.343       0.00061                0.387              0.00065  3173681    5355  71961373  
NEGATED  far-fetched          1955    222.98                64                458           72          175               41692                 540            5737.69               1.136         0.343       0.00057                0.387              0.00062  3173681    5056  71961373  
NEGATED  punched                10      1.15              2648                448           73         5228               41693               11690              29.22               1.140         0.341       0.00000                0.385              0.00000  3173681      26  71961373  
NEGATED  enforcable              5      0.57              3864                439           74         7233               41693               15300              14.61               1.147         0.341       0.00000                0.385              0.00000  3173681      13  71961373  
NEGATED  extinguished           39      4.50              1110                465           75         2712               41695                6544             113.44               1.130         0.338       0.00001                0.382              0.00001  3173681     102  71961373  
NEGATED  clear-cut            1362    157.62                87                473           76          242               41696                 731            3951.76               1.126         0.337       0.00040                0.381              0.00043  3173681    3574  71961373  
NEGATED  mourned                 8      0.93              2980                459           77         5823               41697               12806              23.20               1.135         0.337       0.00000                0.381              0.00000  3173681      21  71961373  
NEGATED  champagne               9      1.06              2828                480           78         5508               41698               12216              25.78               1.123         0.331       0.00000                0.375              0.00000  3173681      24  71961373  
NEGATED  coalesces              14      1.68              2229                500           79         4497               41699               10162              39.54               1.108         0.324       0.00000                0.368              0.00000  3173681      38  71961373  
NEGATED  cricket                13      1.59              2366                524           80         4654               41700               10468              36.14               1.095         0.317       0.00000                0.361              0.00000  3173681      36  71961373  
NEGATED  flashy               1608    197.14                81                553           81          210               41701                 634            4456.56               1.086         0.316       0.00047                0.360              0.00051  3173681    4470  71961373  
NEGATED  earth-shaking          10      1.23              2722                541           82         5248               41702               11690              27.55               1.090         0.313       0.00000                0.357              0.00000  3173681      28  71961373  
NEGATED  overstatement           5      0.62              3976                515           83         7261               41702               15300              13.78               1.099         0.313       0.00000                0.357              0.00000  3173681      14  71961373  
NEGATED  destiny                 5      0.62              3976                515           83         7261               41702               15300              13.78               1.099         0.313       0.00000                0.357              0.00000  3173681      14  71961373  
NEGATED  describable            36      4.45              1218                560           85         2828               41705                6778              99.02               1.082         0.312       0.00001                0.356              0.00001  3173681     101  71961373  
NEGATED  smooth-sailing          6      0.75              3630                546           86         6702               41706               14264              16.37               1.088         0.309       0.00000                0.353              0.00000  3173681      17  71961373  
NEGATED  beef                    6      0.75              3630                546           86         6702               41706               14264              16.37               1.088         0.309       0.00000                0.353              0.00000  3173681      17  71961373  
NEGATED  includible              6      0.75              3630                546           86         6702               41706               14264              16.37               1.088         0.309       0.00000                0.353              0.00000  3173681      17  71961373  
NEGATED  matchy                 55      6.88               930                589           89         2257               41709                5578             149.95               1.074         0.308       0.00002                0.353              0.00002  3173681     156  71961373  
NEGATED  downhearted            47      5.91              1045                594           90         2464               41710                6005             127.61               1.071         0.307       0.00001                0.351              0.00001  3173681     134  71961373  
NEGATED  unemployment            7      0.88              3327                567           91         6252               41711               13475              18.97               1.081         0.306       0.00000                0.350              0.00000  3173681      20  71961373  
NEGATED  trippin                23      2.91              1692                598           92         3548               41712                8231              62.12               1.069         0.304       0.00001                0.348              0.00001  3173681      66  71961373  
NEGATED  bloggable               8      1.01              3084                579           93         5866               41713               12806              21.57               1.075         0.304       0.00000                0.348              0.00000  3173681      23  71961373  
NEGATED  reducible             103     13.14               607                619           94         1546               41714                4006             276.32               1.060         0.302       0.00003                0.346              0.00003  3173681     298  71961373  
NEGATED  prologue               11      1.46              2673                665           95         5062               41715               11213              28.64               1.044         0.289       0.00000                0.333              0.00000  3173681      33  71961373  
NEGATED  shure                   8      1.06              3159                651           96         5881               41715               12806              20.83               1.048         0.289       0.00000                0.333              0.00000  3173681      24  71961373  
NEGATED  playtime                7      0.93              3412                644           97         6280               41715               13475              18.23               1.050         0.289       0.00000                0.333              0.00000  3173681      21  71961373  
NEGATED  ivorian                 7      0.93              3412                644           97         6280               41715               13475              18.23               1.050         0.289       0.00000                0.333              0.00000  3173681      21  71961373  
NEGATED  herself                 6      0.79              3717                634           99         6721               41715               14264              15.62               1.052         0.289       0.00000                0.333              0.00000  3173681      18  71961373  
NEGATED  frou-frou               6      0.79              3717                634           99         6721               41715               14264              15.62               1.052         0.289       0.00000                0.333              0.00000  3173681      18  71961373  
NEGATED  media                   6      0.79              3717                634           99         6721               41715               14264              15.62               1.052         0.289       0.00000                0.333              0.00000  3173681      18  71961373  
NEGATED  mimicry                 6      0.79              3717                634           99         6721               41715               14264              15.62               1.052         0.289       0.00000                0.333              0.00000  3173681      18  71961373  
NEGATED  kiddy                  18      2.43              2013                692          103         4015               41725                9125              46.16               1.029         0.283       0.00001                0.327              0.00001  3173681      55  71961373  
NEGATED  hyperbole              69      9.35               837                711          104         2006               41726                4965             176.12               1.021         0.281       0.00002                0.325              0.00002  3173681     212  71961373  
NEGATED  clearcut               55      7.45               983                710          105         2274               41727                5578             140.37               1.021         0.281       0.00002                0.325              0.00002  3173681     169  71961373  
NEGATED  failsafe                9      1.23              3012                709          106         5568               41728               12216              22.73               1.024         0.277       0.00000                0.321              0.00000  3173681      28  71961373  
NEGATED  classifiable           39      5.42              1236                755          107         2746               41729                6544              97.37               1.006         0.273       0.00001                0.317              0.00001  3173681     123  71961373  
NEGATED  condusive              18      2.51              2061                753          108         4025               41730                9125              44.79               1.007         0.272       0.00001                0.316              0.00001  3173681      57  71961373  
NEGATED  harmony                 6      0.84              3817                714          109         6755               41730               14264              14.93               1.019         0.272       0.00000                0.316              0.00000  3173681      19  71961373  
NEGATED  imputable               6      0.84              3817                714          109         6755               41730               14264              14.93               1.019         0.272       0.00000                0.316              0.00000  3173681      19  71961373  
NEGATED  anamorphic              5      0.71              4217                723          111         7329               41733               15300              12.33               1.016         0.268       0.00000                0.312              0.00000  3173681      16  71961373  
NEGATED  ship-shape              5      0.71              4217                723          111         7329               41733               15300              12.33               1.016         0.268       0.00000                0.312              0.00000  3173681      16  71961373  
NEGATED  titillation             9      1.28              3057                769          113         5583               41735               12216              22.06               1.002         0.266       0.00000                0.310              0.00000  3173681      29  71961373  
NEGATED  resectable             13      1.85              2538                784          114         4710               41736               10468              31.80               0.996         0.265       0.00000                0.310              0.00000  3173681      42  71961373  
NEGATED  expressible            17      2.43              2159                786          115         4133               41737                9362              41.53               0.994         0.265       0.00000                0.309              0.00001  3173681      55  71961373  
