l1,l2,f,E11,r_log_likelihood,r_Poisson_Stirling,r_odds_ratio,r_Dice,r_dPEX,r_dPXE,am_log_likelihood,am_Poisson_Stirling,am_odds_ratio,am_Dice,am_dPEX,am_dPXE,f1,f2,N
freshly,homemade,47,3.8714102e-02,15169,12310,711,1360,18443,5408,5.7609450e+02,1.2454691e+02,3.1070548e+00,2.5795829e-02,2.7970346e-02,2.3899424e-02,1965,1679,85220496
formerly,state-owned,234,2.3420897e-01,4677,3822,712,1444,1715,10378,2.8205166e+03,6.0028438e+02,3.1069445e+00,2.4727888e-02,2.0853601e-01,1.3131965e-02,17805,1121,85220496
good,underfoot,6,4.7877215e-03,57558,46184,713,5359,37543,19836,7.3728406e+01,1.5982367e+01,3.1065352e+00,9.0429540e-03,1.2386873e-02,7.1118287e-03,843,484,85220496
militantly,anti-communist,7,5.5931263e-03,52338,42077,714,4655,47328,12441,8.6003709e+01,1.8642043e+01,3.1063219e+00,1.0101010e-02,9.2888030e-03,1.1049698e-02,633,753,85220496
intensely,flavored,157,1.8275125e-01,6505,5372,715,4963,748,29647,1.8659080e+03,3.9245994e+02,3.1062954e+00,9.6136183e-03,3.2400442e-01,4.8752714e-03,32178,484,85220496
precariously,balanced,67,5.6825133e-02,11913,9687,716,1494,32303,1921,8.1908577e+02,1.7669507e+02,3.1059827e+00,2.4001433e-02,1.4847354e-02,6.2331488e-02,1074,4509,85220496
fine,upstanding,8,6.4063462e-03,48150,38843,717,4247,42501,12481,9.8264949e+01,2.1297481e+01,3.1059292e+00,1.0825440e-02,1.0629873e-02,1.1010553e-02,726,752,85220496
religiously,observant,567,5.3032369e-01,2251,1821,718,269,5434,1505,6.8749684e+03,1.4712219e+03,3.1058381e+00,8.4024896e-02,9.1906336e-02,7.7266560e-02,7332,6164,85220496
functionally,obsolete,636,6.0093356e-01,2043,1639,719,238,6116,1181,7.7046237e+03,1.6474538e+03,3.1056016e+00,8.8684376e-02,8.3185761e-02,9.4786554e-02,6704,7639,85220496
horribly,awry,182,1.8898676e-01,5693,4685,720,2423,1375,16197,2.1857851e+03,4.6398089e+02,3.1052934e+00,1.6683472e-02,2.3766359e-01,8.6380059e-03,21053,765,85220496
digitally,savvy,703,7.1423220e-01,1884,1529,721,362,12370,505,8.4592690e+03,1.7988515e+03,3.1039933e+00,6.9511050e-02,4.2444992e-02,1.9095054e-01,3678,16549,85220496
openly,homosexual,841,1.0695625e+00,1671,1340,722,737,547,6244,9.9081965e+03,2.0699494e+03,3.1039522e+00,3.9881446e-02,3.6759429e-01,2.1066026e-02,39890,2285,85220496
newly,unsealed,219,2.4676364e-01,4942,4086,723,2795,943,18248,2.6097159e+03,5.5053719e+02,3.1037692e+00,1.5021606e-02,2.9561505e-01,7.7002677e-03,28418,740,85220496
below,par,33,2.7189058e-02,19256,15605,724,1720,21145,6809,4.0419742e+02,8.7444235e+01,3.1032557e+00,2.1554540e-02,2.4120951e-02,1.9453373e-02,1695,1367,85220496
customarily,incidental,22,1.8255843e-02,25256,20467,725,3365,54647,3142,2.6925072e+02,5.8227979e+01,3.1021770e+00,1.2990847e-02,7.7430350e-03,4.0112930e-02,548,2839,85220496
newly,emerge,712,8.1498695e-01,1882,1538,726,586,972,5153,8.4705192e+03,1.7850088e+03,3.1017487e+00,4.6140885e-02,2.9100058e-01,2.5034212e-02,28418,2444,85220496
borderline,diabetic,23,1.9074566e-02,24559,19891,727,2967,14384,15593,2.8145416e+02,6.0880510e+01,3.1012381e+00,1.4370509e-02,3.6305049e-02,8.9492282e-03,2568,633,85220496
stridently,leftist,17,1.3951010e-02,29878,24212,728,2906,42095,5741,2.0818184e+02,4.5076329e+01,3.1004571e+00,1.4573511e-02,1.0744063e-02,2.2588030e-02,752,1581,85220496
softly,glowing,15,1.2270710e-02,32436,26202,729,2975,27312,11601,1.8373401e+02,3.9793906e+01,3.1003466e+00,1.4340344e-02,1.8145127e-02,1.1838825e-02,1266,826,85220496
officially,nonpartisan,202,1.9645450e-01,5231,4256,730,1309,2414,9409,2.4374779e+03,5.2071457e+02,3.0987389e+00,2.6570207e-02,1.6887563e-01,1.4406619e-02,14010,1195,85220496
seventh,overall,42,3.6087762e-02,16428,13327,731,2610,48657,1858,5.1218453e+02,1.1052698e+02,3.0984669e+00,1.5736231e-02,8.9652248e-03,6.3872505e-02,657,4681,85220496
cloyingly,saccharine,12,9.8258992e-03,37475,30289,732,3372,40495,8846,1.4692226e+02,3.1830174e+01,3.0983985e+00,1.2965964e-02,1.1269101e-02,1.5235432e-02,787,1064,85220496
quickly,fading,64,5.7950496e-02,12360,10049,733,3128,4246,19193,7.7698799e+02,1.6696501e+02,3.0982939e+00,1.3797564e-02,1.1277332e-01,7.3419731e-03,8710,567,85220496
farther,out,18,1.4832911e-02,28835,23355,734,2602,34974,6992,2.2026267e+02,4.7695530e+01,3.0982600e+00,1.5782552e-02,1.3502589e-02,1.8951915e-02,949,1332,85220496
west,indian,32,2.7427674e-02,19677,15989,735,3449,58349,1948,3.9025444e+02,8.4245328e+01,3.0976219e+00,1.2761715e-02,7.1132945e-03,6.1486091e-02,520,4495,85220496
meaningfully,accretive,8,6.5403280e-03,48250,38935,736,4521,33498,17390,9.7939182e+01,2.1225568e+01,3.0972217e+00,1.0302640e-02,1.4198068e-02,8.0742955e-03,990,563,85220496
up,front,204,1.9725769e-01,5190,4229,737,1162,2692,8541,2.4615210e+03,5.2638156e+02,3.0956773e+00,2.8633588e-02,1.5701529e-01,1.5738840e-02,12951,1298,85220496
facially,invalid,38,3.2376402e-02,17559,14203,738,2180,40981,2618,4.6346431e+02,1.0013990e+02,3.0953348e+00,1.7983909e-02,1.1105337e-02,4.7048306e-02,807,3419,85220496
solidly,pro-gun,36,3.1569389e-02,18262,14799,739,3997,6531,23369,4.3800603e+02,9.4418706e+01,3.0953022e+00,1.1349306e-02,7.8705960e-02,6.1102285e-03,5887,457,85220496
scarcely,imaginable,101,8.8835566e-02,8849,7205,740,1045,7746,6605,1.2284355e+03,2.6476544e+02,3.0947095e+00,3.0886850e-02,6.7141014e-02,2.0035166e-02,5037,1503,85220496
endlessly,replayable,69,6.5143695e-02,11757,9606,741,3897,3109,23718,8.3403136e+02,1.7875707e+02,3.0940479e+00,1.1587875e-02,1.4184208e-01,6.0355509e-03,11423,486,85220496
militantly,anti-gay,11,9.0990435e-03,39604,32012,742,3791,48619,7683,1.3445365e+02,2.9129127e+01,3.0939183e+00,1.1840689e-02,8.9722930e-03,1.7363322e-02,633,1225,85220496
last,nigh,14,1.1706972e-02,33996,27499,743,3973,18895,19563,1.7093425e+02,3.7007445e+01,3.0928079e+00,1.1405295e-02,2.7214742e-02,7.2069097e-03,1941,514,85220496
heretofore,unmentioned,25,2.1190607e-02,23243,18813,744,2897,13645,15469,3.0489261e+02,6.5937553e+01,3.0927177e+00,1.4598540e-02,3.8370200e-02,9.0049108e-03,2774,651,85220496
bitterly,disputed,90,8.2660232e-02,9651,7868,745,2036,4338,13283,1.0901690e+03,2.3423863e+02,3.0925070e+00,1.8953354e-02,1.1087324e-01,1.0353040e-02,8686,811,85220496
geographically,proximate,60,5.4169997e-02,12893,10506,746,2848,5083,17525,7.2780973e+02,1.5660588e+02,3.0922782e+00,1.4816644e-02,9.7157640e-02,8.0127096e-03,7482,617,85220496
prominently,onscreen,6,4.9424730e-03,57753,46328,747,5196,46077,15717,7.3340860e+01,1.5899475e+01,3.0922741e+00,9.2378753e-03,9.6075343e-03,8.8816371e-03,675,624,85220496
loosely,chronological,39,3.3161917e-02,17250,13948,748,1667,16331,7891,4.7543453e+02,1.0280909e+02,3.0918631e+00,2.2083805e-02,3.1810121e-02,1.6891154e-02,2307,1225,85220496
socioeconomically,underprivileged,4,3.2869558e-03,73749,59156,749,6783,58065,17636,4.8899877e+01,1.0603887e+01,3.0918596e+00,7.5471698e-03,7.1626151e-03,7.9616267e-03,502,558,85220496
properly,socialized,82,7.5162494e-02,10309,8402,750,2195,4521,14161,9.9323362e+02,2.1348849e+02,3.0914068e+00,1.7907840e-02,1.0737296e-01,9.7597271e-03,8395,763,85220496
sustainably,minded,79,7.3250196e-02,10621,8654,751,2609,51119,898,9.5592567e+02,2.0528338e+02,3.0912796e+00,1.5738619e-02,8.4215760e-03,1.1850956e-01,666,9373,85220496
joyfully,expectant,5,4.1348386e-03,64500,51760,752,6001,44459,20011,6.1071393e+01,1.3241085e+01,3.0899702e+00,8.2918740e-03,1.0052101e-02,7.0464129e-03,709,497,85220496
lightly,regarded,441,4.2251970e-01,2825,2300,753,363,4770,2306,5.3197196e+03,1.1396750e+03,3.0891266e+00,6.9498069e-02,1.0289575e-01,5.2398734e-02,8409,4282,85220496
rigidly,conformist,12,1.0066240e-02,37572,30356,754,3910,23974,17628,1.4637330e+02,3.1704234e+01,3.0890208e+00,1.1566265e-02,2.1035112e-02,7.9668741e-03,1505,570,85220496
predominantly,shiite,1925,2.7795630e+00,794,641,755,365,397,3323,2.2341882e+04,4.6318575e+03,3.0881905e+00,6.9416898e-02,4.1225083e-01,3.7862299e-02,50799,4663,85220496
vertically,downward,9,7.5249738e-03,45046,36288,756,4201,49748,9381,1.0978590e+02,2.3790987e+01,3.0878668e+00,1.0889292e-02,8.7221958e-03,1.4457461e-02,622,1031,85220496
below,normal,946,1.7662147e+00,1565,1292,757,1795,42462,104,1.0676433e+04,2.1706473e+03,3.0877303e+00,2.0907001e-02,1.0644235e-02,5.5708116e-01,1695,88801,85220496
independently,deployable,52,4.5338506e-02,14211,11547,758,1652,10861,9427,6.3207011e+02,1.3651257e+02,3.0874480e+00,2.2217475e-02,4.8556368e-02,1.4388497e-02,3611,1070,85220496
prodigiously,gifted,32,2.7575866e-02,19711,15992,759,2378,42515,3072,3.8934248e+02,8.4170443e+01,3.0874142e+00,1.6886544e-02,1.0625973e-02,4.0938178e-02,781,3009,85220496
roughly,triangular,163,1.7197229e-01,6249,5112,760,2545,1605,16858,1.9485108e+03,4.1441685e+02,3.0870002e+00,1.6026744e-02,2.1768644e-01,8.3124316e-03,19593,748,85220496
militantly,islamic,28,2.4184886e-02,21582,17468,761,2960,50364,2817,3.4058151e+02,7.3620946e+01,3.0869935e+00,1.4399589e-02,8.5924091e-03,4.4195929e-02,633,3256,85220496
breathlessly,aristocratic,6,5.0148969e-03,57840,46403,762,5568,60275,11045,7.3170613e+01,1.5861569e+01,3.0862609e+00,8.7783467e-03,6.7894080e-03,1.2386403e-02,484,883,85220496
lightly,scent,47,4.3514990e-02,15316,12484,763,4350,4574,25865,5.6810860e+02,1.2216073e+02,3.0847907e+00,1.0621469e-02,1.0647784e-01,5.5846259e-03,8409,441,85220496
foremost,requisite,7,5.8822821e-03,52642,42300,764,5113,34562,19787,8.5302008e+01,1.8488804e+01,3.0846450e+00,9.3833780e-03,1.3687201e-02,7.1296618e-03,981,511,85220496
inadvertently,homicidal,4,3.3441955e-03,73879,59242,765,7001,48670,22734,4.8762248e+01,1.0573895e+01,3.0844025e+00,7.3732719e-03,8.9611586e-03,6.2545943e-03,639,446,85220496
avowedly,pacifist,6,5.0347630e-03,57863,46421,766,5415,40565,18901,7.3120290e+01,1.5851266e+01,3.0843311e+00,8.9686099e-03,1.1247660e-02,7.4472321e-03,805,533,85220496
causally,reducible,9,7.5976089e-03,45089,36325,767,4068,43118,11488,1.0960604e+02,2.3753440e+01,3.0833500e+00,1.1159330e-02,1.0444243e-02,1.1958087e-02,752,861,85220496
pitch,black,217,3.4833388e-01,5143,4328,768,8150,99939,136,2.4872681e+03,5.1215679e+02,3.0823119e+00,6.5201388e-03,3.2794851e-03,4.8252296e-01,449,66114,85220496
stridently,anti-government,5,4.2091283e-03,64618,51833,769,6151,43034,21310,6.0893564e+01,1.3202417e+01,3.0822452e+00,8.1366965e-03,1.0473415e-02,6.6433975e-03,752,477,85220496
narrowly,focused,433,4.2451290e-01,2875,2339,770,401,11858,919,5.2059767e+03,1.1146730e+03,3.0820047e+00,6.4448910e-02,4.4545386e-02,1.1613272e-01,3725,9712,85220496
athletically,trim,6,5.0761263e-03,57903,46453,771,5648,37150,21383,7.3025052e+01,1.5829946e+01,3.0809866e+00,8.6767896e-03,1.2541752e-02,6.6242956e-03,905,478,85220496
steadily,dwindling,21,1.8391491e-02,26206,21233,772,4144,11788,22691,2.5481996e+02,5.5089465e+01,3.0802532e+00,1.1003406e-02,4.4832743e-02,6.2652831e-03,3349,468,85220496
rabidly,anti-christian,10,8.5210487e-03,42286,34070,773,4039,30580,16075,1.2161900e+02,2.6352125e+01,3.0802209e+00,1.1229646e-02,1.5809419e-02,8.6959214e-03,1149,632,85220496
reflexively,anti-american,14,1.2059012e-02,34107,27579,774,4132,59734,4624,1.7010759e+02,3.6827305e+01,3.0800114e+00,1.1023622e-02,6.8738452e-03,2.7699057e-02,505,2035,85220496
heavily,indebted,764,1.0266785e+00,1815,1490,775,910,539,7401,8.9165084e+03,1.8621464e+03,3.0799815e+00,3.4387307e-02,3.6948756e-01,1.8016352e-02,42370,2065,85220496
wherever,possible,469,2.4164573e+00,3197,2886,776,25739,157550,36,4.6142980e+03,8.6938494e+02,3.0798344e+00,2.5423361e-03,1.2720363e-03,8.3468086e-01,559,368393,85220496
systematically,underpaid,32,2.7843818e-02,19739,16008,777,1906,30087,4806,3.8843650e+02,8.4036055e+01,3.0792452e+00,2.0125786e-02,1.6115373e-02,2.6732947e-02,1196,1984,85220496
slowly,diminishing,31,2.7636110e-02,20198,16370,778,3572,8934,20356,3.7552995e+02,8.1083299e+01,3.0792115e+00,1.2409928e-02,5.8771452e-02,6.9308544e-03,4469,527,85220496
quintessentially,parisian,32,2.8947731e-02,19791,16075,779,4059,7607,23512,3.8699543e+02,8.3495711e+01,3.0768480e+00,1.1171234e-02,6.8168930e-02,6.0785220e-03,5260,469,85220496
behaviorally,bisexual,11,9.5030660e-03,39789,32153,780,4812,64793,5355,1.3354301e+02,2.8921579e+01,3.0768207e+00,9.8566308e-03,6.1884718e-03,2.4102096e-02,456,1776,85220496
facially,neutral,192,2.1291343e-01,5512,4539,781,2458,50621,385,2.2806490e+03,4.8399431e+02,3.0767034e+00,1.6487055e-02,8.5321873e-03,2.3765663e-01,807,22484,85220496
rationally,defensible,54,4.8330721e-02,13922,11280,782,1649,33178,2473,6.5359219e+02,1.4114930e+02,3.0763747e+00,2.2249691e-02,1.4357118e-02,4.9226609e-02,1096,3758,85220496
disproportionally,over-represented,3,2.5534937e-03,87867,70335,783,8271,63295,21900,3.6457142e+01,7.9070759e+00,3.0755859e+00,6.4308682e-03,6.3775809e-03,6.4740017e-03,463,470,85220496
safely,indoors,21,1.8380555e-02,26228,21230,784,2947,17531,14532,2.5458334e+02,5.5094890e+01,3.0750133e+00,1.4423077e-02,2.9468813e-02,9.5373460e-03,2200,712,85220496
officially,atheistic,122,1.2395539e-01,7843,6383,785,2454,2569,16063,1.4597841e+03,3.1217359e+02,3.0734725e+00,1.6526687e-02,1.6164075e-01,8.7006484e-03,14010,754,85220496
resoundingly,affirmative,8,6.9179367e-03,48538,39169,786,4540,37770,15828,9.7032451e+01,2.1030551e+01,3.0723314e+00,1.0276172e-02,1.2297143e-02,8.8127532e-03,907,650,85220496
presumptively,lawful,38,3.4040860e-02,17667,14288,787,2167,40022,2864,4.5953044e+02,9.9312566e+01,3.0720846e+00,1.8112488e-02,1.1425651e-02,4.3489517e-02,873,3323,85220496
logically,fallacious,45,4.0766672e-02,15796,12820,788,2202,9684,12841,5.4364653e+02,1.1738757e+02,3.0718824e+00,1.7885533e-02,5.4430592e-02,1.0689837e-02,4206,826,85220496
categorically,untrue,276,2.7570867e-01,4118,3375,789,680,20477,815,3.3065116e+03,7.0826131e+02,3.0716673e+00,4.1942102e-02,2.4998639e-02,1.2945126e-01,2130,11031,85220496
objectively,verifiable,159,1.4991848e-01,6366,5144,790,769,6688,4993,1.9143206e+03,4.1200835e+02,3.0715808e+00,3.8554801e-02,7.6852411e-02,2.5701602e-02,6181,2067,85220496
politically,motivated,8280,2.0345818e+01,181,147,791,163,98,1909,9.0406308e+04,1.8011159e+04,3.0709714e+00,1.1386922e-01,6.3046053e-01,6.2515582e-02,132327,13103,85220496
meticulously,landscaped,20,1.7656257e-02,27096,21937,792,3068,17945,15052,2.4209634e+02,5.2396737e+01,3.0708285e+00,1.3986014e-02,2.8751808e-02,9.2299545e-03,2165,695,85220496
adequately,hydrate,48,4.2941548e-02,15093,12232,793,1438,17514,6163,5.8037918e+02,1.2547531e+02,3.0707225e+00,2.4761413e-02,2.9512599e-02,2.1295882e-02,2252,1625,85220496
lavishly,landscaped,7,6.0675545e-03,52808,42435,794,4881,44419,14769,8.4858646e+01,1.8394529e+01,3.0705789e+00,9.7289785e-03,1.0063294e-02,9.4005289e-03,744,695,85220496
self,conscious,369,5.2911733e-01,3401,2838,795,2867,56063,181,4.2710843e+03,8.8898738e+02,3.0700810e+00,1.4733480e-02,7.4976840e-03,4.0182644e-01,917,49173,85220496
separately,payable,12,1.0492241e-02,37756,30503,796,3694,47413,7689,1.4535029e+02,3.1488222e+01,3.0699574e+00,1.2090680e-02,9.2656026e-03,1.7351093e-02,691,1294,85220496
reflexively,pro-business,7,6.0917270e-03,52825,42455,797,5283,60166,9804,8.4811461e+01,1.8382442e+01,3.0693792e+00,9.1324201e-03,6.8034948e-03,1.3849405e-02,505,1028,85220496
professionally,landscaped,41,3.7612313e-02,16809,13642,798,2686,8895,15714,4.9441109e+02,1.0672953e+02,3.0677121e+00,1.5451291e-02,5.8939168e-02,8.8821779e-03,4612,695,85220496
vertically,overhead,12,1.0575836e-02,37793,30530,799,3896,51817,6876,1.4517140e+02,3.1446865e+01,3.0669282e+00,1.1588605e-02,8.2744155e-03,1.9275742e-02,622,1449,85220496
insufferably,self-righteous,12,1.0573302e-02,37798,30529,800,3498,34902,11654,1.4514995e+02,3.1448114e+01,3.0660382e+00,1.2611666e-02,1.3532225e-02,1.1789154e-02,1017,886,85220496
helplessly,adrift,10,8.8604272e-03,42433,34199,801,4957,64629,6162,1.2086913e+02,2.6182509e+01,3.0646008e+00,9.6200096e-03,6.2057940e-03,2.1303187e-02,469,1610,85220496
vertically,elliptical,11,9.7437828e-03,39911,32229,802,4036,52020,7550,1.3294403e+02,2.8802077e+01,3.0639976e+00,1.1241696e-02,8.2325306e-03,1.7669351e-02,622,1335,85220496
immaculately,landscaped,11,9.7619122e-03,39929,32236,803,3877,30572,15151,1.3289303e+02,2.8793196e+01,3.0627864e+00,1.1627907e-02,1.5813421e-02,9.1816144e-03,1197,695,85220496
roughly,equidistant,92,1.0116017e-01,9647,7915,804,5231,1710,30782,1.0908919e+03,2.3225251e+02,3.0625941e+00,9.1848450e-03,2.0886208e-01,4.6914701e-03,19593,440,85220496
attractively,priced,23,2.0763268e-02,24778,20065,805,2849,45484,4161,2.7743910e+02,6.0033166e+01,3.0621727e+00,1.4814815e-02,9.7662011e-03,3.0557765e-02,752,2353,85220496
insufferably,pompous,22,1.9750354e-02,25494,20621,806,2462,35462,6063,2.6549881e+02,5.7476173e+01,3.0621440e+00,1.6467066e-02,1.3281376e-02,2.1613089e-02,1017,1655,85220496
existentially,angsty,5,4.4157218e-03,64944,52101,807,6135,51896,17486,6.0410644e+01,1.3098369e+01,3.0610714e+00,8.1499593e-03,8.2572227e-03,8.0315446e-03,622,605,85220496
predominantly,hindu,1038,1.5391018e+00,1425,1146,808,758,420,6446,1.1958092e+04,2.4856317e+03,3.0609382e+00,3.8890242e-02,4.0143002e-01,2.0415345e-02,50799,2582,85220496
spatially,proximate,12,1.0758703e-02,37861,30581,809,3971,25713,17396,1.4475973e+02,3.1357522e+01,3.0594618e+00,1.1412268e-02,1.9431650e-02,8.0682708e-03,1486,617,85220496
avowedly,atheistic,8,7.1223477e-03,48671,39259,810,4550,42608,13906,9.6562254e+01,2.0929379e+01,3.0594290e+00,1.0262989e-02,1.0600727e-02,9.9291344e-03,805,754,85220496
audibly,hoarse,4,3.5422465e-03,74310,59589,811,7248,65992,15940,4.8300697e+01,1.0473947e+01,3.0592340e+00,7.1556351e-03,6.0369921e-03,8.7642086e-03,456,662,85220496
systematically,tortured,20,1.8047959e-02,27168,21972,812,2523,31015,7978,2.4110213e+02,5.2206148e+01,3.0587205e+00,1.6116035e-02,1.5538300e-02,1.6707552e-02,1196,1286,85220496
immaculately,coiffed,7,6.2504330e-03,52967,42591,813,5774,30733,24609,8.4458147e+01,1.8304254e+01,3.0586127e+00,8.5261876e-03,1.5716373e-02,5.8428135e-03,1197,445,85220496
urgently,needed,14,1.2594857e-02,34268,27722,814,3246,39550,8553,1.6878772e+02,3.6562964e+01,3.0578811e+00,1.3358779e-02,1.1598344e-02,1.5716350e-02,890,1206,85220496
cynically,manipulative,24,2.2255010e-02,24128,19563,815,4227,65629,2436,2.8860195e+02,6.2363735e+01,3.0576414e+00,1.0849910e-02,6.0813732e-03,4.9850063e-02,481,3943,85220496
expertly,edited,4,3.5546026e-03,74339,59605,816,7131,55413,20372,4.8271805e+01,1.0467898e+01,3.0576061e+00,7.2595281e-03,7.6123238e-03,6.9262954e-03,577,525,85220496
bad,possible,8291,4.3249830e+01,205,170,817,636,22548,38,8.1307730e+04,1.5324488e+04,3.0568244e+00,4.3821585e-02,2.2485657e-02,8.2445963e-01,10005,368393,85220496
nowhere,else,276,2.7253904e-01,4123,3371,818,446,8938,2139,3.3007761e+03,7.0964730e+02,3.0566769e+00,5.7249533e-02,5.8743641e-02,5.5728268e-02,4948,4694,85220496
flagrantly,unfaithful,10,8.9838013e-03,42509,34251,819,4028,34931,14338,1.2054867e+02,2.6122454e+01,3.0566602e+00,1.1267606e-02,1.3519760e-02,9.6439553e-03,1036,739,85220496
newly,resurgent,170,2.0674792e-01,6134,5043,820,3846,1085,23960,1.9949905e+03,4.2172126e+02,3.0566456e+00,1.1708795e-02,2.7386208e-01,5.9768418e-03,28418,620,85220496
specially,marked,39,3.6417683e-02,17428,14094,821,2358,11139,13319,4.6849988e+02,1.0122285e+02,3.0553278e+00,1.6978668e-02,4.7343814e-02,1.0332884e-02,3771,823,85220496
nearly,year-long,421,1.2628105e+00,3282,2859,822,12288,54,55315,4.4642365e+03,8.7932141e+02,3.0552438e+00,4.6477738e-03,7.0426195e-01,2.3294996e-03,180566,596,85220496
spontaneously,reborn,5,4.4859514e-03,65043,52182,823,6417,63396,13433,6.0254675e+01,1.3064105e+01,3.0543660e+00,7.8616352e-03,6.3637708e-03,1.0257788e-02,487,785,85220496
as-yet,unannounced,6,5.3957442e-03,58267,46724,824,5931,64011,10997,7.2290256e+01,1.5670832e+01,3.0542727e+00,8.3565460e-03,6.2837226e-03,1.2437009e-02,482,954,85220496
fervently,pro-european,6,5.3968355e-03,58271,46725,825,5680,41159,19932,7.2284170e+01,1.5670306e+01,3.0539180e+00,8.6330935e-03,1.1039855e-02,7.0775239e-03,847,543,85220496
vertically,adjustable,70,7.0184431e-02,11739,9570,826,3159,57389,964,8.3554297e+02,1.7951939e+02,3.0538298e+00,1.3674546e-02,7.2730561e-03,1.1242818e-01,622,9616,85220496
viciously,anti-israel,25,2.2968465e-02,23475,18986,827,2270,23173,9279,3.0058714e+02,6.5062839e+01,3.0527820e+00,1.7513135e-02,2.1833363e-02,1.4598207e-02,1711,1144,85220496
viciously,anti-catholic,12,1.0962222e-02,37934,30644,828,4345,23054,20122,1.4432831e+02,3.1259858e+01,3.0519792e+00,1.0633584e-02,2.1958085e-02,7.0071762e-03,1711,546,85220496
jointly,liable,274,3.1350029e-01,4187,3448,829,1432,35668,436,3.2307987e+03,6.8697777e+02,3.0512280e+00,2.4840216e-02,1.3177051e-02,2.1282320e-01,1286,20775,85220496
north,westerly,8,7.2636400e-03,48752,39330,830,4768,36839,17191,9.6250553e+01,2.0861130e+01,3.0510250e+00,9.9255583e-03,1.2666871e-02,8.1476334e-03,981,631,85220496
prematurely,ageing,9,8.2108417e-03,45455,36613,831,4503,33210,17423,1.0821008e+02,2.3450043e+01,3.0496416e+00,1.0327022e-02,1.4341077e-02,8.0572643e-03,1116,627,85220496
infectiously,danceable,21,1.9369284e-02,26397,21363,832,2483,30882,7816,2.5224916e+02,5.4617036e+01,3.0494212e+00,1.6329705e-02,1.5634099e-02,1.7057670e-02,1230,1342,85220496
rigidly,segregated,21,1.9390758e-02,26400,21366,833,2515,26091,9739,2.5221033e+02,5.4606931e+01,3.0491006e+00,1.6135229e-02,1.9108269e-02,1.3940850e-02,1505,1098,85220496
predominantly,muslim,8049,1.3339280e+01,180,140,834,58,585,636,9.1655596e+04,1.8885490e+04,3.0488020e+00,2.1998715e-01,3.5918185e-01,1.5827976e-01,50799,22378,85220496
dominantly,left-handed,4,3.6305820e-03,74496,59733,835,7428,68842,15393,4.8103617e+01,1.0431157e+01,3.0485149e+00,7.0052539e-03,5.7091461e-03,9.0416067e-03,442,700,85220496
religiously,plural,63,6.2289804e-02,12633,10262,836,2637,5808,16322,7.5210958e+02,1.6194963e+02,3.0481677e+00,1.5640516e-02,8.6931277e-02,8.5847143e-03,7332,724,85220496
transparently,phony,46,4.3256073e-02,15653,12687,837,1503,20350,5693,5.5147923e+02,1.1925115e+02,3.0477837e+00,2.3927178e-02,2.5196123e-02,2.2740145e-02,2021,1824,85220496
tactically,astute,216,2.1925430e-01,5003,4076,838,691,19131,1215,2.5726608e+03,5.5278961e+02,3.0476466e+00,4.1682748e-02,2.6840933e-02,9.2851390e-02,2324,8040,85220496
thickly,cut,9,8.2846033e-03,45483,36652,839,5481,69109,6552,1.0808072e+02,2.3415087e+01,3.0472901e+00,8.8713652e-03,5.6802795e-03,2.0160902e-02,446,1583,85220496
ill,equipped,7,6.4167662e-03,53101,42693,840,5960,69485,8466,8.4090368e+01,1.8224411e+01,3.0471808e+00,8.3283760e-03,5.6400685e-03,1.5858547e-02,441,1240,85220496
expertly,wrought,7,6.4118261e-03,53102,42688,841,5228,56719,11316,8.4087010e+01,1.8226753e+01,3.0466317e+00,9.1863517e-03,7.3850749e-03,1.2120685e-02,577,947,85220496
severely,underweight,285,3.2599218e-01,4078,3354,842,1280,1802,9404,3.3575441e+03,7.1459281e+02,3.0461469e+00,2.6947806e-02,2.0233028e-01,1.4420865e-02,19745,1407,85220496
left,uncontrolled,21,1.9592634e-02,26413,21388,843,2799,20979,12677,2.5182133e+02,5.4512472e+01,3.0455577e+00,1.5005359e-02,2.4339466e-02,1.0831639e-02,1937,862,85220496
knowingly,false,379,5.0107502e-01,3326,2723,844,1796,41894,273,4.4037408e+03,9.2644351e+02,3.0451592e+00,2.0894782e-02,1.0800499e-02,3.1075890e-01,1218,35059,85220496
brightly,flavored,11,1.0211534e-02,40115,32380,845,4949,22337,23362,1.3194610e+02,2.8578079e+01,3.0449395e+00,9.6406661e-03,2.2706303e-02,6.1123584e-03,1798,484,85220496
mutually,exclusive,12154,2.1419299e+01,116,95,846,33,933,326,1.3754601e+05,2.8192655e+04,3.0447453e+00,2.8420770e-01,2.9671004e-01,2.7205756e-01,44619,40910,85220496
neatly,divisible,9,8.3000221e-03,45502,36660,847,4327,45012,11908,1.0800712e+02,2.3407819e+01,3.0445276e+00,1.0669828e-02,9.9028588e-03,1.1542724e-02,779,908,85220496
manually,movable,6,5.5254313e-03,58425,46837,848,5784,59358,12492,7.2000756e+01,1.5608943e+01,3.0436121e+00,8.5166785e-03,6.9381196e-03,1.0999106e-02,545,864,85220496
variably,cloudy,279,4.1650875e-01,4222,3525,849,4112,69823,191,3.2018948e+03,6.6728028e+02,3.0433776e+00,1.1065501e-02,5.6071067e-03,3.9017623e-01,714,49713,85220496
intelligently,put-together,5,4.6033292e-03,65191,52310,850,6747,68288,12462,5.9997502e+01,1.3008017e+01,3.0432262e+00,7.5815011e-03,5.7684151e-03,1.1027424e-02,453,866,85220496
