key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
POS~simply,POSMIR,simply,7745,6509.6601,2080.7139,1.0913844,0.15756723,0.005123898,0.98324233,0.005576363,1388898,7877,1680633,7745.0,1381153.0,132.0,291603.0,1388898.0,291735.0,7877.0,1672756.0,1382388.339921922,1367.339921922,290367.660078078,14.037047,0.011089832,0.07546311,0.005123898,0.15756723,0.15756723,0.081345566,1235.3398,0.1595016,3.0201252,2.98731,3.034913,3.0710003,3.2750542,3.153737,88.0056816347672,1178.5151674883102,88.75246475450696
POS~incredibly,POSMIR,incredibly,8804,7414.583,2284.1333,1.0429351,0.15569262,0.005762973,0.9812751,0.006338838,1388898,8972,1680633,8804.0,1380094.0,168.0,291567.0,1388898.0,291735.0,8972.0,1671661.0,1381483.417008948,1557.417008948,290177.582991052,14.80787,0.012596307,0.074593306,0.005762973,0.15569262,0.15569262,0.08072779,1389.417,0.15781656,2.9214485,2.8918543,2.9347768,2.9672813,3.1505165,3.0416918,93.8296328459192,1178.5151674883102,94.72064188971694
POS~still,POSMIR,still,13140,11074.7689,3369.5913,1.0271986,0.15534894,0.00856609,0.9805238,0.009460738,1388898,13401,1680633,13140.0,1375758.0,261.0,291474.0,1388898.0,291735.0,13401.0,1667232.0,1377823.231089714,2326.231089714,289408.768910286,18.016523,0.018740654,0.07426069,0.00856609,0.15534894,0.15534894,0.08195751,2065.2312,0.15717132,2.9655368,2.9411914,2.976491,3.0031796,3.152927,3.0641346,114.6298390472568,1178.5151674883102,115.76268828944843
POS~just,POSMIR,just,27770,23570.9692,6344.9035,0.89704645,0.14976238,0.017416587,0.97363436,0.019994268,1388898,28522,1680633,27770.0,1361128.0,752.0,290983.0,1388898.0,291735.0,28522.0,1652111.0,1365327.030754484,4951.030754484,286783.969245516,25.197712,0.03918387,0.07119844,0.017416587,0.14976238,0.14976238,0.08358949,4199.031,0.15120745,2.6925256,2.6775126,2.6992698,2.7156723,2.806957,2.7529829,166.6433316997713,1178.5151674883102,168.88457596832222
POS~far,POSMIR,far,5318,4522.1353,1166.5027,0.8606162,0.1459182,0.003301059,0.9718567,0.003828935,1388898,5472,1680633,5318.0,1383580.0,154.0,291581.0,1388898.0,291735.0,5472.0,1675161.0,1384375.864675988,949.864675988,290785.135324012,10.913526,0.007627818,0.070404775,0.003301059,0.1459182,0.1459182,0.07460963,795.8647,0.1496549,2.293707,2.2627451,2.3076525,2.3416662,2.533507,2.4195502,72.92461861401813,1178.5151674883102,73.97296803562772
POS~now,POSMIR,now,5246,4465.9392,1128.7335,0.8435674,0.14481442,0.003235508,0.9707624,0.003777095,1388898,5404,1680633,5246.0,1383652.0,158.0,291577.0,1388898.0,291735.0,5404.0,1675229.0,1384432.060802091,938.060802091,290796.939197909,10.769965,0.007524912,0.06991548,0.003235508,0.14481442,0.14481442,0.07402496,780.0608,0.1486963,2.24349,2.212848,2.2572904,2.2909477,2.4807107,2.368002,72.42927584892728,1178.5151674883102,73.51190379795642
POS~very,POSMIR,very,175004,151992.34,29010.268,0.6602837,0.14049391,0.09544693,0.9515327,0.12600206,1388898,183918,1680633,175004.0,1213894.0,8914.0,282821.0,1388898.0,291735.0,183918.0,1496715.0,1236905.659992396,31925.659992396,259809.340007604,55.00776,0.22253588,0.061226275,0.09544693,0.14049391,0.14049391,0.117970414,23011.66,0.1314922,1.96534,1.9607351,1.9674051,1.9724183,2.0000808,1.9837731,418.33479415415593,1178.5151674883102,428.8566193962733
NEG~too,NEGMIR,too,46648,27450.0823,15765.8878,0.33862117,0.13401157,0.07962842,0.29498845,0.15989853,291735,158135,1680633,46648.0,245087.0,111487.0,1277411.0,291735.0,1388898.0,158135.0,1522498.0,264284.917664951,130684.917664951,1258213.082335049,88.88687,0.20738435,0.23028937,0.07962842,0.13401157,0.13401157,0.106819995,19197.918,0.41154858,0.9539241,0.9515361,0.9549941,0.95758915,0.97184825,0.96345454,215.98148068758118,540.1249855357554,397.66191670815044
POS~even,POSMIR,even,58341,50559.1588,9472.9149,0.64959884,0.13200314,0.032277238,0.95361155,0.042005245,1388898,61179,1680633,58341.0,1330557.0,2838.0,288897.0,1388898.0,291735.0,61179.0,1619454.0,1338338.841193764,10619.841193764,281115.158806236,32.217766,0.08046607,0.06217403,0.032277238,0.13200314,0.13200314,0.08214019,7781.8413,0.13338546,1.9719052,1.963859,1.9755155,1.9842846,2.0327997,2.004173,241.53881675623072,1178.5151674883102,247.34389016104683
NEG~as,NEGMIR,as,31169,18638.1433,9557.0452,0.31400636,0.12467104,0.05197503,0.29029253,0.10684011,291735,107371,1680633,31169.0,260566.0,76202.0,1312696.0,291735.0,1388898.0,107371.0,1573262.0,273096.856702207,88732.856702207,1300165.143297793,70.97728,0.15619409,0.22332022,0.05197503,0.12467104,0.12467104,0.088323034,12530.856,0.40202948,0.9123294,0.90941477,0.9136352,0.9168023,0.9342007,0.9239598,176.54744404833505,540.1249855357554,327.6751440069875
NEG~more,NEGMIR,more,78325,49606.3008,22014.6706,0.3201926,0.12108374,0.11911838,0.27408117,0.26847994,291735,285773,1680633,78325.0,213410.0,207448.0,1181450.0,291735.0,1388898.0,285773.0,1394860.0,242128.699186556,236166.699186556,1152731.300813444,102.615875,0.27125165,0.19836356,0.11911838,0.12108374,0.12108374,0.12010106,28718.7,0.36666068,0.8153706,0.81355566,0.8161838,0.8181563,0.8289959,0.8226148,279.8660393831306,540.1249855357554,534.5774031887244
POS~most,POSMIR,most,15813,14100.2692,1480.9804,0.42772013,0.10141232,0.007104003,0.9267964,0.011385285,1388898,17062,1680633,15813.0,1373085.0,1249.0,290486.0,1388898.0,291735.0,17062.0,1663571.0,1374797.730829991,2961.730829991,288773.269170009,13.620152,0.02249424,0.04978687,0.007104003,0.10141232,0.10141232,0.05425816,1712.7308,0.108311564,1.2004362,1.1882905,1.2058886,1.2191396,1.2926346,1.2492303,125.74975149080812,1178.5151674883102,130.621590864604
POS~super,POSMIR,super,6186,5585.7297,443.0568,0.35631514,0.08916914,0.00248978,0.91522413,0.004453891,1388898,6759,1680633,6186.0,1382712.0,573.0,291162.0,1388898.0,291735.0,6759.0,1673874.0,1383312.270348137,1173.270348137,290561.729651863,7.632063,0.008864642,0.044330005,0.00248978,0.08916914,0.08916914,0.04582946,600.2703,0.097036906,0.8705829,0.85286903,0.87854046,0.89789474,1.005625,0.9419228,78.65112840894274,1178.5151674883102,82.21313763626833
POS~totally,POSMIR,totally,9823,8898.8219,655.6274,0.34059688,0.0863798,0.003833273,0.91223997,0.007072514,1388898,10768,1680633,9823.0,1379075.0,945.0,290790.0,1388898.0,291735.0,10768.0,1669865.0,1379999.178148948,1869.178148947,289865.821851053,9.324674,0.014036206,0.04291163,0.003833273,0.0863798,0.0863798,0.045106538,924.1781,0.09408308,0.8829651,0.86895967,0.88925344,0.9045392,0.9893998,0.9392667,99.11104882907858,1178.5151674883102,103.76897416858277
POS~much,POSMIR,much,21627,19690.9573,1294.5923,0.31833202,0.08242269,0.008030247,0.90766776,0.015571338,1388898,23827,1680633,21627.0,1367271.0,2200.0,289535.0,1388898.0,291735.0,23827.0,1656806.0,1369207.042696413,4136.042696413,287598.957303587,13.164877,0.030617423,0.04072945,0.008030247,0.08242269,0.08242269,0.04522647,1936.0427,0.08951971,0.8849183,0.87556255,0.88911617,0.8993135,0.95574147,0.9224431,147.06121174531373,1178.5151674883102,154.35996890385798
POS~completely,POSMIR,completely,24300,22132.1831,1445.232,0.31717616,0.08225684,0.008991592,0.9073597,0.017495885,1388898,26781,1680633,24300.0,1364598.0,2481.0,289254.0,1388898.0,291735.0,26781.0,1653852.0,1366765.816865431,4648.816865431,287086.183134569,13.906551,0.034329817,0.04058202,0.008991592,0.08225684,0.08225684,0.045624215,2167.817,0.08921057,0.8888853,0.88005775,0.8928459,0.90246606,0.95568115,0.92428267,155.88457268119896,1178.5151674883102,163.64901466247818
POS~absolutely,POSMIR,absolutely,5177,4728.7387,284.3423,0.30045387,0.0786076,0.001859282,0.90475357,0.003727416,1388898,5722,1680633,5177.0,1383721.0,545.0,291190.0,1388898.0,291735.0,5722.0,1674911.0,1384169.2612712,993.2612712,290741.7387288,6.2300587,0.007424245,0.039332844,0.001859282,0.0786076,0.0786076,0.04023344,448.2613,0.08658708,0.6762466,0.65798146,0.68445176,0.7044083,0.8154913,0.7498064,71.95137246779939,1178.5151674883102,75.64390259630977
POS~all,POSMIR,all,5124,4816.3386,124.4643,0.18464518,0.05297392,0.001276107,0.87920386,0.003689256,1388898,5828,1680633,5124.0,1383774.0,704.0,291031.0,1388898.0,291735.0,5828.0,1674805.0,1384081.661427569,1011.661427569,290723.338572431,4.2980204,0.00734768,0.026892113,0.001276107,0.05297392,0.05297392,0.027125014,307.6614,0.06004321,0.3252676,0.30879858,0.33266297,0.35064209,0.45051855,0.39150113,71.58212067269312,1178.5151674883102,76.34133873596926
