key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,first_char
POS~merely,POSMIR,merely,1679,1569.3168,49.6585,0.20767976,0.0579754,0.00045372,0.8864836,0.001190635,1410172,1894,1701929,1679.0,1408493.0,215.0,291542.0,1410172.0,291757.0,1894.0,1700035.0,1408602.683202414,324.683202413,291432.316797587,2.6767929,0.002378076,0.029340073,0.00045372,0.0579754,0.0579754,0.02921456,109.68319999999994,0.065326504,0.18325911,0.15476945,0.19607149,0.22727028,0.4018655,0.2748305,40.97560249709576,1187.5066315604304,43.520110293977886,m
POS~all,POSMIR,all,5216,4905.1507,126.46571,0.18580817,0.05269161,0.001285873,0.8810811,0.00369884,1410172,5920,1701929,5216.0,1404956.0,704.0,291053.0,1410172.0,291757.0,5920.0,1696009.0,1405266.849291598,1014.849291598,290742.150708402,4.3040876,0.007366753,0.026685227,0.001285873,0.05269161,0.05269161,0.026988741,310.84929999999986,0.059595343,0.32947335,0.3130245,0.3368598,0.35481745,0.45455208,0.38211393,72.22188034107116,1187.5066315604304,76.94153624668537,a
POS~sexually,POSMIR,sexually,1089,1028.2588,22.81359,0.16981637,0.04898109,0.000251265,0.8775181,0.000772246,1410172,1241,1701929,1089.0,1409083.0,152.0,291605.0,1410172.0,291757.0,1241.0,1700688.0,1409143.741211296,212.741211296,291544.258788704,1.8406428,0.001543134,0.02492545,0.000251265,0.04898109,0.04898109,0.024616178,60.741199999999935,0.055777043,0.0,0.0,0.0,0.014816131,0.22131982,0.07098361,33.0,1187.5066315604304,35.22782990761707,s
POS~always,POSMIR,always,3700,3494.9199,76.5875,0.16963068,0.04874103,0.000848343,0.877193,0.002623793,1410172,4218,1701929,3700.0,1406472.0,518.0,291239.0,1410172.0,291757.0,4218.0,1697711.0,1406677.080120264,723.080120264,291033.919879736,3.3714964,0.005231937,0.0247645,0.000848343,0.04874103,0.04874103,0.024794687,205.08010000000013,0.055427056,0.22941367,0.21034326,0.23797975,0.2588118,0.37467903,0.29049498,60.8276253029822,1187.5066315604304,64.94613152451807,a
NEG~truly,NEGMIR,truly,2824,2248.0757,168.80596,0.12380161,0.04425443,0.002382555,0.21532597,0.009680117,291732,13115,1701929,2824.0,288908.0,10291.0,1399906.0,291732.0,1410197.0,13115.0,1688814.0,289483.924328218,10866.924328218,1399330.075671782,10.837599,0.018527327,0.09905377,0.002382555,0.04425443,0.04425443,0.023318492,575.9243000000001,0.2039392,0.25085783,0.24149375,0.2550503,0.26521075,0.32082072,0.28056818,53.14132102234569,540.122208393619,114.52074047961793,t
POS~purely,POSMIR,purely,1270,1232.9163,6.78335,0.08033969,0.02494368,0.000153402,0.85349464,0.000900599,1410172,1488,1701929,1270.0,1408902.0,218.0,291539.0,1410172.0,291757.0,1488.0,1700441.0,1408939.083740861,255.083740861,291501.916259139,1.0405948,0.0017993,0.012870141,0.000153402,0.02494368,0.02494368,0.012548541,37.08369999999991,0.029199764,0.0,0.0,0.0,0.0,0.0,0.0,35.63705936241092,1187.5066315604304,38.57460304397182,p
POS~fundamentally,POSMIR,fundamentally,1865,1812.0886,9.38754,0.07811049,0.02422472,0.000218876,0.85276634,0.001322534,1410172,2187,1701929,1865.0,1408307.0,322.0,291435.0,1410172.0,291757.0,2187.0,1699742.0,1408359.911385258,374.911385258,291382.088614742,1.2252077,0.002640972,0.012499404,0.000218876,0.02422472,0.02422472,0.012221798,52.91139999999996,0.028370723,0.0,0.0,0.0,0.0,0.018302381,0.0,43.18564576337837,1187.5066315604304,46.76537180435969,f
NEG~so,NEGMIR,so,25091,22251.2353,459.77591,0.06933656,0.02368248,0.011747892,0.1932887,0.08600702,291732,129811,1701929,25091.0,266641.0,104720.0,1305477.0,291732.0,1410197.0,129811.0,1572118.0,269480.764694649,107559.764694649,1302637.23530535,17.92765,0.11904361,0.052163843,0.011747892,0.02368248,0.02368248,0.017715186,2839.7646999999997,0.11317862,0.16042969,0.15737471,0.16179828,0.1651172,0.18333538,0.17013945,158.4013888827999,540.122208393619,360.2929363726133,s
NEG~really,NEGMIR,really,11325,10094.9997,181.88314,0.06332609,0.02163395,0.005088418,0.19229789,0.038819876,291732,58893,1701929,11325.0,280407.0,47568.0,1362629.0,291732.0,1410197.0,58893.0,1643036.0,281637.000340202,48798.000340202,1361398.999659798,11.558091,0.06459893,0.049931902,0.005088418,0.02163395,0.02163395,0.013361184,1230.0002999999997,0.1086093,0.12599675,0.12143515,0.12803997,0.13299406,0.1601669,0.1404884,106.41898326896381,540.122208393619,242.6788000629639,r
POS~quite,POSMIR,quite,34334,33630.111,90.4681,0.05658211,0.01776598,0.002911738,0.845915,0.024347385,1410172,40588,1701929,34334.0,1375838.0,6254.0,285503.0,1410172.0,291757.0,40588.0,1661341.0,1376541.889028273,6957.889028273,284799.110971727,3.7987611,0.047332432,0.008996102,0.002911738,0.01776598,0.01776598,0.010338859,703.8890000000029,0.020501222,0.084155634,0.07832085,0.08677214,0.09312389,0.128158,0.10275334,185.29436041067197,1187.5066315604304,201.4646370954466,q
