key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~too,NEGATED,too,311944,134701.385,189400.9214,0.41408303,0.05131517,0.057071052,0.08654303,0.09669045,3226213,3604496,86330752,311944.0,2914269.0,3292552.0,79811987.0,3226213.0,83104539.0,3604496.0,82726256.0,3091511.615102438,3469794.615102438,79634744.38489754,317.34366,0.09133576,0.05131517,0.36470458,0.05131517,0.057071052,0.057071052,0.0029286107,177242.615,0.5681873,367.01688,421.00192,1.27398,1.2732188,1.274321,1.2751468,1.2799363,1.2757727,558.5194714600378,1796.1661949830811,1898.551026440954
NEG~just,NEGATED,just,54396,25087.932,27207.6874,0.360411,0.04399874,0.009437021,0.08102697,0.016860636,3226213,671332,86330752,54396.0,3171817.0,616936.0,82487603.0,3226213.0,83104539.0,671332.0,85659420.0,3201125.068115473,646244.068115473,82458294.93188453,125.66193,0.027912956,0.04399874,0.3361021,0.009437021,0.04399874,0.04399874,0.00041521704,29308.068,0.5387909,158.39171,171.196,1.1506976,1.1488059,1.1515446,1.1535969,1.1654989,1.1551522,233.22950070692173,1796.1661949830811,819.3485216926921
NEG~physically,NEGATED,physically,5610,2754.01,2390.1502,0.32727847,0.038787298,0.0009196115,0.076124564,0.0017388808,3226213,73695,86330752,5610.0,3220603.0,68085.0,83036454.0,3226213.0,83104539.0,73695.0,86257057.0,3223458.989852666,70940.989852666,83033598.01014733,38.13074,0.003400095,0.038787298,0.30899733,0.0009196115,0.038787298,0.038787298,3.5669244e-05,2855.99,0.5090891,52.47866,53.441463,0.9832423,0.9773245,0.9858918,0.9923122,1.0295448,0.99717754,74.89993324429602,1796.1661949830811,271.4682301854123
COM~most,COMPLEMENT,most,7713908,7444779.149,465492.1028,1.2126697,0.038222197,0.08659327,0.9973986,0.09282454,83102035,7734027,86330752,7713908.0,75388127.0,20119.0,3208598.0,83102035.0,3228717.0,7734027.0,78596725.0,75657255.85056151,289247.850561512,2939469.149438488,96.89983,0.1698424,0.038222197,0.015422636,0.038222197,0.08659327,0.08659327,0.003309785,269128.8509999998,0.03488878,2728.5122,518.7763,3.8449378,3.8419373,3.846281,3.8495362,3.868413,3.8520029,2777.3923021424253,9116.031757294399,2781.011866209851
COM~not,COMPLEMENT,not,4503592,4342790.003,287642.6895,1.3670263,0.03760788,0.051738676,0.99824315,0.054193523,83102035,4511518,86330752,4503592.0,78598443.0,7926.0,3220791.0,83102035.0,3228717.0,4511518.0,81819234.0,78759244.99697617,168727.996976164,3059989.003023836,75.77255,0.10280583,0.03760788,0.01579021,0.03760788,0.051738676,0.051738676,0.001945782,160801.99700000044,0.035705276,2083.9363,401.00125,4.381488,4.3767,4.383631,4.3888254,4.4189467,4.392761,2122.166817194162,9116.031757294399,2124.0334272322552
COM~albeit,COMPLEMENT,albeit,17169,16529.778,1270.7847,2.2801974,0.037232086,0.0002056723,0.9998253,0.0002066014,83102035,17172,86330752,17169.0,83084866.0,3.0,3228714.0,83102035.0,3228717.0,17172.0,86313580.0,83085505.22223298,642.222232977,3228074.777767023,4.8784223,0.000413118,0.037232086,0.016477985,0.0002056723,0.037232086,0.037232086,7.657609e-06,639.2220000000016,0.037231173,128.56819,25.28284,3.532071,3.28587,3.6423008,3.9094086,5.4584103,4.1118226,131.03053079339944,9116.031757294399,131.04197800704932
COM~increasingly,COMPLEMENT,increasingly,404356,389392.164,29076.6875,1.979481,0.03716564,0.0048146737,0.9995921,0.004865777,83102035,404521,86330752,404356.0,82697679.0,165.0,3228552.0,83102035.0,3228717.0,404521.0,85926231.0,82712642.83647251,15128.836472512,3213588.163527488,23.532118,0.009684413,0.03716564,0.016376685,0.0048146737,0.03716564,0.03716564,0.00017894043,14963.83600000001,0.037006587,624.01294,122.32676,5.997998,5.9647975,6.0128627,6.048883,6.257769,6.076179,635.8899275818103,9116.031757294399,636.019653784378
NEG~actually,NEGATED,actually,11973,6027.954,4784.7545,0.3158379,0.03692538,0.0019142689,0.07422677,0.0037111624,3226213,161303,86330752,11973.0,3214240.0,149330.0,82955209.0,3226213.0,83104539.0,161303.0,86169449.0,3220185.045609669,155275.045609669,82949263.95439033,54.33175,0.007068897,0.03692538,0.29803303,0.0019142689,0.03692538,0.03692538,7.0685106e-05,5945.046,0.49653772,77.6399,77.104126,0.9763378,0.972295,0.97814786,0.98253393,1.0079697,0.9858577,109.42120452636226,1796.1661949830811,401.6254474009335
COM~presumably,COMPLEMENT,presumably,8011,7715.244,568.2022,1.839961,0.036903746,9.51607e-05,0.99950093,9.63996e-05,83102035,8015,86330752,8011.0,83094024.0,4.0,3228713.0,83102035.0,3228717.0,8015.0,86322737.0,83094319.75606786,299.756067861,3228417.243932139,3.3043823,0.000192781,0.036903746,0.01633707,9.51607e-05,0.036903746,0.036903746,3.5117864e-06,295.7560000000003,0.036918737,87.836464,17.197557,2.5880358,2.3747847,2.6835132,2.9148724,4.2565646,3.0901968,89.50418984606252,9116.031757294399,89.52653238007156
COM~relatively,COMPLEMENT,relatively,626369,603438.924,42957.8666,1.6772369,0.036845412,0.0073778424,0.99917847,0.0075373487,83102035,626884,86330752,626369.0,82475666.0,515.0,3228202.0,83102035.0,3228717.0,626884.0,85703868.0,82498596.07583842,23445.075838422,3205271.924161578,28.972794,0.014961832,0.036845412,0.016196935,0.0073778424,0.036845412,0.036845412,0.00027183964,22930.076,0.036607936,776.8133,151.4268,5.2368045,5.218009,5.2452197,5.265611,5.3838644,5.2810636,791.4347730546087,9116.031757294399,791.7600646660578
