key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
COM~longer,COMPLEMENT,longer,9893,10762.449,-1098.226,-0.4763316,-0.077234685,-0.0002865957,0.87867486,0.0001438193,68787692,11259,71961373,9893.0,68777799.0,1366.0,3172315.0,68787692.0,3173681.0,11259.0,71950114.0,68776929.55075896,496.550758961,3173184.44924104,-8.7413845,0.000287592,-0.036583107,-0.077234685,-0.0002865957,0.077234685,-0.03876064,-869.4490000000005,-0.087885275,-1.3484119,-1.3363191,-1.3537942,-1.3667476,-1.4629055,-1.3966726,99.46356116689167,8293.834577564228,106.10843510296436
COM~readily,COMPLEMENT,readily,68174,74957.653,-9320.8225,-0.5137046,-0.086602904,-0.002236089,0.8693889,0.0009910784,68787692,78416,71961373,68174.0,68719518.0,10242.0,3163439.0,68787692.0,3173681.0,78416.0,71882957.0,68712734.34659514,3458.346595138,3170222.653404862,-25.980904,0.0019799,-0.041197207,-0.086602904,-0.002236089,0.086602904,-0.044419497,-6783.653000000006,-0.099504985,-1.6188573,-1.6145369,-1.6207821,-1.6254195,-1.6600612,-1.6361593,261.1015128259505,8293.834577564228,280.0285699709942
COM~solely,COMPLEMENT,solely,11445,12591.081,-1579.1446,-0.5148948,-0.087024815,-0.0003777816,0.86888856,0.0001663815,68787692,13172,71961373,11445.0,68776247.0,1727.0,3171954.0,68787692.0,3173681.0,13172.0,71948201.0,68775100.91896234,580.918962344,3173100.081037656,-10.71291,0.000332699,-0.041447222,-0.087024815,-0.0003777816,0.087024815,-0.0437013,-1146.0810000000001,-0.100138135,-1.5016994,-1.4909433,-1.5064878,-1.5180142,-1.6036867,-1.5446557,106.98130677833394,8293.834577564228,114.76933388322858
COM~inherently,COMPLEMENT,inherently,40441,45103.065,-7037.7759,-0.5586738,-0.09887088,-0.0015367517,0.85709137,0.0005879104,68787692,47184,71961373,40441.0,68747251.0,6743.0,3166938.0,68787692.0,3173681.0,47184.0,71914189.0,68742588.93534158,2080.935341576,3171600.064658424,-23.182878,0.001175015,-0.047384165,-0.09887088,-0.0015367517,0.09887088,-0.050203815,-4662.065000000002,-0.11528066,-1.7487056,-1.7433267,-1.7511017,-1.7568741,-1.7999635,-1.7702385,201.0994778710278,8293.834577564228,217.21878371816743
COM~mutually,COMPLEMENT,mutually,34288,38409.871,-6387.1899,-0.57183665,-0.10263734,-0.0013586882,0.8533174,0.0004984613,68787692,40182,71961373,34288.0,68753404.0,5894.0,3167787.0,68787692.0,3173681.0,40182.0,71921191.0,68749282.12919411,1772.129194116,3171908.870805884,-22.259905,0.000996341,-0.049300693,-0.10263734,-0.0013586882,0.10263734,-0.051998015,-4121.870999999999,-0.120213225,-1.7850631,-1.7792907,-1.7876345,-1.7938285,-1.8400542,-1.8081678,185.1701919856433,8293.834577564228,200.45448361161692
COM~statistically,COMPLEMENT,statistically,18536,20884.447,-3758.0241,-0.588412,-0.107522905,-0.0007741163,0.84840715,0.0002694668,68787692,21848,71961373,18536.0,68769156.0,3312.0,3170369.0,68787692.0,3173681.0,21848.0,71939525.0,68766807.55280058,963.552800584,3172717.447199416,-17.249352,0.000538763,-0.051806964,-0.107522905,-0.0007741163,0.107522905,-0.05414851,-2348.447,-0.12669654,-1.8023895,-1.7946188,-1.8058503,-1.8141845,-1.8762947,-1.8334681,136.14697940094007,8293.834577564228,147.81068973521502
COM~sufficiently,COMPLEMENT,sufficiently,30278,34291.865,-6605.4869,-0.6033048,-0.111943655,-0.0013230862,0.8440096,0.000440166,68787692,35874,71961373,30278.0,68757414.0,5596.0,3168085.0,68787692.0,3173681.0,35874.0,71925499.0,68753400.1353519,1582.135351892,3172098.864648108,-23.067427,0.000879873,-0.054063916,-0.111943655,-0.0013230862,0.111943655,-0.05663337,-4013.864999999998,-0.13256705,-1.8860447,-1.8800874,-1.8886985,-1.8950908,-1.9427959,-1.9098893,174.00574703152768,8293.834577564228,189.40432941197517
COM~directly,COMPLEMENT,directly,40483,46533.087,-10698.6708,-0.6432183,-0.12436694,-0.0019942843,0.8316146,0.000588521,68787692,48680,71961373,40483.0,68747209.0,8197.0,3165484.0,68787692.0,3173681.0,48680.0,71912693.0,68741158.91277611,2146.912776108,3171534.087223892,-30.069437,0.00117621,-0.060489178,-0.12436694,-0.0019942843,0.12436694,-0.06318061,-6050.0869999999995,-0.14944759,-2.0373478,-2.0324078,-2.0395486,-2.0448508,-2.084455,-2.0571299,201.20387670221467,8293.834577564228,220.6354459283458
COM~as,COMPLEMENT,as,2699909,3089116.393,-727572.779,-0.6925397,-0.12609936,-0.12829405,0.83546096,0.039249886,68787692,3231640,71961373,2699909.0,66087783.0,531731.0,2641950.0,68787692.0,3173681.0,3231640.0,68729733.0,65698575.6073086,142523.607308604,3031157.392691396,-236.86807,0.07497734,-0.058485147,-0.12829405,-0.12609936,0.12829405,-0.1271967,-389207.39300000016,-0.14415574,-2.0819209,-2.081317,-2.08219,-2.0828388,-2.0876992,-2.0843427,1643.139981863992,8293.834577564228,1797.6762778654004
COM~always,COMPLEMENT,always,500214,577454.774,-141064.6494,-0.6646215,-0.128944,-0.0254608,0.8280359,0.0072718533,68787692,604097,71961373,500214.0,68287478.0,103883.0,3069798.0,68787692.0,3173681.0,604097.0,71357276.0,68210237.22611563,26642.226115627,3147038.773884373,-109.21158,0.014417095,-0.062362134,-0.128944,-0.0254608,0.128944,-0.077202395,-77240.77399999998,-0.15441546,-2.143353,-2.1419775,-2.143966,-2.1454434,-2.1565068,-2.1488683,707.2580858498544,8293.834577564228,777.2367721614823
COM~overtly,COMPLEMENT,overtly,10320,11930.556,-2918.433,-0.6572326,-0.129063,-0.000530886,0.82685685,0.0001500268,68787692,12481,71961373,10320.0,68777372.0,2161.0,3171520.0,68787692.0,3173681.0,12481.0,71948892.0,68775761.44409119,550.444091179,3173130.55590882,-15.853894,0.000299999,-0.06298098,-0.129063,-0.000530886,0.129063,-0.06479694,-1610.5560000000005,-0.15606163,-1.9924284,-1.9826381,-1.9967878,-2.0072844,-2.085423,-2.0315604,101.58740079360236,8293.834577564228,111.71839597846005
COM~merely,COMPLEMENT,merely,23483,28104.341,-9539.2329,-0.7380585,-0.15724735,-0.0015233279,0.79871434,0.0003413837,68787692,29401,71961373,23483.0,68764209.0,5918.0,3167763.0,68787692.0,3173681.0,29401.0,71931972.0,68759587.65946037,1296.659460361,3172384.34053964,-30.157211,0.000682476,-0.07801982,-0.15724735,-0.0015233279,0.15724735,-0.07938534,-4621.341,-0.19679517,-2.3335922,-2.3276517,-2.3362386,-2.342614,-2.3902183,-2.3573763,153.24163924991146,8293.834577564228,171.46719802924406
COM~entirely,COMPLEMENT,entirely,205535,256998.761,-121185.8749,-0.83206475,-0.19213541,-0.01696395,0.7644799,0.002987962,68787692,268856,71961373,205535.0,68582157.0,63321.0,3110360.0,68787692.0,3173681.0,268856.0,71692517.0,68530693.23872912,11857.238729117,3161823.761270884,-113.5164,0.005952658,-0.09704524,-0.19213541,-0.01696395,0.19213541,-0.104549676,-51463.761,-0.25038928,-2.7033153,-2.7014813,-2.7041328,-2.7061028,-2.720854,-2.7106695,453.3596806069106,8293.834577564228,518.5132592325871
COM~overly,COMPLEMENT,overly,75307,95513.272,-49011.0092,-0.85318804,-0.20250568,-0.0066605737,0.75367296,0.0010947743,68787692,99920,71961373,75307.0,68712385.0,24613.0,3149068.0,68787692.0,3173681.0,99920.0,71861453.0,68692178.72811398,4406.728113984,3169274.271886016,-73.632324,0.002186373,-0.103228375,-0.20250568,-0.0066605737,0.20250568,-0.10458313,-20206.271999999997,-0.26831865,-2.766355,-2.7633848,-2.7676787,-2.7708685,-2.7947397,-2.7782614,274.4212090928833,8293.834577564228,316.10124960208555
COM~altogether,COMPLEMENT,altogether,13251,17033.136,-9430.1882,-0.87399787,-0.21230558,-0.0012467019,0.7436444,0.0001926362,68787692,17819,71961373,13251.0,68774441.0,4568.0,3169113.0,68787692.0,3173681.0,17819.0,71943554.0,68770658.86357349,785.86357349,3172895.13642651,-32.85586,0.000385173,-0.10904597,-0.21230558,-0.0012467019,0.21230558,-0.10677614,-3782.1359999999986,-0.28542268,-2.7647452,-2.757741,-2.7678657,-2.7753828,-2.8315177,-2.7927897,115.11298797268708,8293.834577564228,133.48782716038193
COM~only,COMPLEMENT,only,319110,413532.702,-242355.4075,-0.90080875,-0.21958193,-0.031124461,0.73763555,0.0046390565,68787692,432612,71961373,319110.0,68468582.0,113502.0,3060179.0,68787692.0,3173681.0,432612.0,71528761.0,68374159.29806693,19079.298066923,3154601.701933078,-167.14993,0.009220127,-0.112569444,-0.21958193,-0.031124461,0.21958193,-0.1253532,-94422.70199999999,-0.2958939,-2.9192493,-2.917857,-2.9198701,-2.9213662,-2.9325714,-2.9248345,564.8982209212559,8293.834577564228,657.732468409459
COM~terribly,COMPLEMENT,terribly,40580,55947.721,-43629.2923,-0.9838892,-0.26277965,-0.0050656465,0.69333154,0.0005899311,68787692,58529,71961373,40580.0,68747112.0,17949.0,3155732.0,68787692.0,3173681.0,58529.0,71902844.0,68731744.27892096,2581.278920971,3171099.72107903,-76.28751,0.001178859,-0.13947035,-0.26277965,-0.0050656465,0.26277965,-0.13392265,-15367.720999999998,-0.37870184,-3.19,-3.1863754,-3.1916156,-3.1955087,-3.224644,-3.2045312,201.44478151592807,8293.834577564228,241.92767514279964
COM~remotely,COMPLEMENT,remotely,9733,14715.085,-15974.2753,-1.1013237,-0.32370737,-0.0016422397,0.6322593,0.0001414933,68787692,15394,71961373,9733.0,68777959.0,5661.0,3168020.0,68787692.0,3173681.0,15394.0,71945979.0,68772976.91485776,678.914857753,3173002.085142247,-50.49958,0.000282923,-0.17951606,-0.32370737,-0.0016422397,0.32370737,-0.1626748,-4982.084999999999,-0.51187557,-3.5233786,-3.5166051,-3.526397,-3.5336707,-3.5880764,-3.5505242,98.65596788841515,8293.834577564228,124.0725594158515
COM~any,COMPLEMENT,any,16777,30742.617,-53087.8239,-1.3003079,-0.43443492,-0.0046034725,0.5216567,0.0002438954,68787692,32161,71961373,16777.0,68770915.0,15384.0,3158297.0,68787692.0,3173681.0,32161.0,71929212.0,68756949.38253477,1418.382534766,3172262.617465234,-107.82091,0.000487563,-0.26302654,-0.43443492,-0.0046034725,0.43443492,-0.2195192,-13965.616999999998,-0.83242637,-4.224596,-4.220107,-4.2265973,-4.2314205,-4.267562,-4.2426043,129.52605915413315,8293.834577564228,179.3348822733603
COM~yet,COMPLEMENT,yet,42888,90576.062,-197895.375,-1.4253873,-0.50394106,-0.015719369,0.4526199,0.0006234836,68787692,94755,71961373,42888.0,68744804.0,51867.0,3121814.0,68787692.0,3173681.0,94755.0,71866618.0,68697115.9383751,4178.938375106,3169502.061624894,-230.27234,0.001245252,-0.32467765,-0.50394106,-0.015719369,0.50394106,-0.25983024,-47688.062000000005,-1.1119208,-4.660629,-4.65801,-4.661796,-4.6646104,-4.6857095,-4.6711373,207.09418147306795,8293.834577564228,307.82300108991205
COM~immediately,COMPLEMENT,immediately,35647,87699.766,-231721.9818,-1.5403975,-0.5680816,-0.017158102,0.3885401,0.0005182177,68787692,91746,71961373,35647.0,68752045.0,56099.0,3117582.0,68787692.0,3173681.0,91746.0,71869627.0,68699992.23376247,4046.233762466,3169634.766237534,-275.69717,0.001035055,-0.39097545,-0.5680816,-0.017158102,0.5680816,-0.29261985,-52052.766,-1.4602286,-5.0386724,-5.0359592,-5.039882,-5.0427985,-5.0646696,-5.0495625,188.80413131073166,8293.834577564228,302.8960217632447
COM~exactly,COMPLEMENT,exactly,12296,53634.449,-216169.9787,-1.8937335,-0.73732746,-0.013626352,0.21914488,0.0001787529,68787692,56109,71961373,12296.0,68775396.0,43813.0,3129868.0,68787692.0,3173681.0,56109.0,71905264.0,68734057.55071805,2474.55071805,3171206.44928195,-372.79688,0.000357214,-0.63967997,-0.73732746,-0.013626352,0.73732746,-0.3754769,-41338.449,-3.3619428,-6.1908407,-6.1867847,-6.19265,-6.197012,-6.229784,-6.2071366,110.8873302050329,8293.834577564228,236.8733838995002
COM~that,COMPLEMENT,that,42033,197680.546,-831669.7162,-1.9521142,-0.75481325,-0.051305946,0.20325337,0.0006110541,68787692,206801,71961373,42033.0,68745659.0,164768.0,3008913.0,68787692.0,3173681.0,206801.0,71754572.0,68590011.45417033,9120.454170337,3164560.545829664,-759.1841,0.001218445,-0.67237353,-0.75481325,-0.051305946,0.75481325,-0.4030596,-155647.546,-3.7029846,-6.3657193,-6.3635373,-6.366692,-6.3690376,-6.3866415,-6.37448,205.01951126661092,8293.834577564228,454.7537795334966
