hit_id,colloc,adv,adj,sent_text,sent_id,adv_index
nyt_eng_19950107_0184_13:5,very_focused,very,focused,I think everybody is very focused . ...,nyt_eng_19950107_0184_13,5
nyt_eng_19950113_0301_20:15,so_drunk,so,drunk,"-LBQ-  They all combined and , frankly , looked hideous , although everybody was so drunk you could n't tell .  -RDQ-",nyt_eng_19950113_0301_20,15
nyt_eng_19950120_0100_22:5,so_busy,so,busy,"Generally , everybody 's so busy struggling with their own ethnic group 's problems that they do n't look across ethnic lines .  -RDQ-",nyt_eng_19950120_0100_22,5
nyt_eng_19950122_0079_32:9,totally_focused,totally,focused,I think everybody in this locker room is totally focused on winning this game . `,nyt_eng_19950122_0079_32,9
nyt_eng_19950126_0123_12:3,completely_engrossed,completely,engrossed,Everybody was completely engrossed in the O.J. trial .,nyt_eng_19950126_0123_12,3
nyt_eng_19950127_0011_29:3,emotionally_high,emotionally,high,"Everybody was emotionally high , and sometimes it 's nice not to get too high on the pedestal .",nyt_eng_19950127_0011_29,3
nyt_eng_19950127_0039_45:7,pretty_surprised,pretty,surprised,-LBQ-  But I think everybody 's pretty surprised at the job that he 's done and that Bobby Beathard 's done .,nyt_eng_19950127_0039_45,7
nyt_eng_19950216_0027_41:6,real_good,real,good,-LBQ-  But everybody 's been real good to me .,nyt_eng_19950216_0027_41,6
nyt_eng_19950216_0059_10:3,too_busy,too,busy,Everybody 's too busy defending his own ground .  -RDQ-,nyt_eng_19950216_0059_10,3
nyt_eng_19950220_0476_17:17,about_equal,about,equal,-LBQ-  It looks like there 's one bear -LRB- Silver Wizard -RRB- and everybody else is about equal .  -RDQ-,nyt_eng_19950220_0476_17,17
nyt_eng_19950223_0458_9:6,so_good,so,good,"Everybody on the staff is so good ,  -RDQ-  Parque said .",nyt_eng_19950223_0458_9,6
nyt_eng_19950302_0047_40:6,so_helpful,so,helpful,Everybody here ... has been so helpful .  -RDQ-,nyt_eng_19950302_0047_40,6
nyt_eng_19950304_0060_18:12,perfectly_aware,perfectly,aware,"As a legislative tactic , that works even when everybody is perfectly aware that all those numbers are really just proxies for political decisions that in the past were made by enacting broad principles , not formulas , into law .",nyt_eng_19950304_0060_18,12
nyt_eng_19950307_0421_21:3,very_tense,very,tense,"Everybody was very tense that first day , and now we 're relaxed .  -RDQ-",nyt_eng_19950307_0421_21,3
nyt_eng_19950316_0115_1:23,reasonably_attractive,reasonably,attractive,"-LBQ-  Bye Bye , Love  -RDQ-  is a mainstream Hollywood movie about divorced dads , which is to say that everybody is reasonably attractive , reasonably nice -- give or take an amusing idiosyncracy -- and more than reasonably well-heeled .",nyt_eng_19950316_0115_1,23
nyt_eng_19950316_0278_14:21,as_guilty,as,guilty,"Eventually , everybody who uses those  -LBQ-  telecommunications devices ,  -RDQ-  because if the entity transmitting the illegal message is as guilty as the individual creating it , all messages must be monitored .",nyt_eng_19950316_0278_14,21
nyt_eng_19950319_0005_5:5,extremely_happy,extremely,happy,I think everybody is extremely happy about the outcome .  -RDQ-,nyt_eng_19950319_0005_5,5
nyt_eng_19950324_0394_11:4,so_anxious,so,anxious,"-LBQ-  Everybody 's so anxious to talk about it , but we do n't want to jeopardize anything by saying something prematurely .  -RDQ-",nyt_eng_19950324_0394_11,4
nyt_eng_19950328_0294_37:6,still_cynical,still,cynical,"-LBQ-  I think everybody is still cynical ,  -RDQ-  Showalter said .",nyt_eng_19950328_0294_37,6
nyt_eng_19950412_0551_11:4,just_happy,just,happy,-LBQ-  Everybody was just happy to be there .,nyt_eng_19950412_0551_11,4
nyt_eng_19950414_0257_10:22,too_old,too,old,"The assumption is that , since there is no chance of justice being done anyhow , at least until everybody is too old to care , taxpayers should not have to bear the costs of staging an endless spectacle for the enrichment of the TV , publishing and legal industries .",nyt_eng_19950414_0257_10,22
nyt_eng_19950414_0318_21:7,so_focused,so,focused,"-LBQ-  In competition , everybody is so focused .  -RDQ-",nyt_eng_19950414_0318_21,7
nyt_eng_19950418_0010_14:6,just_happy,just,happy,"-LBQ-  I think everybody 's just happy it 's over ,  -RDQ-  he said .",nyt_eng_19950418_0010_14,6
nyt_eng_19950418_0335_14:3,really_sad,really,sad,Everybody is really sad .  -RDQ-,nyt_eng_19950418_0335_14,3
nyt_eng_19950423_0014_27:6,totally_fatigued,totally,fatigued,"-LBQ-  I think everybody is totally fatigued , and everybody on the team seems like they 're sick .",nyt_eng_19950423_0014_27,6
nyt_eng_19950424_0373_30:15,too_judgmental,too,judgmental,-LBQ-  Let 's forget about it and move on . I think everybody is too judgmental .  -RDQ-,nyt_eng_19950424_0373_30,15
nyt_eng_19950424_0468_46:10,so_bubbly,so,bubbly,"-LBQ-  This time of year , everybody is usually so bubbly ,  -RDQ-  said Laura Thomas , 32 , who works in a bank where many of the customers worked at the federal building .",nyt_eng_19950424_0468_46,10
nyt_eng_19950427_0432_16:4,very_tired,very,tired,"-LBQ-  Everybody is very tired , but they are still working very hard .  -RDQ-",nyt_eng_19950427_0432_16,4
nyt_eng_19950428_0405_21:6,so_nice,so,nice,"-LBQ-  Everybody has just been so nice , and so efficient , that it 's hard to complain , is n't it ?  -RDQ-  said Sandra Harrison , a building inspector who said she was anxious to return home but , for now , enjoyed the hotel meals provided to her every day .",nyt_eng_19950428_0405_21,6
nyt_eng_19950429_0144_21:4,too_busy,too,busy,-LBQ-  Everybody is too busy suing each other instead of having something you can live with .  -RDQ-,nyt_eng_19950429_0144_21,4
nyt_eng_19950501_0560_26:6,finally_comfortable,finally,comfortable,-LBQ-  I think everybody is finally comfortable with what their roles are .,nyt_eng_19950501_0560_26,6
nyt_eng_19950503_0445_29:9,truly_funny,truly,funny,"But more often than not , everybody was truly funny on that show .",nyt_eng_19950503_0445_29,9
nyt_eng_19950503_0555_30:3,real_calm,real,calm,Everybody 's real calm .,nyt_eng_19950503_0555_30,3
nyt_eng_19950508_0036_23:5,really_conscious,really,conscious,I think everybody 's really conscious about trying to win the fans back .  -RDQ-,nyt_eng_19950508_0036_23,5
nyt_eng_19950512_0069_7:15,pretty_healthy,pretty,healthy,"-LBQ-  The rest of the season was pretty scattered , then everybody 's been pretty healthy the last couple of weeks of the regular season and into the playoffs .  -RDQ-",nyt_eng_19950512_0069_7,15
nyt_eng_19950515_0009_32:3,so_rich,so,rich,"Everybody 's so rich and so individualistic that I get so creeped out that sometimes , I ...  -RDQ-",nyt_eng_19950515_0009_32,3
nyt_eng_19950516_0424_19:11,so_shocked,so,shocked,"-LBQ-  That 's why I 'm surprised that everybody is so shocked that we lost in the first round ,  -RDQ-  he said .",nyt_eng_19950516_0424_19,11
nyt_eng_19950518_0251_16:3,so_festive,so,festive,"Everybody was so festive , and then the Knicks plodded and lumbered and lurched and staggered and trudged for a victory that brought the series back to New York .",nyt_eng_19950518_0251_16,3
nyt_eng_19950529_0189_45:6,very_supportive,very,supportive,-LBQ-  I think everybody was very supportive here from the outset .,nyt_eng_19950529_0189_45,6
nyt_eng_19950601_0140_24:8,very_intrigued,very,intrigued,"-LBQ-  Needless to say , everybody was very intrigued with this .",nyt_eng_19950601_0140_24,8
nyt_eng_19950616_0242_53:4,too_emotional,too,emotional,-LBQ-  Everybody 's too emotional right now .  -RDQ-,nyt_eng_19950616_0242_53,4
nyt_eng_19950616_0455_31:5,well_aware,well,aware,"-LBQ-  Everybody is perfectly well aware of what is wrong with the current system ,  -RDQ-  Wellstone said .",nyt_eng_19950616_0455_31,5
nyt_eng_19950621_0389_23:4,really_shocked,really,shocked,-LBQ-  Everybody was really shocked when they went out and looked and there were n't any .  -RDQ-,nyt_eng_19950621_0389_23,4
nyt_eng_19950622_0001_19:7,very_aware,very,aware,The issue is that everybody is very aware of the ramifications of what they 're signing before they sign it .,nyt_eng_19950622_0001_19,7
nyt_eng_19950623_0468_9:4,so_cynical,so,cynical,"-LBQ-  Everybody 's so cynical ,  -RDQ-  Supervisor Mary King said .",nyt_eng_19950623_0468_9,4
nyt_eng_19950630_0570_11:4,real_happy,real,happy,"-LBQ-  Everybody 's real happy to be leaving ,  -RDQ-  said Bill Morton , a machinist who is retiring after 16 years with Boeing .",nyt_eng_19950630_0570_11,4
nyt_eng_19950708_0172_49:14,so_respectful,so,respectful,"-LBQ-  It 's a little place of my own , and everybody is so respectful of it ,  -RDQ-  Hurtado said .",nyt_eng_19950708_0172_49,14
nyt_eng_19950712_0083_24:3,real_excited,real,excited,Everybody was real excited when I told them I 'd ask you .,nyt_eng_19950712_0083_24,3
nyt_eng_19950713_0494_27:4,so_big,so,big,-LBQ-  Everybody 's so big !  -RDQ-  he wails in comic dismay .,nyt_eng_19950713_0494_27,4
nyt_eng_19950714_0446_28:21,so_high,so,high,"-LBQ-  Each year he says he 'll be harder ,  -RDQ-  said Bledsoe ,  -LBQ-  and now since everybody is so high on the Patriots , I 'm sure he 'll be harder on us .  -RDQ-",nyt_eng_19950714_0446_28,21
nyt_eng_19950717_0488_24:3,too_tired,too,tired,Everybody was too tired to celebrate .,nyt_eng_19950717_0488_24,3
nyt_eng_19950718_0595_20:17,very_calm,very,calm,"Wuzzy Acosta , who was stuck on the same train , said ,  -LBQ-  Everybody was very calm , but as soon as they got off the train , they went running to the phones .  -RDQ-",nyt_eng_19950718_0595_20,17
nyt_eng_19950721_0539_16:29,very_serious,very,serious,"For most it was just another service burial , hardly in a league with this past week 's activities near Kearney , Mo. , where everybody has been very serious and scholarly about digging up the remains of Jesse James .",nyt_eng_19950721_0539_16,29
nyt_eng_19950725_0291_31:13,really_interested,really,interested,"-LBQ-  What it tried to do is measure directly what everybody 's really interested in , which is access in the community ,  -RDQ-  he said .",nyt_eng_19950725_0291_31,13
nyt_eng_19950801_0562_20:40,so_angry,so,angry,"-LBQ-  A lot of people wait until the last minute and do n't do maintenance and then they flip out ,  -RDQ-  Adams , 33 , said ,  -LBQ-  It would n't be so bad if everybody was n't so angry .",nyt_eng_19950801_0562_20,40
nyt_eng_19950803_0412_6:25,so_crazy,so,crazy,I have n't done that yet because I ca n't get past that  -LBQ-  hey-hey-we 're - the-Monkees  -RDQ-  theme song that everybody 's so crazy about .,nyt_eng_19950803_0412_6,25
nyt_eng_19950809_0644_8:3,pretty_helpless,pretty,helpless,Everybody was pretty helpless .  -RDQ-,nyt_eng_19950809_0644_8,3
nyt_eng_19950810_0269_18:44,contentedly_mediocre,contentedly,mediocre,"With nods to  -LBQ-  Brave New World  -RDQ-  and  -LBQ-  1984 ,  -RDQ-  this awkwardly titled adaptation of a 1961 Kurt Vonnegut story depicts an America , circa 2053 , in which the goal of equality has been drastically achieved  -COL-  everybody is contentedly mediocre .",nyt_eng_19950810_0269_18,44
nyt_eng_19950812_0227_10:5,pretty_confident,pretty,confident,-LBQ-  Everybody here is pretty confident .,nyt_eng_19950812_0227_10,5
nyt_eng_19950816_0402_4:6,so_cool,so,cool,Everybody in that club is so cool .  -RDQ-,nyt_eng_19950816_0402_4,6
nyt_eng_19950821_0039_16:30,as_big,as,big,"-LBQ-  Not to boast , but I was n't surprised at how I did because it was Division 3 and not everybody 's super-fast and not everybody 's nearly as big as they are in the pro game , so it was a bit easier ,  -RDQ-  he said .",nyt_eng_19950821_0039_16,30
nyt_eng_19950829_0364_29:20,pretty_supportive,pretty,supportive,But Tarango said he had found some solace in his charges  -COL-   -LBQ-  Everybody who is sane has been pretty supportive .  -RDQ-,nyt_eng_19950829_0364_29,20
nyt_eng_19950830_0034_25:4,very_professional,very,professional,-LBQ-  Everybody 's very professional here .  -RDQ-,nyt_eng_19950830_0034_25,4
nyt_eng_19950910_0228_23:4,real_calm,real,calm,-LBQ-  Everybody was real calm .  -RDQ-,nyt_eng_19950910_0228_23,4
nyt_eng_19950915_0429_12:4,so_friendly,so,friendly,-LBQ-  Everybody is so friendly .  -RDQ-,nyt_eng_19950915_0429_12,4
nyt_eng_19950918_0479_57:4,very_isolated,very,isolated,"-LBQ-  Everybody is very isolated here ,  -RDQ-  he says .",nyt_eng_19950918_0479_57,4
nyt_eng_19950920_0578_5:47,despicably_critical,despicably,critical,"But there are three dangers in sort of letting things slip out in this way and they are , one , it makes for some extraordinarily messy situations when you 're about to go to , say , New York and everybody 's being viciously , despicably critical of what you 've said and , two , people trying to find their way from one side of his sentences to another quite understandably get lost and invariably end up saying , huh ?",nyt_eng_19950920_0578_5,47
nyt_eng_19950921_0111_5:47,despicably_critical,despicably,critical,"But there are three dangers in sort of letting things slip out in this way and they are  -COL-  one , it makes for some extraordinarily messy situations when you 're about to go to , say , New York and everybody 's being viciously , despicably critical of what you 've said ; and , two , people trying to find their way from one side of his sentences to another quite understandably get lost and invariably end up saying , huh ?",nyt_eng_19950921_0111_5,47
nyt_eng_19950921_0310_30:8,very_vigilant,very,vigilant,"-LBQ-  We 've encouraged everybody to be very vigilant , to check IDs .",nyt_eng_19950921_0310_30,8
nyt_eng_19950921_0628_51:6,emotionally_bankrupt,emotionally,bankrupt,"-LBQ-  I think everybody is emotionally bankrupt , and I think we need some other solution , but putting it back on the November ballot is not the solution ,  -RDQ-  said restaurateur Mick McHugh .",nyt_eng_19950921_0628_51,6
nyt_eng_19950923_0262_81:4,real_excited,real,excited,Everybody was just real excited .  -RDQ-,nyt_eng_19950923_0262_81,4
nyt_eng_19951003_0636_21:7,pretty_much,pretty,much,"-LBQ-  Everybody in the gym was pretty much at the TV ,  -RDQ-  said Dorian Tardiss , a clerk at the facility .",nyt_eng_19951003_0636_21,7
nyt_eng_19951006_0672_26:4,so_friendly,so,friendly,-LBQ-  Everybody is so friendly .,nyt_eng_19951006_0672_26,4
nyt_eng_19951006_0704_38:4,so_friendly,so,friendly,-LBQ-  Everybody is so friendly .,nyt_eng_19951006_0704_38,4
nyt_eng_19951009_0039_19:6,as_alive,as,alive,Everybody but 25 Yankees were as alive as anyone has ever been .,nyt_eng_19951009_0039_19,6
nyt_eng_19951010_0640_12:4,just_happy,just,happy,"-LBQ-  Everybody 's just happy to be a Clipper for once ,  -RDQ-  Vaught said .",nyt_eng_19951010_0640_12,4
nyt_eng_19951012_0725_15:10,so_strong,so,strong,"-LBQ-  Everybody 's so physical , and everybody 's so strong .",nyt_eng_19951012_0725_15,10
nyt_eng_19951012_0725_15:4,so_physical,so,physical,"-LBQ-  Everybody 's so physical , and everybody 's so strong .",nyt_eng_19951012_0725_15,4
nyt_eng_19951014_0266_49:3,really_excited,really,excited,Everybody is really excited about playing Notre Dame and trying to stop the streak .  -RDQ-,nyt_eng_19951014_0266_49,3
nyt_eng_19951016_0555_34:4,just_excited,just,excited,-LBQ-  Everybody is just excited for everybody else .,nyt_eng_19951016_0555_34,4
nyt_eng_19951017_0355_17:4,very_happy,very,happy,"-LBQ-  Everybody is very happy with the compact disk ,  -RDQ-  he declared .",nyt_eng_19951017_0355_17,4
nyt_eng_19951018_0004_17:11,so_surprised,so,surprised,"-LBQ-  Anyhow , after they lost , everybody was just so surprised .",nyt_eng_19951018_0004_17,11
nyt_eng_19951024_0023_7:9,still_stunned,still,stunned,"-LBQ-  Right now , I think everybody 's still stunned that we lost ,  -RDQ-  receiver Keyshawn Johnson said .",nyt_eng_19951024_0023_7,9
nyt_eng_19951025_0610_30:4,so_busy,so,busy,Everybody is just so busy with their work .,nyt_eng_19951025_0610_30,4
nyt_eng_19951026_0725_29:4,very_bitter,very,bitter,"-LBQ-  Everybody was very bitter about the whole thing because it turned life upside down ,  -RDQ-  recalled Virginia E. Fuller , clerk of Walpack , which borders Pahaquarry to the north and has seen its population tumble from 384 in 1970 to 65 today .",nyt_eng_19951026_0725_29,4
nyt_eng_19951029_0003_29:8,so_hyped,so,hyped,"-LBQ-  Oh , man , everybody was so hyped from coach Marmie 's speech that it was easy ,  -RDQ-  he said .",nyt_eng_19951029_0003_29,8
nyt_eng_19951031_0527_11:4,terribly_upset,terribly,upset,"-LBQ-  Everybody was terribly upset that the first concerts given by the league had been so badly reviewed ,  -RDQ-  she recalled in 1983 .",nyt_eng_19951031_0527_11,4
nyt_eng_19951031_0529_49:23,so_disciplined,so,disciplined,"-LBQ-  Especially with the athletes we have around here and the coaching that we 've received , everybody on our team is so disciplined .",nyt_eng_19951031_0529_49,23
nyt_eng_19951108_0021_18:14,very_civil,very,civil,"-LBQ-  There was not a contentious feeling in the room ; everybody was very civil ,  -RDQ-  Jones said .",nyt_eng_19951108_0021_18,14
nyt_eng_19951112_0261_4:4,very_excited,very,excited,-LBQ-  Everybody 's very excited .,nyt_eng_19951112_0261_4,4
nyt_eng_19951113_0615_2:30,so_glad,so,glad,"Not that the area off Interstate 10 owned a high-crime reputation , but what better security blanket than an on-site police officer ?  -LBQ-  Everybody in the neighborhood was so glad ,  -RDQ-  said Bertha Demonn , 80 , who lives a few doors down ,  -LBQ-  because she was a policewoman and she was living right in our street .  -RDQ-",nyt_eng_19951113_0615_2,30
nyt_eng_19951114_0711_53:19,so_sweet,so,sweet,-LBQ-  I worked in the Altman building and I thought I was a princess because everybody there was so sweet .,nyt_eng_19951114_0711_53,19
nyt_eng_19951129_0492_22:4,very_hopeful,very,hopeful,-LBQ-  Everybody was very hopeful after the war .,nyt_eng_19951129_0492_22,4
nyt_eng_19951211_0369_11:5,pretty_worried,pretty,worried,"-LBQ-  Everybody here was pretty worried about it because there are a lot of oak trees here in the area ,  -RDQ-  said Garza .",nyt_eng_19951211_0369_11,5
nyt_eng_19951211_0497_1:17,now_familiar,now,familiar,Everybody with enough sense to look over his shoulder when walking down a dark alley is now familiar with the stock market 's spooky response to news that a lot of human beings have been fired in another industrial  -LBQ-  downsizing .  -RDQ-,nyt_eng_19951211_0497_1,17
nyt_eng_19951214_0127_11:4,real_happy,real,happy,"-LBQ-  Everybody 's real happy about it ,  -RDQ-  she said .",nyt_eng_19951214_0127_11,4
nyt_eng_19951218_0621_21:40,so_dependent,so,dependent,"The problem is that French governments , afraid of stirring opposition , have never adequately explained to the electorate why they can not just go on running up deficits to keep paying the health and pension benefits everybody is so dependent on .",nyt_eng_19951218_0621_21,40
nyt_eng_19951221_0253_44:15,really_excited,really,excited,"-LBQ-  And with all the snow this year , everybody on the staff is really excited .  -RDQ-",nyt_eng_19951221_0253_44,15
nyt_eng_19951229_0300_26:4,so_happy,so,happy,"-LBQ-  Everybody 's so happy , but we 've been working so hard ,  -RDQ-  said Nicholas Gugliuzzi , a trader who been working on the floor of the exchange for 18 years  -LBQ-  It was hectic .",nyt_eng_19951229_0300_26,4
nyt_eng_19960108_0257_12:4,really_excited,really,excited,"-LBQ-  Everybody 's really excited that -LRB- gold is -RRB- going to $ 400 ,  -RDQ-  said Steve Bokor , portfolio manager with Majendie Securities Ltd. in Vancouver , British Columbia .",nyt_eng_19960108_0257_12,4
nyt_eng_19960113_0089_26:4,out_shoveling,out,shoveling,"-LBQ-  Everybody was out shoveling ,  -RDQ-  Mrs. Gigler says .",nyt_eng_19960113_0089_26,4
nyt_eng_19960114_0164_21:29,very_curious,very,curious,"-LBQ-  I think the addition of Monica Seles will be a huge draw ,  -RDQ-  said Evert ,  -LBQ-  because everybody , still at this time , is very curious about Monica .",nyt_eng_19960114_0164_21,29
nyt_eng_19960125_0195_2:7,very_surprised,very,surprised,"-LBQ-  I think everybody has been very surprised to see slower German growth ,  -RDQ-  said Thomsen in a Bloomberg Forum interview .",nyt_eng_19960125_0195_2,7
nyt_eng_19960125_0430_18:9,so_happy,so,happy,-LBQ-  I think that 's why everybody was so happy for him last week .  -RDQ-,nyt_eng_19960125_0430_18,9
nyt_eng_19960125_0756_20:4,very_happy,very,happy,"-LBQ-  Everybody is very happy with the way the Scottsdale field has turned out ,  -RDQ-  Spellecy said .",nyt_eng_19960125_0756_20,4
nyt_eng_19960126_0090_4:4,very_secretive,very,secretive,Everybody is being very secretive .  -RDQ-,nyt_eng_19960126_0090_4,4
nyt_eng_19960129_0763_2:5,so_confident,so,confident,But not everybody is so confident that the worst can be avoided .,nyt_eng_19960129_0763_2,5
nyt_eng_19960131_0392_5:4,well_aware,well,aware,"-LBQ-  Everybody 's well aware that -LRB- the rate cut -RRB- wo n't have an effect until 12 months out ,  -RDQ-  and in the meantime , investors have n't fully appreciated the extent to which eanrings will slow this year , McGonigle said .",nyt_eng_19960131_0392_5,4
nyt_eng_19960131_0551_40:16,extremely_detail-oriented,extremely,detail-oriented,"John , 38 , a lawyer , said  -COL-   -LBQ-  Everybody in the family is extremely detail-oriented .",nyt_eng_19960131_0551_40,16
nyt_eng_19960202_0717_27:4,pretty_much,pretty,much,"-LBQ-  Everybody 's pretty much in hiding right now ,  -RDQ-  said Trey Junkin , the team 's special-teams captain and backup tight end .",nyt_eng_19960202_0717_27,4
nyt_eng_19960222_0221_42:10,so_shocked,so,shocked,"So that , someday , everybody wo n't be so shocked to see our state lawmakers do the right thing .",nyt_eng_19960222_0221_42,10
nyt_eng_19960224_0129_42:7,very_catchable,very,catchable,But I think everybody else is very catchable .,nyt_eng_19960224_0129_42,7
nyt_eng_19960305_0641_11:4,pretty_eager,pretty,eager,"-LBQ-  Everybody 's pretty eager to hear , and if they have to wait even longer , it 's going to be difficult .  -RDQ-",nyt_eng_19960305_0641_11,4
nyt_eng_19960306_0044_43:7,pretty_normal,pretty,normal,-LBQ-  Everybody on this team is pretty normal .,nyt_eng_19960306_0044_43,7
nyt_eng_19960306_0237_12:5,extremely_gloomy,extremely,gloomy,-LBQ-  Everybody is now extremely gloomy .  -RDQ-,nyt_eng_19960306_0237_12,5
nyt_eng_19960307_0588_21:17,quite_nice,quite,nice,"Later I learned that at Harvard , once you get into it , apparently everybody is quite nice .",nyt_eng_19960307_0588_21,17
nyt_eng_19960311_0740_40:4,very_science-conscious,very,science-conscious,"-LBQ-  Everybody is very science-conscious ,  -RDQ-  said Ms. Luo , who enjoys shopping , Rollerblading and karaoke singing in whatever free time she has left .",nyt_eng_19960311_0740_40,4
nyt_eng_19960317_0308_25:5,extremely_hopeful,extremely,hopeful,"-LBQ-  Everybody 's both extremely hopeful and extremely scared that Joyce is going to put them in her novel ,  -RDQ-  Ms. Twichell said with a smile .",nyt_eng_19960317_0308_25,5
nyt_eng_19960404_0358_1:30,here_simply,here,simply,"When you grow up a young and wealthy lad surrounded by household help to pick up after you , it is only natural that you would think everybody is here simply to serve .",nyt_eng_19960404_0358_1,30
nyt_eng_19960412_0699_10:4,very_sensitive,very,sensitive,"-LBQ-  Everybody 's very sensitive to microbursts , thunderstorms and hail ,  -RDQ-  said Lewis , whose airline is based in Farmington , N.M. , and flies under the name United Express .",nyt_eng_19960412_0699_10,4
