key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,adv,adv_total,adj,adj_total
NEGmir~that_close,60,0.50005144,1.6722033,1.0,83.18383026123047,NEGMIR,that_close,291735,60,583470,30.0,30.0,0.5,2.0828748,3.8729835,0.30103,0.0002056661,0.0002056661,that,4559,close,4831
NEGmir~any_worse,87,0.46673867,1.6629218,0.96666664,98.4725341796875,NEGMIR,any_worse,291735,90,583470,45.0,42.0,0.4827586,1.3980651,4.5028725,0.28630674,0.00028793255,0.00029821586,any,1095,worse,2007
NEGany~remotely_surprising,75,0.48684794,1.6581216,0.9868421,94.7109835,NEGATED,remotely_surprising,3173681,76,6347362,38.0,37.0,0.49333334,1.7018658,4.272392,0.29527766,2.3316774e-05,2.3631865e-05,remotely,6161,surprising,18776
NEGmir~terribly_new,69,0.48577255,1.6355197,0.98571426,86.5658950805664,NEGMIR,terribly_new,291735,70,583470,35.0,34.0,0.49275362,1.6659948,4.093119,0.29478106,0.00023308826,0.00023651602,terribly,2204,new,4300
NEGany~remotely_comparable,118,0.44400874,1.6246778,0.944,119.3346154,NEGATED,remotely_comparable,3173681,125,6347362,62.5,55.5,0.47033897,1.1986723,5.109189,0.276002,3.497516e-05,3.71808e-05,remotely,6161,comparable,2401
NEGmir~ever_black,56,0.500048,1.5579448,1.0,77.63786315917969,NEGMIR,ever_black,291735,56,583470,28.0,28.0,0.5,2.0531619,3.7416575,0.30103,0.00019195503,0.00019195503,ever,4786,black,646
NEGmir~that_popular,65,0.48490334,1.5370809,0.9848485,81.13836669921875,NEGMIR,that_popular,291735,66,583470,33.0,32.0,0.4923077,1.6402453,3.9691114,0.2943994,0.00021937717,0.00022280494,that,4559,popular,2841
NEGmir~particularly_novel,54,0.50004625,1.4972783,1.0,74.8648910522461,NEGMIR,particularly_novel,291735,54,583470,27.0,27.0,0.5,2.0375068,3.6742346,0.30103,0.00018509949,0.00018509949,particularly,10029,novel,179
NEGany~any_sweeter,58,0.5000046,1.4869134,1.0,80.4056029,NEGATED,any_sweeter,3173681,58,6347362,29.0,29.0,0.5,2.068194,3.8078866,0.30103,1.8275308e-05,1.8275308e-05,any,16238,sweeter,388
NEGany~remotely_ready,58,0.5000046,1.4869134,1.0,80.4056029,NEGATED,remotely_ready,3173681,58,6347362,29.0,29.0,0.5,2.068194,3.8078866,0.30103,1.8275308e-05,1.8275308e-05,remotely,6161,ready,29583
NEGmir~particularly_religious,53,0.5000454,1.465974,1.0,73.4784164428711,NEGMIR,particularly_religious,291735,53,583470,26.5,26.5,0.5,2.0294626,3.640055,0.30103,0.00018167173,0.00018167173,particularly,10029,religious,337
NEGany~inherently_better,144,0.41140264,1.4634544,0.9113924,124.4569767,NEGATED,inherently_better,3173681,158,6347362,79.0,65.0,0.4513889,0.99851763,5.4166665,0.2607354,4.09619e-05,4.537318e-05,inherently,8614,better,50827
NEGany~particularly_flashy,57,0.5000045,1.4577634,1.0,79.0192905,NEGATED,particularly_flashy,3173681,57,6347362,28.5,28.5,0.5,2.0607057,3.7749171,0.30103,1.7960218e-05,1.7960218e-05,particularly,76162,flashy,1732
NEGany~inherently_good,283,0.36020103,1.4573776,0.86018234,189.851647,NEGATED,inherently_good,3173681,329,6347362,164.5,118.5,0.4187279,0.7851325,7.0440936,0.23562053,7.467669e-05,8.9170906e-05,inherently,8614,good,201244
NEGmir~remotely_true,61,0.4839224,1.4315253,0.983871,75.71836853027344,NEGMIR,remotely_true,291735,62,583470,31.0,30.0,0.4918033,1.6128732,3.8411064,0.29396814,0.0002056661,0.00020909387,remotely,1953,true,2850
NEGany~remotely_similar,152,0.39941892,1.3948721,0.8994083,123.9697848,NEGATED,remotely_similar,3173681,169,6347362,84.5,67.5,0.44407895,0.9402503,5.4749727,0.25498688,4.2537355e-05,4.789391e-05,remotely,6161,similar,11088
NEGany~any_brighter,63,0.4843799,1.3688786,0.984375,78.4213856,NEGATED,any_brighter,3173681,64,6347362,32.0,31.0,0.4920635,1.626691,3.905633,0.2941906,1.9535675e-05,1.9850766e-05,any,16238,brighter,640
NEGmir~necessarily_bad,50,0.50004286,1.3678303,1.0,69.31900024414062,NEGMIR,necessarily_bad,291735,50,583470,25.0,25.0,0.5,2.0043957,3.535534,0.30103,0.00017138843,0.00017138843,necessarily,992,bad,4790
NEGmir~immediately_available,162,0.3805548,1.3380997,0.8804348,120.4024887084961,NEGMIR,immediately_available,291735,184,583470,92.0,70.0,0.43209878,0.8588793,5.4997196,0.24572718,0.00047988756,0.00055529847,immediately,564,available,3079
NEGmir~ever_right,49,0.500042,1.3335975,1.0,67.93254089355469,NEGMIR,ever_right,291735,49,583470,24.5,24.5,0.5,1.9957081,3.5,0.30103,0.00016796065,0.00016796065,ever,4786,right,2038
NEGany~remotely_related,146,0.39571568,1.3301218,0.8957055,116.9484244,NEGATED,remotely_related,3173681,163,6347362,81.5,64.5,0.44178084,0.92281723,5.338058,0.25319526,4.0646806e-05,4.6003363e-05,remotely,6161,related,14260
COM~ever_deeper,61,0.4838757,1.3145784,0.983871,75.7127652,COMPLEMENT,ever_deeper,3173681,62,6347362,31.0,30.0,0.4918033,1.612792,3.8411064,0.29396814,1.8905492e-05,1.9220583e-05,ever,10870,deeper,1768
NEGmir~any_different,48,0.5000411,1.2985462,1.0,66.54608154296875,NEGMIR,any_different,291735,48,583470,24.0,24.0,0.5,1.9868432,3.4641016,0.30103,0.00016453287,0.00016453287,any,1095,different,8644
NEGmir~terribly_interesting,56,0.48250327,1.2878786,0.98245615,68.95550537109375,NEGMIR,terribly_interesting,291735,57,583470,28.5,27.5,0.49107143,1.5760391,3.6748421,0.29334316,0.00018852726,0.00019195503,terribly,2204,interesting,3863
NEGmir~particularly_innovative,47,0.5000403,1.2626368,1.0,65.15962219238281,NEGMIR,particularly_innovative,291735,47,583470,23.5,23.5,0.5,1.9777936,3.4278274,0.30103,0.00016110511,0.00016110511,particularly,10029,innovative,675
NEGmir~that_interested,62,0.4688014,1.2616171,0.96875,70.92922973632812,NEGMIR,that_interested,291735,64,583470,32.0,30.0,0.48387095,1.3980293,3.8100038,0.2872417,0.0002056661,0.00021252164,that,4559,interested,2877
NEGany~inherently_illegal,59,0.4833379,1.2581891,0.98333335,73.0062626,NEGATED,inherently_illegal,3173681,60,6347362,30.0,29.0,0.4915254,1.5984336,3.7754784,0.29373077,1.8275308e-05,1.85904e-05,inherently,8614,illegal,3580
NEGmir~any_easier,61,0.46830454,1.2342103,0.96825397,69.60673522949219,NEGMIR,any_easier,291735,63,583470,31.5,29.5,0.48360655,1.3910229,3.777088,0.28701928,0.00020223833,0.00020909387,any,1095,easier,681
NEGmir~terribly_original,45,0.50003856,1.1880702,1.0,62.38671875,NEGMIR,terribly_original,291735,45,583470,22.5,22.5,0.5,1.9591084,3.354102,0.30103,0.00015424957,0.00015424957,terribly,2204,original,715
NEGmir~exactly_clear,52,0.48117578,1.1618813,0.9811321,63.55646514892578,NEGMIR,exactly_clear,291735,53,583470,26.5,25.5,0.4903846,1.5441439,3.5362136,0.29275748,0.00017481619,0.00017824395,exactly,869,clear,3321
NEGmir~that_difficult,52,0.48117578,1.1618813,0.9811321,63.55646514892578,NEGMIR,that_difficult,291735,53,583470,26.5,25.5,0.4903846,1.5441439,3.5362136,0.29275748,0.00017481619,0.00017824395,that,4559,difficult,4854
NEGmir~remotely_comparable,44,0.5000377,1.1493182,1.0,61.00027084350586,NEGMIR,remotely_comparable,291735,44,583470,22.0,22.0,0.5,1.9494555,3.3166249,0.30103,0.00015082181,0.00015082181,remotely,1953,comparable,158
NEGmir~particularly_comfortable,44,0.5000377,1.1493182,1.0,61.00027084350586,NEGMIR,particularly_comfortable,291735,44,583470,22.0,22.0,0.5,1.9494555,3.3166249,0.30103,0.00015082181,0.00015082181,particularly,10029,comfortable,1888
NEGany~remotely_enough,47,0.5000037,1.1290904,1.0,65.156183,NEGATED,remotely_enough,3173681,47,6347362,23.5,23.5,0.5,1.97773,3.4278274,0.30103,1.4809302e-05,1.4809302e-05,remotely,6161,enough,27603
POS~terribly_wrong,319,0.29571447,1.0633904,0.79551125,149.7371826171875,POSMIR,terribly_wrong,291735,401,583470,200.5,118.5,0.37147334,0.58836997,6.634726,0.20167631,0.0008123811,0.0010934582,terribly,2204,wrong,8506
COM~ever_mindful,52,0.48113608,1.0418015,0.9811321,63.5524148,COMPLEMENT,ever_mindful,3173681,53,6347362,26.5,25.5,0.4903846,1.544075,3.5362136,0.29275748,1.6069667e-05,1.638476e-05,ever,10870,mindful,784
NEGmir~that_happy,41,0.50003517,1.0265367,1.0,56.84095001220703,NEGMIR,that_happy,291735,41,583470,20.5,20.5,0.5,1.9191391,3.2015622,0.30103,0.0001405385,0.0001405385,that,4559,happy,5463
