key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~yet_certain,866,0.50006825,5.5978703,1.0,1200.6490852,NEGATED,yet_certain,3173681,866,6347362,433.0,433.0,0.5,0.00027286925,0.00027286925,yet,53779,certain,11301,3.238917,14.713939,0.30103
NEGany~immediately_possible,1000,0.4990797,5.5743823,0.999001,1372.0214009,NEGATED,immediately_possible,3173681,1001,6347362,500.5,499.5,0.4995,0.00031477644,0.00031509154,immediately,57730,possible,30222,2.8242626,15.795577,0.3005959
NEGany~that_uncommon,802,0.5000632,5.4859247,1.0,1111.9094245,NEGATED,that_uncommon,3173681,802,6347362,401.0,401.0,0.5,0.0002527034,0.0002527034,that,166680,uncommon,3193,3.2055848,14.159802,0.30103
NEGany~that_impressed,681,0.50005364,5.2471375,1.0,944.1395313,NEGATED,that_impressed,3173681,681,6347362,340.5,340.5,0.5,0.00021457733,0.00021457733,that,166680,impressed,12269,3.134589,13.047988,0.30103
NEGany~exactly_true,1447,0.49393198,5.2416754,0.9938187,1909.2741657,NEGATED,exactly_true,3173681,1456,6347362,728.0,719.0,0.49689013,0.00045310162,0.00045593744,exactly,44378,true,35146,2.1830919,18.901428,0.29833716
NEGany~necessarily_wrong,762,0.49874935,5.1777744,0.9986894,1042.5606417,NEGATED,necessarily_wrong,3173681,763,6347362,381.5,380.5,0.49934384,0.00023978465,0.00024009975,necessarily,42916,wrong,21208,2.7062528,13.7840605,0.30046043
NEGany~yet_final,640,0.5000504,5.156348,1.0,887.2929284,NEGATED,yet_final,3173681,640,6347362,320.0,320.0,0.5,0.00020165858,0.00020165858,yet,53779,final,1212,3.1076367,12.649111,0.30103
NEGany~any_happier,828,0.49765542,5.126611,0.99759036,1122.6235326,NEGATED,any_happier,3173681,830,6347362,415.0,413.0,0.49879226,0.0002602656,0.0002608958,any,16176,happier,1909,2.5204656,14.352742,0.29998225
NEGany~necessarily_representative,487,0.5000384,4.7558975,1.0,675.1627217,NEGATED,necessarily_representative,3173681,487,6347362,243.5,243.5,0.5,0.00015344957,0.00015344957,necessarily,42916,representative,2559,2.9890714,11.034039,0.30103
NEGany~yet_public,467,0.5000368,4.6942687,1.0,647.4338282,NEGATED,yet_public,3173681,467,6347362,233.5,233.5,0.5,0.00014714774,0.00014714774,yet,53779,public,2592,2.9708755,10.805092,0.30103
