key,f,dP1,P1,LRC,G2,MI,odds_r_disc,t,N,f1,f2,exp_f,unexp_f,l1,l2,adv,adv_total,adj,adj_total
NEGmir~any_easier,61,0.46830967,0.96825397,1.2342399,69.60794830322266,0.28702375,1.3910319,3.7771294,583470,291732,63,31.499675750732422,29.500324249267578,NEGMIR,any_easier,any,1095,easier,681
NEGmir~terribly_original,45,0.5000437,1.0,1.1880999,62.38764190673828,0.30103445,1.9591173,3.3541365,583470,291732,45,22.49976921081543,22.50023078918457,NEGMIR,terribly_original,terribly,2204,original,715
NEGmir~that_difficult,52,0.48118094,0.9811321,1.1619109,63.55751419067383,0.29276192,1.5441529,3.5362515,583470,291732,53,26.499727249145508,25.500272750854492,NEGMIR,that_difficult,that,4559,difficult,4854
NEGmir~exactly_clear,52,0.48118094,0.9811321,1.1619109,63.55751419067383,0.29276192,1.5441529,3.5362515,583470,291732,53,26.499727249145508,25.500272750854492,NEGMIR,exactly_clear,exactly,869,clear,3321
NEGmir~particularly_comfortable,44,0.50004286,1.0,1.1493479,61.00117492675781,0.30103445,1.9494644,3.316659,583470,291732,44,21.999773025512695,22.000226974487305,NEGMIR,particularly_comfortable,particularly,10029,comfortable,1888
NEGmir~remotely_comparable,44,0.50004286,1.0,1.1493479,61.00117492675781,0.30103445,1.9494644,3.316659,583470,291732,44,21.999773025512695,22.000226974487305,NEGMIR,remotely_comparable,remotely,1953,comparable,158
NEGany~remotely_enough,47,0.50000715,1.0,1.1291105,65.1568346,0.30103302,1.9777361,3.427851,6347364,3173660,47,23.4998371,23.5001629,NEGATED,remotely_enough,remotely,6161,enough,27603
POS~terribly_wrong,319,0.29572475,0.79551125,1.0634497,149.7469482421875,0.20168523,0.58838785,6.6349573,583470,291729,401,200.49588012695312,118.50411987304688,POSMIR,terribly_wrong,terribly,2204,wrong,8506
COM~ever_mindful,52,0.4811566,0.9811321,1.0419197,63.5565931,0.29277527,1.5441107,3.5363643,6347364,3173552,53,26.4989145,25.5010855,COMPLEMENT,ever_mindful,ever,10870,mindful,784
NEGmir~that_happy,41,0.5000403,1.0,1.0265664,56.841793060302734,0.30103445,1.9191481,3.201595,583470,291732,41,20.499788284301758,20.500211715698242,NEGMIR,that_happy,that,4559,happy,5463
