key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~picky,NEGATED,picky,1487,440.89574,1623.117624,0.5702131,0.08868005,0.00033683926,0.12603831,0.00046091192,3226213,11798,86330752,1487.0,3224726.0,10311.0,83094228.0,3226213.0,83104539.0,11798.0,86318954.0,3225772.104257843,11357.104257843,83093181.89574216,27.128107,0.000918465,0.08868005,0.5279751,0.00033683926,0.08868005,0.08868005,2.9870924e-05,1046.10426,0.70349985,20.997517,32.343536,1.6772888,1.6660115,1.6823201,1.6944609,1.7809931,1.6992004,38.561638969317684,1796.1661949830811,108.61859877571612
NEG~apparent,NEGATED,apparent,7789,2395.59083,8076.067886,0.5525687,0.08419782,0.0017366452,0.12150568,0.0024142857,3226213,64104,86330752,7789.0,3218424.0,56315.0,83048224.0,3226213.0,83104539.0,64104.0,86266648.0,3223817.409166366,61708.409166365,83042830.59083363,61.11144,0.004734498,0.08419782,0.51206905,0.0017366452,0.08419782,0.08419782,0.00014622175,5393.40917,0.69243926,48.944775,73.439835,1.7389474,1.734037,1.7411381,1.7464243,1.7841017,1.748488,88.25531145489205,1796.1661949830811,253.18767742526492
NEG~comparable,NEGATED,comparable,2002,623.56216,2036.047259,0.5458378,0.08262641,0.0004438487,0.11998082,0.0006205418,3226213,16686,86330752,2002.0,3224211.0,14684.0,83089855.0,3226213.0,83104539.0,16686.0,86314066.0,3225589.437840852,16062.437840852,83088476.56215915,30.807407,0.001234698,0.08262641,0.50658435,0.0004438487,0.08262641,0.08262641,3.6673624e-05,1378.43784,0.6885304,24.971226,37.12732,1.6267673,1.6170824,1.6310883,1.6415147,1.7158284,1.645585,44.74371464239419,1796.1661949830811,129.1743008496659
NEG~feasible,NEGATED,feasible,3753,1185.46319,3739.328486,0.53904265,0.08096843,0.0008267314,0.11830906,0.0011632834,3226213,31722,86330752,3753.0,3222460.0,27969.0,83076570.0,3226213.0,83104539.0,31722.0,86299030.0,3225027.536808552,30536.536808552,83074002.46319145,41.91094,0.002303913,0.08096843,0.5004905,0.0008267314,0.08096843,0.08096843,6.6939145e-05,2567.53681,0.6841292,34.430557,50.670868,1.6539688,1.6469036,1.6571208,1.6647269,1.7189384,1.6676961,61.26173356998641,1796.1661949830811,178.1067095872584
NEG~easy,NEGATED,easy,87578,28824.03562,83051.726399,0.52680916,0.076861255,0.018918423,0.11354493,0.027145758,3226213,771307,86330752,87578.0,3138635.0,683729.0,82420810.0,3226213.0,83104539.0,771307.0,85559445.0,3197388.964384151,742482.964384151,82362056.03561585,198.53618,0.043816168,0.076861255,0.48264024,0.018918423,0.076861255,0.076861255,0.0014540937,58753.964380000005,0.67087585,169.77643,242.39217,1.6946263,1.6931853,1.6952693,1.6968206,1.7078779,1.6974263,295.93580384941595,1796.1661949830811,878.2408553466412
NEG~worried,NEGATED,worried,13084,4425.77409,11747.282086,0.5062827,0.07320882,0.0027878967,0.110478766,0.004055529,3226213,118430,86330752,13084.0,3213129.0,105346.0,82999193.0,3226213.0,83104539.0,118430.0,86212322.0,3221787.225907473,114004.225907473,82990534.77409253,75.69351,0.007823854,0.07320882,0.4707513,0.0027878967,0.07320882,0.07320882,0.0002040986,8658.225910000001,0.6617415,66.52649,93.04959,1.6056899,1.6019278,1.6073684,1.6114186,1.6402858,1.6129997,114.38531374263044,1796.1661949830811,344.13660078521144
NEG~surprising,NEGATED,surprising,16440,5608.0608,14570.162853,0.5024707,0.07230638,0.003487819,0.109551065,0.005095758,3226213,150067,86330752,16440.0,3209773.0,133627.0,82970912.0,3226213.0,83104539.0,150067.0,86180685.0,3220604.939198317,144458.939198317,82960080.06080168,84.48027,0.009738529,0.07230638,0.4670891,0.003487819,0.07230638,0.07230638,0.00025219156,10831.9392,0.6588771,74.886986,104.0766,1.5998601,1.5965072,1.6013559,1.6049654,1.6306925,1.6063746,128.21856339859684,1796.1661949830811,387.3848215921734
NEG~spicy,NEGATED,spicy,1417,485.14227,1245.482156,0.49942064,0.071791545,0.00030005258,0.10915113,0.00043921464,3226213,12982,86330752,1417.0,3224796.0,11565.0,83092974.0,3226213.0,83104539.0,12982.0,86317770.0,3225727.857728032,12496.857728032,83092042.14227197,24.7551,0.000874909,0.071791545,0.46550074,0.00030005258,0.071791545,0.071791545,2.1541238e-05,931.85773,0.65762717,22.025946,30.526344,1.4389777,1.427535,1.4440827,1.4564013,1.5442015,1.4612104,37.64306044943742,1796.1661949830811,113.93857994551274
NEG~sharp,NEGATED,sharp,4443,1547.88114,3797.738236,0.4911245,0.069930196,0.0009322108,0.10726702,0.0013771565,3226213,41420,86330752,4443.0,3221770.0,36977.0,83067562.0,3226213.0,83104539.0,41420.0,86289332.0,3224665.118864203,39872.118864203,83064666.88113579,43.43384,0.0027194,0.06993019,0.4579387,0.0009322108,0.069930196,0.069930196,6.5189684e-05,2895.11886,0.65161353,39.34312,53.80631,1.5063956,1.4999431,1.5092742,1.5162207,1.5657308,1.5189325,66.65583245298194,1796.1661949830811,203.51904087824315
NEG~final,NEGATED,final,1024,360.88576,858.261703,0.48534948,0.06867437,0.0002135188,0.10603707,0.0003174,3226213,9657,86330752,1024.0,3225189.0,8633.0,83095906.0,3226213.0,83104539.0,9657.0,86321095.0,3225852.114241226,9296.114241227,83095242.88575877,20.72232,0.000632906,0.06867437,0.4529302,0.0002135188,0.06867437,0.06867437,1.4663269e-05,663.11424,0.6475725,18.996994,25.751005,1.3539683,1.3405305,1.3599634,1.37443,1.477539,1.3800774,32.0,1796.1661949830811,98.2700361249552
NEG~convinced,NEGATED,convinced,1414,503.93957,1163.201189,0.47990066,0.06749741,0.00029303398,0.10485725,0.00043828477,3226213,13485,86330752,1414.0,3224799.0,12071.0,83092468.0,3226213.0,83104539.0,13485.0,86317267.0,3225709.060426938,12981.060426938,83091557.93957308,24.201681,0.000872921,0.06749741,0.44807094,0.00029303398,0.06749741,0.06749741,1.9779034e-05,910.06043,0.6436071,22.448599,30.167208,1.3744347,1.3630075,1.3795329,1.391835,1.4795171,1.3966376,37.603191353926334,1796.1661949830811,116.12493272333896
NEG~ready,NEGATED,ready,24526,8979.99018,19339.416898,0.46875826,0.06487556,0.0050057215,0.10206536,0.007602102,3226213,240297,86330752,24526.0,3201687.0,215771.0,82888768.0,3226213.0,83104539.0,240297.0,86090455.0,3217233.0098192,231317.009819201,82873221.9901808,99.26716,0.014150255,0.06487556,0.43635085,0.0050057215,0.06487556,0.06487556,0.00032474898,15546.00982,0.6338583,94.76281,124.68364,1.4975967,1.4948665,1.498815,1.5017543,1.5227046,1.5029018,156.60779035539707,1796.1661949830811,490.2009791911885
NEG~flattering,NEGATED,flattering,1576,587.49974,1199.632699,0.4581456,0.06288915,0.00031829113,0.100248076,0.0004884984,3226213,15721,86330752,1576.0,3224637.0,14145.0,83090394.0,3226213.0,83104539.0,15721.0,86315031.0,3225625.500257463,15133.500257463,83089405.49974254,24.899961,0.000972259,0.06288915,0.42854854,0.00031829113,0.06288915,0.06288915,2.0017058e-05,988.50026,0.627221,24.238394,31.440424,1.3142649,1.303469,1.3190815,1.330704,1.4135424,1.3352412,39.698866482558415,1796.1661949830811,125.38341198101126
NEG~conducive,NEGATED,conducive,1618,613.06108,1196.27754,0.45029017,0.06126973,0.00032358427,0.09862847,0.0005015168,3226213,16405,86330752,1618.0,3224595.0,14787.0,83089752.0,3226213.0,83104539.0,16405.0,86314347.0,3225599.938917606,15791.938917606,83088747.0610824,24.983335,0.000997959,0.06126973,0.42147478,0.00032358427,0.06126973,0.06126973,1.982592e-05,1004.93892,0.6210995,24.76007,31.700771,1.2910582,1.2804129,1.2958076,1.3072678,1.38895,1.3117417,40.22437072223753,1796.1661949830811,128.08200498118384
NEG~bright,NEGATED,bright,6309,2456.6914,4440.399172,0.43745664,0.058644705,0.0012404202,0.09597043,0.0019555436,3226213,65739,86330752,6309.0,3219904.0,59430.0,83045109.0,3226213.0,83104539.0,65739.0,86265013.0,3223756.308595216,63282.308595215,83041256.69140479,48.499897,0.003832984,0.058644705,0.4096099,0.0012404202,0.058644705,0.058644705,7.274407e-05,3852.3086,0.61060524,49.56502,62.066967,1.3482646,1.3428853,1.3506645,1.3564557,1.3977319,1.3587165,79.42921376924235,1796.1661949830811,256.39617781862506
NEG~satisfactory,NEGATED,satisfactory,1090,448.07086,690.637499,0.41120067,0.05354615,0.00020669732,0.09090909,0.00033785743,3226213,11990,86330752,1090.0,3225123.0,10900.0,83093639.0,3226213.0,83104539.0,11990.0,86318762.0,3225764.929144901,11541.929144901,83092997.07085508,19.443474,0.000673213,0.05354615,0.3860798,0.00020669732,0.05354615,0.05354615,1.1067846e-05,641.92914,0.58892584,21.167685,25.33632,1.1176884,1.1047729,1.1234506,1.1373551,1.2364575,1.142783,33.015148038438355,1796.1661949830811,109.4988584415381
NEG~ripe,NEGATED,ripe,1068,450.46256,642.452748,0.39893317,0.051238067,0.00019884334,0.08860129,0.0003310383,3226213,12054,86330752,1068.0,3225145.0,10986.0,83093553.0,3226213.0,83104539.0,12054.0,86318698.0,3225762.537440587,11603.537440587,83092935.46255942,18.89634,0.000659612,0.051238067,0.37491256,0.00019884334,0.051238067,0.051238067,1.0188348e-05,617.5374400000001,0.5782186,21.224104,24.8503,1.0747147,1.0616833,1.0805286,1.0945578,1.1945491,1.1000345,32.68026927673638,1796.1661949830811,109.79070998950685
NEG~dire,NEGATED,dire,1464,619.2272,875.649467,0.39757535,0.05099185,0.00027201176,0.08835244,0.00045378282,3226213,16570,86330752,1464.0,3224749.0,15106.0,83089433.0,3226213.0,83104539.0,16570.0,86314182.0,3225593.772804921,15950.772804921,83088588.22719508,22.078491,0.000902928,0.05099185,0.37369105,0.00027201176,0.05099185,0.05099185,1.3870383e-05,844.7728,0.5770306,24.884275,29.064976,1.1067206,1.0955924,1.1116853,1.1236655,1.2090527,1.1283422,38.262252939417984,1796.1661949830811,128.7245120402482
NEG~correct,NEGATED,correct,6864,2923.85852,4049.827145,0.39453712,0.050405364,0.0012687019,0.087730065,0.002127572,3226213,78240,86330752,6864.0,3219349.0,71376.0,83033163.0,3226213.0,83104539.0,78240.0,86252512.0,3223289.141475983,75316.141475983,83029222.85852401,47.557957,0.004154394,0.050405364,0.3706209,0.0012687019,0.050405364,0.050405364,6.3949374e-05,3940.14148,0.5740299,54.072716,62.770546,1.2103647,1.2052312,1.212655,1.2181815,1.2575711,1.2203388,82.84926070883192,1796.1661949830811,279.71413979275343
NEG~great,NEGATED,great,33057,14233.96663,19159.837756,0.39148286,0.049637686,0.0060609034,0.086789064,0.010246378,3226213,380889,86330752,33057.0,3193156.0,347832.0,82756707.0,3226213.0,83104539.0,380889.0,85949863.0,3211979.033367148,366655.033367148,82737883.96663286,103.528015,0.018328842,0.049637686,0.3659375,0.0060609034,0.049637686,0.049637686,0.0003008492,18823.033369999997,0.5694114,119.30619,137.19707,1.2470397,1.2447107,1.2480787,1.250586,1.2684563,1.2515647,181.8158408940211,1796.1661949830811,617.1620532728823
NEG~big,NEGATED,big,30879,13367.57175,17689.062256,0.3887501,0.04915863,0.0056385743,0.086325325,0.009571284,3226213,357705,86330752,30879.0,3195334.0,326826.0,82777713.0,3226213.0,83104539.0,357705.0,85973047.0,3212845.42825494,344337.42825494,82760201.57174505,99.6529,0.017231978,0.04915863,0.3636107,0.0056385743,0.04915863,0.04915863,0.0002771846,17511.42825,0.5670983,115.61822,132.33075,1.2370282,1.2346184,1.2381034,1.2406977,1.2591888,1.2417105,175.72421574728966,1796.1661949830811,598.0844421985912
NEG~scary,NEGATED,scary,5097,2205.63719,2908.531576,0.38690752,0.049022228,0.0009310014,0.08635909,0.0015798709,3226213,59021,86330752,5097.0,3221116.0,53924.0,83050615.0,3226213.0,83104539.0,59021.0,86271731.0,3224007.362807438,56815.362807439,83047723.63719256,40.499092,0.003102975,0.049022228,0.36378056,0.0009310014,0.049022228,0.049022228,4.563976e-05,2891.36281,0.5672676,46.96421,53.771393,1.1697526,1.1637983,1.172409,1.1788192,1.2245069,1.1813216,71.39327699440614,1796.1661949830811,242.94237999986746
