adj_lemma,SUM,very,more,most,so,not,as,too,really,much,pretty,less,even,also,quite,extremely,how,still,highly,just,relatively,completely,always,particularly,almost,only,far,now,all,increasingly,truly,slightly,incredibly,fairly,rather,especially,well,totally,absolutely,often,somewhat,super,entirely,already,that,equally,no,fully,mostly,potentially,nearly,long,largely,perfectly,deeply,seemingly,sometimes,politically,actually,generally,immediately,usually,probably,both,significantly,easily,never,least,ever,surprisingly,overly,currently,partly,simply,once,otherwise
few,121713,65540,33,12,10685,561,5929,9859,98,529,40,5,2493,66,91,158,243,176,0,1195,7307,1,14,6,4,1397,5640,75,3,104,8,467,32,49,103,3,13,0,0,64,87,3,1,12,13,17,2975,0,4,41,3,7,1,1,0,44,21,0,29,31,0,35,92,5,814,1,14,72,129,557,0,17,0,21,7,9
comfortable,120741,16448,44487,10333,4094,7653,5797,2293,2360,119,1559,1272,125,516,2299,1906,375,334,147,207,508,1346,484,294,42,343,3,197,244,331,288,10,627,563,170,117,20,652,194,27,143,1323,814,306,282,502,1,280,39,3,0,114,19,689,19,97,4,11,83,96,77,60,24,371,0,4,311,119,25,311,52,15,0,23,80,29
nice,120512,41067,293,44,10715,2310,3353,1870,24069,2649,4510,91,661,2044,3101,736,798,940,6,1380,102,14,4936,667,15,150,112,28,672,1,118,88,376,291,940,893,13,34,18,45,47,1485,4,38,406,89,6,1,59,17,4,16,1,418,0,72,68,6,290,102,0,64,56,53,9,1,119,2,29,143,54,2,0,56,26,67
dangerous,120175,15548,19725,24822,3098,2222,4481,6908,1280,56,574,2484,1215,829,1106,5112,782,675,1320,150,41,30,711,1843,51,416,5,46,70,994,459,138,1001,99,248,1369,2,19,43,622,166,78,6,242,223,419,2,3,5,7889,6,44,1,3,60,39,647,288,173,26,52,78,70,130,13,3,15,151,41,17,35,9,0,50,21,62
worth,116747,367,709,253,2175,26357,90,9,5861,941,25,126,1722,8249,164,31,9,3398,40,209,2,545,2425,149,295,1239,33,2326,2602,7,886,2,33,4,5,176,25743,2792,1113,314,7,14,140,173,21,49,4,34,15,378,36,329,2,13,1,6,92,2,1346,90,14,323,1584,102,2,249,223,24,114,2,2,569,0,58,88,9
long,113164,40416,1086,215,7302,2671,1640,13351,5359,3513,1676,61,878,111,1171,2107,3623,294,1,165,1175,6,99,602,0,132,226,97,37,205,38,982,910,1246,1103,204,118,4,2,241,222,661,4,389,192,230,3582,0,35,192,40,58,0,5,1,61,76,0,24,51,0,100,29,55,228,3,53,11,45,339,498,4,1,10,19,29
concerned,105161,12001,18165,2881,3923,6974,1716,3005,2318,1019,144,3055,143,5152,672,1946,302,1437,397,725,5,15,877,3327,4,1560,3,396,1910,2824,453,229,70,21,98,1414,15,16,41,254,421,52,45,322,422,423,2,9,588,8,6,200,168,0,6560,24,29,12,144,118,134,101,70,78,18,1,99,144,110,3,2142,42,9,117,27,21
open,100474,6322,19597,1818,1724,5628,1861,515,745,532,852,626,405,2306,727,237,219,5933,51,219,499,1867,4434,112,55,2485,31,7309,539,434,560,550,132,372,110,42,79,553,89,200,116,37,228,818,71,95,3,1364,200,72,23,342,119,50,4,71,65,16,194,323,42,445,32,153,2,28,102,28,115,105,8,1090,135,82,230,92
efficient,99991,5475,54822,17509,927,764,2904,110,406,57,253,2920,27,204,327,1341,143,38,4227,51,144,27,84,190,0,121,4,4,18,147,101,0,511,120,37,83,18,21,9,11,15,312,13,34,92,109,3,45,27,6,2,31,2,78,0,5,4,4,24,29,0,32,4,136,3,0,7,354,14,76,11,4,1,6,4,21
complex,99684,8415,40561,8896,3018,450,2879,4170,560,73,485,1584,68,171,1363,2011,180,56,2980,32,297,8,90,422,3,44,2,15,38,3784,77,42,1441,646,651,131,5,1,3,707,260,108,5,333,53,185,0,9,7,98,2,9,3,4,172,142,191,61,31,16,1,40,9,126,6,2,5,82,21,295,845,5,1,13,27,54
