bigram_lower,SUM,pos-mirror-R,pos-mirror-L
as_effective,366,340,26
very_subtle,365,309,56
as_great,364,190,174
totally_free,364,290,74
very_smart,363,300,63
quite_small,363,327,36
very_basic,362,169,193
not_likely,362,322,40
half_empty,361,357,4
most_interesting,361,352,9
quite_funny,360,348,12
even_aware,360,357,3
very_polite,360,356,4
just_enough,360,350,10
really_beautiful,360,130,230
really_proud,359,330,29
very_tender,359,349,10
as_difficult,358,276,82
more_stable,357,186,171
about_more,356,355,1
quite_expensive,356,352,4
very_competitive,355,351,4
too_predictable,355,352,3
more_disappointing,354,351,3
still_active,354,345,9
as_innocuous,351,9,342
really_amazing,351,110,241
perfectly_fine,349,347,2
very_slow,349,342,7
very_attractive,349,245,104
more_beneficial,348,295,53
more_crucial,348,311,37
more_frightening,348,239,109
far_different,347,71,276
more_natural,347,154,193
so_similar,346,294,52
vastly_different,346,240,106
that_bad,346,178,168
much_younger,345,162,183
very_true,345,306,39
really_friendly,344,341,3
much_cheaper,344,320,24
more_elaborate,344,137,207
too_brief,342,341,1
really_simple,342,119,223
deeply_personal,342,198,144
pretty_simple,341,281,60
very_upset,341,337,4
more_clear,341,319,22
more_desirable,340,281,59
more_robust,339,117,222
no_better,339,329,10
aesthetically_pleasing,338,240,98
absolutely_free,337,321,16
so_passionate,336,268,68
most_expensive,336,334,2
too_likely,335,335,0
acutely_aware,334,324,10
not_eligible,334,324,10
very_quick,333,322,11
now_dead,333,312,21
as_minor,333,33,300
even_harmful,332,331,1
so_desperate,331,298,33
so_funny,331,279,52
less_fortunate,330,144,186
too_sick,330,323,7
so_deep,330,254,76
not_sufficient,328,328,0
quite_unique,328,87,241
so_delicious,328,203,125
not_relevant,326,312,14
very_tired,326,324,2
so_satisfying,325,65,260
relatively_easy,325,298,27
too_light,324,318,6
humanly_possible,324,40,284
too_embarrassed,323,320,3
n't_easy,322,322,0
quite_new,322,117,205
more_essential,321,247,74
just_tender,321,321,0
just_crazy,321,315,6
as_happy,319,308,11
really_helpful,319,298,21
incredibly_important,319,204,115
more_qualified,318,174,144
more_detailed,318,219,99
too_early,317,313,4
much_darker,317,48,269
definitely_worth,317,236,81
quite_happy,317,313,4
more_profitable,316,253,63
so_complicated,316,251,65
too_thick,315,310,5
very_disappointed,314,314,0
really_worth,313,214,99
so_much,313,274,39
more_manageable,313,86,227
not_feasible,312,304,8
too_typical,312,310,2
not_effective,309,309,0
so_clear,308,285,23
more_capable,308,223,85
totally_unexpected,308,44,264
pretty_similar,308,256,52
much_stronger,308,186,122
even_harder,307,264,43
highly_skilled,307,298,9
fairly_easy,307,275,32
currently_available,307,275,32
even_larger,307,232,75
as_talented,307,67,240
not_fair,305,302,3
very_keen,305,299,6
otherwise_inappropriate,305,305,0
more_knowledgeable,304,176,128
highly_effective,303,300,3
really_positive,303,185,118
so_terrible,303,99,204
pretty_funny,303,288,15
so_hot,302,255,47
so_angry,302,283,19
more_susceptible,302,281,21
even_able,301,301,0
politically_incorrect,301,251,50
potentially_harmful,301,266,35
really_new,301,68,233
so_fresh,301,227,74
too_tempting,301,300,1
even_hostile,299,299,0
just_stupid,299,299,0
as_common,299,61,238
extremely_proud,298,293,5
terminally_ill,297,285,12
very_dear,297,71,226
more_durable,296,166,130
as_excited,296,293,3
slightly_better,296,252,44
just_fun,296,293,3
still_present,296,292,4
so_intense,296,247,49
so_awesome,296,206,90
very_clever,296,226,70
very_creative,296,271,25
