adv_form_lower,SUM,or,something,all,some,often,always,sometimes,both,many,everything,everyone,someone,everybody,either,somebody,every,somethings,somethin,everythings,everyones,alls,someones,everybodys,somebodies,somes,oftens,everbody,someon,someing,ors,oftenleft,manies,everythiing,eather
always,4347,1026,462,309,115,51,535,81,110,37,446,569,434,112,14,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overly,4242,2895,125,79,162,277,97,349,53,71,15,33,49,3,24,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actually,4031,903,527,320,820,114,13,307,74,527,132,75,176,14,11,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
well,3969,311,189,1684,162,127,231,53,295,227,45,479,64,82,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perfectly,3924,415,250,1484,194,108,281,103,237,148,491,99,59,31,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seriously,3922,410,2836,101,150,40,24,26,47,82,16,20,146,4,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perhaps,3649,3151,135,28,174,1,0,9,29,87,2,1,28,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
terribly,3562,333,2331,436,67,60,73,51,52,34,28,47,19,16,9,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
potentially,3331,1894,559,254,260,21,75,18,67,71,60,23,22,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fully,3227,806,56,1090,102,35,210,32,302,104,154,213,61,42,12,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
that,3123,579,105,1852,19,27,147,69,15,36,52,39,117,15,11,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
longer,3087,1800,104,111,325,134,6,52,37,398,40,7,50,4,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nearly,2921,1776,187,154,189,150,48,176,67,94,48,13,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
easily,2873,609,170,970,183,117,146,28,211,159,230,17,24,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maybe,2777,2520,69,7,96,4,2,26,2,30,1,1,16,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
especially,2766,756,797,235,267,145,227,53,66,103,17,30,58,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
politically,2665,1190,207,168,137,204,236,93,147,126,38,39,45,11,16,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inherently,2653,358,1729,147,55,44,79,9,48,82,38,26,23,3,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utterly,2336,366,942,289,141,63,88,70,124,67,97,30,43,3,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physically,2197,1015,241,100,86,183,126,94,118,56,12,44,94,3,17,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
