adj_lemma,TOTAL,negative,positive,ratio_neg,ratio_pos,bin_neg,bin_pos
correct,83214,8084,75130,0.097,0.903,0.1,0.9
dead,82932,5231,77701,0.063,0.937,0.1,0.9
dramatic,75193,4778,70415,0.064,0.936,0.1,0.9
crazy,74273,5978,68295,0.08,0.92,0.1,0.9
fortunate,73455,5727,67728,0.078,0.922,0.1,0.9
stupid,72567,4538,68029,0.063,0.937,0.1,0.9
smooth,71985,4438,67547,0.062,0.938,0.1,0.9
practical,71143,4551,66592,0.064,0.936,0.1,0.9
satisfying,70408,3707,66701,0.053,0.947,0.1,0.9
upset,68868,3773,65095,0.055,0.945,0.1,0.9
bright,68779,7417,61362,0.108,0.892,0.1,0.9
pleasant,67733,5189,62544,0.077,0.923,0.1,0.9
black,67162,4059,63103,0.06,0.94,0.1,0.9
apparent,66793,8590,58203,0.129,0.871,0.1,0.9
scary,66504,5787,60717,0.087,0.913,0.1,0.9
loud,65099,3680,61419,0.057,0.943,0.1,0.9
uncommon,65047,3393,61654,0.052,0.948,0.1,0.9
evident,63133,4618,58515,0.073,0.927,0.1,0.9
straightforward,62100,5193,56907,0.084,0.916,0.1,0.9
subtle,60341,3402,56939,0.056,0.944,0.1,0.9
thick,59583,4225,55358,0.071,0.929,0.1,0.9
better,57160,3607,53553,0.063,0.937,0.1,0.9
eager,54261,3453,50808,0.064,0.936,0.1,0.9
original,48695,3304,45391,0.068,0.932,0.1,0.9
sharp,47573,5217,42356,0.11,0.89,0.1,0.9
illegal,46646,2595,44051,0.056,0.944,0.1,0.9
terrible,46638,3156,43482,0.068,0.932,0.1,0.9
harsh,45768,2871,42897,0.063,0.937,0.1,0.9
tall,45648,3476,42172,0.076,0.924,0.1,0.9
viable,45214,3601,41613,0.08,0.92,0.1,0.9
ideal,44936,2649,42287,0.059,0.941,0.1,0.9
sexy,43809,2827,40982,0.065,0.935,0.1,0.9
clever,42798,2364,40434,0.055,0.945,0.1,0.9
shocking,42418,2451,39967,0.058,0.942,0.1,0.9
noticeable,42044,3735,38309,0.089,0.911,0.1,0.9
enthusiastic,41413,3662,37751,0.088,0.912,0.1,0.9
predictable,40758,2242,38516,0.055,0.945,0.1,0.9
dominant,40126,2189,37937,0.055,0.945,0.1,0.9
religious,39574,2628,36946,0.066,0.934,0.1,0.9
unexpected,39409,2606,36803,0.066,0.934,0.1,0.9
hungry,39406,2710,36696,0.069,0.931,0.1,0.9
physical,39096,2344,36752,0.06,0.94,0.1,0.9
compatible,38946,2729,36217,0.07,0.93,0.1,0.9
applicable,38446,2209,36237,0.057,0.943,0.1,0.9
shocked,38164,2054,36110,0.054,0.946,0.1,0.9
tasty,37615,1914,35701,0.051,0.949,0.1,0.9
pleasing,37262,2038,35224,0.055,0.945,0.1,0.9
crowded,37092,2566,34526,0.069,0.931,0.1,0.9
strict,36444,1927,34517,0.053,0.947,0.1,0.9
wise,35677,2281,33396,0.064,0.936,0.1,0.9
feasible,34036,4291,29745,0.126,0.874,0.1,0.9
kind,33446,2211,31235,0.066,0.934,0.1,0.9
evil,32006,2622,29384,0.082,0.918,0.1,0.9
mad,31843,1709,30134,0.054,0.946,0.1,0.9
convincing,31835,2857,28978,0.09,0.91,0.1,0.9
innocent,31630,2139,29491,0.068,0.932,0.1,0.9
steep,28418,1855,26563,0.065,0.935,0.1,0.9
representative,28236,2478,25758,0.088,0.912,0.1,0.9
naive,25821,2035,23786,0.079,0.921,0.1,0.9
bold,25410,1550,23860,0.061,0.939,0.1,0.9
intuitive,25044,1619,23425,0.065,0.935,0.1,0.9
daunting,24964,1591,23373,0.064,0.936,0.1,0.9
sympathetic,24920,1508,23412,0.061,0.939,0.1,0.9
welcoming,24829,1494,23335,0.06,0.94,0.1,0.9
cruel,24736,1454,23282,0.059,0.941,0.1,0.9
dumb,24244,1648,22596,0.068,0.932,0.1,0.9
wild,23671,1241,22430,0.052,0.948,0.1,0.9
adept,21973,1326,20647,0.06,0.94,0.1,0.9
brave,21789,1208,20581,0.055,0.945,0.1,0.9
immune,21339,1160,20179,0.054,0.946,0.1,0.9
reliant,20892,1084,19808,0.052,0.948,0.1,0.9
rational,20636,1214,19422,0.059,0.941,0.1,0.9
athletic,20325,1166,19159,0.057,0.943,0.1,0.9
intimidating,20068,1323,18745,0.066,0.934,0.1,0.9
loose,19432,1032,18400,0.053,0.947,0.1,0.9
rude,19026,997,18029,0.052,0.948,0.1,0.9
timely,18967,1396,17571,0.074,0.926,0.1,0.9
glamorous,18678,2724,15954,0.146,0.854,0.1,0.9
rigid,18594,1066,17528,0.057,0.943,0.1,0.9
stiff,18288,941,17347,0.051,0.949,0.1,0.9
believable,18225,1163,17062,0.064,0.936,0.1,0.9
savvy,17943,1214,16729,0.068,0.932,0.1,0.9
fashionable,17767,937,16830,0.053,0.947,0.1,0.9
comparable,17534,2141,15393,0.122,0.878,0.1,0.9
dire,17520,1663,15857,0.095,0.905,0.1,0.9
receptive,17242,1059,16183,0.061,0.939,0.1,0.9
conducive,17052,1753,15299,0.103,0.897,0.1,0.9
inaccurate,16958,951,16007,0.056,0.944,0.1,0.9
bleak,16899,1535,15364,0.091,0.909,0.1,0.9
flattering,16706,1753,14953,0.105,0.895,0.1,0.9
threatening,15515,1017,14498,0.066,0.934,0.1,0.9
reflective,15417,835,14582,0.054,0.946,0.1,0.9
fit,15359,1214,14145,0.079,0.921,0.1,0.9
comforting,15194,1042,14152,0.069,0.931,0.1,0.9
pessimistic,14771,778,13993,0.053,0.947,0.1,0.9
scientific,14398,914,13484,0.063,0.937,0.1,0.9
forgiving,14106,1161,12945,0.082,0.918,0.1,0.9
pricey,14045,820,13225,0.058,0.942,0.1,0.9
convinced,14015,1600,12415,0.114,0.886,0.1,0.9
sexual,13954,751,13203,0.054,0.946,0.1,0.9
foolish,13942,1116,12826,0.08,0.92,0.1,0.9
spicy,13914,1533,12381,0.11,0.89,0.1,0.9
trustworthy,13765,848,12917,0.062,0.938,0.1,0.9
sturdy,13686,837,12849,0.061,0.939,0.1,0.9
fancy,13631,1361,12270,0.1,0.9,0.1,0.9
revolutionary,13544,785,12759,0.058,0.942,0.1,0.9
motivated,13503,736,12767,0.055,0.945,0.1,0.9
awake,13363,856,12507,0.064,0.936,0.1,0.9
devoid,13353,704,12649,0.053,0.947,0.1,0.9
grand,13341,1027,12314,0.077,0.923,0.1,0.9
intrusive,13228,834,12394,0.063,0.937,0.1,0.9
arrogant,13138,728,12410,0.055,0.945,0.1,0.9
grim,13042,770,12272,0.059,0.941,0.1,0.9
drastic,12888,1000,11888,0.078,0.922,0.1,0.9
satisfactory,12839,1233,11606,0.096,0.904,0.1,0.9
ripe,12790,1191,11599,0.093,0.907,0.1,0.9
secret,12777,960,11817,0.075,0.925,0.1,0.9
noisy,12768,668,12100,0.052,0.948,0.1,0.9
sticky,12748,799,11949,0.063,0.937,0.1,0.9
picky,12592,1614,10978,0.128,0.872,0.1,0.9
catchy,12512,744,11768,0.059,0.941,0.1,0.9
graphic,12468,691,11777,0.055,0.945,0.1,0.9
unreasonable,12113,1109,11004,0.092,0.908,0.1,0.9
detrimental,12006,691,11315,0.058,0.942,0.1,0.9
unhealthy,11993,628,11365,0.052,0.948,0.1,0.9
unrealistic,11831,612,11219,0.052,0.948,0.1,0.9
untrue,11733,662,11071,0.056,0.944,0.1,0.9
crisp,11652,1022,10630,0.088,0.912,0.1,0.9
pretty,11588,769,10819,0.066,0.934,0.1,0.9
synonymous,11579,789,10790,0.068,0.932,0.1,0.9
cooperative,10929,831,10098,0.076,0.924,0.1,0.9
official,10637,719,9918,0.068,0.932,0.1,0.9
final,10587,1123,9464,0.106,0.894,0.1,0.9
slick,10499,618,9881,0.059,0.941,0.1,0.9
distracting,10455,792,9663,0.076,0.924,0.1,0.9
coherent,10354,609,9745,0.059,0.941,0.1,0.9
salty,10256,786,9470,0.077,0.923,0.1,0.9
likable,10175,845,9330,0.083,0.917,0.1,0.9
trendy,10063,594,9469,0.059,0.941,0.1,0.9
prepared,9958,945,9013,0.095,0.905,0.1,0.9
plentiful,9945,939,9006,0.094,0.906,0.1,0.9
inconvenient,9859,545,9314,0.055,0.945,0.1,0.9
hopeless,9615,617,8998,0.064,0.936,0.1,0.9
linear,9420,652,8768,0.069,0.931,0.1,0.9
skinny,9346,535,8811,0.057,0.943,0.1,0.9
reassuring,9298,825,8473,0.089,0.911,0.1,0.9
stark,9186,862,8324,0.094,0.906,0.1,0.9
academic,9052,688,8364,0.076,0.924,0.1,0.9
achievable,8968,584,8384,0.065,0.935,0.1,0.9
creamy,8940,466,8474,0.052,0.948,0.1,0.9
onerous,8926,693,8233,0.078,0.922,0.1,0.9
irrational,8788,449,8339,0.051,0.949,0.1,0.9
windy,8569,436,8133,0.051,0.949,0.1,0.9
burdensome,8536,516,8020,0.06,0.94,0.1,0.9
ethical,8512,455,8057,0.053,0.947,0.1,0.9
novel,8438,611,7827,0.072,0.928,0.1,0.9
eloquent,8346,497,7849,0.06,0.94,0.1,0.9
historical,8341,592,7749,0.071,0.929,0.1,0.9
shiny,8340,692,7648,0.083,0.917,0.1,0.9
bulky,8301,882,7419,0.106,0.894,0.1,0.9
optimal,8300,473,7827,0.057,0.943,0.1,0.9
sentimental,8272,553,7719,0.067,0.933,0.1,0.9
heroic,8254,436,7818,0.053,0.947,0.1,0.9
blatant,8244,549,7695,0.067,0.933,0.1,0.9
descriptive,8216,462,7754,0.056,0.944,0.1,0.9
diligent,8163,529,7634,0.065,0.935,0.1,0.9
attributable,7955,405,7550,0.051,0.949,0.1,0.9
vegan,7927,457,7470,0.058,0.942,0.1,0.9
strenuous,7826,562,7264,0.072,0.928,0.1,0.9
incompatible,7544,467,7077,0.062,0.938,0.1,0.9
fluent,7527,649,6878,0.086,0.914,0.1,0.9
hospitable,7448,392,7056,0.053,0.947,0.1,0.9
articulate,7439,423,7016,0.057,0.943,0.1,0.9
unconstitutional,7377,397,6980,0.054,0.946,0.1,0.9
sane,7356,391,6965,0.053,0.947,0.1,0.9
truthful,7283,851,6432,0.117,0.883,0.1,0.9
likeable,7280,632,6648,0.087,0.913,0.1,0.9
immoral,7276,720,6556,0.099,0.901,0.1,0.9
stellar,7247,638,6609,0.088,0.912,0.1,0.9
sour,7154,375,6779,0.052,0.948,0.1,0.9
permissible,7151,410,6741,0.057,0.943,0.1,0.9
jarring,7027,381,6646,0.054,0.946,0.1,0.9
graceful,6951,479,6472,0.069,0.931,0.1,0.9
one-sided,6949,457,6492,0.066,0.934,0.1,0.9
attainable,6940,505,6435,0.073,0.927,0.1,0.9
outlandish,6919,585,6334,0.085,0.915,0.1,0.9
theoretical,6709,578,6131,0.086,0.914,0.1,0.9
observant,6607,444,6163,0.067,0.933,0.1,0.9
gloomy,6513,481,6032,0.074,0.926,0.1,0.9
averse,6466,401,6065,0.062,0.938,0.1,0.9
greedy,6296,591,5705,0.094,0.906,0.1,0.9
waterproof,6289,401,5888,0.064,0.936,0.1,0.9
disrespectful,6286,370,5916,0.059,0.941,0.1,0.9
outraged,6226,329,5897,0.053,0.947,0.1,0.9
amenable,6174,343,5831,0.056,0.944,0.1,0.9
round,6119,362,5757,0.059,0.941,0.1,0.9
unfounded,6116,515,5601,0.084,0.916,0.1,0.9
wasteful,6098,356,5742,0.058,0.942,0.1,0.9
mean,6009,314,5695,0.052,0.948,0.1,0.9
decorative,5999,341,5658,0.057,0.943,0.1,0.9
conclusive,5895,749,5146,0.127,0.873,0.1,0.9
hypocritical,5879,342,5537,0.058,0.942,0.1,0.9
dismissive,5655,371,5284,0.066,0.934,0.1,0.9
unjust,5623,326,5297,0.058,0.942,0.1,0.9
oily,5620,408,5212,0.073,0.927,0.1,0.9
ours,5528,497,5031,0.09,0.91,0.1,0.9
ecstatic,5481,327,5154,0.06,0.94,0.1,0.9
complimentary,5476,465,5011,0.085,0.915,0.1,0.9
overpowering,5465,689,4776,0.126,0.874,0.1,0.9
implausible,5446,432,5014,0.079,0.921,0.1,0.9
aesthetic,5394,314,5080,0.058,0.942,0.1,0.9
honorable,5349,288,5061,0.054,0.946,0.1,0.9
edible,5283,290,4993,0.055,0.945,0.1,0.9
overt,5274,410,4864,0.078,0.922,0.1,0.9
pretentious,5245,284,4961,0.054,0.946,0.1,0.9
malicious,5179,349,4830,0.067,0.933,0.1,0.9
beholden,5134,290,4844,0.056,0.944,0.1,0.9
stoked,5125,259,4866,0.051,0.949,0.1,0.9
charitable,5092,321,4771,0.063,0.937,0.1,0.9
obtainable,5049,312,4737,0.062,0.938,0.1,0.9
judgmental,4942,332,4610,0.067,0.933,0.1,0.9
ideological,4917,342,4575,0.07,0.93,0.1,0.9
hardy,4900,300,4600,0.061,0.939,0.1,0.9
cognizant,4895,287,4608,0.059,0.941,0.1,0.9
greasy,4885,443,4442,0.091,0.909,0.1,0.9
symmetrical,4868,320,4548,0.066,0.934,0.1,0.9
tidy,4858,448,4410,0.092,0.908,0.1,0.9
over,4822,510,4312,0.106,0.894,0.1,0.9
transferable,4799,291,4508,0.061,0.939,0.1,0.9
past,4797,500,4297,0.104,0.896,0.1,0.9
imminent,4791,291,4500,0.061,0.939,0.1,0.9
sanguine,4756,688,4068,0.145,0.855,0.1,0.9
unethical,4730,418,4312,0.088,0.912,0.1,0.9
crispy,4700,304,4396,0.065,0.935,0.1,0.9
lofty,4665,250,4415,0.054,0.946,0.1,0.9
square,4659,266,4393,0.057,0.943,0.1,0.9
invincible,4655,248,4407,0.053,0.947,0.1,0.9
speedy,4637,320,4317,0.069,0.931,0.1,0.9
distinguishable,4579,383,4196,0.084,0.916,0.1,0.9
expedient,4553,241,4312,0.053,0.947,0.1,0.9
hip,4468,259,4209,0.058,0.942,0.1,0.9
cosmetic,4457,277,4180,0.062,0.938,0.1,0.9
sinful,4451,248,4203,0.056,0.944,0.1,0.9
factual,4389,299,4090,0.068,0.932,0.1,0.9
privy,4369,304,4065,0.07,0.93,0.1,0.9
enforceable,4367,453,3914,0.104,0.896,0.1,0.9
frivolous,4361,229,4132,0.053,0.947,0.1,0.9
justifiable,4326,311,4015,0.072,0.928,0.1,0.9
delusional,4316,247,4069,0.057,0.943,0.1,0.9
abnormal,4277,219,4058,0.051,0.949,0.1,0.9
avoidable,4209,215,3994,0.051,0.949,0.1,0.9
diplomatic,4200,276,3924,0.066,0.934,0.1,0.9
vegetarian,4189,258,3931,0.062,0.938,0.1,0.9
crunchy,4184,227,3957,0.054,0.946,0.1,0.9
fluffy,4178,248,3930,0.059,0.941,0.1,0.9
photogenic,4177,443,3734,0.106,0.894,0.1,0.9
talkative,4170,523,3647,0.125,0.875,0.1,0.9
swift,4170,248,3922,0.059,0.941,0.1,0.9
sociable,4143,244,3899,0.059,0.941,0.1,0.9
virtuous,4139,298,3841,0.072,0.928,0.1,0.9
scandalous,4113,210,3903,0.051,0.949,0.1,0.9
autobiographical,4053,229,3824,0.057,0.943,0.1,0.9
eventful,4048,293,3755,0.072,0.928,0.1,0.9
culpable,4007,265,3742,0.066,0.934,0.1,0.9
defensible,3942,274,3668,0.07,0.93,0.1,0.9
smug,3932,226,3706,0.057,0.943,0.1,0.9
illogical,3928,209,3719,0.053,0.947,0.1,0.9
cocky,3915,306,3609,0.078,0.922,0.1,0.9
selfless,3852,232,3620,0.06,0.94,0.1,0.9
analogous,3851,298,3553,0.077,0.923,0.1,0.9
doom,3842,354,3488,0.092,0.908,0.1,0.9
obedient,3842,196,3646,0.051,0.949,0.1,0.9
enamored,3828,379,3449,0.099,0.901,0.1,0.9
tart,3816,202,3614,0.053,0.947,0.1,0.9
erroneous,3815,286,3529,0.075,0.925,0.1,0.9
-friendly,3812,223,3589,0.058,0.942,0.1,0.9
snug,3803,224,3579,0.059,0.941,0.1,0.9
reticent,3791,197,3594,0.052,0.948,0.1,0.9
reachable,3763,259,3504,0.069,0.931,0.1,0.9
newsworthy,3748,398,3350,0.106,0.894,0.1,0.9
forthright,3683,289,3394,0.078,0.922,0.1,0.9
Irish,3681,204,3477,0.055,0.945,0.1,0.9
pushy,3679,492,3187,0.134,0.866,0.1,0.9
vain,3605,248,3357,0.069,0.931,0.1,0.9
detectable,3567,323,3244,0.091,0.909,0.1,0.9
unwelcome,3548,234,3314,0.066,0.934,0.1,0.9
recyclable,3522,180,3342,0.051,0.949,0.1,0.9
bothersome,3499,320,3179,0.091,0.909,0.1,0.9
idyllic,3471,276,3195,0.08,0.92,0.1,0.9
foolproof,3449,310,3139,0.09,0.91,0.1,0.9
unwise,3441,282,3159,0.082,0.918,0.1,0.9
grandiose,3427,180,3247,0.053,0.947,0.1,0.9
conceivable,3414,207,3207,0.061,0.939,0.1,0.9
manly,3401,174,3227,0.051,0.949,0.1,0.9
discernible,3400,308,3092,0.091,0.909,0.1,0.9
stingy,3371,173,3198,0.051,0.949,0.1,0.9
psyched,3356,221,3135,0.066,0.934,0.1,0.9
well-known,3336,233,3103,0.07,0.93,0.1,0.9
chewy,3335,186,3149,0.056,0.944,0.1,0.9
comprehensible,3326,241,3085,0.072,0.928,0.1,0.9
actionable,3321,228,3093,0.069,0.931,0.1,0.9
younger,3309,261,3048,0.079,0.921,0.1,0.9
homophobic,3304,174,3130,0.053,0.947,0.1,0.9
carefree,3298,227,3071,0.069,0.931,0.1,0.9
benevolent,3296,247,3049,0.075,0.925,0.1,0.9
girly,3289,307,2982,0.093,0.907,0.1,0.9
unlawful,3266,198,3068,0.061,0.939,0.1,0.9
measurable,3239,309,2930,0.095,0.905,0.1,0.9
prettier,3226,168,3058,0.052,0.948,0.1,0.9
predictive,3210,242,2968,0.075,0.925,0.1,0.9
hypothetical,3191,211,2980,0.066,0.934,0.1,0.9
uncomplicated,3185,171,3014,0.054,0.946,0.1,0.9
connected,3178,169,3009,0.053,0.947,0.1,0.9
superstitious,3176,218,2958,0.069,0.931,0.1,0.9
crafty,3175,170,3005,0.054,0.946,0.1,0.9
gonna,3099,160,2939,0.052,0.948,0.1,0.9
fanciful,3084,241,2843,0.078,0.922,0.1,0.9
runny,3083,331,2752,0.107,0.893,0.1,0.9
mushy,3068,228,2840,0.074,0.926,0.1,0.9
unappealing,3068,177,2891,0.058,0.942,0.1,0.9
impartial,3058,161,2897,0.053,0.947,0.1,0.9
gullible,3056,280,2776,0.092,0.908,0.1,0.9
groundbreaking,3039,166,2873,0.055,0.945,0.1,0.9
Young,3026,218,2808,0.072,0.928,0.1,0.9
gory,3003,283,2720,0.094,0.906,0.1,0.9
amused,3001,182,2819,0.061,0.939,0.1,0.9
watery,2975,205,2770,0.069,0.931,0.1,0.9
infallible,2968,163,2805,0.055,0.945,0.1,0.9
off-putting,2921,167,2754,0.057,0.943,0.1,0.9
baseless,2915,151,2764,0.052,0.948,0.1,0.9
touristy,2909,204,2705,0.07,0.93,0.1,0.9
pronounced,2903,170,2733,0.059,0.941,0.1,0.9
glossy,2898,208,2690,0.072,0.928,0.1,0.9
verbal,2846,224,2622,0.079,0.921,0.1,0.9
callous,2844,154,2690,0.054,0.946,0.1,0.9
idle,2843,196,2647,0.069,0.931,0.1,0.9
destitute,2813,160,2653,0.057,0.943,0.1,0.9
hygienic,2812,179,2633,0.064,0.936,0.1,0.9
uptight,2786,242,2544,0.087,0.913,0.1,0.9
brisk,2772,153,2619,0.055,0.945,0.1,0.9
merry,2752,154,2598,0.056,0.944,0.1,0.9
magic,2747,176,2571,0.064,0.936,0.1,0.9
derivative,2726,154,2572,0.056,0.944,0.1,0.9
good-looking,2712,173,2539,0.064,0.936,0.1,0.9
showy,2698,354,2344,0.131,0.869,0.1,0.9
inhumane,2691,194,2497,0.072,0.928,0.1,0.9
sporty,2683,159,2524,0.059,0.941,0.1,0.9
rusty,2671,146,2525,0.055,0.945,0.1,0.9
one-dimensional,2669,138,2531,0.052,0.948,0.1,0.9
practicable,2644,203,2441,0.077,0.923,0.1,0.9
elated,2631,137,2494,0.052,0.948,0.1,0.9
Old,2628,207,2421,0.079,0.921,0.1,0.9
restful,2594,132,2462,0.051,0.949,0.1,0.9
crass,2585,176,2409,0.068,0.932,0.1,0.9
observable,2566,267,2299,0.104,0.896,0.1,0.9
posh,2546,142,2404,0.056,0.944,0.1,0.9
wishful,2541,223,2318,0.088,0.912,0.1,0.9
encompassing,2517,159,2358,0.063,0.937,0.1,0.9
intelligible,2512,233,2279,0.093,0.907,0.1,0.9
replaceable,2508,165,2343,0.066,0.934,0.1,0.9
cheery,2493,258,2235,0.103,0.897,0.1,0.9
chatty,2482,194,2288,0.078,0.922,0.1,0.9
prohibitive,2481,135,2346,0.054,0.946,0.1,0.9
discouraged,2462,130,2332,0.053,0.947,0.1,0.9
prescriptive,2458,207,2251,0.084,0.916,0.1,0.9
foreseeable,2420,224,2196,0.093,0.907,0.1,0.9
amicable,2402,127,2275,0.053,0.947,0.1,0.9
unwarranted,2382,205,2177,0.086,0.914,0.1,0.9
overbearing,2374,207,2167,0.087,0.913,0.1,0.9
stuffy,2344,209,2135,0.089,0.911,0.1,0.9
conversant,2295,231,2064,0.101,0.899,0.1,0.9
stretchy,2294,159,2135,0.069,0.931,0.1,0.9
biological,2294,119,2175,0.052,0.948,0.1,0.9
unjustified,2278,208,2070,0.091,0.909,0.1,0.9
dogmatic,2273,182,2091,0.08,0.92,0.1,0.9
verifiable,2266,165,2101,0.073,0.927,0.1,0.9
traceable,2266,119,2147,0.053,0.947,0.1,0.9
brash,2252,134,2118,0.06,0.94,0.1,0.9
Mexican,2238,136,2102,0.061,0.939,0.1,0.9
communicative,2231,161,2070,0.072,0.928,0.1,0.9
self-evident,2210,202,2008,0.091,0.909,0.1,0.9
smelly,2194,123,2071,0.056,0.944,0.1,0.9
heartless,2168,243,1925,0.112,0.888,0.1,0.9
