bigram_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
fairly_young,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
ever_serious,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
completely_normal,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
as_vocal,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
as_talented,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
as_successful,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
as_simple,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
as_relevant,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
so_complicated,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
as_high,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
as_good,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
as_exciting,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
as_controversial,7,0.14,0.38,0,0,0,0.0,1,1,2.6457513110645907,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
as_complicated,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
as_bad,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
as_applicable,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
as_aggressive,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
any_safer,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
mentally_ill,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
more_complicated,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
more_conservative,7,0.14,0.38,0,0,0,0.0,1,1,2.6457513110645907,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
more_interested,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
so_calm,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
so_bold,7,0.14,0.38,0,0,0,0.0,1,1,2.6457513110645907,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
really_worried,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
real_good,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
real_confident,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
racially_motivated,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
quite_ready,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
quite_good,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
politically_feasible,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
physically_limited,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
particularly_successful,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
particularly_optimistic,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
particularly_high,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
overly_excited,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
necessarily_bad,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
much_more,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
much_higher,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
much_different,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
more_involved,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
so_close,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
