bigram_lower,count
very_reassuring,243
as_short,242
so_silly,242
as_practical,242
as_urgent,242
always_ready,242
so_fresh,242
physically_capable,242
very_satisfied,241
really_right,241
only_open,241
very_responsive,241
entirely_dissimilar,241
as_rough,240
particularly_deep,240
more_frightening,240
very_meaningful,240
particularly_pleased,240
always_realistic,240
as_negative,239
that_relevant,239
more_prevalent,239
fully_sure,239
very_surprised,239
as_odd,239
entirely_positive,239
as_dead,239
only_exciting,238
too_shocked,238
only_fast,238
so_sharp,237
that_awesome,237
much_closer,237
so_humble,237
easily_impressed,237
just_theoretical,237
overly_dramatic,237
as_ugly,236
so_typical,236
as_surprised,236
that_terrible,236
as_evil,236
more_refreshing,235
technically_illegal,235
personally_responsible,235
so_weak,235
always_open,235
really_afraid,235
much_taller,235
always_sufficient,235
most_pleasant,234
real_big,234
as_grim,234
only_tasty,234
fully_awake,234
quite_convinced,234
n't_important,234
so_glamorous,234
any_safer,234
as_real,233
more_wonderful,232
really_capable,232
legally_able,232
more_opposite,232
really_qualified,232
particularly_proud,232
really_present,232
completely_dry,231
too_dangerous,231
that_huge,231
too_intrusive,231
as_desirable,231
already_obvious,231
just_ok,231
drastically_different,231
only_inevitable,231
very_hopeful,231
as_long,231
more_famous,230
too_bold,230
that_low,230
actually_interested,230
particularly_remarkable,230
too_uncommon,230
even_fair,230
as_thrilled,230
as_patient,230
as_white,229
absolutely_essential,229
more_compelling,229
very_loud,229
too_pricey,229
only_gorgeous,229
particularly_clear,229
perfectly_clear,228
already_clear,228
entirely_truthful,228
already_enough,228
as_brave,228
so_rigid,228
significantly_better,227
truly_alone,227
as_ridiculous,227
any_harder,227
as_afraid,227
visually_appealing,227
really_noticeable,227
so_aggressive,227
too_precious,227
any_simpler,226
quite_real,226
very_aware,226
actually_present,226
terribly_useful,226
as_tired,226
ever_able,225
too_major,225
quite_willing,225
as_mobile,225
so_relevant,224
more_intense,224
completely_impossible,224
entirely_familiar,224
more_damaging,224
only_efficient,224
as_flavorful,224
really_open,224
exactly_fun,224
necessarily_happy,224
as_liberal,223
as_scared,223
all_uncommon,223
always_kind,223
only_talented,223
too_simple,223
very_cold,223
most_talented,222
only_costly,222
that_surprised,222
so_gentle,222
entirely_original,221
only_powerful,221
as_epic,221
fully_comfortable,221
that_deep,221
only_enjoyable,221
more_open,221
that_appealing,221
only_natural,221
really_real,221
particularly_fast,221
only_right,220
very_social,220
all_related,220
very_scientific,220
so_predictable,220
more_careful,220
as_agile,220
only_funny,220
only_likely,220
only_painful,220
too_lazy,220
