colloc,CD>no; JJ>CD; JJ>RB,JJ>JJ,JJ>RB,JJ>RBR,JJ>RBS,JJ>WRB,JJ>never; JJ>RB,JJ>none; JJ>RB,JJ>not; JJ>RB,JJR>RB,JJS>RB,NN>no; JJ>NN; JJ>RB,NNS>few; JJ>NNS; JJ>RB,NNS>no; JJ>NNS; JJ>RB,VB>not; JJ>RB; believe>JJ,VB>not; JJ>RB; think>JJ,VBZ>nothing; JJ>RB; look>JJ,SUM
not_able,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
not_identical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
not_sure,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
not_useful,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
often_crummy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
once_higher,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
positively_poreless,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
potentially_crappy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pretty_aromatic,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pretty_astonishing,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
pretty_clear,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pretty_close,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pretty_great,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pretty_sure,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
purely_medicinal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
quite_appropriate,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
quite_tranquil,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
severely_high,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
so_many,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
so_massive,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
that_dramatic,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
truly_sure,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
very_atypical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
very_partisan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
very_proper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
very_slim,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
why_early,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SUM,1,1,179,3,4,2,1,1,100,3,1,1,1,1,1,1,1,302
