adv,NegStrictVers,Neg%ofStrict,NegTrivialVers,Neg%ofTrivial,VersDiff,PercDiff
any,89,0.41006266126059715,227,0.09397640240115918,138,-0.316086258859438
politically,89,0.41006266126059715,443,0.18339888221900227,354,-0.22666377904159488
technically,86,0.39624032436417245,631,0.26122955909749535,545,-0.1350107652666771
strictly,85,0.391632878732031,768,0.31794659490788657,683,-0.07368628382414444
currently,84,0.3870254330998894,472,0.19540467812047194,388,-0.19162075497941747
equally,84,0.3870254330998894,671,0.2777892775822811,587,-0.10923615551760829
purely,81,0.3732030962034648,603,0.2496377561581453,522,-0.12356534004531952
still,77,0.3547733136748986,506,0.20948043883253983,429,-0.14529287484235878
also,71,0.3271286398820494,710,0.29393500310494725,639,-0.03319363677710213
downright,68,0.3133063029856248,661,0.27364934796108464,593,-0.03965695502454014
readily,68,0.3133063029856248,261,0.10805216311322707,193,-0.2052541398723977
overtly,68,0.3133063029856248,633,0.2620575450217347,565,-0.05124875796389011
legally,65,0.29948396608920014,295,0.12212792382529497,230,-0.17735604226390517
often,64,0.2948765204570586,578,0.23928793210515423,514,-0.05558858835190436
morally,60,0.27644673792849245,268,0.11095011384806457,208,-0.16549662408042787
hugely,60,0.27644673792849245,380,0.15731732560546471,320,-0.11912941232302773
financially,59,0.2718392922963509,262,0.10846615607534671,203,-0.1633731362210042
obviously,57,0.2626244010320678,619,0.25626164355205966,562,-0.006362757480008141
typically,55,0.2534095097677847,467,0.19333471330987373,412,-0.06007479645791097
longer,55,0.2534095097677847,477,0.1974746429310702,422,-0.0559348668367145
economically,54,0.2488020641356432,225,0.09314841647691989,171,-0.1556536476587233
normally,52,0.2395871728713601,430,0.17801697371144692,378,-0.061570199159913186
about,48,0.22115739034279397,636,0.2632995239080936,588,0.04214213356529961
excessively,47,0.21654994471065242,435,0.18008693852204513,388,-0.03646300618860729
naturally,47,0.21654994471065242,497,0.20575450217346306,450,-0.010795442537189365
pretty,46,0.2119424990785109,527,0.21817429103705238,481,0.006231791958541483
over,46,0.2119424990785109,255,0.1055682053405092,209,-0.1063742937380017
emotionally,46,0.2119424990785109,256,0.10598219830262885,210,-0.10596030077588205
outright,45,0.20733505344636932,491,0.2032705444007452,446,-0.0040645090456241095
exclusively,43,0.19812016218208622,399,0.16518319188573793,356,-0.03293697029634829
otherwise,43,0.19812016218208622,293,0.12129993790105568,250,-0.07682022428103054
consistently,43,0.19812016218208622,371,0.1535913889463879,328,-0.044528773235698316
clearly,41,0.18890527091780315,363,0.15027944524943077,322,-0.03862582566837239
overwhelmingly,41,0.18890527091780315,335,0.1386876423100807,294,-0.05021762860772244
mentally,40,0.18429782528566163,157,0.0649968950527841,117,-0.11930093023287754
well,40,0.18429782528566163,334,0.13827364934796108,294,-0.04602417593770056
initially,37,0.170475488389237,195,0.08072862761333058,158,-0.08974686077590643
exceptionally,37,0.170475488389237,318,0.1316497619540468,281,-0.03882572643519022
automatically,35,0.1612605971249539,332,0.13744566342372178,297,-0.023814933701232138
significantly,35,0.1612605971249539,213,0.08818050093148416,178,-0.07308009619346975
sexually,35,0.1612605971249539,160,0.06623887393914303,125,-0.09502172318581088
solely,35,0.1612605971249539,407,0.16849513558269508,372,0.007234538457741163
now,34,0.1566531514928124,294,0.12171393086317533,260,-0.03493922062963706
slightly,34,0.1566531514928124,512,0.2119643966052577,478,0.05531124511244531
personally,34,0.1566531514928124,253,0.10474021941626992,219,-0.051912932076542476
socially,32,0.1474382602285293,226,0.09356240943903954,194,-0.053875850789489754
