key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,adv,adv_total,adj,adj_total
NEGany~necessarily_representative,487,0.94627297,8.343805,0.9898374,2996.5772,NEGATED,necessarily_representative,3173681,492,72839571,21.436851,465.563149,0.95598185,3.2891355,21.09668,1.356368,necessarily,48947,representative,18355
NEGany~necessarily_surprising,340,0.9535011,8.331099,0.99706745,2117.1528,NEGATED,necessarily_surprising,3173681,341,72839571,14.857655,325.142345,0.95630103,3.6975293,17.63332,1.3595287,necessarily,48947,surprising,70540
NEGany~immediately_clear,24416,0.8944553,8.158966,0.9377064,141186.35,NEGATED,immediately_clear,3173681,26038,72839571,1134.4974,23281.5026,0.95353466,2.5222995,148.9957,1.332871,immediately,96973,clear,349214
NEGany~necessarily_new,482,0.93611026,7.936716,0.9796748,2923.8137,NEGATED,necessarily_new,3173681,492,72839571,21.436851,460.563149,0.9555252,3.0038307,20.978077,1.351886,necessarily,48947,new,253862
NEGany~that_dissimilar,304,0.9466612,7.8607874,0.990228,1871.6424,NEGATED,that_dissimilar,3173681,307,72839571,13.376247,290.623753,0.9559992,3.2810178,16.668415,1.3565394,that,208262,dissimilar,4605
NEGany~exactly_conducive,208,0.95643187,7.818888,1.0,1303.4938,NEGATED,exactly_conducive,3173681,208,72839571,9.0627339,198.9372661,0.9564292,3.9616213,13.7938175,1.3608041,exactly,58643,conducive,9110
NEGany~that_noticeable,264,0.9451967,7.64834,0.98876405,1621.8082,NEGATED,that_noticeable,3173681,267,72839571,11.633413,252.366587,0.95593405,3.2198505,15.53209,1.3558968,that,208262,noticeable,31467
NEGany~immediately_possible,1000,0.9052089,7.6150994,0.9487666,5845.7535,NEGATED,immediately_possible,3173681,1054,72839571,45.923661,954.076339,0.95407635,2.605414,30.170544,1.3379635,immediately,96973,possible,245272
NEGany~yet_convinced,169,0.9564314,7.503618,1.0,1059.0867,NEGATED,yet_convinced,3173681,169,72839571,7.3634713,161.6365287,0.9564292,3.8716798,12.433579,1.3608041,yet,95763,convinced,12132
NEGany~exactly_shocking,151,0.95643115,7.331126,1.0,946.28378,NEGATED,exactly_shocking,3173681,151,72839571,6.5791962,144.4208038,0.9564292,3.82292,11.752798,1.3608041,exactly,58643,shocking,35115
NEGany~exactly_pleasant,142,0.95643103,7.2364974,1.0,889.88238,NEGATED,exactly_pleasant,3173681,142,72839571,6.1870587,135.8129413,0.9564292,3.7963212,11.397169,1.3608041,exactly,58643,pleasant,52223
NEGany~yet_over,162,0.95029634,7.210847,0.993865,1003.1266,NEGATED,yet_over,3173681,163,72839571,7.1020463,154.8979537,0.9561602,3.3762412,12.169932,1.3581315,yet,95763,over,3983
NEGany~exactly_famous,130,0.95643085,7.099855,1.0,814.68058,NEGATED,exactly_famous,3173681,130,72839571,5.6642087,124.3357913,0.9564292,3.758115,10.90497,1.3608041,exactly,58643,famous,223813
NEGany~exactly_difficult,126,0.9564308,7.0512824,1.0,789.61333,NEGATED,exactly_difficult,3173681,126,72839571,5.4899253,120.5100747,0.9564292,3.7445946,10.73589,1.3608041,exactly,58643,difficult,732106
NEGany~necessarily_useful,104,0.95643055,6.750413,1.0,651.74365,NEGATED,necessarily_useful,3173681,104,72839571,4.5313669,99.4686331,0.9564292,3.6616173,9.753702,1.3608041,necessarily,48947,useful,227709
NEGany~yet_online,98,0.95643044,6.656227,1.0,614.14288,NEGATED,yet_online,3173681,98,72839571,4.2699419,93.7300581,0.9564292,3.6359365,9.468165,1.3608041,yet,95763,online,15650
NEGany~necessarily_fun,96,0.95643044,6.6234226,1.0,601.60929,NEGATED,necessarily_fun,3173681,96,72839571,4.1828003,91.8171997,0.9564292,3.6270273,9.371054,1.3608041,necessarily,48947,fun,190026
NEGany~necessarily_essential,93,0.9564304,6.572782,1.0,582.80892,NEGATED,necessarily_essential,3173681,93,72839571,4.0520877,88.9479123,0.9564292,3.6133113,9.223469,1.3608041,necessarily,48947,essential,69845
NEGmir~ever_easy,368,0.82605475,6.436795,0.99728996,1285.0039759,NEGMIR,ever_easy,291735,369,1701929,63.2518836,304.74810791015625,0.8281199,3.0751839,15.886094,0.7647744,ever,5060,easy,18610
NEGany~terribly_original,199,0.895111,6.4100356,0.9386792,1150.4817,NEGATED,terribly_original,3173681,212,72839571,9.2370172,189.7629828,0.9535828,2.5110931,13.4519415,1.3333213,terribly,58964,original,37594
NEGany~necessarily_reliable,81,0.95643026,6.350476,1.0,507.60747,NEGATED,necessarily_reliable,3173681,81,72839571,3.5292377,77.4707623,0.9564292,3.5536556,8.607862,1.3608041,necessarily,48947,reliable,90598
NEGany~any_happier,828,0.81625307,6.339549,0.8598131,4420.475,NEGATED,any_happier,3173681,963,72839571,41.958715,786.041285,0.9493252,2.1279225,27.316822,1.2952082,any,34382,happier,16606
NEGany~terribly_different,366,0.85129946,6.327236,0.8948655,2022.4678,NEGATED,terribly_different,3173681,409,72839571,17.820472,348.179528,0.95131016,2.2670915,18.199635,1.3125619,terribly,58964,different,825838
NEGany~terribly_uncommon,103,0.9373829,6.327018,0.9809524,625.85013,NEGATED,terribly_uncommon,3173681,105,72839571,4.5749378,98.4250622,0.95558316,2.9584713,9.69811,1.352452,terribly,58964,uncommon,11312
NEGany~terribly_likely,108,0.92940354,6.260233,0.972973,649.49444,NEGATED,terribly_likely,3173681,111,72839571,4.8363628,103.1636372,0.95521885,2.8328333,9.926926,1.3489048,terribly,58964,likely,890421
NEGany~terribly_unusual,146,0.8983666,6.17363,0.9419355,847.05289,NEGATED,terribly_unusual,3173681,155,72839571,6.7534796,139.2465204,0.9537433,2.5295908,11.524124,1.3348253,terribly,58964,unusual,71234
NEGany~necessarily_proud,71,0.9564301,6.1351404,1.0,444.93967,NEGATED,necessarily_proud,3173681,71,72839571,3.0935294,67.9064706,0.9564292,3.4968026,8.059015,1.3608041,necessarily,48947,proud,207536
NEGany~particularly_religious,485,0.8148426,6.11552,0.8584071,2585.6994,NEGATED,particularly_religious,3173681,565,72839571,24.617522,460.382478,0.94924223,2.121916,20.904892,1.2944974,particularly,513668,religious,28028
NEGany~yet_mainstream,70,0.9564301,6.111748,1.0,438.67289,NEGATED,yet_mainstream,3173681,70,72839571,3.0499585,66.9500415,0.9564292,3.4906855,8.002061,1.3608041,yet,95763,mainstream,17792
NEGany~particularly_new,747,0.7864389,6.0375767,0.83,3874.4524,NEGATED,particularly_new,3173681,900,72839571,39.213752,707.786248,0.947505,2.0290608,25.896545,1.2798822,particularly,513668,new,253862
NEGany~terribly_impressive,196,0.8555143,5.968984,0.89908254,1087.6385,NEGATED,terribly_impressive,3173681,218,72839571,9.4984422,186.5015578,0.95153856,2.2826636,13.32154,1.3146037,terribly,58964,impressive,178051
NEGmir~particularly_new,404,0.81414765,5.9209666,0.98536587,1365.1596201,NEGMIR,particularly_new,291735,410,1701929,70.2798707,333.7201232910156,0.8260399,2.478895,16.603197,0.7595504,particularly,13003,new,12836
NEGany~particularly_original,360,0.80150425,5.862815,0.8450704,1894.5902,NEGATED,particularly_original,3173681,426,72839571,18.561176,341.438824,0.9484412,2.0755894,17.995405,1.287697,particularly,513668,original,37594
NEGany~that_thrilled,59,0.95642996,5.8261733,1.0,369.73838,NEGATED,that_thrilled,3173681,59,72839571,2.5706793,56.4293207,0.9564292,3.417012,7.346472,1.3608041,that,208262,thrilled,24182
NEGany~that_far-fetched,59,0.95642996,5.8261733,1.0,369.73838,NEGATED,that_far-fetched,3173681,59,72839571,2.5706793,56.4293207,0.9564292,3.417012,7.346472,1.3608041,that,208262,far-fetched,5185
NEGmir~ever_simple,206,0.828686,5.815495,1.0,726.7533155,NEGMIR,ever_simple,291735,206,1701929,35.3113497,170.6886444091797,0.8285857,3.3005466,11.892442,0.7659529,ever,5060,simple,25408
NEGany~immediately_available,21078,0.67483675,5.698072,0.71813565,98046.382,NEGATED,immediately_available,3173681,29351,72839571,1278.8476,19799.1524,0.93932784,1.7504497,136.3741,1.2170106,immediately,96973,available,666909
NEGmir~ever_good,299,0.8155295,5.678675,0.9867987,1013.8661251,NEGMIR,ever_good,291735,303,1701929,51.9385386,247.06146240234375,0.8262925,2.5079181,14.287933,0.7601815,ever,5060,good,31585
NEGany~any_younger,255,0.7870514,5.5714827,0.8306189,1323.3588,NEGATED,any_younger,3173681,307,72839571,13.376247,241.623753,0.94754416,2.028723,15.131066,1.280206,any,34382,younger,26216
NEGmir~ever_perfect,206,0.823855,5.570135,0.9951691,714.4685447,NEGMIR,ever_perfect,291735,207,1701929,35.482764,170.51724243164062,0.82775354,2.823425,11.880499,0.7638498,ever,5060,perfect,3134
NEGany~immediately_reachable,109,0.8647639,5.5622478,0.90833336,610.52719,NEGATED,immediately_reachable,3173681,120,72839571,5.2285003,103.77149969999999,0.9520321,2.320188,9.939507,1.3190494,immediately,96973,reachable,2672
NEGany~ever_simple,211,0.8004319,5.5595756,0.844,1109.2804,NEGATED,ever_simple,3173681,250,72839571,10.892709,200.107291,0.94837576,2.0701988,13.775954,1.2871466,ever,114075,simple,396749
NEGany~particularly_likable,119,0.85116756,5.529095,0.8947368,657.48512,NEGATED,particularly_likable,3173681,133,72839571,5.7949212,113.2050788,0.9513032,2.257473,10.377493,1.3124994,particularly,513668,likable,8160
NEGany~ever_easy,429,0.72940767,5.412758,0.772973,2105.1278,NEGATED,ever_easy,3173681,555,72839571,24.181814,404.818186,0.9436321,1.8723874,19.544806,1.2489684,ever,114075,easy,579827
NEGany~immediately_sure,138,0.818931,5.4022336,0.8625,738.64742,NEGATED,immediately_sure,3173681,160,72839571,6.9713338,131.0286662,0.9494831,2.1307428,11.153901,1.2965633,immediately,96973,sure,262825
NEGany~terribly_productive,64,0.9116539,5.3889346,0.95522386,376.83943,NEGATED,terribly_productive,3173681,67,72839571,2.919246,61.080754,0.9543868,2.6069572,7.635094,1.3409092,terribly,58964,productive,102361
NEGany~inherently_wrong,1639,0.66444165,5.358757,0.70799136,7535.943,NEGATED,inherently_wrong,3173681,2315,72839571,100.86649,1538.1335100000001,0.9384585,1.7261206,37.993084,1.2108321,inherently,47803,wrong,149064
NEGany~particularly_likeable,106,0.8397639,5.3364773,0.8833333,579.06924,NEGATED,particularly_likeable,3173681,120,72839571,5.2285003,100.77149969999999,0.95067453,2.2074528,9.787793,1.3069288,particularly,513668,likeable,5902
NEGmir~exactly_sure,148,0.82865775,5.314787,1.0,522.1090581,NEGMIR,exactly_sure,291735,148,1701929,25.3693192,122.63068389892578,0.8285857,3.1572666,10.08018,0.7659529,exactly,1041,sure,6761
NEGmir~ever_enough,147,0.82865727,5.304433,1.0,518.5808765,NEGMIR,ever_enough,291735,147,1701929,25.1979048,121.80209350585938,0.8285857,3.1543307,10.046067,0.7659529,ever,5060,enough,2596
NEGmir~ever_certain,143,0.8286553,5.262258,1.0,504.4682071,NEGMIR,ever_certain,291735,143,1701929,24.5122476,118.48775482177734,0.8285857,3.1423845,9.908443,0.7659529,ever,5060,certain,1800
NEGany~terribly_sure,69,0.8643248,5.0845485,0.90789473,386.30775,NEGATED,terribly_sure,3173681,76,72839571,3.3113835,65.6886165,0.95200896,2.30839,7.90798,1.3188396,terribly,58964,sure,262825
NEGany~any_easier,1594,0.61923546,5.075531,0.6627859,6987.7541,NEGATED,any_easier,3173681,2405,72839571,104.78786,1489.21214,0.9342611,1.635006,37.30031,1.1821773,any,34382,easier,209940
NEGany~remotely_surprising,75,0.8492873,5.066917,0.89285713,413.60468,NEGATED,remotely_surprising,3173681,84,72839571,3.6599502,71.3400498,0.95120066,2.2416904,8.237639,1.3115861,remotely,16426,surprising,70540
NEGmir~particularly_surprising,166,0.81676155,5.060175,0.9880952,564.6696863,NEGMIR,particularly_surprising,291735,168,1701929,28.7976055,137.202392578125,0.82652044,2.5080106,10.648971,0.7607517,particularly,13003,surprising,2662
NEGmir~particularly_wrong,212,0.80564696,5.0488367,0.9769585,702.2151183,NEGMIR,particularly_wrong,291735,217,1701929,37.1969072,174.80308532714844,0.8245429,2.2716002,12.005526,0.75582904,particularly,13003,wrong,20880
NEGmir~necessarily_wrong,211,0.8055398,5.0416217,0.9768519,698.73331,NEGMIR,necessarily_wrong,291735,216,1701929,37.0254928,173.97450256347656,0.82452375,2.26955,11.976899,0.7557816,necessarily,1107,wrong,20880
NEGany~any_simpler,226,0.70976543,5.0001097,0.75333333,1087.7041,NEGATED,any_simpler,3173681,300,72839571,13.071251,212.928749,0.94216263,1.8243992,14.16381,1.2377913,any,34382,simpler,23480
NEGany~terribly_reliable,51,0.90087426,4.9876194,0.9444444,296.69914,NEGATED,terribly_reliable,3173681,54,72839571,2.3528251,48.6471749,0.9538662,2.509203,6.811967,1.3359805,terribly,58964,reliable,90598
NEGany~particularly_forthcoming,72,0.8239,4.853012,0.8674699,387.25257,NEGATED,particularly_forthcoming,3173681,83,72839571,3.6163794,68.3836206,0.94977254,2.1411068,8.059087,1.2990586,particularly,513668,forthcoming,7473
NEGany~ever_certain,147,0.7180891,4.8012247,0.761658,713.33854,NEGATED,ever_certain,3173681,193,72839571,8.4091713,138.5908287,0.94279474,1.8428158,11.4307785,1.2425641,ever,114075,certain,74952
NEGany~particularly_athletic,108,0.7505482,4.7709484,0.7941176,541.00715,NEGATED,particularly_athletic,3173681,136,72839571,5.9256337,102.0743663,0.94513303,1.9220563,9.82211,1.2606889,particularly,513668,athletic,17142
NEGany~any_nicer,96,0.7631531,4.7498345,0.8067227,486.81466,NEGATED,any_nicer,3173681,119,72839571,5.1849295,90.8150705,0.9459903,1.9549294,9.268774,1.2675284,any,34382,nicer,9955
NEGany~particularly_surprising,1069,0.56975317,4.7147355,0.6133104,4433.5021,NEGATED,particularly_surprising,3173681,1743,72839571,75.943967,993.056033,0.92895794,1.5417978,30.372805,1.1484845,particularly,513668,surprising,70540
NEGany~immediately_able,626,0.58939976,4.6984596,0.6329626,2655.1717,NEGATED,immediately_able,3173681,989,72839571,43.091557,582.908443,0.93116367,1.5779569,23.297707,1.1621821,immediately,96973,able,223196
NEGany~inherently_bad,794,0.56393737,4.6176686,0.6074981,3270.6744,NEGATED,inherently_bad,3173681,1307,72839571,56.947083,737.052917,0.9282782,1.5311158,26.15703,1.144349,inherently,47803,bad,429537
NEGany~remotely_true,250,0.63210803,4.6101365,0.6756757,1111.1296,NEGATED,remotely_true,3173681,370,72839571,16.121209,233.878791,0.93551517,1.659311,14.791794,1.1905423,remotely,16426,true,231639
NEGany~immediately_obvious,2238,0.5175004,4.5451083,0.56104285,8712.0411,NEGATED,immediately_obvious,3173681,3989,72839571,173.80406,2064.19594,0.92233956,1.4482993,43.633583,1.1098001,immediately,96973,obvious,165439
NEGany~particularly_revolutionary,77,0.7502446,4.4862585,0.7938144,385.60364,NEGATED,particularly_revolutionary,3173681,97,72839571,4.2263711,72.7736289,0.94511205,1.919015,8.293324,1.2605231,particularly,513668,revolutionary,10338
NEGany~ever_boring,72,0.7564301,4.45785,0.8,362.73772,NEGATED,ever_boring,3173681,90,72839571,3.9213752,68.0786248,0.94553643,1.9346329,8.023143,1.2638941,ever,114075,boring,45891
NEGmir~any_better,380,0.73568803,4.3756623,0.90692127,1096.0024826,NEGMIR,any_better,291735,419,1701929,71.8225995,308.1773986816406,0.81099313,1.6686014,15.809167,0.7235225,any,1197,better,14013
NEGmir~that_simple,474,0.72484124,4.3628416,0.89603025,1340.1783471,NEGMIR,that_simple,291735,529,1701929,90.6781746,383.32183837890625,0.80869585,1.6169223,17.606554,0.71827555,that,5494,simple,25408
NEGany~any_clearer,355,0.5403153,4.262093,0.58388156,1421.5939,NEGATED,any_clearer,3173681,608,72839571,26.491068,328.508932,0.92537725,1.4883655,17.435444,1.1271288,any,34382,clearer,11680
NEGmir~particularly_remarkable,108,0.80161095,4.2393775,0.972973,354.5303726,NEGMIR,particularly_remarkable,291735,111,1701929,19.0269894,88.97300720214844,0.82382417,2.1758113,8.561432,0.75405365,particularly,13003,remarkable,3238
NEGmir~that_easy,450,0.7146258,4.228105,0.88582677,1248.8269099,NEGMIR,that_easy,291735,508,1701929,87.0784739,362.9215393066406,0.80649227,1.5714812,17.108284,0.7133017,that,5494,easy,18610
NEGany~immediately_certain,70,0.70911825,4.185816,0.75268817,336.68064,NEGATED,immediately_certain,3173681,93,72839571,4.0520877,65.9479123,0.94211304,1.8185875,7.882283,1.2374192,immediately,96973,certain,74952
NEGmir~ever_able,136,0.77970016,4.169071,0.951049,426.5139386,NEGMIR,ever_able,291735,143,1701929,24.5122476,111.48775482177734,0.8197629,1.9445615,9.559996,0.74415576,ever,5060,able,3704
NEGany~remotely_ready,58,0.7402137,4.1604733,0.7837838,287.62974,NEGATED,remotely_ready,3173681,74,72839571,3.2242419,54.7757581,0.9444096,1.8911366,7.1924095,1.2550004,remotely,16426,ready,141590
NEGany~remotely_funny,137,0.6026573,4.1489134,0.6462264,589.7357,NEGATED,remotely_funny,3173681,212,72839571,9.2370172,127.7629828,0.93257654,1.6018308,10.915528,1.1711888,remotely,16426,funny,122927
NEGmir~inherently_wrong,1513,0.6578786,4.0799437,0.82858706,3787.4980975,NEGMIR,inherently_wrong,291735,1826,1701929,313.0025459,1199.9974365234375,0.79312456,1.3701965,30.850405,0.68429106,inherently,5133,wrong,20880
NEGany~particularly_flashy,57,0.7267002,4.0751934,0.7702703,278.95493,NEGATED,particularly_flashy,3173681,74,72839571,3.2242419,53.7757581,0.94343436,1.8580943,7.122773,1.2474473,particularly,513668,flashy,4494
NEGmir~terribly_surprising,67,0.8286183,4.068405,1.0,236.3447635,NEGMIR,terribly_surprising,291735,67,1701929,11.4847594,55.51523971557617,0.8285857,2.8147233,6.782266,0.7659529,terribly,4610,surprising,2662
NEGany~any_cheaper,129,0.5826444,4.0144744,0.6262136,542.96663,NEGATED,any_cheaper,3173681,206,72839571,8.9755922,120.0244078,0.93042177,1.564442,10.56756,1.1575266,any,34382,cheaper,46055
NEGmir~particularly_close,136,0.766582,4.0066857,0.93793106,415.6938422,NEGMIR,particularly_close,291735,145,1701929,24.8550762,111.1449203491211,0.8172421,1.8418986,9.530599,0.73812383,particularly,13003,close,13874
NEGany~any_smarter,89,0.63067275,3.9995995,0.67424244,394.95361,NEGATED,any_smarter,3173681,132,72839571,5.7513503,83.2486497,0.9353781,1.6548026,8.824339,1.1896201,any,34382,smarter,8501
NEGany~any_worse,1686,0.41547543,3.9423087,0.45902532,5676.3529,NEGATED,any_worse,3173681,3673,72839571,160.03568,1525.96432,0.90507966,1.2703545,37.163414,1.0226407,any,34382,worse,179012
NEGany~any_brighter,63,0.6723391,3.9102614,0.71590906,292.00034,NEGATED,any_brighter,3173681,88,72839571,3.8342336,59.1657664,0.9391391,1.7376989,7.454186,1.215662,any,34382,brighter,9280
NEGany~immediately_forthcoming,133,0.5528434,3.8866596,0.59641254,540.69943,NEGATED,immediately_forthcoming,3173681,223,72839571,9.7162964,123.2837036,0.92694515,1.5103072,10.690053,1.1363509,immediately,96973,forthcoming,7473
NEGany~ever_good,331,0.45794848,3.811072,0.50151515,1188.6839,NEGATED,ever_good,3173681,660,72839571,28.756752,302.243248,0.9131216,1.3441283,16.612791,1.0610882,ever,114075,good,1681795
NEGmir~ever_boring,57,0.82861346,3.801696,1.0,201.0678065,NEGMIR,ever_boring,291735,57,1701929,9.7706162,47.22938537597656,0.8285857,2.7450724,6.255685,0.7659529,ever,5060,boring,1961
NEGmir~ever_black,56,0.8286129,3.7721357,1.0,197.540142,NEGMIR,ever_black,291735,56,1701929,9.5992018,46.40079879760742,0.8285857,2.7374516,6.2005672,0.7659529,ever,5060,black,1412
NEGmir~particularly_novel,54,0.82861197,3.71116,1.0,190.4848302,NEGMIR,particularly_novel,291735,54,1701929,9.2563732,44.74362564086914,0.8285857,2.7217965,6.088836,0.7659529,particularly,13003,novel,320
NEGmir~terribly_new,69,0.8004501,3.6647182,0.97183096,225.9309454,NEGMIR,terribly_new,291735,71,1701929,12.1704166,56.82958221435547,0.82361716,2.1284366,6.841478,0.7535436,terribly,4610,new,12836
NEGany~remotely_close,694,0.39100254,3.651661,0.4345648,2243.2153,NEGATED,remotely_close,3173681,1597,72839571,69.582625,624.417375,0.8997369,1.2272903,23.702559,0.9988587,remotely,16426,close,411329
NEGmir~that_great,286,0.6649766,3.5665166,0.83625734,725.150282,NEGMIR,that_great,291735,342,1701929,58.623697,227.3762969970703,0.795022,1.3897747,13.445043,0.6882928,that,5494,great,5568
NEGany~ever_enough,173,0.45499042,3.5401146,0.4985591,618.61492,NEGATED,ever_enough,3173681,347,72839571,15.11908,157.88092,0.9126065,1.3389835,12.003464,1.0585208,ever,114075,enough,152020
COM~ever_closer,6305,0.043257475,3.5119548,0.9996829,538.09077,COMPLEMENT,ever_closer,69665890,6307,72839571,6032.1987,272.8013000000001,0.043267455,2.0603616,3.4356098,0.019209448,ever,114075,closer,61475
NEGany~inherently_illegal,59,0.5977343,3.5065472,0.6413044,252.58836,NEGATED,inherently_illegal,3173681,92,72839571,4.0085169,54.991483099999996,0.93205905,1.5909369,7.1592813,1.1678683,inherently,47803,illegal,30194
NEGmir~terribly_original,45,0.8286076,3.4002001,1.0,158.7362081,NEGMIR,terribly_original,291735,45,1701929,7.7136443,37.286354064941406,0.8285857,2.643398,5.558322,0.7659529,terribly,4610,original,1555
NEGmir~exactly_clear,52,0.809743,3.3806365,0.9811321,173.883954,NEGMIR,exactly_clear,291735,53,1701929,9.0849589,42.915042877197266,0.82528925,2.2284348,5.9512453,0.75768036,exactly,1041,clear,6722
NEGmir~particularly_comfortable,44,0.8286071,3.3612068,1.0,155.2086118,NEGMIR,particularly_comfortable,291735,44,1701929,7.54223,36.45777130126953,0.8285857,2.6337452,5.496216,0.7659529,particularly,13003,comfortable,4642
NEGany~ever_perfect,216,0.39814964,3.343597,0.4417178,706.71201,NEGATED,ever_perfect,3173681,489,72839571,21.306139,194.693861,0.90136045,1.2399852,13.247239,1.005949,ever,114075,perfect,104659
NEGany~ever_sure,87,0.4934673,3.3360307,0.537037,328.20031,NEGATED,ever_sure,3173681,162,72839571,7.0584754,79.9415246,0.9188681,1.4055294,8.570631,1.0908084,ever,114075,sure,262825
NEGmir~remotely_close,218,0.6451663,3.279222,0.8164794,532.9585183,NEGMIR,remotely_close,291735,267,1701929,45.7676231,172.2323760986328,0.79005677,1.3294455,11.665049,0.6778981,remotely,2341,close,13874
NEGmir~any_different,48,0.8082008,3.2420208,0.97959185,159.9319526,NEGMIR,any_different,291735,49,1701929,8.3993016,39.6006965637207,0.82501453,2.1940114,5.7158685,0.75699806,any,1197,different,36166
NEGany~immediately_intuitive,54,0.54983646,3.2109497,0.5934066,218.74285,NEGATED,immediately_intuitive,3173681,91,72839571,3.9649461,50.0350539,0.92657506,1.5038292,6.8089085,1.1341565,immediately,96973,intuitive,20664
NEGmir~that_big,113,0.6912343,3.1734443,0.86259544,300.5343263,NEGMIR,that_big,291735,131,1701929,22.4552757,90.54472351074219,0.80128074,1.4722766,8.517731,0.70176005,that,5494,big,8177
NEGmir~that_popular,65,0.75718826,3.1538963,0.9285714,195.1446884,NEGMIR,that_popular,291735,70,1701929,11.9990023,53.000999450683594,0.81539994,1.7602636,6.5739646,0.7337682,that,5494,popular,5668
NEGmir~ever_sick,39,0.8286047,3.149092,1.0,137.5707156,NEGMIR,ever_sick,291735,39,1701929,6.6851584,32.314842224121094,0.8285857,2.581975,5.1745157,0.7659529,ever,5060,sick,1895
