        l1  l2                       f         E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff        f1       f2         N  
   NEGATED  sanguine               641      173.77               251                  501                548    1299        129           35          490                3929                1304                  35                 179            490             790.21                790.21               0.616   0.0004       18.45         0.102       0.00015                0.139              0.00020                0.102              0.00015          467.23   3148010     4597  83280549  
   NEGATED  peachy                 142       39.05               755                 1484                561    3375        313           36         1351                3930                3375                  36                 444           1351             171.81                171.81               0.609   0.0001        8.64         0.100       0.00003                0.137              0.00005                0.100              0.00003          102.95   3148010     1033  83280549  
   NEGATED  presumptuous           214       59.99               580                 1149                590    2633        252           37         1029                3931                2631                  37                 342           1029             252.41                252.41               0.599   0.0001       10.53         0.097       0.00005                0.135              0.00007                0.097              0.00005          154.01   3148010     1587  83280549  
   NEGATED  demonstrative          185       53.18               667                 1313                607    2875        274           38         1134                3932                2875                  38                 380           1134             210.88                210.88               0.587   0.0001        9.69         0.094       0.00004                0.131              0.00006                0.094              0.00004          131.82   3148010     1407  83280549  
   NEGATED  monetary               169       48.61               702                 1382                609    3056        292           39         1212                3933                3056                  39                 397           1212             192.50                192.50               0.587   0.0001        9.26         0.094       0.00004                0.131              0.00005                0.094              0.00004          120.39   3148010     1286  83280549  
   NEGATED  enamoured              120       34.81               892                 1737                616    3695        361           40         1538                3934                3695                  40                 514           1538             135.09                135.09               0.583   0.0001        7.78         0.092       0.00003                0.130              0.00004                0.092              0.00003           85.19   3148010      921  83280549  
   NEGATED  lucky                12347     3638.10                22                   43                635      83         15           41           32                3935                  83                  41                  21             32           13628.08              13628.08               0.575   0.0076       78.38         0.091       0.00288                0.128              0.00392                0.090              0.00277         8708.90   3148010    96246  83280549  
   NEGATED  revelatory             217       64.26               614                 1212                640    2608        257           42         1036                3936                2608                  42                 345           1036             237.42                237.42               0.572   0.0001       10.37         0.090       0.00005                0.128              0.00007                0.090              0.00005          152.74   3148010     1700  83280549  
   NEGATED  picky                 1483      443.92               150                  299                650     685         85           43          253                3937                 687                  43                 111            253            1598.32               1598.32               0.566   0.0009       26.98         0.088       0.00034                0.126              0.00047                0.088              0.00033         1039.08   3148010    11744  83280549  
   NEGATED  talkative              486      148.03               349                  697                670    1566        169           44          597                3938                1566                  44                 213            597             510.89                510.89               0.558   0.0003       15.33         0.086       0.00011                0.124              0.00015                0.086              0.00011          337.97   3148010     3916  83280549  
