colloc,positive_raw,negative_raw,total,positive_ratio,negative_ratio,positive_skew,negative_skew
altogether_peculiar,1,10,11,0.0909,0.9091,0.1432,10.9085
yet_close,1,10,11,0.0909,0.9091,0.1432,10.9085
entirely_certain,1,10,11,0.0909,0.9091,0.1432,10.9085
yet_good,1,10,11,0.0909,0.9091,0.1432,10.9085
too_surprised,4,37,41,0.0976,0.9024,0.1538,10.8281
that_hard,16,147,163,0.0982,0.9018,0.1548,10.8209
that_expensive,2,18,20,0.1,0.9,0.1576,10.7993
ever_simple,1,9,10,0.1,0.9,0.1576,10.7993
yet_ripe,1,9,10,0.1,0.9,0.1576,10.7993
yet_comfortable,1,9,10,0.1,0.9,0.1576,10.7993
yet_official,1,9,10,0.1,0.9,0.1576,10.7993
ever_easy,1,9,10,0.1,0.9,0.1576,10.7993
completely_sure,3,26,29,0.1034,0.8966,0.1629,10.7585
as_robust,15,128,143,0.1049,0.8951,0.1653,10.7405
that_crazy,2,17,19,0.1053,0.8947,0.1659,10.7357
yet_strong,2,17,19,0.1053,0.8947,0.1659,10.7357
fully_understandable,2,17,19,0.1053,0.8947,0.1659,10.7357
as_sanguine,3,25,28,0.1071,0.8929,0.1688,10.7141
so_sure,127,1046,1173,0.1083,0.8917,0.1707,10.6997
that_active,1,8,9,0.1111,0.8889,0.1751,10.6661
always_practical,1,8,9,0.1111,0.8889,0.1751,10.6661
terribly_surprising,1,8,9,0.1111,0.8889,0.1751,10.6661
entirely_surprised,1,8,9,0.1111,0.8889,0.1751,10.6661
yet_robust,1,8,9,0.1111,0.8889,0.1751,10.6661
overly_excited,1,8,9,0.1111,0.8889,0.1751,10.6661
that_disappointed,1,8,9,0.1111,0.8889,0.1751,10.6661
entirely_true,5,40,45,0.1111,0.8889,0.1751,10.6661
half_bad,4,32,36,0.1111,0.8889,0.1751,10.6661
that_eager,1,8,9,0.1111,0.8889,0.1751,10.6661
that_remarkable,1,8,9,0.1111,0.8889,0.1751,10.6661
only_desirable,1,8,9,0.1111,0.8889,0.1751,10.6661
necessarily_sure,1,8,9,0.1111,0.8889,0.1751,10.6661
much_good,4,31,35,0.1143,0.8857,0.1801,10.6277
quite_ready,22,169,191,0.1152,0.8848,0.1815,10.6169
as_fortunate,9,68,77,0.1169,0.8831,0.1842,10.5965
that_great,26,196,222,0.1171,0.8829,0.1845,10.5941
that_impressed,2,15,17,0.1176,0.8824,0.1853,10.5881
quite_over,2,15,17,0.1176,0.8824,0.1853,10.5881
as_dire,4,30,34,0.1176,0.8824,0.1853,10.5881
even_close,28,209,237,0.1181,0.8819,0.1861,10.5821
that_difficult,12,88,100,0.12,0.88,0.1891,10.5593
that_worried,4,29,33,0.1212,0.8788,0.191,10.5449
necessarily_true,6,42,48,0.125,0.875,0.197,10.4993
yet_old,1,7,8,0.125,0.875,0.197,10.4993
academically_competitive,1,7,8,0.125,0.875,0.197,10.4993
yet_perfect,1,7,8,0.125,0.875,0.197,10.4993
yet_high,1,7,8,0.125,0.875,0.197,10.4993
even_past,1,7,8,0.125,0.875,0.197,10.4993
terribly_good,1,7,8,0.125,0.875,0.197,10.4993
yet_profitable,2,14,16,0.125,0.875,0.197,10.4993
that_rosy,1,7,8,0.125,0.875,0.197,10.4993
quite_perfect,1,7,8,0.125,0.875,0.197,10.4993
really_familiar,1,7,8,0.125,0.875,0.197,10.4993
entirely_unexpected,3,21,24,0.125,0.875,0.197,10.4993
exactly_pleased,1,7,8,0.125,0.875,0.197,10.4993
that_meaningful,1,7,8,0.125,0.875,0.197,10.4993
always_compatible,1,7,8,0.125,0.875,0.197,10.4993
just_limited,1,7,8,0.125,0.875,0.197,10.4993
just_lamb,1,7,8,0.125,0.875,0.197,10.4993
entirely_bad,1,7,8,0.125,0.875,0.197,10.4993
yet_right,1,7,8,0.125,0.875,0.197,10.4993
yet_capable,1,7,8,0.125,0.875,0.197,10.4993
exactly_flattering,1,7,8,0.125,0.875,0.197,10.4993
entirely_happy,5,34,39,0.1282,0.8718,0.202,10.4609
always_obvious,3,20,23,0.1304,0.8696,0.2055,10.4345
all_bad,34,226,260,0.1308,0.8692,0.2061,10.4297
always_easy,37,244,281,0.1317,0.8683,0.2075,10.4189
that_successful,2,13,15,0.1333,0.8667,0.2101,10.3997
that_common,2,13,15,0.1333,0.8667,0.2101,10.3997
that_optimistic,2,13,15,0.1333,0.8667,0.2101,10.3997
that_impressive,3,19,22,0.1364,0.8636,0.2149,10.3625
as_overt,1,6,7,0.1429,0.8571,0.2252,10.2845
only_embarrassing,1,6,7,0.1429,0.8571,0.2252,10.2845
exactly_happy,1,6,7,0.1429,0.8571,0.2252,10.2845
that_encouraging,1,6,7,0.1429,0.8571,0.2252,10.2845
precisely_accurate,1,6,7,0.1429,0.8571,0.2252,10.2845
altogether_fair,1,6,7,0.1429,0.8571,0.2252,10.2845
especially_fast,1,6,7,0.1429,0.8571,0.2252,10.2845
that_appealing,1,6,7,0.1429,0.8571,0.2252,10.2845
only_difficult,1,6,7,0.1429,0.8571,0.2252,10.2845
only_expensive,1,6,7,0.1429,0.8571,0.2252,10.2845
only_attractive,1,6,7,0.1429,0.8571,0.2252,10.2845
particularly_fast,1,6,7,0.1429,0.8571,0.2252,10.2845
necessarily_due,1,6,7,0.1429,0.8571,0.2252,10.2845
that_far-fetched,1,6,7,0.1429,0.8571,0.2252,10.2845
yet_firm,1,6,7,0.1429,0.8571,0.2252,10.2845
exactly_rosy,1,6,7,0.1429,0.8571,0.2252,10.2845
that_bold,1,6,7,0.1429,0.8571,0.2252,10.2845
yet_eligible,1,6,7,0.1429,0.8571,0.2252,10.2845
exactly_poor,1,6,7,0.1429,0.8571,0.2252,10.2845
that_pessimistic,1,6,7,0.1429,0.8571,0.2252,10.2845
that_cruel,1,6,7,0.1429,0.8571,0.2252,10.2845
that_bearish,1,6,7,0.1429,0.8571,0.2252,10.2845
necessarily_illegal,1,6,7,0.1429,0.8571,0.2252,10.2845
as_pronounced,2,12,14,0.1429,0.8571,0.2252,10.2845
necessarily_comfortable,1,6,7,0.1429,0.8571,0.2252,10.2845
yet_sufficient,1,6,7,0.1429,0.8571,0.2252,10.2845
exactly_unknown,1,6,7,0.1429,0.8571,0.2252,10.2845
as_sore,1,6,7,0.1429,0.8571,0.2252,10.2845
that_fortunate,1,6,7,0.1429,0.8571,0.2252,10.2845
only_inappropriate,1,6,7,0.1429,0.8571,0.2252,10.2845
exactly_easy,1,6,7,0.1429,0.8571,0.2252,10.2845
entirely_satisfying,1,6,7,0.1429,0.8571,0.2252,10.2845
that_noticeable,1,6,7,0.1429,0.8571,0.2252,10.2845
exactly_good,1,6,7,0.1429,0.8571,0.2252,10.2845
merely_semantic,1,6,7,0.1429,0.8571,0.2252,10.2845
necessarily_suspicious,1,6,7,0.1429,0.8571,0.2252,10.2845
really_fair,4,24,28,0.1429,0.8571,0.2252,10.2845
even_certain,4,24,28,0.1429,0.8571,0.2252,10.2845
terribly_optimistic,1,6,7,0.1429,0.8571,0.2252,10.2845
too_hopeful,1,6,7,0.1429,0.8571,0.2252,10.2845
that_profitable,2,11,13,0.1538,0.8462,0.2424,10.1538
too_disappointed,4,22,26,0.1538,0.8462,0.2424,10.1538
totally_sure,2,11,13,0.1538,0.8462,0.2424,10.1538
necessarily_good,4,22,26,0.1538,0.8462,0.2424,10.1538
necessarily_over,2,11,13,0.1538,0.8462,0.2424,10.1538
always_fair,4,22,26,0.1538,0.8462,0.2424,10.1538
quite_right,26,137,163,0.1595,0.8405,0.2514,10.0854
that_funny,6,31,37,0.1622,0.8378,0.2556,10.053
as_demonstrative,1,5,6,0.1667,0.8333,0.2627,9.999
overly_bullish,1,5,6,0.1667,0.8333,0.2627,9.999
that_distant,1,5,6,0.1667,0.8333,0.2627,9.999
that_visible,1,5,6,0.1667,0.8333,0.2627,9.999
only_unique,1,5,6,0.1667,0.8333,0.2627,9.999
absolutely_foolproof,1,5,6,0.1667,0.8333,0.2627,9.999
exactly_conducive,1,5,6,0.1667,0.8333,0.2627,9.999
as_cheery,1,5,6,0.1667,0.8333,0.2627,9.999
necessarily_expensive,1,5,6,0.1667,0.8333,0.2627,9.999
terribly_different,1,5,6,0.1667,0.8333,0.2627,9.999
yet_binding,1,5,6,0.1667,0.8333,0.2627,9.999
yet_broad,1,5,6,0.1667,0.8333,0.2627,9.999
so_charitable,2,10,12,0.1667,0.8333,0.2627,9.999
appreciably_different,1,5,6,0.1667,0.8333,0.2627,9.999
sufficiently_present,1,5,6,0.1667,0.8333,0.2627,9.999
altogether_realistic,1,5,6,0.1667,0.8333,0.2627,9.999
yet_closed,1,5,6,0.1667,0.8333,0.2627,9.999
that_mysterious,1,5,6,0.1667,0.8333,0.2627,9.999
entirely_pleased,3,15,18,0.1667,0.8333,0.2627,9.999
as_reliant,1,5,6,0.1667,0.8333,0.2627,9.999
that_necessary,1,5,6,0.1667,0.8333,0.2627,9.999
exactly_wild,1,5,6,0.1667,0.8333,0.2627,9.999
just_optimistic,1,5,6,0.1667,0.8333,0.2627,9.999
even_sick,1,5,6,0.1667,0.8333,0.2627,9.999
ever_over,1,5,6,0.1667,0.8333,0.2627,9.999
necessarily_superior,1,5,6,0.1667,0.8333,0.2627,9.999
precisely_clear,1,5,6,0.1667,0.8333,0.2627,9.999
that_complex,1,5,6,0.1667,0.8333,0.2627,9.999
so_squeamish,1,5,6,0.1667,0.8333,0.2627,9.999
real_keen,1,5,6,0.1667,0.8333,0.2627,9.999
necessarily_correct,1,5,6,0.1667,0.8333,0.2627,9.999
ever_certain,1,5,6,0.1667,0.8333,0.2627,9.999
that_skilled,1,5,6,0.1667,0.8333,0.2627,9.999
as_hopeful,1,5,6,0.1667,0.8333,0.2627,9.999
yet_visible,1,5,6,0.1667,0.8333,0.2627,9.999
that_cool,1,5,6,0.1667,0.8333,0.2627,9.999
exactly_electrifying,1,5,6,0.1667,0.8333,0.2627,9.999
ever_final,1,5,6,0.1667,0.8333,0.2627,9.999
necessarily_representative,1,5,6,0.1667,0.8333,0.2627,9.999
altogether_surprised,1,5,6,0.1667,0.8333,0.2627,9.999
exactly_dead,1,5,6,0.1667,0.8333,0.2627,9.999
that_shocked,1,5,6,0.1667,0.8333,0.2627,9.999
necessarily_aware,1,5,6,0.1667,0.8333,0.2627,9.999
always_ideal,1,5,6,0.1667,0.8333,0.2627,9.999
overly_imaginative,1,5,6,0.1667,0.8333,0.2627,9.999
as_showy,1,5,6,0.1667,0.8333,0.2627,9.999
quite_sure,97,485,582,0.1667,0.8333,0.2627,9.999
necessarily_synonymous,1,5,6,0.1667,0.8333,0.2627,9.999
too_minute,1,5,6,0.1667,0.8333,0.2627,9.999
only_impractical,1,5,6,0.1667,0.8333,0.2627,9.999
completely_correct,1,5,6,0.1667,0.8333,0.2627,9.999
yet_concerned,1,5,6,0.1667,0.8333,0.2627,9.999
as_un-american,1,5,6,0.1667,0.8333,0.2627,9.999
yet_enough,1,5,6,0.1667,0.8333,0.2627,9.999
yet_irreversible,1,5,6,0.1667,0.8333,0.2627,9.999
altogether_bad,1,5,6,0.1667,0.8333,0.2627,9.999
immediately_possible,1,5,6,0.1667,0.8333,0.2627,9.999
exactly_shy,1,5,6,0.1667,0.8333,0.2627,9.999
home_much,1,5,6,0.1667,0.8333,0.2627,9.999
exactly_cheap,1,5,6,0.1667,0.8333,0.2627,9.999
necessarily_inconsistent,1,5,6,0.1667,0.8333,0.2627,9.999
alone_long,1,5,6,0.1667,0.8333,0.2627,9.999
there_much,1,5,6,0.1667,0.8333,0.2627,9.999
yet_mature,1,5,6,0.1667,0.8333,0.2627,9.999
really_theirs,1,5,6,0.1667,0.8333,0.2627,9.999
as_concentrated,1,5,6,0.1667,0.8333,0.2627,9.999
quite_dead,2,10,12,0.1667,0.8333,0.2627,9.999
exactly_high,1,5,6,0.1667,0.8333,0.2627,9.999
always_familiar,1,5,6,0.1667,0.8333,0.2627,9.999
just_infatuation,1,5,6,0.1667,0.8333,0.2627,9.999
only_easy,1,5,6,0.1667,0.8333,0.2627,9.999
necessarily_willing,1,5,6,0.1667,0.8333,0.2627,9.999
terribly_common,1,5,6,0.1667,0.8333,0.2627,9.999
terribly_compelling,1,5,6,0.1667,0.8333,0.2627,9.999
that_nervous,3,15,18,0.1667,0.8333,0.2627,9.999
wholly_satisfied,1,5,6,0.1667,0.8333,0.2627,9.999
that_perfect,1,5,6,0.1667,0.8333,0.2627,9.999
exactly_booming,1,5,6,0.1667,0.8333,0.2627,9.999
even_new,1,5,6,0.1667,0.8333,0.2627,9.999
that_unexpected,1,5,6,0.1667,0.8333,0.2627,9.999
yet_interested,1,5,6,0.1667,0.8333,0.2627,9.999
even_mine,1,5,6,0.1667,0.8333,0.2627,9.999
entirely_able,1,5,6,0.1667,0.8333,0.2627,9.999
altogether_happy,1,5,6,0.1667,0.8333,0.2627,9.999
that_fat,1,5,6,0.1667,0.8333,0.2627,9.999
only_unrealistic,1,5,6,0.1667,0.8333,0.2627,9.999
fully_reliable,1,5,6,0.1667,0.8333,0.2627,9.999
that_farfetched,1,5,6,0.1667,0.8333,0.2627,9.999
that_tough,7,34,41,0.1707,0.8293,0.269,9.951
that_significant,7,34,41,0.1707,0.8293,0.269,9.951
yet_final,6,29,35,0.1714,0.8286,0.2701,9.9426
that_comfortable,3,14,17,0.1765,0.8235,0.2781,9.8814
that_interested,13,60,73,0.1781,0.8219,0.2807,9.8622
overly_impressed,4,18,22,0.1818,0.8182,0.2865,9.8178
always_enough,2,9,11,0.1818,0.8182,0.2865,9.8178
that_hungry,2,9,11,0.1818,0.8182,0.2865,9.8178
much_angry,2,9,11,0.1818,0.8182,0.2865,9.8178
as_tolerant,2,9,11,0.1818,0.8182,0.2865,9.8178
directly_comparable,8,35,43,0.186,0.814,0.2931,9.7674
even_enough,3,13,16,0.1875,0.8125,0.2955,9.7494
as_flashy,4,17,21,0.1905,0.8095,0.3002,9.7134
as_stringent,4,17,21,0.1905,0.8095,0.3002,9.7134
that_attractive,4,17,21,0.1905,0.8095,0.3002,9.7134
that_concerned,14,58,72,0.1944,0.8056,0.3063,9.6666
always_clear,21,86,107,0.1963,0.8037,0.3093,9.6438
even_competitive,1,4,5,0.2,0.8,0.3152,9.5994
entirely_blameless,2,8,10,0.2,0.8,0.3152,9.5994
entirely_bleak,1,4,5,0.2,0.8,0.3152,9.5994
exactly_sanguine,1,4,5,0.2,0.8,0.3152,9.5994
inherently_deceptive,1,4,5,0.2,0.8,0.3152,9.5994
that_knowledgeable,1,4,5,0.2,0.8,0.3152,9.5994
necessarily_final,1,4,5,0.2,0.8,0.3152,9.5994
that_costly,1,4,5,0.2,0.8,0.3152,9.5994
slam_dunks,1,4,5,0.2,0.8,0.3152,9.5994
that_convincing,1,4,5,0.2,0.8,0.3152,9.5994
as_bulky,1,4,5,0.2,0.8,0.3152,9.5994
exactly_sunny,1,4,5,0.2,0.8,0.3152,9.5994
that_relevant,1,4,5,0.2,0.8,0.3152,9.5994
as_horrendous,1,4,5,0.2,0.8,0.3152,9.5994
entirely_discouraged,1,4,5,0.2,0.8,0.3152,9.5994
merely_physical,1,4,5,0.2,0.8,0.3152,9.5994
really_homeless,1,4,5,0.2,0.8,0.3152,9.5994
particularly_pretty,1,4,5,0.2,0.8,0.3152,9.5994
quite_cheeky,1,4,5,0.2,0.8,0.3152,9.5994
overly_pleased,1,4,5,0.2,0.8,0.3152,9.5994
entirely_joking,1,4,5,0.2,0.8,0.3152,9.5994
so_obliging,1,4,5,0.2,0.8,0.3152,9.5994
that_emotional,1,4,5,0.2,0.8,0.3152,9.5994
really_fishermen,1,4,5,0.2,0.8,0.3152,9.5994
necessarily_satisfied,1,4,5,0.2,0.8,0.3152,9.5994
really_settled,1,4,5,0.2,0.8,0.3152,9.5994
that_enormous,1,4,5,0.2,0.8,0.3152,9.5994
always_logical,1,4,5,0.2,0.8,0.3152,9.5994
entirely_unusual,1,4,5,0.2,0.8,0.3152,9.5994
exactly_subtle,1,4,5,0.2,0.8,0.3152,9.5994
entirely_untrue,2,8,10,0.2,0.8,0.3152,9.5994
as_upsetting,1,4,5,0.2,0.8,0.3152,9.5994
that_horrendous,1,4,5,0.2,0.8,0.3152,9.5994
that_plentiful,1,4,5,0.2,0.8,0.3152,9.5994
even_important,1,4,5,0.2,0.8,0.3152,9.5994
as_horrid,1,4,5,0.2,0.8,0.3152,9.5994
really_trained,1,4,5,0.2,0.8,0.3152,9.5994
exactly_reassuring,1,4,5,0.2,0.8,0.3152,9.5994
that_enjoyable,1,4,5,0.2,0.8,0.3152,9.5994
exactly_ready,1,4,5,0.2,0.8,0.3152,9.5994
exactly_radical,1,4,5,0.2,0.8,0.3152,9.5994
necessarily_surprising,1,4,5,0.2,0.8,0.3152,9.5994
that_disappointing,1,4,5,0.2,0.8,0.3152,9.5994
that_scared,1,4,5,0.2,0.8,0.3152,9.5994
that_exotic,1,4,5,0.2,0.8,0.3152,9.5994
entirely_forthcoming,1,4,5,0.2,0.8,0.3152,9.5994
even_interesting,1,4,5,0.2,0.8,0.3152,9.5994
stubbornly_cryptic,1,4,5,0.2,0.8,0.3152,9.5994
bit_angry,1,4,5,0.2,0.8,0.3152,9.5994
as_magnanimous,1,4,5,0.2,0.8,0.3152,9.5994
always_market-competitive,1,4,5,0.2,0.8,0.3152,9.5994
necessarily_incompatible,1,4,5,0.2,0.8,0.3152,9.5994
just_acceptable,1,4,5,0.2,0.8,0.3152,9.5994
that_sharp,3,12,15,0.2,0.8,0.3152,9.5994
as_ironclad,1,4,5,0.2,0.8,0.3152,9.5994
entirely_unhappy,1,4,5,0.2,0.8,0.3152,9.5994
as_liquid,3,12,15,0.2,0.8,0.3152,9.5994
particularly_practical,1,4,5,0.2,0.8,0.3152,9.5994
necessarily_happy,1,4,5,0.2,0.8,0.3152,9.5994
simply_black,1,4,5,0.2,0.8,0.3152,9.5994
much_relative,1,4,5,0.2,0.8,0.3152,9.5994
even_jewish,1,4,5,0.2,0.8,0.3152,9.5994
legally_obscene,1,4,5,0.2,0.8,0.3152,9.5994
really_certain,1,4,5,0.2,0.8,0.3152,9.5994
necessarily_permanent,1,4,5,0.2,0.8,0.3152,9.5994
entirely_comparable,1,4,5,0.2,0.8,0.3152,9.5994
exactly_user-friendly,1,4,5,0.2,0.8,0.3152,9.5994
even_official,1,4,5,0.2,0.8,0.3152,9.5994
necessarily_valid,1,4,5,0.2,0.8,0.3152,9.5994
even_much,1,4,5,0.2,0.8,0.3152,9.5994
that_crucial,1,4,5,0.2,0.8,0.3152,9.5994
literally_real,1,4,5,0.2,0.8,0.3152,9.5994
exactly_inspired,1,4,5,0.2,0.8,0.3152,9.5994
totally_pleased,1,4,5,0.2,0.8,0.3152,9.5994
too_encouraging,1,4,5,0.2,0.8,0.3152,9.5994
terribly_productive,1,4,5,0.2,0.8,0.3152,9.5994
as_photogenic,1,4,5,0.2,0.8,0.3152,9.5994
only_unpersuasive,1,4,5,0.2,0.8,0.3152,9.5994
nearly_long,1,4,5,0.2,0.8,0.3152,9.5994
yet_confident,1,4,5,0.2,0.8,0.3152,9.5994
yet_secure,2,8,10,0.2,0.8,0.3152,9.5994
yet_conclusive,1,4,5,0.2,0.8,0.3152,9.5994
that_afraid,1,4,5,0.2,0.8,0.3152,9.5994
easily_discernible,1,4,5,0.2,0.8,0.3152,9.5994
morally_suitable,1,4,5,0.2,0.8,0.3152,9.5994
yet_committed,1,4,5,0.2,0.8,0.3152,9.5994
as_funky,1,4,5,0.2,0.8,0.3152,9.5994
always_clear-cut,1,4,5,0.2,0.8,0.3152,9.5994
as_overextended,1,4,5,0.2,0.8,0.3152,9.5994
as_glowing,1,4,5,0.2,0.8,0.3152,9.5994
especially_competent,1,4,5,0.2,0.8,0.3152,9.5994
entirely_successful,6,24,30,0.2,0.8,0.3152,9.5994
yet_sophisticated,1,4,5,0.2,0.8,0.3152,9.5994
only_bad,2,8,10,0.2,0.8,0.3152,9.5994
politically_skewed,1,4,5,0.2,0.8,0.3152,9.5994
exactly_fair,1,4,5,0.2,0.8,0.3152,9.5994
yet_aware,3,12,15,0.2,0.8,0.3152,9.5994
entirely_rosy,1,4,5,0.2,0.8,0.3152,9.5994
as_paradoxical,1,4,5,0.2,0.8,0.3152,9.5994
terribly_original,1,4,5,0.2,0.8,0.3152,9.5994
yet_accustomed,1,4,5,0.2,0.8,0.3152,9.5994
that_terrible,1,4,5,0.2,0.8,0.3152,9.5994
totally_satisfying,1,4,5,0.2,0.8,0.3152,9.5994
exactly_comfortable,1,4,5,0.2,0.8,0.3152,9.5994
fully_printable,1,4,5,0.2,0.8,0.3152,9.5994
fully_productive,1,4,5,0.2,0.8,0.3152,9.5994
yet_proficient,1,4,5,0.2,0.8,0.3152,9.5994
terribly_confident,1,4,5,0.2,0.8,0.3152,9.5994
always_well-founded,1,4,5,0.2,0.8,0.3152,9.5994
as_prolonged,1,4,5,0.2,0.8,0.3152,9.5994
around_much,2,8,10,0.2,0.8,0.3152,9.5994
fully_fit,1,4,5,0.2,0.8,0.3152,9.5994
terribly_useful,1,4,5,0.2,0.8,0.3152,9.5994
terribly_strong,1,4,5,0.2,0.8,0.3152,9.5994
classically_handsome,1,4,5,0.2,0.8,0.3152,9.5994
only_risky,1,4,5,0.2,0.8,0.3152,9.5994
as_affluent,1,4,5,0.2,0.8,0.3152,9.5994
very_mixable,1,4,5,0.2,0.8,0.3152,9.5994
strictly_comparable,1,4,5,0.2,0.8,0.3152,9.5994
easily_pigeon-holed,1,4,5,0.2,0.8,0.3152,9.5994
so_farfetched,3,12,15,0.2,0.8,0.3152,9.5994
terribly_specific,1,4,5,0.2,0.8,0.3152,9.5994
as_stealthy,1,4,5,0.2,0.8,0.3152,9.5994
exactly_certain,1,4,5,0.2,0.8,0.3152,9.5994
exactly_friendly,1,4,5,0.2,0.8,0.3152,9.5994
only_useless,1,4,5,0.2,0.8,0.3152,9.5994
particularly_wise,1,4,5,0.2,0.8,0.3152,9.5994
about_black,2,8,10,0.2,0.8,0.3152,9.5994
darn_busy,1,4,5,0.2,0.8,0.3152,9.5994
about_bosnia,1,4,5,0.2,0.8,0.3152,9.5994
as_stoic,1,4,5,0.2,0.8,0.3152,9.5994
fully_honest,1,4,5,0.2,0.8,0.3152,9.5994
spectacularly_troubled,1,4,5,0.2,0.8,0.3152,9.5994
that_valuable,1,4,5,0.2,0.8,0.3152,9.5994
exactly_free,1,4,5,0.2,0.8,0.3152,9.5994
yet_developed,1,4,5,0.2,0.8,0.3152,9.5994
as_overpowering,2,8,10,0.2,0.8,0.3152,9.5994
that_wonderful,1,4,5,0.2,0.8,0.3152,9.5994
altogether_wrong,1,4,5,0.2,0.8,0.3152,9.5994
that_certain,1,4,5,0.2,0.8,0.3152,9.5994
terribly_helpful,1,4,5,0.2,0.8,0.3152,9.5994
altogether_sure,1,4,5,0.2,0.8,0.3152,9.5994
exactly_ecstatic,1,4,5,0.2,0.8,0.3152,9.5994
quite_ripe,1,4,5,0.2,0.8,0.3152,9.5994
far_fetched,1,4,5,0.2,0.8,0.3152,9.5994
only_permissible,1,4,5,0.2,0.8,0.3152,9.5994
real_fond,1,4,5,0.2,0.8,0.3152,9.5994
as_hesitant,1,4,5,0.2,0.8,0.3152,9.5994
yet_underway,1,4,5,0.2,0.8,0.3152,9.5994
so_encumbered,1,4,5,0.2,0.8,0.3152,9.5994
as_far-fetched,3,12,15,0.2,0.8,0.3152,9.5994
that_strict,1,4,5,0.2,0.8,0.3152,9.5994
mentally_stable,1,4,5,0.2,0.8,0.3152,9.5994
that_bleak,1,4,5,0.2,0.8,0.3152,9.5994
always_conducive,1,4,5,0.2,0.8,0.3152,9.5994
exactly_earth-shaking,1,4,5,0.2,0.8,0.3152,9.5994
as_tiring,1,4,5,0.2,0.8,0.3152,9.5994
yet_worried,1,4,5,0.2,0.8,0.3152,9.5994
economically_powerful,1,4,5,0.2,0.8,0.3152,9.5994
so_results-oriented,1,4,5,0.2,0.8,0.3152,9.5994
particularly_forthcoming,1,4,5,0.2,0.8,0.3152,9.5994
exactly_earthshaking,1,4,5,0.2,0.8,0.3152,9.5994
even_aware,23,89,112,0.2054,0.7946,0.3237,9.5346
as_lucky,16,61,77,0.2078,0.7922,0.3275,9.5058
always_comfortable,3,11,14,0.2143,0.7857,0.3377,9.4278
too_keen,9,33,42,0.2143,0.7857,0.3377,9.4278
