         l1  l2                     f      E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple      f1     f2        N  
       much  harsher               25     0.75              2142               2138          461        10231                 708               13954             140.33                1.79         0.458         0.001                0.472                0.001   23827     53  1680633  
       just  fodder                 9     0.32              5335               2368          462        14029                 696               20189              47.43                1.72         0.457         0.000                0.474                0.000   28522     19  1680633  
       much  harder               462    13.92               121               2118          463         2584                 725                2841            2598.18                1.80         0.457         0.019                0.470                0.019   23827    982  1680633  
       much  prettier              24     0.72              2232               2141          464        10357                 712               14204             134.56                1.79         0.456         0.001                0.471                0.001   23827     51  1680633  
       even  nonexistent          134     9.90               648               3666          465         8034                 645               10112             521.40                1.41         0.456         0.002                0.493                0.002   61179    272  1680633  
       even  purple                64     4.73              1309               3669          466        10319                 646               13975             248.85                1.41         0.456         0.001                0.492                0.001   61179    130  1680633  
 completely  unrelated            423    14.29               139               2283          467         2943                 709                3265            2282.79                1.75         0.456         0.016                0.472                0.016   26781    897  1680633  
       more  energizing            35     9.52              4578               7141          468        16770                 307               24396              57.76                0.91         0.455         0.000                0.625                0.000  285773     56  1680633  
       more  grudging               5     1.36             13432               7337          469        20323                 307               30106               8.25                0.88         0.455         0.000                0.625                0.000  285773      8  1680633  
       more  iniquitous             5     1.36             13432               7337          469        20323                 307               30106               8.25                0.88         0.455         0.000                0.625                0.000  285773      8  1680633  
       more  bankable               5     1.36             13432               7337          469        20323                 307               30106               8.25                0.88         0.455         0.000                0.625                0.000  285773      8  1680633  
 completely  unfazed                8     0.27              5765               2297          472        14167                 712               20377              43.01                1.74         0.455         0.000                0.471                0.000   26781     17  1680633  
         up  front                  5     0.00              3377                 46          473         1253                 798                1307              83.71                4.23         0.454         0.057                0.455                0.057      88     11  1680633  
    heavily  indebted              10     0.01              2294                157          474         2663                 798                2955             130.52                3.42         0.454         0.018                0.455                0.018     546     22  1680633  
       more  chilling             172    46.93              1163               7140          475        12462                 319               17006             282.62                0.91         0.453         0.001                0.623                0.001  285773    276  1680633  
       very  hit                    9     1.75              9561               6175          476        18582                 417               27837              19.52                1.01         0.453         0.000                0.562                0.000  183918     16  1680633  
       much  vaster                 7     0.21              6181               2155          477        14219                 742               20480              39.09                1.79         0.452         0.000                0.467                0.000   23827     15  1680633  
         so  mortified              9     1.31              8568               5331          478        17911                 504               26743              23.92                1.13         0.452         0.000                0.529                0.000  129421     17  1680633  
       even  zero                  57     4.26              1466               3707          479        10692                 661               14628             220.07                1.40         0.451         0.001                0.487                0.001   61179    117  1680633  
       more  remarkable          1988   545.65                89               7175          480         5145                 322                5656            3244.81                0.90         0.450         0.006                0.620                0.007  285773   3209  1680633  
       more  muted                 39    10.71              4227               7230          481        16511                 323               23872              63.41                0.90         0.449         0.000                0.619                0.000  285773     63  1680633  
       much  closer               449    13.78               124               2163          482         2645                 762                2906            2503.20                1.78         0.448         0.019                0.462                0.019   23827    972  1680633  
       much  fitter                 6     0.18              6957               2181          483        14623                 763               21201              33.33                1.78         0.447         0.000                0.462                0.000   23827     13  1680633  
       very  camp                   5     0.98             12312               6310          484        19610                 436               29610              10.69                1.00         0.446         0.000                0.556                0.000  183918      9  1680633  
         so  overwhelmed           92    13.55              1350               5408          485        11732                 528               16186             241.64                1.12         0.446         0.001                0.523                0.001  129421    176  1680633  
       more  apropos               40    11.05              4164               7299          486        16448                 326               23788              64.44                0.89         0.445         0.000                0.615                0.000  285773     65  1680633  
       more  ignoble                8     2.21             11484               7395          487        19615                 326               29497              12.89                0.88         0.445         0.000                0.615                0.000  285773     13  1680633  
       more  enraging               8     2.21             11484               7395          487        19615                 326               29497              12.89                0.88         0.445         0.000                0.615                0.000  285773     13  1680633  
       more  experienced          332    91.82               625               7275          489        10292                 333               13365             534.33                0.89         0.445         0.001                0.615                0.001  285773    540  1680633  
       even  regional              59     4.48              1434               3795          490        10600                 676               14445             225.43                1.39         0.443         0.001                0.480                0.001   61179    123  1680633  
  perfectly  legal                372     1.88                85                615          491          815                 841                 851            3425.20                2.59         0.442         0.098                0.444                0.098    3784    837  1680633  
       more  permanent            628   174.46               342               7317          492         8295                 335               10090            1004.18                0.89         0.442         0.002                0.612                0.002  285773   1026  1680633  
       very  particular           194    38.52               831               6290          493        10511                 449               13933             410.91                1.00         0.442         0.001                0.551                0.001  183918    352  1680633  
       more  puzzling             214    59.51               995               7333          494        11769                 336               15875             341.42                0.89         0.441         0.001                0.611                0.001  285773    350  1680633  
       even  fewer                 64     4.88              1333               3809          495        10326                 684               13975             243.84                1.38         0.441         0.001                0.478                0.001   61179    134  1680633  
       more  electable             11     3.06             10060               7430          496        19087                 337               28755              17.53                0.87         0.441         0.000                0.611                0.000  285773     18  1680633  
       very  preliminary           44     8.75              3110               6318          497        15001                 450               21500              92.94                1.00         0.441         0.000                0.550                0.000  183918     80  1680633  
       even  homicidal             10     0.76              6315               3812          498        15838                 686               23231              38.02                1.38         0.440         0.000                0.476                0.000   61179     21  1680633  
       more  stringent            159    44.38              1290               7374          499        12724                 340               17464             252.21                0.88         0.439         0.000                0.609                0.001  285773    261  1680633  
       more  refined               28     7.82              5647               7410          500        17293                 341               25342              44.35                0.88         0.439         0.000                0.609                0.000  285773     46  1680633  
