colloc,few_det-of-subj,few_subj,neither_subj-NP,neither_subj-det,no-one_subj-NP,no_subj-det,nobody_subj-NP,none_subj-NP,not-a-single_subj-det,not-one_subj-NP,not-one_subj-det,not_VP-adv,nothing_subj-NP,without-being_PP
relatively_rare,0,0,0,0,0,0,0,0,0,0,0,1,0,0
religiously_coercive,0,0,0,0,0,0,0,0,0,0,0,2,0,0
reportedly_able,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ridiculously_high,0,0,0,0,0,0,0,0,0,0,0,1,0,0
seriously_re-examined,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sexually_interested,0,0,0,0,0,0,0,0,0,0,0,1,0,0
significantly_probative,0,0,0,0,0,0,0,0,0,0,0,1,0,0
similarly_flexible,0,0,0,0,0,0,0,0,0,0,0,2,0,0
simply_coincidental,0,0,0,0,0,0,0,0,0,0,0,2,0,0
sky_high,0,0,0,0,0,0,0,0,0,0,0,5,0,0
so_beloved,1,0,0,0,0,3,0,0,0,0,0,6,0,0
so_desperate,0,0,0,0,0,1,0,0,0,0,0,33,0,0
so_droll,0,0,0,0,0,0,0,0,0,0,0,1,0,0
so_experimental,0,0,0,0,0,0,0,0,0,0,0,3,0,0
so_flattering,0,0,0,0,0,0,0,0,0,0,0,6,0,0
so_gradual,0,0,0,0,0,0,0,0,0,0,0,1,0,0
so_implausible,0,0,0,0,0,0,0,0,0,0,0,2,0,0
so_me-centered,0,0,0,0,0,0,0,0,0,0,0,1,0,0
so_new,1,0,0,0,0,0,0,0,0,0,0,39,0,0
so_pathetc,0,0,0,0,0,0,0,0,0,0,0,1,0,0
so_prim,0,0,0,0,0,0,0,0,0,0,0,2,0,0
so_rose-colored,0,0,0,0,0,0,0,0,0,0,0,1,0,0
so_simple-minded,0,0,0,0,0,0,0,0,0,0,0,2,0,0
so_smiley,0,0,0,0,0,0,0,0,0,0,0,1,0,0
so_soft,0,0,0,0,0,0,0,0,0,0,0,13,0,0
so_tempting,0,0,0,0,0,0,0,0,0,0,0,2,0,0
so_unsuccessful,0,0,0,0,0,1,0,0,0,0,0,0,0,0
solely_concerned,0,0,0,0,0,0,0,0,0,0,0,2,0,0
startlingly_slow,0,0,0,0,0,0,0,0,0,0,0,1,0,0
still_high,0,0,0,0,0,0,0,0,0,0,0,1,0,0
strictly_cultural,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sufficiently_astute,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sufficiently_attractive,0,0,0,0,0,0,0,0,0,0,0,7,0,0
sufficiently_recapitalized,0,0,0,0,0,0,0,0,0,0,0,1,0,0
super_human,0,0,0,0,0,0,0,0,0,0,0,1,0,0
super_sensitive,0,0,0,0,0,0,0,0,0,0,0,1,0,0
terribly_difficult,0,0,0,0,0,0,0,1,0,0,0,25,0,0
terribly_sentimental,0,0,0,0,0,0,0,0,0,0,0,2,0,0
terribly_sophisticated,0,0,0,0,0,0,0,0,0,0,0,7,0,0
terribly_suspenseful,0,0,0,0,0,0,0,1,0,0,0,1,0,0
that_cheap,0,0,0,0,0,0,0,0,0,0,0,20,0,0
that_dissatisfied,0,0,0,0,0,0,0,0,0,0,0,1,0,0
that_heavy-handed,0,0,0,0,0,0,0,0,0,0,0,1,0,0
that_ill-informed,0,0,0,0,0,0,0,0,0,0,0,1,0,0
that_insensitive,0,0,0,0,0,0,0,0,0,0,0,2,0,0
that_insightful,0,0,0,0,0,0,0,0,0,0,0,1,0,0
that_interactive,0,0,0,0,0,0,0,0,0,0,0,1,0,0
that_lovely,0,0,0,0,0,0,0,0,0,0,0,1,0,0
that_placid,0,0,0,0,0,0,0,0,0,0,0,1,0,0
that_popular,0,0,0,0,0,0,0,0,0,0,0,60,0,0
that_reckless,0,0,0,0,0,0,0,0,0,0,0,2,0,0
that_selfish,0,0,0,0,0,0,0,0,0,0,0,2,0,0
that_vivid,0,0,0,0,0,0,0,0,0,0,0,1,0,0
thoroughly_dry,0,0,0,0,0,0,0,0,0,0,0,1,0,0
too_crippling,0,0,0,0,0,0,0,0,0,0,0,1,0,0
too_jokey,0,0,0,0,0,0,0,0,0,0,0,1,0,0
