colloc,positive_raw,negative_raw,total_raw,positive_plus1,negative_plus1,positive_ratio,negative_ratio,positive_skew,negative_skew
pretty_soft,18,0,18,19,1,1.0,0.0,1.1313,0.0
too_maddening,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_man-hating,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_manic,2,0,2,3,1,1.0,0.0,1.1313,0.0
so_abundant,30,0,30,31,1,1.0,0.0,1.1313,0.0
too_lurid,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_ragged,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_raunchy,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_matchy-matchy,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_ludicrous,2,0,2,3,1,1.0,0.0,1.1313,0.0
too_local,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_lofty,5,0,5,6,1,1.0,0.0,1.1313,0.0
very_disgruntled,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_logical,5,0,5,6,1,1.0,0.0,1.1313,0.0
too_lonely,2,0,2,3,1,1.0,0.0,1.1313,0.0
very_disgraceful,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_loaded,3,0,3,4,1,1.0,0.0,1.1313,0.0
too_long-ignored,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_long-winded,3,0,3,4,1,1.0,0.0,1.1313,0.0
too_loony,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_low-level,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_low-keyed,1,0,1,2,1,1.0,0.0,1.1313,0.0
very_disenchanted,3,0,3,4,1,1.0,0.0,1.1313,0.0
so_overgrown,8,0,8,9,1,1.0,0.0,1.1313,0.0
too_manicured,1,0,1,2,1,1.0,0.0,1.1313,0.0
profoundly_experiential,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_manipulative,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_meager,11,0,11,12,1,1.0,0.0,1.1313,0.0
too_mccartney,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_mawkish,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_man-like,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_mathematical,2,0,2,3,1,1.0,0.0,1.1313,0.0
too_macho,9,0,9,10,1,1.0,0.0,1.1313,0.0
too_luxurious,1,0,1,2,1,1.0,0.0,1.1313,0.0
well_being,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_rare,22,0,22,23,1,1.0,0.0,1.1313,0.0
pretty_rank,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_random,4,0,4,5,1,1.0,0.0,1.1313,0.0
pretty_rampant,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_rambunctious,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_macabre,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_rainy,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_hazy,1,0,1,2,1,1.0,0.0,1.1313,0.0
weirdly_beautiful,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_shady,1,0,1,2,1,1.0,0.0,1.1313,0.0
wearyingly_sincere,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_perilous,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_picky,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_physical,5,0,5,6,1,1.0,0.0,1.1313,0.0
pretty_painful,9,0,9,10,1,1.0,0.0,1.1313,0.0
well_chronicled,3,0,3,4,1,1.0,0.0,1.1313,0.0
pretty_patient,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_pedestrian,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_predictable,7,0,7,8,1,1.0,0.0,1.1313,0.0
pretty_pro-life,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_primitive,5,0,5,6,1,1.0,0.0,1.1313,0.0
pretty_primal,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_prickly,2,0,2,3,1,1.0,0.0,1.1313,0.0
well_clear,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_peaceful,3,0,3,4,1,1.0,0.0,1.1313,0.0
pretty_pricey,10,0,10,11,1,1.0,0.0,1.1313,0.0
pretty_pro-active,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_promising,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_pleasant,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_perky,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_plain,8,0,8,9,1,1.0,0.0,1.1313,0.0
pretty_perfect,4,0,4,5,1,1.0,0.0,1.1313,0.0
pretty_passe,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_rosy,2,0,2,3,1,1.0,0.0,1.1313,0.0
well_able,10,0,10,11,1,1.0,0.0,1.1313,0.0
pretty_romantic,3,0,3,4,1,1.0,0.0,1.1313,0.0
pretty_practical,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_powerful,17,0,17,18,1,1.0,0.0,1.1313,0.0
pretty_short-term,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_similar,13,0,13,14,1,1.0,0.0,1.1313,0.0
well_chilled,3,0,3,4,1,1.0,0.0,1.1313,0.0
pretty_professional,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_perfunctory,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_pat,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_particular,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_paltry,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_pale,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_palatable,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_pathetic,12,0,12,13,1,1.0,0.0,1.1313,0.0
pretty_painless,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_pitiful,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_perceptive,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_soft-spoken,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_sloping,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_ruthless,4,0,4,5,1,1.0,0.0,1.1313,0.0
pretty_sane,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_salty,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_safe,34,0,34,35,1,1.0,0.0,1.1313,0.0
pretty_saddened,1,0,1,2,1,1.0,0.0,1.1313,0.0
weirdly_wonderful,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_sloppy,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_sad,32,0,32,33,1,1.0,0.0,1.1313,0.0
weirdly_unimaginative,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_rotten,3,0,3,4,1,1.0,0.0,1.1313,0.0
pretty_sensitized,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_serious,31,0,31,32,1,1.0,0.0,1.1313,0.0
pretty_sluggish,5,0,5,6,1,1.0,0.0,1.1313,0.0
wearily_derivative,1,0,1,2,1,1.0,0.0,1.1313,0.0
welcomely_bland,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_simplistic,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_solid,34,0,34,35,1,1.0,0.0,1.1313,0.0
pretty_slow,14,0,14,15,1,1.0,0.0,1.1313,0.0
pretty_solvent,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_preposterous,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_skittish,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_phony,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_simple,112,0,112,113,1,1.0,0.0,1.1313,0.0
pretty_single-minded,1,0,1,2,1,1.0,0.0,1.1313,0.0
wearable_year-round,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_slim,33,0,33,34,1,1.0,0.0,1.1313,0.0
wearyingly_episodic,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_sleepy,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_sleazy,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_slack,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_slippery,2,0,2,3,1,1.0,0.0,1.1313,0.0
wearyingly_familiar,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_slick,7,0,7,8,1,1.0,0.0,1.1313,0.0
pretty_skinny,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_small,32,0,32,33,1,1.0,0.0,1.1313,0.0
pretty_smelly,3,0,3,4,1,1.0,0.0,1.1313,0.0
pretty_soothing,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_somber,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_low-key,3,0,3,4,1,1.0,0.0,1.1313,0.0
too_low-energy,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_long-legged,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_life-saving,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_monopolistic,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_lethal,11,0,11,12,1,1.0,0.0,1.1313,0.0
potentially_lifesaving,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_preventable,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_powerful,3,0,3,4,1,1.0,0.0,1.1313,0.0
powerfully_reassuring,1,0,1,2,1,1.0,0.0,1.1313,0.0
practically_invisible,14,0,14,15,1,1.0,0.0,1.1313,0.0
practically_invincible,1,0,1,2,1,1.0,0.0,1.1313,0.0
practically_interchangeable,1,0,1,2,1,1.0,0.0,1.1313,0.0
practically_intentional,1,0,1,2,1,1.0,0.0,1.1313,0.0
practically_indecipherable,1,0,1,2,1,1.0,0.0,1.1313,0.0
practically_insoluble,1,0,1,2,1,1.0,0.0,1.1313,0.0
powerfully_present,2,0,2,3,1,1.0,0.0,1.1313,0.0
practically_inseparable,2,0,2,3,1,1.0,0.0,1.1313,0.0
practically_inflation-free,5,0,5,6,1,1.0,0.0,1.1313,0.0
practically_inevitable,1,0,1,2,1,1.0,0.0,1.1313,0.0
practically_indistinguishable,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_liable,4,0,4,5,1,1.0,0.0,1.1313,0.0
potentially_life-threatening,5,0,5,6,1,1.0,0.0,1.1313,0.0
well_publicized,1,0,1,2,1,1.0,0.0,1.1313,0.0
wholeheartedly_worthy,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_reasonable,12,0,12,13,1,1.0,0.0,1.1313,0.0
pretty_realistic,6,0,6,7,1,1.0,0.0,1.1313,0.0
pretty_racist,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_rabid,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_quiet,54,0,54,55,1,1.0,0.0,1.1313,0.0
too_low-brow,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_pot-bound,1,0,1,2,1,1.0,0.0,1.1313,0.0
privately_fearful,1,0,1,2,1,1.0,0.0,1.1313,0.0
privately_galling,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_poisonous,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_pivotal,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_outstanding,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_ominous,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_prejudicial,1,0,1,2,1,1.0,0.0,1.1313,0.0
whispery_quiet,2,0,2,3,1,1.0,0.0,1.1313,0.0
potentially_potent,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_misleading,3,0,3,4,1,1.0,0.0,1.1313,0.0
practically_indispensable,1,0,1,2,1,1.0,0.0,1.1313,0.0
practically_perfect,6,0,6,7,1,1.0,0.0,1.1313,0.0
pretty_rigorous,3,0,3,4,1,1.0,0.0,1.1313,0.0
potentially_hazardous,13,0,13,14,1,1.0,0.0,1.1313,0.0
wheelchair_accessible,2,0,2,3,1,1.0,0.0,1.1313,0.0
potentially_responsible,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_relevant,2,0,2,3,1,1.0,0.0,1.1313,0.0
potentially_refundable,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_problematic,2,0,2,3,1,1.0,0.0,1.1313,0.0
potentially_ready,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_lasting,1,0,1,2,1,1.0,0.0,1.1313,0.0
whimsically_accented,1,0,1,2,1,1.0,0.0,1.1313,0.0
whimsically_wild,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_provocative,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_protective,1,0,1,2,1,1.0,0.0,1.1313,0.0
whipsaw_smart,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_punishable,3,0,3,4,1,1.0,0.0,1.1313,0.0
wheel-chair_accessible,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_public,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_homicidal,1,0,1,2,1,1.0,0.0,1.1313,0.0
practically_irrefutable,1,0,1,2,1,1.0,0.0,1.1313,0.0
wholesomely_waltonesque,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_rewarding,1,0,1,2,1,1.0,0.0,1.1313,0.0
practically_inhumane,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_far-reaching,2,0,2,3,1,1.0,0.0,1.1313,0.0
practically_invulnerable,1,0,1,2,1,1.0,0.0,1.1313,0.0
whisper_quiet,2,0,2,3,1,1.0,0.0,1.1313,0.0
potentially_reversible,2,0,2,3,1,1.0,0.0,1.1313,0.0
potentially_great,4,0,4,5,1,1.0,0.0,1.1313,0.0
potentially_good,3,0,3,4,1,1.0,0.0,1.1313,0.0
potentially_frightening,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_fraught,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_historic,2,0,2,3,1,1.0,0.0,1.1313,0.0
potentially_fragile,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_harmful,10,0,10,11,1,1.0,0.0,1.1313,0.0
wholly_accidental,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_fantastic,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_exposed,2,0,2,3,1,1.0,0.0,1.1313,0.0
potentially_explosive,21,0,21,22,1,1.0,0.0,1.1313,0.0
potentially_expensive,1,0,1,2,1,1.0,0.0,1.1313,0.0
potentially_fatal,10,0,10,11,1,1.0,0.0,1.1313,0.0
wholly_able,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_rebellious,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_resounding,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_massive,7,0,7,8,1,1.0,0.0,1.1313,0.0
pretty_ready,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_reluctant,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_reliable,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_relaxing,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_reflective,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_red-blooded,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_remarkable,23,0,23,24,1,1.0,0.0,1.1313,0.0
pretty_reckless,1,0,1,2,1,1.0,0.0,1.1313,0.0
well_aware,838,0,838,839,1,1.0,0.0,1.1313,0.0
pretty_recent,1,0,1,2,1,1.0,0.0,1.1313,0.0
well_attuned,3,0,3,4,1,1.0,0.0,1.1313,0.0
pretty_resolute,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_rocky,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_robust,4,0,4,5,1,1.0,0.0,1.1313,0.0
pretty_receptive,4,0,4,5,1,1.0,0.0,1.1313,0.0
well_advanced,11,0,11,12,1,1.0,0.0,1.1313,0.0
pretty_remote,14,0,14,15,1,1.0,0.0,1.1313,0.0
pretty_repressive,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_resigned,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_readable,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_pessimistic,4,0,4,5,1,1.0,0.0,1.1313,0.0
pretty_raw,6,0,6,7,1,1.0,0.0,1.1313,0.0
too_lively,2,0,2,3,1,1.0,0.0,1.1313,0.0
too_literate,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_mass-market,2,0,2,3,1,1.0,0.0,1.1313,0.0
too_masculine,3,0,3,4,1,1.0,0.0,1.1313,0.0
too_marvelous,1,0,1,2,1,1.0,0.0,1.1313,0.0
very_discretionary,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_marginal,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_many-sided,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_litigious,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_mannered,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_mean-spirited,3,0,3,4,1,1.0,0.0,1.1313,0.0
too_loyal,7,0,7,8,1,1.0,0.0,1.1313,0.0
too_low-scoring,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_limiting,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_limp,2,0,2,3,1,1.0,0.0,1.1313,0.0
too_limpid,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_masklike,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_peripheral,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_persuasive,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_resourceful,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_pruney,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_proud,28,0,28,29,1,1.0,0.0,1.1313,0.0
well_call-protected,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_radical,4,0,4,5,1,1.0,0.0,1.1313,0.0
well_blended,3,0,3,4,1,1.0,0.0,1.1313,0.0
well_behaved,9,0,9,10,1,1.0,0.0,1.1313,0.0
pretty_real-to-life,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_real,3,0,3,4,1,1.0,0.0,1.1313,0.0
pretty_punitive,1,0,1,2,1,1.0,0.0,1.1313,0.0
well_capitalized,7,0,7,8,1,1.0,0.0,1.1313,0.0
pretty_quaint,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_quick,17,0,17,18,1,1.0,0.0,1.1313,0.0
pretty_resilient,9,0,9,10,1,1.0,0.0,1.1313,0.0
pretty_ripe,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_ridiculous,7,0,7,8,1,1.0,0.0,1.1313,0.0
pretty_rich,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_rested,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_respectable,9,0,9,10,1,1.0,0.0,1.1313,0.0
pretty_racy,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_psyched,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_personal,4,0,4,5,1,1.0,0.0,1.1313,0.0
pretty_public,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_persistent,3,0,3,4,1,1.0,0.0,1.1313,0.0
pretty_perplexing,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_representative,4,0,4,5,1,1.0,0.0,1.1313,0.0
pretty_perplexed,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_pervasive,3,0,3,4,1,1.0,0.0,1.1313,0.0
pretty_prosaic,1,0,1,2,1,1.0,0.0,1.1313,0.0
well_certain,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_protective,3,0,3,4,1,1.0,0.0,1.1313,0.0
pretty_reserved,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_republican,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_permanent,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_risque,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_risky,6,0,6,7,1,1.0,0.0,1.1313,0.0
pretty_risk-free,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_purposeful,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_punchy,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_pumped,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_significant,23,0,23,24,1,1.0,0.0,1.1313,0.0
pretty_potent,5,0,5,6,1,1.0,0.0,1.1313,0.0
practically_naked,3,0,3,4,1,1.0,0.0,1.1313,0.0
too_loosey-goosey,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_myopic,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_muted,4,0,4,5,1,1.0,0.0,1.1313,0.0
too_mournful,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_musical,2,0,2,3,1,1.0,0.0,1.1313,0.0
too_monochromatic,2,0,2,3,1,1.0,0.0,1.1313,0.0
too_moist,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_loutish,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_lopsided,3,0,3,4,1,1.0,0.0,1.1313,0.0
too_loose-lipped,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_shrewd,3,0,3,4,1,1.0,0.0,1.1313,0.0
too_loose,29,0,29,30,1,1.0,0.0,1.1313,0.0
very_disengaged,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_momentous,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_lovely,4,0,4,5,1,1.0,0.0,1.1313,0.0
too_meaningful,2,0,2,3,1,1.0,0.0,1.1313,0.0
very_discrete,2,0,2,3,1,1.0,0.0,1.1313,0.0
too_mixed,3,0,3,4,1,1.0,0.0,1.1313,0.0
too_moderate,23,0,23,24,1,1.0,0.0,1.1313,0.0
too_mystifying,2,0,2,3,1,1.0,0.0,1.1313,0.0
too_nagging,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_narcisstic,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_mouthy,4,0,4,5,1,1.0,0.0,1.1313,0.0
too_indisposed,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_indistinct,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_individual,4,0,4,5,1,1.0,0.0,1.1313,0.0
too_individualistic,3,0,3,4,1,1.0,0.0,1.1313,0.0
too_indulged,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_injured,9,0,9,10,1,1.0,0.0,1.1313,0.0
too_influential,2,0,2,3,1,1.0,0.0,1.1313,0.0
too_mind-boggling,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_mindful,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_monumental,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_moody,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_moral,2,0,2,3,1,1.0,0.0,1.1313,0.0
too_moralizing,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_morose,4,0,4,5,1,1.0,0.0,1.1313,0.0
too_mortified,2,0,2,3,1,1.0,0.0,1.1313,0.0
too_monotonous,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_motivated,2,0,2,3,1,1.0,0.0,1.1313,0.0
too_modern,5,0,5,6,1,1.0,0.0,1.1313,0.0
too_modest,33,0,33,34,1,1.0,0.0,1.1313,0.0
too_meandering,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_menacing,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_multifaceted,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_multicultural,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_muddy-tasting,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_muddy,2,0,2,3,1,1.0,0.0,1.1313,0.0
too_murky,8,0,8,9,1,1.0,0.0,1.1313,0.0
too_metaphorical,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_misleading,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_miserable,3,0,3,4,1,1.0,0.0,1.1313,0.0
very_discouraging,33,0,33,34,1,1.0,0.0,1.1313,0.0
too_mesmerizing,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_mercurial,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_merciful,1,0,1,2,1,1.0,0.0,1.1313,0.0
very_discreet,14,0,14,15,1,1.0,0.0,1.1313,0.0
too_miserly,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_inflated,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_inflammatory,5,0,5,6,1,1.0,0.0,1.1313,0.0
too_infirm,3,0,3,4,1,1.0,0.0,1.1313,0.0
too_multiple-personalitied,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_melodramatic,2,0,2,3,1,1.0,0.0,1.1313,0.0
too_methodical,1,0,1,2,1,1.0,0.0,1.1313,0.0
