colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,positive_plus1,negative_plus1,positive_ratio,negative_ratio,positive_skew,negative_skew
overly_trendy,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_wordy,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overtly_aggressive,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overtly_ambitious,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overtly_bad,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overtly_commercial,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overtly_religious,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
overtly_hawkish,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overtly_ideological,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overtly_illegal,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overtly_imitative,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overtly_offensive,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
overtly_preachy,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overtly_racist,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
particularly_loaded,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_mild-mannered,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_successful,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_evil,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_earnings-enhansive,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_experienced,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
obviously_federal,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_empty,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
obviously_exploitative,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_entertaining,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
particularly_erotic,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_euphoric,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_extravagant,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_forthcoming,0,3,3,-0.1369,0.208,1,4,0.0,1.0,0.0,8.6144
particularly_flamboyant,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
particularly_eye-catching,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_faithful,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_fast,0,5,5,-0.1369,0.3807,1,6,0.0,1.0,0.0,8.6144
particularly_fat,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_feminine,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
particularly_finicky,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_firm,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_flattering,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_inclined,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
