colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
increasingly_important,0,59,59,-0.03348,1.89447,0.61735,0.0,1.0,0.0,1.67505,1,60
all_different,0,58,58,-0.03348,1.8602,0.60565,0.0,1.0,0.0,1.67505,1,59
roughly_equal,0,58,58,-0.03348,1.8602,0.60565,0.0,1.0,0.0,1.67505,1,59
mostly_sunny,0,57,57,-0.03348,1.82593,0.59396,0.0,1.0,0.0,1.67505,1,58
predominantly_black,0,57,57,-0.03348,1.82593,0.59396,0.0,1.0,0.0,1.67505,1,58
relatively_weak,0,57,57,-0.03348,1.82593,0.59396,0.0,1.0,0.0,1.67505,1,58
still_reluctant,0,57,57,-0.03348,1.82593,0.59396,0.0,1.0,0.0,1.67505,1,58
very_troubling,0,57,57,-0.03348,1.82593,0.59396,0.0,1.0,0.0,1.67505,1,58
almost_complete,0,56,56,-0.03348,1.79166,0.58226,0.0,1.0,0.0,1.67505,1,57
certainly_possible,0,56,56,-0.03348,1.79166,0.58226,0.0,1.0,0.0,1.67505,1,57
still_close,0,56,56,-0.03348,1.79166,0.58226,0.0,1.0,0.0,1.67505,1,57
highly_sensitive,0,55,55,-0.03348,1.75739,0.57056,0.0,1.0,0.0,1.67505,1,56
pretty_consistent,0,55,55,-0.03348,1.75739,0.57056,0.0,1.0,0.0,1.67505,1,56
well_short,0,55,55,-0.03348,1.75739,0.57056,0.0,1.0,0.0,1.67505,1,56
fairly_obvious,0,54,54,-0.03348,1.72312,0.55886,0.0,1.0,0.0,1.67505,1,55
largely_absent,0,54,54,-0.03348,1.72312,0.55886,0.0,1.0,0.0,1.67505,1,55
quite_remarkable,0,54,54,-0.03348,1.72312,0.55886,0.0,1.0,0.0,1.67505,1,55
still_new,0,54,54,-0.03348,1.72312,0.55886,0.0,1.0,0.0,1.67505,1,55
very_confusing,0,54,54,-0.03348,1.72312,0.55886,0.0,1.0,0.0,1.67505,1,55
almost_invisible,0,53,53,-0.03348,1.68885,0.54716,0.0,1.0,0.0,1.67505,1,54
already_high,0,53,53,-0.03348,1.68885,0.54716,0.0,1.0,0.0,1.67505,1,54
pretty_low,0,53,53,-0.03348,1.68885,0.54716,0.0,1.0,0.0,1.67505,1,54
pretty_neat,0,53,53,-0.03348,1.68885,0.54716,0.0,1.0,0.0,1.67505,1,54
relatively_unknown,0,53,53,-0.03348,1.68885,0.54716,0.0,1.0,0.0,1.67505,1,54
still_nervous,0,53,53,-0.03348,1.68885,0.54716,0.0,1.0,0.0,1.67505,1,54
still_positive,0,53,53,-0.03348,1.68885,0.54716,0.0,1.0,0.0,1.67505,1,54
very_negative,0,53,53,-0.03348,1.68885,0.54716,0.0,1.0,0.0,1.67505,1,54
very_slim,0,53,53,-0.03348,1.68885,0.54716,0.0,1.0,0.0,1.67505,1,54
just_grateful,0,52,52,-0.03348,1.65459,0.53546,0.0,1.0,0.0,1.67505,1,53
longer_willing,0,52,52,-0.03348,1.65459,0.53546,0.0,1.0,0.0,1.67505,1,53
decidedly_mixed,0,51,51,-0.03348,1.62032,0.52376,0.0,1.0,0.0,1.67505,1,52
essentially_unchanged,0,51,51,-0.03348,1.62032,0.52376,0.0,1.0,0.0,1.67505,1,52
probably_safe,0,51,51,-0.03348,1.62032,0.52376,0.0,1.0,0.0,1.67505,1,52
quite_obvious,0,51,51,-0.03348,1.62032,0.52376,0.0,1.0,0.0,1.67505,1,52
very_uncomfortable,0,51,51,-0.03348,1.62032,0.52376,0.0,1.0,0.0,1.67505,1,52
absolutely_false,0,50,50,-0.03348,1.58605,0.51207,0.0,1.0,0.0,1.67505,1,51
also_quick,0,50,50,-0.03348,1.58605,0.51207,0.0,1.0,0.0,1.67505,1,51
extremely_proud,0,50,50,-0.03348,1.58605,0.51207,0.0,1.0,0.0,1.67505,1,51
no_fool,0,50,50,-0.03348,1.58605,0.51207,0.0,1.0,0.0,1.67505,1,51
often_reluctant,0,50,50,-0.03348,1.58605,0.51207,0.0,1.0,0.0,1.67505,1,51
also_wary,0,49,49,-0.03348,1.55178,0.50037,0.0,1.0,0.0,1.67505,1,50
pretty_upset,0,49,49,-0.03348,1.55178,0.50037,0.0,1.0,0.0,1.67505,1,50
relatively_young,0,49,49,-0.03348,1.55178,0.50037,0.0,1.0,0.0,1.67505,1,50
somewhat_surprising,0,49,49,-0.03348,1.55178,0.50037,0.0,1.0,0.0,1.67505,1,50
still_wary,0,49,49,-0.03348,1.55178,0.50037,0.0,1.0,0.0,1.67505,1,50
very_unfair,0,49,49,-0.03348,1.55178,0.50037,0.0,1.0,0.0,1.67505,1,50
