colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
as_safe,180,88,268,1.08981,1.2492,1.38207,0.67164,0.32836,1.5676,0.57451,181,89
cautiously_optimistic,4,263,267,-0.03795,4.17321,1.37643,0.01498,0.98502,0.03497,1.72343,5,264
immediately_apparent,221,46,267,1.35253,0.54744,1.37643,0.82772,0.17228,1.93187,0.30144,222,47
too_important,44,223,267,0.21836,3.50486,1.37643,0.16479,0.83521,0.38463,1.46131,45,224
now_worth,1,265,266,-0.05717,4.20663,1.37078,0.00376,0.99624,0.00877,1.74306,2,266
immediately_able,263,2,265,1.62165,-0.18774,1.36514,0.99245,0.00755,2.31636,0.0132,264,3
so_severe,62,203,265,0.3337,3.17069,1.36514,0.23396,0.76604,0.54606,1.34029,63,204
always_right,162,102,264,0.97447,1.48312,1.35949,0.61364,0.38636,1.43221,0.676,163,103
that_surprising,259,2,261,1.59602,-0.18774,1.34256,0.99234,0.00766,2.31609,0.01341,260,3
as_comfortable,183,77,260,1.10903,1.06541,1.33692,0.70385,0.29615,1.64276,0.51816,184,78
really_excited,35,224,259,0.16069,3.52157,1.33127,0.13514,0.86486,0.3154,1.5132,36,225
as_smart,193,66,259,1.17311,0.88161,1.33127,0.74517,0.25483,1.73922,0.44585,194,67
only_natural,4,254,258,-0.03795,4.02283,1.32563,0.0155,0.9845,0.03619,1.72251,5,255
entirely_sure,257,1,258,1.5832,-0.20445,1.32563,0.99612,0.00388,2.32493,0.00678,258,2
as_dangerous,169,88,257,1.01933,1.2492,1.31998,0.65759,0.34241,1.53479,0.5991,170,89
so_nice,94,162,256,0.53875,2.48564,1.31434,0.36719,0.63281,0.85701,1.10719,95,163
very_frustrating,3,253,256,-0.04436,4.00612,1.31434,0.01172,0.98828,0.02735,1.72913,4,254
too_little,22,233,255,0.07739,3.67195,1.30869,0.08627,0.91373,0.20136,1.59869,23,234
statistically_significant,226,29,255,1.38457,0.26339,1.30869,0.88627,0.11373,2.06854,0.19898,227,30
largely_responsible,1,254,255,-0.05717,4.02283,1.30869,0.00392,0.99608,0.00915,1.74278,2,255
very_encouraging,104,151,255,0.60282,2.30184,1.30869,0.40784,0.59216,0.9519,1.03606,105,152
very_attractive,69,185,254,0.37855,2.86994,1.30305,0.27165,0.72835,0.63403,1.27434,70,186
particularly_strong,64,188,252,0.34652,2.92006,1.29176,0.25397,0.74603,0.59276,1.30529,65,189
so_upset,25,226,251,0.09661,3.55499,1.28611,0.0996,0.9004,0.23247,1.57537,26,227
too_quick,74,177,251,0.41059,2.73627,1.28611,0.29482,0.70518,0.6881,1.23381,75,178
still_open,5,246,251,-0.03154,3.88916,1.28611,0.01992,0.98008,0.04649,1.71478,6,247
yet_sure,250,0,250,1.53835,-0.22116,1.28047,1.0,0.0,2.33398,0.0,251,1
as_funny,183,67,250,1.10903,0.89832,1.28047,0.732,0.268,1.70847,0.4689,184,68
just_right,32,218,250,0.14147,3.42132,1.28047,0.128,0.872,0.29875,1.52568,33,219
particularly_true,1,249,250,-0.05717,3.93929,1.28047,0.004,0.996,0.00934,1.74264,2,250
very_fortunate,5,243,248,-0.03154,3.83904,1.26918,0.02016,0.97984,0.04706,1.71436,6,244
particularly_good,155,93,248,0.92962,1.33274,1.26918,0.625,0.375,1.45874,0.65611,156,94
very_lucky,29,219,248,0.12225,3.43803,1.26918,0.11694,0.88306,0.27292,1.54504,30,220
so_obvious,136,111,247,0.80787,1.6335,1.26353,0.55061,0.44939,1.28511,0.78627,137,112
so_new,40,206,246,0.19273,3.22082,1.25789,0.1626,0.8374,0.37951,1.46514,41,207
still_available,21,225,246,0.07098,3.53828,1.25789,0.08537,0.91463,0.19924,1.60028,22,226
as_optimistic,218,27,245,1.3333,0.22998,1.25224,0.8898,0.1102,2.07676,0.19282,219,28
very_sensitive,13,231,244,0.01972,3.63853,1.2466,0.05328,0.94672,0.12435,1.65642,14,232
very_dangerous,33,210,243,0.14788,3.28765,1.24095,0.1358,0.8642,0.31696,1.51203,34,211
so_impressed,43,199,242,0.21195,3.10386,1.23531,0.17769,0.82231,0.41472,1.43875,44,200
so_funny,139,100,239,0.82709,1.44971,1.21838,0.58159,0.41841,1.35742,0.73207,140,101
very_bad,24,215,239,0.09021,3.37119,1.21838,0.10042,0.89958,0.23437,1.57394,25,216
very_active,58,179,237,0.30807,2.76969,1.20709,0.24473,0.75527,0.57118,1.32146,59,180
very_simple,9,228,237,-0.00591,3.58841,1.20709,0.03797,0.96203,0.08863,1.6832,10,229
so_worried,129,107,236,0.76302,1.56667,1.20144,0.54661,0.45339,1.27578,0.79327,130,108
that_strong,209,26,235,1.27563,0.21327,1.1958,0.88936,0.11064,2.07575,0.19358,210,27
so_powerful,20,214,234,0.06458,3.35449,1.19015,0.08547,0.91453,0.19949,1.6001,21,215
highly_unusual,8,226,234,-0.01232,3.55499,1.19015,0.03419,0.96581,0.07979,1.68982,9,227
real_good,98,135,233,0.56438,2.03451,1.18451,0.4206,0.5794,0.98167,1.01374,99,136
very_sad,7,225,232,-0.01872,3.53828,1.17886,0.03017,0.96983,0.07042,1.69685,8,226
totally_different,4,228,232,-0.03795,3.58841,1.17886,0.01724,0.98276,0.04024,1.71947,5,229
much_interested,186,45,231,1.12826,0.53073,1.17322,0.80519,0.19481,1.87931,0.34084,187,46
as_smooth,166,63,229,1.0001,0.83149,1.16193,0.72489,0.27511,1.69188,0.48134,167,64
real_happy,141,87,228,0.83991,1.23249,1.15628,0.61842,0.38158,1.44338,0.66762,142,88
necessarily_bad,223,5,228,1.36534,-0.13761,1.15628,0.97807,0.02193,2.28279,0.03837,224,6
that_close,176,52,228,1.06418,0.64769,1.15628,0.77193,0.22807,1.80167,0.39904,177,53
so_certain,172,50,222,1.03855,0.61427,1.12241,0.77477,0.22523,1.80831,0.39406,173,51
relatively_easy,3,216,219,-0.04436,3.3879,1.10548,0.0137,0.9863,0.03197,1.72567,4,217
so_tired,23,195,218,0.0838,3.03702,1.09984,0.1055,0.8945,0.24625,1.56504,24,196
seriously_ill,78,140,218,0.43622,2.11805,1.09984,0.3578,0.6422,0.83509,1.12362,79,141
too_tired,48,170,218,0.24399,2.61931,1.09984,0.22018,0.77982,0.5139,1.3644,49,171
necessarily_true,210,5,215,1.28204,-0.13761,1.0829,0.97674,0.02326,2.2797,0.04069,211,6
pretty_hard,2,213,215,-0.05076,3.33778,1.0829,0.0093,0.9907,0.02171,1.73336,3,214
yet_certain,214,0,214,1.30767,-0.22116,1.07726,1.0,0.0,2.33398,0.0,215,1
as_significant,162,52,214,0.97447,0.64769,1.07726,0.75701,0.24299,1.76684,0.42515,163,53
too_tough,64,149,213,0.34652,2.26843,1.07161,0.30047,0.69953,0.70129,1.22393,65,150
really_surprised,122,91,213,0.71816,1.29933,1.07161,0.57277,0.42723,1.33683,0.7475,123,92
very_rare,10,203,213,0.0005,3.17069,1.07161,0.04695,0.95305,0.10958,1.6675,11,204
as_hot,143,69,212,0.85272,0.93174,1.06597,0.67453,0.32547,1.57433,0.56946,144,70
so_weak,35,176,211,0.16069,2.71956,1.06032,0.16588,0.83412,0.38715,1.45941,36,177
so_expensive,44,166,210,0.21836,2.55247,1.05468,0.20952,0.79048,0.48902,1.38305,45,167
so_angry,22,187,209,0.07739,2.90335,1.04903,0.10526,0.89474,0.24568,1.56547,23,188
pretty_close,3,204,207,-0.04436,3.1874,1.03774,0.01449,0.98551,0.03383,1.72428,4,205
still_young,2,205,207,-0.05076,3.20411,1.03774,0.00966,0.99034,0.02255,1.73273,3,206
too_costly,24,183,207,0.09021,2.83652,1.03774,0.11594,0.88406,0.27061,1.54678,25,184
as_confident,163,42,205,0.98088,0.48061,1.02645,0.79512,0.20488,1.8558,0.35846,164,43
very_young,7,197,204,-0.01872,3.07044,1.02081,0.03431,0.96569,0.08009,1.6896,8,198
only_good,146,58,204,0.87195,0.74794,1.02081,0.71569,0.28431,1.6704,0.49745,147,59
overly_optimistic,88,116,204,0.5003,1.71704,1.02081,0.43137,0.56863,1.00681,0.99489,89,117
