key,index,l1,l2,f,E11,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,f1,f2,N
most~senior,77,most,senior,16720,2489.271357,45634.43225,45634.43225,1.1960802,0.0044021993,110.0548,0.51971126,0.0020681298,0.61041945,0.0022090652,0.5195403,0.00188018,7568812,27391,83284343
much~faster,78,much,faster,32589,1431.977378,162542.96876,162542.96876,1.6936613,0.031844523,172.5919,0.5194072,0.016065827,0.5428876,0.016403353,0.51903284,0.015682582,1986728,60029,83284343
much~earlier,79,much,earlier,2416,106.177536,12014.5227,12014.5227,1.6869726,0.002426703,46.992672,0.51897234,0.0011910384,0.54279935,0.0012160698,0.5189446,0.0011626264,1986728,4451,83284343
most~celebrated,80,most,celebrated,2405,359.427119,6534.9361,6534.9361,1.1910199,0.0006351707,41.711655,0.5172364,0.00029728,0.608091,0.0003177513,0.51721185,0.0002702634,7568812,3955,83284343
really~like,81,really,like,4010,186.868536,19467.01272,19467.01272,1.6586478,0.003812726,60.373596,0.51494575,0.0018710532,0.5400673,0.0019131158,0.51489985,0.0018239635,2096057,7425,83284343
most~striking,82,most,striking,10029,1504.959062,27146.1126,27146.1126,1.186962,0.0026443,85.11708,0.5148391,0.0012387857,0.6056159,0.0013250428,0.5147368,0.0011262059,7568812,16560,83284343
most~prominent,83,most,prominent,64329,9696.534845,173698.60129,173698.60129,1.1849881,0.016762145,215.40085,0.51269054,0.007939653,0.6029129,0.00849922,0.51203376,0.007218103,7568812,106697,83284343
very~few,84,very,few,170268,32320.173921,393963.50266,393963.50266,1.1019226,0.033435185,334.3092,0.5097064,0.015795387,0.62707573,0.017175484,0.5080446,0.0139152445,9913432,271527,83284343
not~sufficient,85,not,sufficient,18285,1728.047068,64337.96132,64337.96132,1.3601623,0.008220976,122.44271,0.50820553,0.0039594234,0.5610272,0.0041408264,0.50800663,0.0037494926,4415785,32592,83284343
not~sure,86,not,sure,467213,44752.877282,1669603.16224,1669603.16224,1.3917265,0.17765257,618.05664,0.5056305,0.10102695,0.55352664,0.105805196,0.50050604,0.09567045,4415785,844066,83284343
more~potential,87,more,potential,4588,832.668124,10868.86892,10868.86892,1.1061963,0.000983659,55.44171,0.504794,0.0004536624,0.6166667,0.000492222,0.5047489,0.0004028895,9320997,7440,83284343
more~circumspect,88,more,circumspect,2179,396.97229,5138.99725,5138.99725,1.1017598,0.0004673687,38.1756,0.5024256,0.0002152776,0.61432195,0.0002337733,0.5024042,0.0001911842,9320997,3547,83284343
more~akin,89,more,akin,9112,1664.328989,21431.14622,21431.14622,1.0991979,0.0019520413,78.02138,0.5009079,0.0008997149,0.6127362,0.0009775778,0.50081843,0.0007990209,9320997,14871,83284343
even~scarier,90,even,scarier,2070,54.21843,12309.80499,12309.80499,1.8896644,0.003682501,44.30557,0.50009406,0.0018240092,0.51352024,0.0018478761,0.50006986,0.0017994756,1120205,4031,83284343
too~early,91,too,early,64485,5101.080729,247718.34659,247718.34659,1.4276978,0.035076097,233.85115,0.49797103,0.017437723,0.53997135,0.018126799,0.49725696,0.01669288,3557440,119423,83284343
much~wider,92,much,wider,12988,594.222067,63208.51785,63208.51785,1.6519158,0.01291286,108.750824,0.49769112,0.0063907355,0.52139705,0.006537382,0.49754226,0.0062382864,1986728,24910,83284343
much~quieter,93,much,quieter,2914,133.491236,14157.49062,14157.49062,1.6485868,0.002925227,51.50857,0.4969077,0.0014337433,0.52072906,0.0014667332,0.49687433,0.0013995417,1986728,5596,83284343
much~larger,94,much,larger,78367,3608.557229,382455.71578,382455.71578,1.6604033,0.0733087,267.05066,0.49509808,0.038548492,0.5180536,0.03944526,0.4941988,0.037628926,1986728,151272,83284343
more~general,95,more,general,19716,3650.757287,45662.25099,45662.25099,1.0844866,0.0042156954,114.413666,0.49268967,0.0019407596,0.60441446,0.0021152245,0.4924967,0.0017235541,9320997,32620,83284343
most~favorite,96,most,favorite,7573,1184.882624,19638.63992,19638.63992,1.1422274,0.0019976655,73.40724,0.49003816,0.0009283753,0.58084065,0.0010005533,0.48996145,0.0008440053,7568812,13038,83284343
much~cleaner,97,much,cleaner,2982,138.953976,14349.74612,14349.74612,1.6333036,0.002993145,52.063107,0.48811072,0.0014659901,0.51193136,0.0015009604,0.48807657,0.0014310193,1986728,5825,83284343
still~unclear,98,still,unclear,14734,296.712926,95092.52057,95092.52057,1.9959793,0.034271013,118.93927,0.48513433,0.017567698,0.4949278,0.017750053,0.48496094,0.017392604,830082,29770,83284343
politically~expedient,99,politically,expedient,2092,6.818058,21052.81937,21052.81937,2.7818596,0.030738035,45.58932,0.48405057,0.01584468,0.48560816,0.01587133,0.4840255,0.015819604,131810,4308,83284343
most~current,100,most,current,17843,2821.707362,45784.37933,45784.37933,1.1317989,0.004695612,112.4536,0.48397356,0.0021830213,0.5746723,0.0023574373,0.4837931,0.0019846302,7568812,31049,83284343
so~many,101,so,many,1191864,152233.89897,3693491.55442,3693491.55442,1.2946388,0.2999777,952.2818,0.48316172,0.19465388,0.53921056,0.20778792,0.4703385,0.18124767,5735964,2210387,83284343
not~privy,102,not,privy,2225,220.035448,7549.26913,7549.26913,1.3149883,0.0010068021,42.505165,0.48314807,0.0004794665,0.53614455,0.0005038742,0.483124,0.0004540449,4415785,4150,83284343
heavily~armed,103,heavily,armed,8567,8.642195,108060.69087,108060.69087,3.3850636,0.2939592,92.46472,0.4819923,0.2112795,0.48237613,0.21138994,0.48188952,0.2111767,40527,17760,83284343
more~upscale,104,more,upscale,3798,720.414612,8549.0134,8549.0134,1.0578061,0.0008143719,49.93817,0.4781456,0.0003717873,0.59002644,0.0004074671,0.47810864,0.0003301777,9320997,6437,83284343
more~substantive,105,more,substantive,3104,591.70919,6946.35331,6946.35331,1.0525244,0.0006656456,45.09299,0.47521284,0.000303497,0.58710045,0.0003330116,0.47518268,0.0002695303,9320997,5287,83284343
very~particular,106,very,particular,9563,1920.805837,20566.39984,20566.39984,1.0324342,0.0019261662,78.14856,0.47367388,0.0008750512,0.5926132,0.0009646508,0.4735821,0.0007708929,9913432,16137,83284343
much~clearer,107,much,clearer,6629,318.079368,31388.77375,31388.77375,1.6084046,0.0066287946,77.511955,0.47337118,0.0032541673,0.49715015,0.003336642,0.4732954,0.00317654,1986728,13334,83284343
most~favourite,108,most,favourite,2135,343.886781,5371.96367,5371.96367,1.1124176,0.0005638753,38.7636,0.4733601,0.0002602997,0.56421775,0.0002820786,0.47333857,0.0002366439,7568812,3784,83284343
highly~flammable,109,highly,flammable,2124,40.490117,13866.1916,13866.1916,2.0024552,0.0055222474,45.208313,0.47258338,0.0027493502,0.4817419,0.0027770405,0.47255838,0.0027241013,764843,4409,83284343
much~smaller,110,much,smaller,49413,2385.380564,234174.36019,234174.36019,1.6124439,0.047359403,211.55943,0.47086036,0.024249353,0.49414977,0.024871547,0.470295,0.02367089,1986728,99996,83284343
more~assertive,111,more,assertive,6420,1233.669454,14235.16083,14235.16083,1.0443071,0.0013759079,64.72807,0.4705631,0.000626534,0.58241856,0.0006887675,0.47050083,0.0005564137,9320997,11023,83284343
more~subdued,112,more,subdued,4646,897.80426,10233.54945,10233.54945,1.0384101,0.0009960318,54.989864,0.46728456,0.0004528003,0.5791573,0.0004984445,0.46723956,0.0004021239,9320997,8022,83284343
more~sinister,113,more,sinister,10141,1960.351461,22332.46486,22332.46486,1.0382943,0.0021718661,81.23578,0.46713686,0.0009882622,0.57895637,0.0010879737,0.46703863,0.0008776581,9320997,17516,83284343
even~rarer,114,even,rarer,2433,68.12611,14028.95923,14028.95923,1.832178,0.0043242956,47.944294,0.4669334,0.0021398903,0.48035538,0.0021719239,0.46690503,0.002111108,1120205,5065,83284343
much~younger,115,much,younger,14484,706.983517,67977.15881,67977.15881,1.5954267,0.014366447,114.47507,0.46502414,0.00710399,0.48871344,0.007290379,0.46485868,0.006934526,1986728,29637,83284343
not~mandatory,116,not,mandatory,6310,646.904218,20815.63282,20815.63282,1.2823224,0.0028500543,71.29174,0.46421814,0.0013542706,0.5171707,0.0014289645,0.46415013,0.0012824663,4415785,12201,83284343
highly~skilled,117,highly,skilled,35460,689.636047,231120.42015,231120.42015,2.0050526,0.0844348,184.64598,0.46343622,0.045882147,0.47220188,0.046362456,0.46301836,0.045460787,764843,75095,83284343
more~moderate,118,more,moderate,17366,3396.032469,37738.15962,37738.15962,1.0267756,0.0037141198,106.009674,0.46055427,0.0016876401,0.57230425,0.0018631055,0.46038648,0.0014987632,9320997,30344,83284343
most~fervent,119,most,fervent,2171,357.973052,5331.15852,5331.15852,1.0894264,0.0005733716,38.911175,0.4602977,0.0002634844,0.5511551,0.000286835,0.46027595,0.0002395392,7568812,3939,83284343
more~inclusive,120,more,inclusive,18213,3574.653212,39410.96855,39410.96855,1.0231249,0.0038946054,108.46791,0.4584835,0.0017683835,0.5702254,0.0019539755,0.45830765,0.00157047,9320997,31940,83284343
much~happier,121,much,happier,9333,463.283291,43365.80863,43365.80863,1.5801483,0.009304394,91.81193,0.45681405,0.0045735864,0.48056227,0.004697674,0.4567075,0.0044644848,1986728,19421,83284343
most~cost,122,most,cost,3231,538.549964,7845.29113,7845.29113,1.079092,0.0008530988,47.36736,0.4543776,0.0003912896,0.5452244,0.0004268834,0.45434526,0.0003557295,7568812,5926,83284343
most~other,123,most,other,14940,2496.723449,36195.17797,36195.17797,1.0772362,0.003933502,101.802734,0.45307693,0.0018083622,0.5438067,0.0019738898,0.45292747,0.0016440199,7568812,27473,83284343
very~worst,124,very,worst,4931,1035.452065,10043.36013,10043.36013,0.98630416,0.0009939397,55.47548,0.4478624,0.0004460504,0.5668468,0.0004974059,0.4478156,0.0003929565,9913432,8699,83284343
most~major,125,most,major,15171,2568.154477,36262.39332,36262.39332,1.0650922,0.0039939075,102.32023,0.4461277,0.0018315521,0.5368555,0.0020044097,0.44597635,0.0016651022,7568812,28259,83284343
more~conventional,126,more,conventional,12706,2552.172568,26747.45826,26747.45826,0.99985635,0.002719664,90.07938,0.44538715,0.0012266318,0.55718297,0.0013631589,0.4452652,0.0010893499,9320997,22804,83284343
most~memorable,127,most,memorable,44678,7590.773588,106514.43069,106514.43069,1.0632299,0.011676954,175.45975,0.4444659,0.0053898296,0.5348993,0.005902908,0.44402015,0.004900006,7568812,83526,83284343
previously~unseen,128,previously,unseen,3227,6.438667,35518.77925,35518.77925,2.9719975,0.08002579,56.693348,0.44048744,0.043953255,0.44132933,0.044002347,0.44044876,0.04391455,73337,7312,83284343
more~efficient,129,more,efficient,140172,28498.402312,292237.09571,292237.09571,0.9934504,0.029276809,298.27707,0.43990496,0.013490715,0.55047774,0.015038306,0.43855998,0.011980864,9320997,254637,83284343
much~healthier,130,much,healthier,6442,333.465688,29221.74071,29221.74071,1.5451366,0.0064397235,76.10736,0.4370527,0.0031498086,0.46083412,0.0032425174,0.43697935,0.0030746707,1986728,13979,83284343
more~balanced,131,more,balanced,8812,1799.525641,18185.85619,18185.85619,0.9836364,0.0018875288,74.70231,0.43621048,0.0008471411,0.548044,0.0009453924,0.43612626,0.0007523309,9320997,16079,83284343
directly~proportional,132,directly,proportional,2905,4.224902,33821.77579,33821.77579,3.110519,0.097647056,53.819664,0.43565205,0.054931145,0.4362517,0.05497625,0.43561724,0.054896295,52841,6659,83284343
sexually~explicit,133,sexually,explicit,13106,20.17717,153677.95487,153677.95487,3.176067,0.30533037,114.30519,0.43353432,0.23528962,0.43404537,0.23549494,0.43337715,0.23513238,55653,30195,83284343
more~muted,134,more,muted,2259,464.011027,4628.55428,4628.55428,0.9777737,0.0004844966,37.76623,0.43296632,0.0002168434,0.5448625,0.000242356,0.43294474,0.0001925748,9320997,4146,83284343
fully~automatic,135,fully,automatic,5178,32.564218,44971.88179,44971.88179,2.4584517,0.04315863,71.505775,0.43274224,0.022623714,0.43541875,0.022704551,0.43268043,0.022561764,228060,11892,83284343
