key,index,l1,l2,f,E11,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
almost~daily,52,almost,daily,6972,56.705767,59006.41052,59006.41052,2.5169883,0.032248367,82.81938,0.6168042,0.016502272,0.6217783,0.016553454,0.61672115,0.016418818,6915.29423,421181,11213,83284343
even~weirder,53,even,weirder,2012,43.296732,13115.5878,13115.5878,2.0880077,0.0035819067,43.89007,0.6116121,0.0017814097,0.6250388,0.0017960998,0.6115885,0.0017574491,1968.70327,1120205,3219,83284343
most~eminent,54,most,eminent,2559,331.072818,8045.82362,8045.82362,1.3732234,0.0006758706,44.04188,0.6115906,0.0003237812,0.70244306,0.000338098,0.61156386,0.0002943563,2227.92718,7568812,3643,83284343
not~guilty,55,not,guilty,50838,4075.162544,203597.65079,203597.65079,1.5476253,0.022631656,207.39899,0.6089778,0.011182847,0.6614364,0.011512789,0.6084158,0.0105899265,46762.83746,4415785,76860,83284343
much~smoother,56,much,smoother,4624,174.449859,25068.65126,25068.65126,1.8483301,0.0046378183,65.43456,0.6084973,0.0022943688,0.63229865,0.002327445,0.6084439,0.0022396373,4449.55014,1986728,7313,83284343
fully~operational,57,fully,operational,10760,48.621784,103716.72599,103716.72599,2.7692268,0.08754516,103.26169,0.60338265,0.047096334,0.6059923,0.047180567,0.603254,0.04696737,10711.37822,228060,17756,83284343
very~best,58,very,best,150096,24793.952673,408688.52441,408688.52441,1.28701,0.02965817,323.42502,0.6030601,0.014347413,0.720583,0.015140669,0.60155183,0.012639623,125302.04733,9913432,208298,83284343
most~consecutive,59,most,consecutive,1682,222.017813,5182.17589,5182.17589,1.3445345,0.0004443121,35.598736,0.5976361,0.000212177,0.6884977,0.0002222277,0.5976186,0.0001928945,1459.98219,7568812,2443,83284343
most~famous,60,most,famous,165181,21974.401647,507890.86648,507890.86648,1.3429339,0.04229657,352.35706,0.5939817,0.020811994,0.68313634,0.0218239,0.59225714,0.018920617,143206.59835,7568812,241798,83284343
seemingly~endless,61,seemingly,endless,16264,53.681175,167435.87305,167435.87305,2.914043,0.17133166,127.10946,0.58869785,0.10006822,0.590452,0.10020393,0.5885031,0.0998732,16210.31882,162309,27545,83284343
still~unresolved,62,still,unresolved,1938,32.352374,13516.28054,13516.28054,2.1687922,0.00465123,43.28782,0.58709854,0.0023188458,0.5970425,0.002334709,0.58707565,0.0022957341,1905.64763,830082,3246,83284343
very~least,63,very,least,84937,14359.919205,224625.35712,224625.35712,1.2492142,0.016929718,242.16714,0.58587086,0.00808126,0.7040534,0.008567871,0.5850222,0.007119339,70577.0808,9913432,120640,83284343
most~notable,64,most,notable,38695,5217.918448,116829.69964,116829.69964,1.3175956,0.010147874,170.18457,0.58346415,0.004865173,0.6739411,0.0051124273,0.5830619,0.0044230297,33477.08155,7568812,57416,83284343
much~easier,65,much,easier,142431,5654.412997,759763.06889,759763.06889,1.8214355,0.12809908,362.4178,0.57867813,0.07052757,0.6008859,0.071691245,0.5770312,0.06884515,136776.587,1986728,237035,83284343
more~manageable,66,more,manageable,13998,2282.562688,37474.96718,37474.96718,1.2402405,0.0029969837,99.02059,0.5745676,0.0014152819,0.6863447,0.0015017707,0.57442695,0.0012568868,11715.43731,9320997,20395,83284343
much~simpler,67,much,simpler,15505,620.557722,81370.69386,81370.69386,1.7841895,0.015406843,119.53544,0.57234925,0.0076750233,0.5960252,0.0078042895,0.57217044,0.0074919374,14884.44228,1986728,26014,83284343
more~nuanced,68,more,nuanced,13581,2231.863943,36038.93918,36038.93918,1.2295382,0.0029078447,97.38609,0.5692435,0.0013710309,0.68102497,0.001457033,0.56910723,0.0012175882,11349.13606,9320997,19942,83284343
much~calmer,69,much,calmer,1715,69.178804,8949.46942,8949.46942,1.7727972,0.0017239404,39.74208,0.56754434,0.0008486523,0.5913793,0.0008632284,0.56752455,0.0008284079,1645.8212,1986728,2900,83284343
openly~gay,70,openly,gay,22872,19.010466,312322.25382,312322.25382,3.8230548,0.57476723,151.10922,0.5674588,0.5818495,0.5676561,0.5820588,0.56718427,0.581575,22852.98953,39295,40292,83284343
still~alive,71,still,alive,59658,1031.508485,413989.00167,413989.00167,2.1630886,0.12780534,240.0267,0.5671772,0.07133837,0.5764392,0.07187001,0.56647235,0.07062735,58626.49151,830082,103494,83284343
almost~imperceptible,72,almost,imperceptible,1563,14.008292,12750.83197,12750.83197,2.4077113,0.0073734936,39.180466,0.5592214,0.0036964274,0.56425995,0.0037109936,0.5592028,0.0036777342,1548.99171,421181,2770,83284343
not~compulsory,73,not,compulsory,1965,170.938382,7367.09848,7367.09848,1.4453572,0.0008893397,40.47213,0.55649227,0.0004290312,0.6094913,0.0004449945,0.55647075,0.0004062837,1794.06162,4415785,3224,83284343
much~quicker,74,much,quicker,10123,419.17584,52091.30187,52091.30187,1.7473216,0.010101282,96.44691,0.55234873,0.005003686,0.57608694,0.0050953124,0.5522322,0.0048843245,9703.82416,1986728,17572,83284343
long~lasting,75,long,lasting,13366,21.439449,157180.73043,157180.73043,3.228844,0.27323556,115.42597,0.54993,0.181566,0.550653,0.18169707,0.5497697,0.18140562,13344.56055,73562,24273,83284343
more~conciliatory,76,more,conciliatory,3171,537.76483,8116.89364,8116.89364,1.1875721,0.0006800488,46.761833,0.5480514,0.0003181076,0.65993756,0.0003401997,0.5480198,0.0002825057,2633.23517,9320997,4805,83284343
more~palatable,77,more,palatable,9366,1591.134775,23931.80207,23931.80207,1.1856636,0.0020065957,80.337036,0.5469644,0.0009392416,0.6587888,0.0010048281,0.546871,0.0008341238,7774.86523,9320997,14217,83284343
visually~impaired,78,visually,impaired,1582,1.565123,19871.35835,19871.35835,3.3633006,0.06602533,39.735012,0.5459378,0.03511948,0.54645944,0.035135254,0.54591876,0.035100494,1580.43488,45026,2895,83284343
more~traditional,79,more,traditional,52081,8880.897985,132696.8547,132696.8547,1.1828018,0.0110806525,189.2976,0.5449302,0.005218783,0.65632874,0.0055874926,0.544411,0.004634708,43200.10201,9320997,79352,83284343
most~influential,80,most,influential,62866,9048.475481,177879.31272,177879.31272,1.2373163,0.016396167,214.64255,0.5411681,0.007821218,0.6314003,0.008305927,0.5405211,0.0071104323,53817.52452,7568812,99566,83284343
most~prolific,81,most,prolific,17794,2577.60591,49937.08412,49937.08412,1.2273501,0.004684373,114.07092,0.5366702,0.0022113752,0.62736666,0.0023509634,0.53648746,0.0020104072,15216.39409,7568812,28363,83284343
very~last,82,very,last,23686,4316.188911,57247.04937,57247.04937,1.14524,0.004761152,125.85762,0.5344102,0.0022178942,0.6532087,0.0023892834,0.53417754,0.0019538957,19369.81109,9913432,36261,83284343
most~glaring,83,most,glaring,4732,688.500595,13214.04395,13214.04395,1.2214972,0.0012491441,58.780735,0.5337734,0.0005876355,0.624604,0.0006251972,0.53372484,0.0005342317,4043.4994,7568812,7576,83284343
more~granular,84,more,granular,3032,528.363739,7524.48026,7524.48026,1.1537281,0.0006502448,45.468082,0.53034914,0.0003024515,0.6422368,0.0003252871,0.53031904,0.0002686018,2503.63626,9320997,4721,83284343
very~highest,85,very,highest,4703,862.499789,11274.39069,11274.39069,1.1364803,0.0009481207,56.001583,0.53006274,0.0004397473,0.64904773,0.0004744068,0.5300166,0.0003874037,3840.50021,9913432,7246,83284343
more~youthful,86,more,youthful,7644,1335.962285,18909.74289,18909.74289,1.1504229,0.0016380701,72.149605,0.52851987,0.0007620417,0.6403619,0.0008200839,0.5284442,0.0006767557,6308.03771,9320997,11937,83284343
minimally~invasive,87,minimally,invasive,16766,7.918755,254645.4425,254645.4425,4.367768,0.6383035,129.42244,0.52748346,0.80778074,0.5275313,0.80796105,0.5272822,0.80757946,16758.08125,20751,31782,83284343
personally~identifiable,88,personally,identifiable,13128,10.897141,174048.22352,174048.22352,3.5995996,0.4280893,114.482376,0.5262516,0.36051753,0.5265311,0.36065933,0.526094,0.36035997,13117.10286,36400,24933,83284343
not~only,89,not,only,2702,247.818237,9723.19662,9723.19662,1.3888996,0.0012224976,47.21327,0.52510047,0.0005868921,0.57809156,0.0006118957,0.52507097,0.0005557747,2454.18176,4415785,4674,83284343
more~pronounced,90,more,pronounced,1802,317.174928,4421.07646,4421.07646,1.1416173,0.0003865364,34.978237,0.52395046,0.0001793741,0.63585037,0.000193327,0.52393264,0.000159299,1484.82507,9320997,2834,83284343
non~existent,91,non,existent,1842,0.717145,26643.02956,26643.02956,3.7804978,0.18001465,42.901817,0.5222237,0.10872291,0.52240497,0.10874314,0.5222016,0.1087008,1841.28286,16939,3526,83284343
more~proactive,92,more,proactive,9332,1647.31749,22825.41795,22825.41795,1.1385683,0.0019992038,79.549706,0.52218497,0.0009283471,0.63401043,0.0010011805,0.5220927,0.0008244486,7684.68251,9320997,14719,83284343
easily~digestible,93,easily,digestible,3395,9.380257,35521.30714,35521.30714,2.8914118,0.05358101,58.10564,0.52106553,0.028201172,0.52246845,0.028238485,0.5210249,0.028160462,3385.61974,120226,6498,83284343
more~humane,94,more,humane,7354,1302.946546,17910.52115,17910.52115,1.1341195,0.0015759744,70.56172,0.5198333,0.0007309967,0.6316784,0.0007889714,0.51976067,0.0006491852,6051.05345,9320997,11642,83284343
most~senior,95,most,senior,16720,2489.271357,45634.43225,45634.43225,1.1960802,0.0044021993,110.0548,0.51971126,0.0020681298,0.61041945,0.0022090652,0.5195403,0.00188018,14230.72864,7568812,27391,83284343
much~faster,96,much,faster,32589,1431.977378,162542.96876,162542.96876,1.6936613,0.031844523,172.5919,0.5194072,0.016065827,0.5428876,0.016403353,0.51903284,0.015682582,31157.02262,1986728,60029,83284343
much~earlier,97,much,earlier,2416,106.177536,12014.5227,12014.5227,1.6869726,0.002426703,46.992672,0.51897234,0.0011910384,0.54279935,0.0012160698,0.5189446,0.0011626264,2309.82246,1986728,4451,83284343
most~celebrated,98,most,celebrated,2405,359.427119,6534.9361,6534.9361,1.1910199,0.0006351707,41.711655,0.5172364,0.00029728,0.608091,0.0003177513,0.51721185,0.0002702634,2045.57288,7568812,3955,83284343
really~like,99,really,like,4010,186.868536,19467.01272,19467.01272,1.6586478,0.003812726,60.373596,0.51494575,0.0018710532,0.5400673,0.0019131158,0.51489985,0.0018239635,3823.13146,2096057,7425,83284343
most~striking,100,most,striking,10029,1504.959062,27146.1126,27146.1126,1.186962,0.0026443,85.11708,0.5148391,0.0012387857,0.6056159,0.0013250428,0.5147368,0.0011262059,8524.04094,7568812,16560,83284343
most~prominent,101,most,prominent,64329,9696.534845,173698.60129,173698.60129,1.1849881,0.016762145,215.40085,0.51269054,0.007939653,0.6029129,0.00849922,0.51203376,0.007218103,54632.46515,7568812,106697,83284343
very~few,102,very,few,170268,32320.173921,393963.50266,393963.50266,1.1019226,0.033435185,334.3092,0.5097064,0.015795387,0.62707573,0.017175484,0.5080446,0.0139152445,137947.82608,9913432,271527,83284343
not~sufficient,103,not,sufficient,18285,1728.047068,64337.96132,64337.96132,1.3601623,0.008220976,122.44271,0.50820553,0.0039594234,0.5610272,0.0041408264,0.50800663,0.0037494926,16556.95293,4415785,32592,83284343
not~sure,104,not,sure,467213,44752.877282,1669603.16224,1669603.16224,1.3917265,0.17765257,618.05664,0.5056305,0.10102695,0.55352664,0.105805196,0.50050604,0.09567045,422460.12272,4415785,844066,83284343
more~potential,105,more,potential,4588,832.668124,10868.86892,10868.86892,1.1061963,0.000983659,55.44171,0.504794,0.0004536624,0.6166667,0.000492222,0.5047489,0.0004028895,3755.33188,9320997,7440,83284343
more~circumspect,106,more,circumspect,2179,396.97229,5138.99725,5138.99725,1.1017598,0.0004673687,38.1756,0.5024256,0.0002152776,0.61432195,0.0002337733,0.5024042,0.0001911842,1782.02771,9320997,3547,83284343
more~akin,107,more,akin,9112,1664.328989,21431.14622,21431.14622,1.0991979,0.0019520413,78.02138,0.5009079,0.0008997149,0.6127362,0.0009775778,0.50081843,0.0007990209,7447.67101,9320997,14871,83284343
even~scarier,108,even,scarier,2070,54.21843,12309.80499,12309.80499,1.8896644,0.003682501,44.30557,0.50009406,0.0018240092,0.51352024,0.0018478761,0.50006986,0.0017994756,2015.78157,1120205,4031,83284343
too~early,109,too,early,64485,5101.080729,247718.34659,247718.34659,1.4276978,0.035076097,233.85115,0.49797103,0.017437723,0.53997135,0.018126799,0.49725696,0.01669288,59383.91927,3557440,119423,83284343
much~wider,110,much,wider,12988,594.222067,63208.51785,63208.51785,1.6519158,0.01291286,108.750824,0.49769112,0.0063907355,0.52139705,0.006537382,0.49754226,0.0062382864,12393.77793,1986728,24910,83284343
much~quieter,111,much,quieter,2914,133.491236,14157.49062,14157.49062,1.6485868,0.002925227,51.50857,0.4969077,0.0014337433,0.52072906,0.0014667332,0.49687433,0.0013995417,2780.50876,1986728,5596,83284343
critically~acclaimed,112,critically,acclaimed,1952,1.885004,24484.83394,24484.83394,3.3342505,0.08908767,44.13878,0.49547946,0.048915643,0.49593496,0.048939478,0.49545604,0.04889222,1950.115,39886,3936,83284343
much~larger,113,much,larger,78367,3608.557229,382455.71578,382455.71578,1.6604033,0.0733087,267.05066,0.49509808,0.038548492,0.5180536,0.03944526,0.4941988,0.037628926,74758.44277,1986728,151272,83284343
more~general,114,more,general,19716,3650.757287,45662.25099,45662.25099,1.0844866,0.0042156954,114.413666,0.49268967,0.0019407596,0.60441446,0.0021152245,0.4924967,0.0017235541,16065.24271,9320997,32620,83284343
most~favorite,115,most,favorite,7573,1184.882624,19638.63992,19638.63992,1.1422274,0.0019976655,73.40724,0.49003816,0.0009283753,0.58084065,0.0010005533,0.48996145,0.0008440053,6388.11738,7568812,13038,83284343
pretty~nifty,116,pretty,nifty,1607,61.454969,8347.50607,8347.50607,1.7184213,0.001977963,38.55438,0.48973498,0.0009719378,0.50918883,0.0009909061,0.4897164,0.0009530118,1545.54503,1621748,3156,83284343
most~avid,117,most,avid,1550,242.829143,4013.22091,4013.22091,1.1405251,0.000409431,33.20217,0.48922634,0.0001899691,0.5800898,0.0002047878,0.48921064,0.0001727049,1307.17086,7568812,2672,83284343
much~cleaner,118,much,cleaner,2982,138.953976,14349.74612,14349.74612,1.6333036,0.002993145,52.063107,0.48811072,0.0014659901,0.51193136,0.0015009604,0.48807657,0.0014310193,2843.04602,1986728,5825,83284343
still~unclear,119,still,unclear,14734,296.712926,95092.52057,95092.52057,1.9959793,0.034271013,118.93927,0.48513433,0.017567698,0.4949278,0.017750053,0.48496094,0.017392604,14437.28707,830082,29770,83284343
politically~expedient,120,politically,expedient,2092,6.818058,21052.81937,21052.81937,2.7818596,0.030738035,45.58932,0.48405057,0.01584468,0.48560816,0.01587133,0.4840255,0.015819604,2085.18194,131810,4308,83284343
most~current,121,most,current,17843,2821.707362,45784.37933,45784.37933,1.1317989,0.004695612,112.4536,0.48397356,0.0021830213,0.5746723,0.0023574373,0.4837931,0.0019846302,15021.29264,7568812,31049,83284343
so~many,122,so,many,1191864,152233.89897,3693491.55442,3693491.55442,1.2946388,0.2999777,952.2818,0.48316172,0.19465388,0.53921056,0.20778792,0.4703385,0.18124767,1039630.10103,5735964,2210387,83284343
not~privy,123,not,privy,2225,220.035448,7549.26913,7549.26913,1.3149883,0.0010068021,42.505165,0.48314807,0.0004794665,0.53614455,0.0005038742,0.483124,0.0004540449,2004.96455,4415785,4150,83284343
heavily~armed,124,heavily,armed,8567,8.642195,108060.69087,108060.69087,3.3850636,0.2939592,92.46472,0.4819923,0.2112795,0.48237613,0.21138994,0.48188952,0.2111767,8558.35781,40527,17760,83284343
so~needless,125,so,needless,1503,188.502819,4451.19694,4451.19694,1.2166855,0.0005238119,33.90628,0.4802851,0.0002461183,0.5491414,0.0002620309,0.48026934,0.0002291676,1314.49718,5735964,2737,83284343
more~upscale,126,more,upscale,3798,720.414612,8549.0134,8549.0134,1.0578061,0.0008143719,49.93817,0.4781456,0.0003717873,0.59002644,0.0004074671,0.47810864,0.0003301777,3077.58539,9320997,6437,83284343
more~prosaic,127,more,prosaic,1898,361.606278,4250.11434,4250.11434,1.0530523,0.0004071115,35.265854,0.47553492,0.0001856038,0.58743423,0.0002036263,0.47551647,0.0001648315,1536.39372,9320997,3231,83284343
more~substantive,128,more,substantive,3104,591.70919,6946.35331,6946.35331,1.0525244,0.0006656456,45.09299,0.47521284,0.000303497,0.58710045,0.0003330116,0.47518268,0.0002695303,2512.29081,9320997,5287,83284343
