adv_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
darn,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
overwhelmingly,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
indeed,410,0.0,0.05,0,0,0,0,1,1,20.24845673131658,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
rarely,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
perfectly,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
perhaps,410,0.0,0.05,0,0,0,0,1,1,20.24845673131658,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
overtly,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
otherwise,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
openly,410,0.0,0.05,0,0,0,0,1,1,20.24845673131658,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
actually,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
obviously,410,0.0,0.05,0,0,0,0,1,1,20.248456731316583,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
publicly,410,0.0,0.05,0,0,0,0,1,1,20.248456731316583,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
purely,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
normally,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
partly,410,0.0,0.05,0,0,0,0,1,1,20.248456731316583,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
no,410,0.0,0.05,0,0,0,0,1,1,20.248456731316583,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
near,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
reasonably,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
mutually,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
similarly,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
simply,410,0.0,0.05,0,0,0,0,1,1,20.248456731316583,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
medically,410,0.0,0.05,0,0,0,0,1,1,20.24845673131658,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
socially,410,0.0,0.05,0,0,0,0,1,1,20.24845673131658,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
internationally,410,0.0,0.05,0,0,0,0,1,1,20.248456731316583,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
often,410,0.0,0.05,0,0,0,0,1,1,20.24845673131658,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
