prev_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
even,877,0.0,0.03,0,0,0,0,1,1,29.614185789921684,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
far,877,0.0,0.03,0,0,0,0,1,1,29.614185789921684,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
few,877,0.0,0.03,0,0,0,0,1,1,29.614185789921684,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
anywhere,877,0.0,0.03,0,0,0,0,1,1,29.61418578992169,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
schedule,877,0.0,0.03,0,0,0,0,1,1,29.614185789921684,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
half,877,0.0,0.03,0,0,0,0,1,1,29.614185789921684,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
a,877,0.0,0.03,0,0,0,0,1,1,29.614185789921684,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
;,877,0.0,0.03,0,0,0,0,1,1,29.614185789921684,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
politically,877,0.0,0.03,0,0,0,0,1,1,29.614185789921684,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
's,877,0.0,0.03,0,0,0,0,1,1,29.61418578992169,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
officially,877,0.0,0.03,0,0,0,0,1,1,29.61418578992169,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
now,877,0.0,0.03,0,0,0,0,1,1,29.614185789921684,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
`,877,0.0,0.03,0,0,0,0,1,1,29.614185789921684,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
it,877,0.0,0.03,0,0,0,0,1,1,29.614185789921684,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
normally,877,0.0,0.03,0,0,0,0,1,1,29.61418578992169,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
just,877,0.0,0.03,0,0,0,0,1,1,29.61418578992169,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
around,877,0.0,0.03,0,0,0,0,1,1,29.61418578992169,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
