adj_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
unsettling,316,37.83,152.75,0,0.0,2.0,13.0,1677,11955,4.037534688329545,1677,13.0,32.5,-19.5,5.351478579531424,2.3343267995802552
sticky,316,37.7,171.87,0,0.0,2.0,7.0,1715,11913,4.559011942564595,1715,7.0,17.5,-10.5,4.053222834104113,1.997947256896495
bland,316,37.68,144.47,0,0.0,3.0,11.25,1270,11906,3.8343181534726605,1270,11.25,28.125,-16.875,5.220863323978068,2.3142142398020047
satisfactory,316,37.66,179.88,0,0.0,1.0,8.0,1982,11900,4.776638009268146,1982,8.0,20.0,-12.0,3.9994704906159306,1.9115754230835487
non-existent,316,37.46,257.4,0,0.0,0.0,5.0,3699,11836,6.872030214715063,3699,5.0,12.5,-7.5,2.9704777654986896,1.5820312851015794
automatic,316,37.31,312.49,0,0.0,0.0,4.0,5171,11789,8.376060839382216,5171,4.0,10.0,-6.0,2.786928985131234,1.5353667344004038
picky,316,37.28,202.1,0,0.0,1.0,3.25,2670,11781,5.420871677058594,2670,3.25,8.125,-4.875,2.9779773808861774,1.6186609476777876
noisy,316,37.27,190.27,0,0.0,2.0,9.0,2469,11778,5.104988123208216,2469,9.0,22.5,-13.5,4.44783015358398,2.120241174301889
unprecedented,316,37.21,176.31,0,0.0,1.0,7.0,2494,11758,4.738454053022553,2494,7.0,17.5,-10.5,3.7187502372731123,1.715019676193164
inferior,316,37.14,145.14,0,0.0,3.0,18.0,1952,11736,3.907929859934869,1952,18.0,45.0,-27.0,6.318356612210621,2.5618845975128632
bullish,316,37.07,176.56,0,0.0,1.0,12.0,2129,11715,4.7624572377149335,2129,12.0,30.0,-18.0,4.604896213301645,2.055470511409177
persuasive,316,37.06,219.31,0,0.0,2.0,10.0,2882,11710,5.918143392585427,2882,10.0,25.0,-15.0,4.646878560939861,2.277295534070265
uniform,316,36.92,249.34,0,0.0,1.0,9.0,3865,11668,6.752658008755476,3865,9.0,22.5,-13.5,3.856804618303395,1.8992051958027034
unavailable,316,36.85,205.46,0,0.0,1.0,10.0,2916,11644,5.575842171019139,2916,10.0,25.0,-15.0,3.7450290599719747,1.7645095771551842
ripe,316,36.83,134.94,0,0.0,2.0,11.25,1238,11637,3.6643739587323987,1238,11.25,28.125,-16.875,4.771547841091283,2.1542909583086898
sexual,316,36.75,172.24,0,0.75,3.0,13.25,2346,11612,4.687252784554271,2346,12.5,32.0,-18.0,5.486995365063318,2.4845556025515863
youthful,316,36.74,431.31,0,0.0,1.0,6.0,7639,11609,11.740312663675683,7639,6.0,15.0,-9.0,3.5037114712277364,1.948744174749455
historic,316,36.69,270.4,0,0.0,2.0,7.0,4478,11595,7.369189822629883,4478,7.0,17.5,-10.5,3.994964547881565,2.056845248204748
expressive,316,36.65,205.66,0,0.0,2.0,10.25,2931,11581,5.611701753770255,2931,10.25,25.625,-15.375,4.884804576582199,2.332561119854748
persistent,316,36.53,234.86,0,0.0,1.0,6.0,3114,11544,6.429064764692051,3114,6.0,15.0,-9.0,3.7111935080651532,1.955931630171284
indicative,316,36.53,209.27,0,0.0,1.0,8.0,3159,11542,5.7295287687144825,3159,8.0,20.0,-12.0,3.734486323116986,1.7889575238933426
usable,316,36.5,186.4,0,0.0,1.0,7.25,2808,11533,5.107343121775835,2808,7.25,18.125,-10.875,4.203698422647918,1.9727110843873659
humane,316,36.43,422.96,0,0.0,1.0,5.0,7356,11512,11.610165907702195,7356,5.0,12.5,-7.5,2.6721237857447027,1.6353997427605362
contradictory,316,36.34,157.39,0,0.0,2.0,11.0,1675,11482,4.331645695408586,1675,11.0,27.5,-16.5,4.6401087026511965,2.124317370371836
immersive,316,36.27,242.77,0,0.0,1.0,5.0,3617,11460,6.694188839923086,3617,5.0,12.5,-7.5,3.0631035493368413,1.709110072942821
arrogant,316,36.22,155.75,0,0.0,2.0,9.25,1511,11445,4.300218649048529,1511,9.25,23.125,-13.875,4.724004983437709,2.2270867199251625
annoyed,316,36.2,135.43,0,0.0,2.0,13.0,1334,11440,3.7410204235879734,1334,13.0,32.5,-19.5,4.556455736958734,1.968133428862042
grim,316,36.19,150.87,0,0.0,2.0,10.0,1689,11435,4.16912849221735,1689,10.0,25.0,-15.0,4.958473792066361,2.299724677249507
jewish,316,36.15,195.16,0,0.0,2.0,14.0,3229,11423,5.3988646293593705,3229,14.0,35.0,-21.0,4.926440318417623,2.0908361340568566
