key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,O11,O12,O21,O22,R1,R2,C1,C2,E12,E21,E22,t_score,dice,liddell,mutual_information,min_sensitivity,conservative_log_ratio_1t,conservative_log_ratio,conservative_log_ratio_nc,deltaP_min,deltaP_max,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,f_sqrt,f1_sqrt,f2_sqrt,adv,adj,adv_total,adj_total
NEG~that_easy,NEGATED,that_easy,10158,528.00318,50496.42219,1.8329115,0.6894991,0.0031792552,0.7271816,0.0032268118,3147999,13969,83284343,10158.0,3137841.0,3811.0,80132533.0,3147999,80136344,13969,83270374,3147470.996819006,13440.996819006,80122903.003181,95.548096,0.006425112,0.6894991,1.2841717,0.003226812,5.9504404,5.9467487,6.0074325,0.0031792552,0.6894991,0.0021920935,9629.99682,0.94802094,22.97832,98.132545,100.7869039111729,1774.2601274897659,118.1905241548577,that,easy,249521,768452.0
NEG~quite_sure,NEGATED,quite_sure,26156,1372.83095,129272.70879,1.8198569,0.68265367,0.008181936,0.72015417,0.00830877,3147999,36320,83284343,26156.0,3121843.0,10164.0,80126180.0,3147999,80136344,36320,83248023,3146626.16905049,34947.16905049,80101396.83094952,153.23965,0.016428001,0.68265367,1.2799543,0.00830877,5.951305,5.9490347,5.9863462,0.008181936,0.68265367,0.005585429,24783.16905,0.9475137,37.051735,157.42671,161.72816699635226,1774.2601274897659,190.57806799314554,quite,sure,1065022,844066.0
NEG~that_important,NEGATED,that_important,5532,292.06676,27196.02691,1.8079348,0.67819583,0.001729916,0.7159312,0.0017573067,3147999,7727,83284343,5532.0,3142467.0,2195.0,80134149.0,3147999,80136344,7727,83276616,3147706.933239348,7434.933239348,80128909.06676064,70.45059,0.003506008,0.6781959,1.2774,0.001757307,5.8257008,5.820797,5.901399,0.001729916,0.67819583,0.0011732219,5239.93324,0.9472041,17.08996,72.38738,74.3774159271482,1774.2601274897659,87.90335602239541,that,important,249521,2199447.0
NEG~that_big,NEGATED,that_big,6269,335.04332,30561.36299,1.7896584,0.66951585,0.0019590415,0.7072428,0.0019914238,3147999,8864,83284343,6269.0,3141730.0,2595.0,80133749.0,3147999,80136344,8864,83275479,3147663.956675758,8528.956675758,80127815.04332425,74.94544,0.003971664,0.66951585,1.2720973,0.001991424,5.777906,5.7733684,5.847949,0.0019590415,0.66951585,0.0013116092,5933.95668,0.94655555,18.304188,77.03218,79.17701686727027,1774.2601274897659,94.14881836751856,that,big,249521,356874.0
NEG~always_clear,NEGATED,always_clear,4012,214.92062,19524.31372,1.7858695,0.66784006,0.001253571,0.7055927,0.0012744603,3147999,5686,83284343,4012.0,3143987.0,1674.0,80134670.0,3147999,80136344,5686,83278657,3147784.07938384,5471.07938384,80130872.92061616,59.947243,0.002544325,0.66784006,1.2710829,0.00127446,5.725842,5.7201853,5.813162,0.001253571,0.66784006,0.00083718495,3797.07938,0.94643056,14.6601715,61.620445,63.340350488452465,1774.2601274897659,75.40557008603542,always,clear,639234,489305.0
NEG~immediately_available,NEGATED,immediately_available,21297,1161.34997,102489.60751,1.7625779,0.65559256,0.0066476003,0.6931489,0.00676525,3147999,30725,83284343,21297.0,3126702.0,9428.0,80126916.0,3147999,80136344,30725,83253618,3146837.650029634,29563.650029634,80106780.34997037,137.97691,0.013399716,0.65559256,1.2633554,0.00676525,5.7584443,5.756042,5.7955346,0.0066476003,0.65559256,0.0043581175,20135.65003,0.94546884,34.078587,141.90015,145.9349170006959,1774.2601274897659,175.28548142958104,immediately,available,101163,862942.0
NEG~that_bad,NEGATED,that_bad,16535,906.28766,79271.91246,1.7547402,0.6520087,0.005159676,0.68961924,0.005252543,3147999,23977,83284343,16535.0,3131464.0,7442.0,80128902.0,3147999,80136344,23977,83260366,3147092.712343712,23070.712343711,80113273.28765629,121.54052,0.010425678,0.6520087,1.2611381,0.005252543,5.723366,5.720654,5.765229,0.005159676,0.6520087,0.003364154,15628.71234,0.9451897,30.104612,125.01485,128.58849093134268,1774.2601274897659,154.84508387417407,that,bad,249521,554698.0
NEG~that_simple,NEGATED,that_simple,6163,348.76407,28891.02789,1.7100971,0.6302027,0.0019195167,0.6679311,0.0019577516,3147999,9227,83284343,6163.0,3141836.0,3064.0,80133280.0,3147999,80136344,9227,83275116,3147650.235925905,8878.235925905,80127465.7640741,74.062195,0.00390406,0.6302027,1.2472605,0.001957752,5.5223503,5.5180535,5.588678,0.0019195167,0.6302027,0.0012096845,5814.23593,0.94341004,18.675226,76.25114,78.50477692471968,1774.2601274897659,96.0572745813663,that,simple,249521,424816.0
NEG~quite_right,NEGATED,quite_right,8829,500.93966,41322.29807,1.7070626,0.62849057,0.0027494328,0.6661888,0.0028046388,3147999,13253,83284343,8829.0,3139170.0,4424.0,80131920.0,3147999,80136344,13253,83271090,3147498.060336623,12752.060336623,80123591.93966338,88.6315,0.005585762,0.62849057,1.246126,0.002804639,5.5370255,5.533446,5.5922885,0.0027494328,0.62849057,0.0017279927,8328.06034,0.94326204,22.381681,91.25821,93.96275858019496,1774.2601274897659,115.12167476196652,quite,right,1065022,204056.0
NEG~too_worried,NEGATED,too_worried,5323,302.15888,24899.71921,1.7059574,0.6281365,0.0016575847,0.6658744,0.0016909154,3147999,7994,83284343,5323.0,3142676.0,2671.0,80133673.0,3147999,80136344,7994,83276349,3147696.841117556,7691.841117556,80128652.15888244,68.8174,0.003373265,0.6281365,1.2459211,0.001690915,5.4976587,5.4930496,5.5688114,0.0016575847,0.6281365,0.0010411894,5020.84112,0.9432352,17.382717,70.857895,72.95889253545451,1774.2601274897659,89.40917178902845,too,worried,3557440,118139.0
NEG~more_proud,NEGATED,more_proud,4312,266.25058,19056.17348,1.6045443,0.5744026,0.0013356671,0.61215216,0.001369759,3147999,7044,83284343,4312.0,3143687.0,2732.0,80133612.0,3147999,80136344,7044,83277299,3147732.74941607,6777.74941607,80129566.25058393,61.61119,0.002733402,0.5744026,1.2093881,0.001369759,5.1559725,5.1512194,5.22935,0.0013356671,0.5744026,0.0007672106,4045.74942,0.9382536,16.317186,63.606205,65.66582063752801,1774.2601274897659,83.92854103342914,more,proud,9320997,225278.0
NEG~always_possible,NEGATED,always_possible,7440,469.41596,32413.62695,1.5812119,0.5613676,0.0023012746,0.59908205,0.0023634061,3147999,12419,83284343,7440.0,3140559.0,4979.0,80131365.0,3147999,80136344,12419,83271924,3147529.584042898,11949.584042897,80124394.41595711,80.81327,0.004708238,0.5613676,1.2000151,0.002363406,5.120352,5.116793,5.1752834,0.0023012746,0.5613676,0.0012918608,6970.58404,0.93690646,21.66601,83.49002,86.2554346113913,1774.2601274897659,111.44056711987785,always,possible,639234,362284.0
NEG~too_concerned,NEGATED,too_concerned,4346,286.9262,18362.99235,1.5332353,0.5347706,0.001340066,0.5725201,0.0013805595,3147999,7591,83284343,4346.0,3143653.0,3245.0,80133099.0,3147999,80136344,7591,83276752,3147712.073795768,7304.073795767,80129039.92620423,61.571835,0.002754477,0.5347706,1.1803195,0.00138056,4.927876,4.9233665,4.9974933,0.001340066,0.5347706,0.0007166279,4059.0738,0.9339793,16.938896,63.71086,65.92419889539804,1774.2601274897659,87.12634503983281,too,concerned,3557440,253680.0
NEG~more_different,NEGATED,more_different,6797,462.53668,28146.24314,1.5034145,0.51772445,0.002091265,0.5554466,0.0021591494,3147999,12237,83284343,6797.0,3141202.0,5440.0,80130904.0,3147999,80136344,12237,83272106,3147536.463316928,11774.463316929,80124569.53668307,76.8336,0.004301577,0.51772445,1.1671711,0.002159149,4.8630285,4.859493,4.917606,0.002091265,0.51772445,0.001082699,6334.46332,0.93194985,21.506666,79.58934,82.44392033376384,1774.2601274897659,110.62097450302994,more,different,9320997,906600.0
NEG~that_good,NEGATED,that_good,10655,807.18075,41053.16905,1.405379,0.46126646,0.0032511672,0.49894637,0.0033846898,3147999,21355,83284343,10655.0,3137344.0,10700.0,80125644.0,3147999,80136344,21355,83262988,3147191.81924761,20547.819247611,80115796.1807524,95.40329,0.006723768,0.46126646,1.1205827,0.00338469,4.5674496,4.5647907,4.608494,0.0032511672,0.46126646,0.0014996544,9847.81925,0.9242439,28.410927,99.236176,103.22305943925514,1774.2601274897659,146.13350060817677,that,good,249521,2030480.0
NEG~nearly_enough,NEGATED,nearly_enough,5772,444.43134,21986.81463,1.3907504,0.4531656,0.001758848,0.4908998,0.0018335457,3147999,11758,83284343,5772.0,3142227.0,5986.0,80130358.0,3147999,80136344,11758,83272585,3147554.568659022,11313.568659022,80125030.43134098,70.12387,0.003653446,0.4531656,1.1135217,0.001833546,4.487414,4.4838285,4.5427585,0.001758848,0.4531656,0.0007970494,5327.56866,0.9230022,21.081541,72.9902,75.97367965289031,1774.2601274897659,108.43431191278893,nearly,enough,174561,450646.0
NEG~too_happy,NEGATED,too_happy,7356,621.66714,26287.60242,1.3147973,0.4095375,0.0022232784,0.4472548,0.0023367226,3147999,16447,83284343,7356.0,3140643.0,9091.0,80127253.0,3147999,80136344,16447,83267896,3147377.332857198,15825.332857197,80120518.66714282,78.518814,0.004649155,0.4095375,1.0730838,0.002336722,4.2539244,4.250877,4.3009653,0.0022232784,0.4095375,0.0009105158,6734.33286,0.9154884,24.933254,82.06298,85.76712656956627,1774.2601274897659,128.2458576329076,too,happy,3557440,526217.0
NEG~mutually_exclusive,NEGATED,mutually_exclusive,5509,466.3921,19660.33316,1.3131782,0.4087329,0.0016647708,0.44647053,0.0017500006,3147999,12339,83284343,5509.0,3142490.0,6830.0,80129514.0,3147999,80136344,12339,83272004,3147532.607899614,11872.607899614,80124471.39210038,67.93895,0.003486336,0.4087329,1.0723215,0.001750001,4.2322273,4.2287083,4.286556,0.0016647708,0.4087329,0.00068044657,5042.6079,0.91533995,21.596113,71.01132,74.22263805605402,1774.2601274897659,111.0810514894417,mutually,exclusive,44523,41008.0
NEG~as_bad,NEGATED,as_bad,27740,2674.94145,90470.98302,1.2187536,0.35448253,0.008274999,0.39197955,0.008811947,3147999,70769,83284343,27740.0,3120259.0,43029.0,80093315.0,3147999,80136344,70769,83213574,3145324.058549948,68094.058549949,80068249.94145004,150.49272,0.017236408,0.35448253,1.0157921,0.008811947,3.982465,3.980972,4.0055127,0.008274999,0.35448253,0.002933343,25065.05855,0.90357095,51.719837,158.31949,166.55329477377504,1774.2601274897659,266.02443496791795,as,bad,3709914,554698.0
NEG~as_popular,NEGATED,as_popular,5237,575.51553,15484.90948,1.1260442,0.3062089,0.0015389464,0.34395114,0.0016635965,3147999,15226,83284343,5237.0,3142762.0,9989.0,80126355.0,3147999,80136344,15226,83269117,3147423.48447034,14650.48447034,80121693.51552966,64.4144,0.003311178,0.3062089,0.9590255,0.001663596,3.6181202,3.6148047,3.6692996,0.0015389464,0.3062089,0.0004712391,4661.48447,0.8901059,23.989904,68.27506,72.3671196055225,1774.2601274897659,123.39367893048654,as,popular,3709914,827608.0
NEG~as_successful,NEGATED,as_successful,4625,520.06556,13439.05567,1.1108578,0.2983947,0.0013552065,0.3361436,0.0014691873,3147999,13759,83284343,4625.0,3143374.0,9134.0,80127210.0,3147999,80136344,13759,83270584,3147478.934442888,13238.934442888,80123105.0655571,60.360157,0.002925588,0.2983947,0.94905365,0.001469187,3.5609655,3.5574582,3.6151083,0.0013552065,0.2983947,0.00040438643,4104.93444,0.8875534,22.804947,64.06976,68.00735254367721,1774.2601274897659,117.2987638468539,as,successful,3709914,405569.0
NEG~so_lucky,NEGATED,so_lucky,8613,976.63012,24877.35265,1.1058992,0.29563975,0.0025210776,0.33334625,0.0027360236,3147999,25838,83284343,8613.0,3139386.0,17225.0,80119119.0,3147999,80136344,25838,83258505,3147022.369876832,24861.369876833,80111482.63012317,82.28293,0.0054275,0.29563975,0.9454243,0.002736024,3.5770664,3.5745027,3.6166406,0.0025210776,0.29563975,0.00074533076,7636.36988,0.88660973,31.251081,87.38632,92.80624978954812,1774.2601274897659,160.74202935138027,so,lucky,5735964,96258.0
