key,index,l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N,O11,O12,O21,O22,R1,R2,C1,C2,E12,E21,E22,z_score,t_score,log_likelihood,simple_ll,min_sensitivity,liddell,dice,log_ratio,conservative_log_ratio,mutual_information,local_mutual_information,ipm,ipm_reference,ipm_expected
POS-highly,10,POSITIVE,highly,5,3.7313433,12,15,11,24,15,11,15,1,24,6,16,15,2.9426706,2.9426706,0.57937884,0.02469136,0.5673605,0.25612053,0.0125,1.0,0.0125,0.25373134,0.003171642,1.2686567,400,5,536,5,395,0,136,400,136,5,531,29.462687,1.268657,12.462687,0.656767,0.567295,2703.635,0.389383,0.0125,0.256121,0.024691,10.731615,0.0,0.127105,0.635524,12500.0,0.0,9328.358209
POS-equally,11,POSITIVE,equally,5,3.7313433,12,15,11,24,15,11,15,1,24,6,16,15,2.9426706,2.9426706,0.57937884,0.02469136,0.5673605,0.25612053,0.0125,1.0,0.0125,0.25373134,0.003171642,1.2686567,400,5,536,5,395,0,136,400,136,5,531,29.462687,1.268657,12.462687,0.656767,0.567295,2703.635,0.389383,0.0125,0.256121,0.024691,10.731615,0.0,0.127105,0.635524,12500.0,0.0,9328.358209
POS-most,12,POSITIVE,most,4,2.9850745,15,19,13,27,17,13,17,1,27,6,18,17,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536,4,396,0,136,400,136,4,532,30.208956,1.014925,12.716418,0.587431,0.507463,2684.9507,0.311506,0.01,0.255639,0.019802,10.409759,0.0,0.127105,0.508419,10000.0,0.0,7462.686567
POS-just,13,POSITIVE,just,4,2.9850745,15,19,13,27,17,13,17,1,27,6,18,17,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536,4,396,0,136,400,136,4,532,30.208956,1.014925,12.716418,0.587431,0.507463,2684.9507,0.311506,0.01,0.255639,0.019802,10.409759,0.0,0.127105,0.508419,10000.0,0.0,7462.686567
POS-dangerously,14,POSITIVE,dangerously,4,2.9850745,15,19,13,27,17,13,17,1,27,6,18,17,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536,4,396,0,136,400,136,4,532,30.208956,1.014925,12.716418,0.587431,0.507463,2684.9507,0.311506,0.01,0.255639,0.019802,10.409759,0.0,0.127105,0.508419,10000.0,0.0,7462.686567
POS-simply,15,POSITIVE,simply,4,2.9850745,15,19,13,27,17,13,17,1,27,6,18,17,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536,4,396,0,136,400,136,4,532,30.208956,1.014925,12.716418,0.587431,0.507463,2684.9507,0.311506,0.01,0.255639,0.019802,10.409759,0.0,0.127105,0.508419,10000.0,0.0,7462.686567
POS-far,16,POSITIVE,far,3,2.238806,20,25,18,32,21,17,21,1,32,6,22,21,1.7617517,1.7617517,0.38089356,0.01488834,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.014925
POS-no,17,POSITIVE,no,3,2.238806,20,25,18,32,21,17,21,1,32,6,22,21,1.7617517,1.7617517,0.38089356,0.01488834,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.014925
POS-little,18,POSITIVE,little,3,2.238806,20,25,18,32,21,17,21,1,32,6,22,21,1.7617517,1.7617517,0.38089356,0.01488834,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.014925
POS-completely,19,POSITIVE,completely,3,2.238806,20,25,18,32,21,17,21,1,32,6,22,21,1.7617517,1.7617517,0.38089356,0.01488834,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.014925
POS-perfectly,20,POSITIVE,perfectly,3,2.238806,20,25,18,32,21,17,21,1,32,6,22,21,1.7617517,1.7617517,0.38089356,0.01488834,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.014925
POS-absolutely,21,POSITIVE,absolutely,3,2.238806,20,25,18,32,21,17,21,1,32,6,22,21,1.7617517,1.7617517,0.38089356,0.01488834,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.014925
NEG-less,22,NEGATIVE,less,6,3.0447762,11,13,17,10,6,23,6,30,10,22,5,6,3.4227102,3.4227102,0.4804365,0.08108108,1.2064651,0.2519084,0.02911765,0.5,0.04411765,0.24626866,0.021729587,2.9552238,136,12,536,6,130,6,394,136,400,12,524,10.686567,8.955224,24.238806,1.693607,1.206599,2850.2124,2.229537,0.044118,0.251908,0.081081,1.556386,0.0,0.294596,1.767575,44117.647059,15000.0,22388.059701
NEG-as,23,NEGATIVE,as,16,11.417911,14,17,24,5,8,24,3,33,4,24,3,3,2.5162425,2.5162425,0.2366337,0.17679559,1.1455224,0.11115637,0.04514706,0.35555556,0.11764706,0.10182421,0.033691835,4.5820894,136,45,536,16,120,29,371,136,400,45,491,2.313433,33.58209,121.8806,1.356033,1.145522,1775.9557,1.632797,0.117647,0.111156,0.176796,0.698446,0.0,0.146533,2.344534,117647.058824,72500.0,83955.223881
POS-even,24,POSITIVE,even,5,4.477612,27,33,28,26,28,25,28,20,24,25,28,28,0.2656371,0.2656371,0.09906424,0.02463054,0.233619,0.08805031,0.00514706,0.8333333,0.0125,0.08706468,0.00130597,0.5223881,400,6,536,5,395,1,135,400,136,6,530,28.716417,1.522388,12.208955,0.246871,0.233592,2720.0205,0.058704,0.0125,0.08805,0.024631,0.764388,0.0,0.047924,0.239618,12500.0,7352.941176,11194.029851
POS-so,25,POSITIVE,so,42,38.0597,19,23,25,3,14,26,4,21,5,26,10,4,1.9068439,1.9068439,0.20168635,0.18625277,0.6080013,0.08538508,0.03882353,0.8235294,0.105,0.07726076,0.009850746,3.9402986,400,51,536,42,358,9,127,400,136,51,485,117.402985,12.940299,0.791045,0.638699,0.608027,2089.9834,0.394545,0.105,0.085385,0.186253,0.66588,0.0,0.042784,1.796924,105000.0,66176.470588,95149.253731
NEG-too,26,NEGATIVE,too,18,14.716418,26,31,27,4,9,27,5,34,3,27,4,5,1.0590183,1.0590183,0.14290363,0.185567,0.7739477,0.0634829,0.03235294,0.31034482,0.13235295,0.05661348,0.024143986,3.2835822,136,58,536,18,118,40,360,136,400,58,478,121.283585,43.28358,112.17911,0.855947,0.77403,833.987,0.683525,0.132353,0.063483,0.185567,0.404427,0.0,0.08747,1.574467,132352.941176,100000.0,108208.955224
NEG-really,27,NEGATIVE,really,4,3.2985075,28,34,26,12,27,28,27,35,11,28,11,27,0.1965761,0.1965761,0.1460048,0.05369128,0.3507463,0.05530225,0.00691176,0.30769232,0.029411765,0.05396096,0.005158033,0.7014925,136,13,536,4,132,9,391,136,400,13,523,10.432836,9.701493,23.492537,0.386246,0.350746,2869.1858,0.139609,0.029412,0.055302,0.053691,0.386662,0.0,0.083743,0.33497,29411.764706,22500.0,24253.731343
POS-all,28,POSITIVE,all,4,3.7313433,29,36,30,31,29,29,30,22,27,29,30,30,0.0810088,0.0810088,0.01081736,0.01975309,0.1343284,0.05423729,0.00264706,0.8,0.01,0.05373134,0.000671642,0.2686567,400,5,536,4,396,1,135,400,136,5,531,29.462687,1.268657,12.462687,0.13908,0.134328,2701.2102,0.018895,0.01,0.054237,0.019753,0.442532,0.0,0.030195,0.120779,10000.0,7352.941176,9328.358209
POS-quite,29,POSITIVE,quite,7,6.716418,30,37,29,19,30,30,29,24,19,30,29,29,0.0493856,0.0493856,0.0108988,0.03422983,0.107184,0.03204723,0.00279412,0.7777778,0.0175,0.03150912,0.000708955,0.2835821,400,9,536,7,393,2,134,400,136,9,527,26.477612,2.283582,11.447761,0.109423,0.107154,2779.5837,0.011808,0.0175,0.032047,0.03423,0.250453,0.0,0.01796,0.125722,17500.0,14705.882353,16791.044776
POS-really,30,POSITIVE,really,9,9.701492,31,34,32,13,31,31,31,26,13,31,31,31,-0.1965761,0.1965761,-0.1460048,0.04358354,-0.2338308,-0.05530225,-0.00691176,0.6923077,0.0225,-0.05396096,-0.001753731,-0.7014925,400,13,536,9,391,4,132,400,136,13,523,23.492537,3.298507,10.432836,-0.225218,-0.233831,-2869.1858,-0.051992,0.0225,9.583762,0.043584,-0.386662,0.0,-0.032596,-0.293364,22500.0,29411.764706,24253.731343
POS-too,31,POSITIVE,too,40,43.28358,32,31,31,6,32,32,33,27,7,32,33,33,-1.0590183,1.0590183,-0.14290363,0.17467248,-0.5191799,-0.0634829,-0.03235294,0.6896552,0.1,-0.05661348,-0.008208955,-3.2835822,400,58,536,40,360,18,118,400,136,58,478,112.17911,14.716418,121.283585,-0.499099,-0.519208,-833.987,-0.255649,0.1,2.30039,0.174672,-0.404427,0.0,-0.034263,-1.370528,100000.0,132352.941176,108208.955224
NEG-so,32,NEGATIVE,so,9,12.940298,33,23,33,9,35,33,34,36,9,33,35,34,-1.9068439,1.9068439,-0.20168635,0.09625668,-1.3134328,-0.08538508,-0.03882353,0.1764706,0.066176474,-0.07726076,-0.028972782,-3.9402986,136,51,536,9,127,42,358,136,400,51,485,0.791045,38.0597,117.402985,-1.09536,-1.313433,-2089.9834,-1.344405,0.066176,2.56414,0.096257,-0.66588,0.0,-0.157702,-1.419316,66176.470588,105000.0,95149.253731
POS-as,33,POSITIVE,as,29,33.58209,34,17,34,8,33,34,35,28,8,34,34,35,-2.5162425,2.5162425,-0.2366337,0.13033707,-0.8508727,-0.11115637,-0.04514706,0.64444447,0.0725,-0.10182421,-0.011455224,-4.5820894,400,45,536,29,371,16,120,400,136,45,491,121.8806,11.41791,2.313433,-0.790696,-0.850627,-1775.9557,-0.65575,0.0725,2.854945,0.130337,-0.698446,0.0,-0.06371,-1.847582,72500.0,117647.058824,83955.223881
POS-less,34,POSITIVE,less,6,8.955224,35,13,35,22,34,35,32,30,21,36,32,32,-3.4227102,3.4227102,-0.4804365,0.02912621,-1.2064651,-0.2519084,-0.02911765,0.5,0.015,-0.24626866,-0.00738806,-2.9552238,400,12,536,6,394,6,130,400,136,12,524,24.238806,3.044776,10.686567,-0.987534,-1.206599,-2850.2124,-1.104717,0.015,10.170483,0.029126,-1.556386,0.0,-0.173925,-1.043551,15000.0,44117.647059,22388.059701
NEG-very,35,NEGATIVE,very,3,21.820896,36,3,37,23,37,36,36,37,14,35,37,36,-34.803303,34.803303,-1.001356,0.02702703,-10.866249,-0.26067182,-0.18544118,0.03488372,0.022058824,-0.21884762,-0.13838893,-18.820896,136,86,536,3,133,83,317,136,400,86,450,114.17911,64.17911,91.283585,-4.029062,-10.863922,-860.6561,-25.736258,0.022059,1.432765,0.027027,-3.233227,-0.490121,-0.861751,-2.585254,22058.823529,207500.0,160447.761194
POS-more,36,POSITIVE,more,42,66.41791,37,1,36,7,36,37,37,32,5,37,36,37,-37.83041,37.83041,-0.6509708,0.17177914,-3.7677653,-0.32898474,-0.24058823,0.47191012,0.105,-0.27435854,-0.061044775,-24.41791,400,89,536,42,358,47,89,400,136,89,447,89.04478,22.58209,113.41791,-2.996166,-3.767923,-983.4871,-10.338861,0.105,1.318352,0.171779,-1.718654,-0.391804,-0.199036,-8.359509,105000.0,345588.235294,166044.776119
