hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_01_065.3357_x1040589_24:07-09-10,remotely_interested,remotely,interested,not_remotely_interested,", the game makers are not even remotely interested in katniss when she first walks","First , the game makers are not even remotely interested in Katniss when she first walks in , because of the above ."
pcc_eng_25_088.6580_x1418542_21:19-20-21,remotely_interested,remotely,interested,not_remotely_interested,the art enthusiast or for those not remotely interested in art will still find them,There are fifteen unique artwork sculptures which present an outstanding collection for the art enthusiast or for those not remotely interested in art will still find them fascinating .
pcc_eng_22_009.8604_x0142831_14:30-31-32,remotely_interested,remotely,interested,not_remotely_interested,"i finished college , i was not remotely interested in having a job .",""" The truth is , I think one of the big reasons I went to law school is that , by the time I finished college , I was not remotely interested in having a job ."
pcc_eng_28_069.2808_x1104848_24:25-26-27,remotely_interested,remotely,interested,not_remotely_interested,a question that famous people are not remotely interested in answering .,This is awesome because it 's a classic case of hitting a press line for an event with a question that famous people are not remotely interested in answering .
pcc_eng_28_035.8485_x0563596_24:10-11-12,remotely_interested,remotely,interested,not_remotely_interested,make it clear that you are not remotely interested in someone else 's opinions they,Even if you make it clear that you are not remotely interested in someone else 's opinions they will still make sure you hear all about them .
pcc_eng_09_003.8255_x0045946_34:29-30-31,remotely_interested,remotely,interested,not_remotely_interested,pledged many times that he was not remotely interested in gagging the newspapers .,Lord Justice Leveson is obliged by his terms of reference to make recommendations that support press freedom and in any case he pledged many times that he was not remotely interested in gagging the newspapers .
pcc_eng_15_096.8536_x1549270_17:16-17-18,remotely_interested,remotely,interested,not_remotely_interested,"included gems such as , im not remotely interested in presiding over a 180 m","This string was a long tirade from Rudin that included gems such as , Im not remotely interested in presiding over a 180 m ego bath and , The last thing anybody needs is to make a giant bomb ."
pcc_eng_25_045.7444_x0724310_01:2-5-6,remotely_interested,remotely,interested,not_remotely_interested,( Not Just ) Remotely Interested in the Cosmos,( Not Just ) Remotely Interested in the Cosmos
pcc_eng_04_058.7447_x0932637_12:27-29-30,remotely_interested,remotely,interested,not_remotely_interested,", as he tends to not be remotely interested in political correctness , etc .","Use of the word -- in that specific situation , especially -- would be in keeping with his personality , though , as he tends to not be remotely interested in political correctness , etc ."
pcc_eng_28_076.8062_x1226160_45:7-8-9,remotely_interested,remotely,interested,not_remotely_interested,"simply put , if you are not remotely interested , you may not like this","Simply put , if you are not remotely interested , you may not like this game ."
pcc_eng_28_046.1731_x0730929_17:20-22-23,remotely_interested,remotely,interested,not_remotely_interested,"entire life , he 's not even remotely interested in eating gulf fish raw .","And even though Irwin has been fishing and eating out of these waters his entire life , he 's not even remotely interested in eating Gulf fish raw ."
pcc_eng_19_014.2226_x0213663_23:10-11-12,remotely_interested,remotely,interested,not_remotely_interested,"healthy , not pregnant , and not remotely interested in becoming pregnant anywhere in the","I 'm pretty healthy , not pregnant , and not remotely interested in becoming pregnant anywhere in the foreseeable future -- and , for that matter , I 've got access to birth control methods so that I do n't accidentally become pregnant while this thing is in my system , however long that is ."
pcc_eng_19_019.3523_x0296122_191:3-4-5,remotely_interested,remotely,interested,not_remotely_interested,i 'm not remotely interested in betting on this one ;,"I 'm not remotely interested in betting on this one ; given both fighters history of sub-par performances in the octagon , it 's simply too hard to predict how this one turns out ."
pcc_eng_11_011.5465_x0170468_57:16-18-19,remotely_interested,remotely,interested,not_remotely_interested,"her work completely absorbed , not even remotely interested -- even if she had noticed","Perdita glanced her fingers across a dust jacket and continued her work completely absorbed , not even remotely interested -- even if she had noticed Steve ."
pcc_eng_05_084.2022_x1346492_32:3-4-5,remotely_interested,remotely,interested,not_remotely_interested,"antifa are not remotely interested in peace , hope or equality","Antifa are not remotely interested in peace , hope or equality ."
pcc_eng_11_016.7253_x0254387_74:43-44-45,remotely_interested,remotely,interested,not_remotely_interested,"own research , because i 'm not remotely interested .","Of course , if you care about whether Richard Parker , the tiger , is actually a Christ figure , and all of that literary symbol and metaphor crap , you will have to do your own research , because I 'm not remotely interested ."
pcc_eng_16_053.9283_x0856690_05:7-8-9,remotely_interested,remotely,interested,not_remotely_interested,"even my husband , who is not remotely interested , said "" no tennis ?","Even my husband , who is not remotely interested , said "" No tennis ? "" when he heard the headlines ."
pcc_eng_28_049.8593_x0790686_09:11-12-13,remotely_interested,remotely,interested,not_remotely_interested,might sound bad but i 'm not remotely interested in what people think .,""" I know it might sound bad but I 'm not remotely interested in what people think ."
pcc_eng_27_008.2734_x0117141_22:3-4-5,remotely_interested,remotely,interested,not_remotely_interested,I am not remotely interested in determining difference .,I am not remotely interested in determining difference .
