             l1  l2                      f        E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff       f1       f2         N  
           most  prestigious         35273    4043.21               149                  175              10200    4760        166           37        17664                  31               22073                  37               18847            196          125687.38             125687.38                1.58    0.009      166.28         0.702         0.005                0.793                0.005                0.702                0.004        31229.79  7568812    44490  83284343  
           most  beloved             18447    2118.30               276                  339              10304   10301        324           38        26765                  32               35030                  38               28220            380           65573.16              65573.16                1.58    0.005      120.22         0.701         0.002                0.791                0.002                0.701                0.002        16328.70  7568812    23309  83284343  
            too  shabby               5903     340.13               666                  875               6460   15797        897           39        32818                  48               44659                  39               33542           1097           28311.13              28311.13                1.81    0.003       72.40         0.699         0.002                0.741                0.002                0.699                0.002         5562.87  3557440     7963  83284343  
           more  equitable            8114    1120.52               723                  950              11423   30697        787           40        44885                  27               63631                  40               47042            896           26271.93              26271.93                1.53    0.002       77.64         0.699         0.001                0.810                0.001                0.699                0.001         6993.48  9320997    10012  83284343  
           even  crazier              2177      41.25              1209                 1639               2338   13281       1962           41        30037                  59               40532                  41               30224           2511           15093.91              15093.91                2.25    0.004       45.77         0.696         0.002                0.710                0.002                0.696                0.002         2135.75  1120205     3067  83284343  
         pretty  darn                 1592      43.37              1742                 2460               3355   27318       2656           42        42193                  58               59830                  42               42514           3323            9905.15               9905.15                2.10    0.002       38.81         0.695         0.001                0.715                0.001                0.695                0.001         1548.63  1621748     2227  83284343  
           more  holistic             6449     896.69               907                 1205              11757   38054        981           43        49279                  29               70960                  43               51472           1098           20713.27              20713.27                1.52    0.001       69.14         0.693         0.001                0.805                0.001                0.693                0.001         5552.31  9320997     8012  83284343  
           most  recent             313185   36520.79                 7                    7              10599     272         12           44         2304                  34                2424                  44                2517             12         1106215.51            1106215.51                1.57    0.079      494.37         0.692         0.040                0.779                0.041                0.688                0.037       276664.21  7568812   401861  83284343  
    religiously  unaffiliated         1048       0.13              1034                 1391                 13      33       3595           45          508                  71                 526                  45                 507           4608           17890.58              17890.58                4.48    0.241       32.37         0.688         0.146                0.688                0.146                0.688                0.146         1047.87     7160     1524  83284343  
          still  undecided            4931      70.80               506                  654               1844    3532        979           46        14667                  68               18199                  46               14761           1225           36772.45              36772.45                2.36    0.012       69.21         0.684         0.006                0.694                0.006                0.684                0.006         4860.20   830082     7104  83284343  
          still  ongoing              8942     128.96               271                  333               1860    1668        559           47         8926                  69               10698                  47                8987            705           66594.72              66594.72                2.35    0.021       93.20         0.681         0.011                0.691                0.011                0.681                0.011         8813.04   830082    12939  83284343  
            not  uncommon            45216    3272.22                74                   85               8228    1795        110           48         9466                  55               11199                  48                9927            136          196159.90             196159.90                1.69    0.020      197.25         0.680         0.010                0.733                0.010                0.680                0.009        41943.78  4415785    61716  83284343  
             as  usual               16714    1035.94               243                  295               7448    4972        320           49        17972                  57               22672                  49               18523            397           77032.07              77032.07                1.74    0.009      121.27         0.674         0.004                0.719                0.005                0.674                0.004        15678.06  3709914    23256  83284343  
           very  next                18063    2711.77               335                  422              13252   14303        371           50        31601                  30               42154                  50               33724            409           54868.63              54868.63                1.45    0.004      114.22         0.674         0.002                0.793                0.002                0.674                0.002        15351.23  9913432    22782  83284343  
     previously  unpublished          2127       2.79               729                  957                163     427       1941           51         3228                  79                3616                  51                3230           2524           25990.00              25990.00                3.38    0.056       46.06         0.672         0.029                0.672                0.029                0.672                0.029         2124.21    73337     3163  83284343  
           most  biodiverse            907     108.24              4407                 6720              12010  115593       4980           52        81405                  39              126926                  52               82749           5647            3096.17               3096.17                1.50    0.000       26.52         0.671         0.000                0.762                0.000                0.671                0.000          798.76  7568812     1191  83284343  
           very  finest               2076     314.36              2571                 3723              13784   90509       2679           53        72255                  33              110264                  53               74352           2970            6238.55               6238.55                1.43    0.000       38.66         0.667         0.000                0.786                0.000                0.667                0.000         1761.64  9913432     2641  83284343  
           kind  hearted              1005       0.34              1216                 1651                 46     189       3752           54         1640                  81                1773                  54                1640           4763           14990.32              14990.32                3.96    0.099       31.69         0.663         0.053                0.663                0.053                0.663                0.053         1004.66    18849     1515  83284343  
           more  established          1373     198.88              3545                 5276              13896  106668       3753           55        78221                  35              120862                  55               79962           4181            4204.65               4204.65                1.43    0.000       31.69         0.661         0.000                0.773                0.000                0.661                0.000         1174.12  9320997     1777  83284343  
           most  notorious           17387    2108.85               317                  395              12668   10976        352           56        27806                  43               36469                  56               29265            413           58403.74              58403.74                1.48    0.005      115.87         0.659         0.002                0.749                0.002                0.658                0.002        15278.15  7568812    23205  83284343  
         easily  transportable         863       1.89              1777                 2522                288    2800       4253           57        12562                  88               15481                  57               12554           5347            9617.15               9617.15                3.13    0.014       29.31         0.658         0.007                0.659                0.007                0.658                0.007          861.11   120226     1309  83284343  
       mentally  retarded             5832       8.63               262                  318                182     122        815           58         1168                  90                1240                  58                1169           1056           69931.46              69931.46                3.33    0.130       76.25         0.657         0.072                0.657                0.072                0.657                0.072         5823.37    80995     8870  83284343  
           much  broader             13869     487.07               235                  286               4822    2892        375           59        12976                  76               15833                  59               13200            471           78409.87              78409.87                1.94    0.014      113.63         0.656         0.007                0.679                0.007                0.655                0.007        13381.93  1986728    20418  83284343  
           most  famed                 652      79.88              5828                 9100              13143  128404       6468           60        86483                  47              136090                  60               87640           7290            2166.39               2166.39                1.46    0.000       22.41         0.651         0.000                0.742                0.000                0.651                0.000          572.12  7568812      879  83284343  
