bigram_lower,SUM,direct-adj-head,direct-neg-head
that_risky,1,1,0
that_sensitive,1,1,0
that_simple,1,1,0
that_special,1,1,0
very_long,1,1,0
that_strange,1,1,0
very_logical,1,1,0
that_surprised,1,1,0
that_unusual,1,1,0
that_upset,1,1,0
that_warm,1,1,0
that_wild,1,1,0
very_little,1,0,1
then_legal,1,1,0
thoroughly_trained,1,1,0
very_fast,1,1,0
very_enticing,1,1,0
that_optimistic,1,1,0
very_close,1,0,1
too_visible,1,1,0
very_attractive,1,1,0
too_vulnerable,1,1,0
very_appropriate,1,1,0
too_well-known,1,1,0
totally_bad,1,1,0
totally_happy,1,1,0
truly_fair,1,1,0
truly_independent,1,1,0
truly_representative,1,1,0
very_accurate,1,1,0
ultimately_serious,1,0,1
universally_deep,1,1,0
usually_deadly,1,1,0
usually_life-threatening,1,1,0
too_toxic,1,1,0
too_suspicious,1,1,0
too_meaningful,1,1,0
too_surprised,1,1,0
too_nervous,1,1,0
very_entertaining,1,1,0
too_nice,1,1,0
too_optimistic,1,1,0
too_persistent,1,0,1
too_pessimistic,1,1,0
very_confident,1,1,0
too_prominent,1,1,0
very_comfortable,1,1,0
too_promising,1,1,0
too_rough,1,1,0
too_severe,1,1,0
too_specific,1,1,0
too_subtle,1,1,0
too_sure,1,1,0
that_popular,1,1,0
that_long,1,1,0
so_outspoken,1,1,0
so_valuable,1,1,0
socially_conscious,1,1,0
very_republican,1,1,0
statistically_representative,1,1,0
strictly_compliant,1,1,0
strictly_illegal,1,0,1
substantially_larger,1,1,0
substantially_new,1,0,1
sufficiently_aware,1,1,0
vastly_different,1,1,0
sufficiently_confident,1,1,0
sufficiently_neutral,1,1,0
sufficiently_reliable,1,1,0
sufficiently_strong,1,1,0
technically_feasible,1,1,0
technically_gifted,1,1,0
so_willing,1,1,0
so_upset,1,1,0
technologically_advanced,1,1,0
so_tragic,1,1,0
so_patient,1,1,0
so_polluted,1,1,0
so_positive,1,1,0
so_powerful,1,1,0
so_realistic,1,1,0
so_revered,1,1,0
so_rough,1,1,0
so_rude,1,1,0
so_serious,1,1,0
so_sick,1,1,0
so_straightforward,1,1,0
so_subtle,1,1,0
