adv_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
critically,213,0.01,0.1,0,0,0,0,1,2,10.295515601922709,1,0,0.0,0.0,1.0065296500474799,1.0047169811320755
practically,213,0.01,0.1,0,0,0,0,1,2,10.295515601922709,1,0,0.0,0.0,1.0065296500474799,1.0047169811320755
possibly,213,0.01,0.14,0,0,0,0,2,2,14.594519519326424,2,0,0.0,0.0,1.0051711285424043,1.0031397174254317
rather,213,0.01,0.1,0,0,0,0,1,2,10.295515601922709,1,0,0.0,0.0,1.0065296500474799,1.0047169811320755
well,213,0.01,0.1,0,0,0,0,1,2,10.295515601922709,1,0,0.0,0.0,1.0065296500474799,1.0047169811320755
also,213,0.01,0.1,0,0,0,0,1,2,10.295515601922709,1,0,0.0,0.0,1.0065296500474799,1.0047169811320755
real,213,0.01,0.1,0,0,0,0,1,2,10.295515601922709,1,0,0.0,0.0,1.0065296500474799,1.0047169811320755
mentally,213,0.01,0.1,0,0,0,0,1,2,10.295515601922709,1,0,0.0,0.0,1.0065296500474799,1.0047169811320755
reasonably,213,0.01,0.1,0,0,0,0,1,2,10.295515601922709,1,0,0.0,0.0,1.0065296500474799,1.0047169811320755
totally,213,0.01,0.14,0,0,0,0,2,2,14.59451951932643,2,0,0.0,0.0,1.0051711285424043,1.0031397174254317
truly,213,0.0,0.07,0,0,0,0,1,1,14.59451951932643,1,0,0.0,0.0,1.0032595128118547,1.0023529411764707
virtually,213,0.0,0.07,0,0,0,0,1,1,14.594519519326427,1,0,0.0,0.0,1.0032595128118547,1.0023529411764707
readily,213,0.0,0.07,0,0,0,0,1,1,14.594519519326427,1,0,0.0,0.0,1.0032595128118547,1.0023529411764707
brutally,213,0.0,0.07,0,0,0,0,1,1,14.594519519326427,1,0,0.0,0.0,1.0032595128118547,1.0023529411764707
remarkably,213,0.0,0.07,0,0,0,0,1,1,14.594519519326424,1,0,0.0,0.0,1.0032595128118547,1.0023529411764707
seriously,213,0.0,0.07,0,0,0,0,1,1,14.594519519326427,1,0,0.0,0.0,1.0032595128118547,1.0023529411764707
uniquely,213,0.0,0.07,0,0,0,0,1,1,14.594519519326427,1,0,0.0,0.0,1.0032595128118547,1.0023529411764707
sexually,213,0.0,0.07,0,0,0,0,1,1,14.594519519326427,1,0,0.0,0.0,1.0032595128118547,1.0023529411764707
purely,213,0.0,0.07,0,0,0,0,1,1,14.594519519326427,1,0,0.0,0.0,1.0032595128118547,1.0023529411764707
better,213,0.0,0.07,0,0,0,0,1,1,14.59451951932643,1,0,0.0,0.0,1.0032595128118547,1.0023529411764707
barely,213,0.0,0.07,0,0,0,0,1,1,14.594519519326427,1,0,0.0,0.0,1.0032595128118547,1.0023529411764707
strongly,213,0.0,0.07,0,0,0,0,1,1,14.59451951932643,1,0,0.0,0.0,1.0032595128118547,1.0023529411764707
super,213,0.0,0.07,0,0,0,0,1,1,14.59451951932643,1,0,0.0,0.0,1.0032595128118547,1.0023529411764707
