    l1  l2                     f      E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple      f1     f2       N  
POSMIR  infeasible             8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  secluded               8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  sculptural             8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
NEGMIR  demotivating           8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
NEGMIR  outre                  8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  hybrid                 8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  wealthier              8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  annual                 8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  unfinished             8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  underemployed          8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  themed                 8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  uncooperative          8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
NEGMIR  fatuous                8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
NEGMIR  high-profile           8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  drab                   8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  petite                 8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  known                  7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  underserved            7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  steeper                7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
POSMIR  full-time              7     3.50              1075                125           94         1983                   1                4685               9.70               1.176        0.5000       0.00002               1.0000              0.00002  291735      7  583470  
