bigram_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
so_willing,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_secretive,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
so_happy,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_serious,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
all_right,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_secret,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
fundamentally_wrong,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
longer_fit,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
longer_applicable,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
less_ominous,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
less_nervous,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
less_impressive,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
less_dangerous,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
less_bright,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
less_astonishing,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
half_full,22,0.05,0.21,0,0,0,0,1,1,4.69041575982343,1,0,0,0,1.0320082797342096,1.0232558139534884
fundamentally_unfair,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_absurd,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
even_unusual,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
especially_tired,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
as_sweeping,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
as_severe,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
as_responsive,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
as_important,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
as_consistent,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
any_different,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
any_better,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
longer_viable,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_amusing,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_relevant,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_likely,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_pressing,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_prepared,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
always_willing,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_potent,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_painful,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_optimistic,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_notorious,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_narrow,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_memorable,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_intractable,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
