bigram_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
overly_impressive,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
seriously_sick,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
remotely_enough,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
quite_believable,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
particularly_remarkable,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
really_sure,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
really_strange,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
really_scared,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
really_close,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
politically_motivated,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
so_broad,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
remotely_easy,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
so_sick,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
so_fascinating,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
so_foolish,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
very_serious,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
very_little,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
very_close,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
ultimately_serious,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
too_severe,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
too_persistent,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
too_hot,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
too_high,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
too_happy,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
too_early,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
too_busy,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
too_big,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
that_low,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
that_close,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
that_black,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
terminally_ill,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
technically_possible,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
substantially_new,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
so_willing,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
more_secretive,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
so_happy,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
more_serious,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
all_right,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
