key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
POS~somewhat,POSMIR,somewhat,4961,4257.84328,1391.12102,1.6820291,0.14159973,0.0027964304,0.99658495,0.0028542578,1738105,4978,2032082,4961.0,1733144.0,17.0,293960.0,1738105.0,293977.0,4978.0,2027104.0,1733847.15671907,720.156719069,293256.843280931,9.983149,0.005692213,0.14159973,0.066379555,0.0027964304,0.14159973,0.14159973,0.0003959738,703.15672,0.1417369,65.25215,26.517103,3.8703136,3.7646618,3.9176903,4.032711,4.641369,4.0673914,70.43436661176133,1318.3721022533812,70.55494312945054
POS~refreshingly,POSMIR,refreshingly,307,263.44229,86.36421,1.5400671,0.14144257,0.0001732275,0.9967533,0.0001766291,1738105,308,2032082,307.0,1737798.0,1.0,293976.0,1738105.0,293977.0,308.0,2031774.0,1737841.557707809,44.557707809,293932.442292191,2.4859698,0.000353196,0.14144257,0.066452876,0.0001732275,0.14144257,0.14144257,2.4501742e-05,43.557709999999986,0.1418818,16.230906,6.5998263,0.0,0.0,0.0,0.0,1.6420789,0.0,17.52141546793523,1318.3721022533812,17.549928774784245
POS~fairly,POSMIR,fairly,6184,5309.90179,1713.96247,1.631889,0.14123337,0.0034762588,0.99613404,0.0035578979,1738105,6208,2032082,6184.0,1731921.0,24.0,293953.0,1738105.0,293977.0,6208.0,2025874.0,1732795.098214541,898.098214541,293078.901785459,11.11541,0.007090471,0.14123337,0.06618299,0.0034762588,0.14123337,0.14123337,0.00049096375,874.0982100000001,0.14134835,72.86907,29.565151,3.9683409,3.8794026,4.0082226,4.1050477,4.617419,4.134242,78.63841300535,1318.3721022533812,78.79086241436883
POS~understandably,POSMIR,understandably,280,240.34833,78.10838,1.500148,0.14112867,0.0001576934,0.9964413,0.000161095,1738105,281,2032082,280.0,1737825.0,1.0,293976.0,1738105.0,293977.0,281.0,2031801.0,1737864.651674982,40.651674982,293936.348325018,2.3696408,0.000322138,0.14112867,0.06631693,0.0001576934,0.14112867,0.14112867,2.225506e-05,39.651669999999996,0.14161311,15.503172,6.296957,0.0,0.0,0.0,0.0,1.5086322,0.0,16.73320053068151,1318.3721022533812,16.76305461424021
POS~weirdly,POSMIR,weirdly,278,238.63766,77.49754,1.4970399,0.14110303,0.0001565427,0.9964158,0.0001599443,1738105,279,2032082,278.0,1737827.0,1.0,293976.0,1738105.0,293977.0,279.0,2031803.0,1737866.362339216,40.362339217,293936.637660783,2.3607962,0.000319837,0.14110303,0.066305816,0.0001565427,0.14110303,0.14110303,2.2088649e-05,39.36233999999999,0.14159115,15.447902,6.2739415,0.0,0.0,0.0,0.0,1.4982383,0.0,16.673332000533065,1318.3721022533812,16.703293088490067
POS~otherwise,POSMIR,otherwise,9368,8048.67523,2558.72532,1.5738041,0.14085682,0.00524691,0.9955367,0.005389778,1738105,9410,2032082,9368.0,1728737.0,42.0,293935.0,1738105.0,293977.0,9410.0,2022672.0,1730056.324774296,1361.324774296,292615.675225704,13.631018,0.01072151,0.14085682,0.06592248,0.00524691,0.14085682,0.14085682,0.00073906296,1319.3247700000002,0.14083312,89.71441,36.32251,4.120453,4.0532045,4.150609,4.223821,4.6112394,4.245896,96.78842906050289,1318.3721022533812,97.0051545022222
POS~deceptively,POSMIR,deceptively,244,209.55637,67.13046,1.440485,0.1406032,0.0001369811,0.9959184,0.0001403828,1738105,245,2032082,244.0,1737861.0,1.0,293976.0,1738105.0,293977.0,245.0,2031837.0,1737895.443631212,35.443631212,293941.556368788,2.2050276,0.000280726,0.1406032,0.06608896,0.0001369811,0.1406032,0.1406032,1.9259982e-05,34.44363000000001,0.14116243,14.476062,5.86887,0.0,0.0,0.0,0.0,1.3090216,0.0,15.620499351813308,1318.3721022533812,15.652475842498529
POS~eerily,POSMIR,eerily,440,378.0568,119.67852,1.4743508,0.14017348,0.000246346,0.9954751,0.0002531493,1738105,442,2032082,440.0,1737665.0,2.0,293975.0,1738105.0,293977.0,442.0,2031640.0,1737726.943204064,63.943204064,293913.056795936,2.9530263,0.00050617,0.14017348,0.065895624,0.000246346,0.14017348,0.14017348,3.453118e-05,61.94319999999999,0.14078,19.443684,7.8704004,0.09825093,0.0,0.23645785,0.5719943,2.3475645,0.6731644,20.97617696340303,1318.3721022533812,21.02379604162864
POS~lightly,POSMIR,lightly,411,353.25216,110.88522,1.4447676,0.13985369,0.0002296612,0.99515736,0.0002364644,1738105,413,2032082,411.0,1737694.0,2.0,293975.0,1738105.0,293977.0,413.0,2031669.0,1737751.747835471,59.747835471,293917.252164529,2.8484907,0.000472817,0.13985369,0.06575699,0.0002296612,0.13985369,0.13985369,3.2118965e-05,57.74784,0.14050569,18.795004,7.5992,0.0,0.0,0.1372976,0.4728876,2.2487411,0.57407385,20.273134932713294,1318.3721022533812,20.322401432901575
POS~downright,POSMIR,downright,5502,4731.69727,1465.04489,1.4858308,0.139625,0.0030634678,0.994577,0.0031655165,1738105,5532,2032082,5502.0,1732603.0,30.0,293947.0,1738105.0,293977.0,5532.0,2026550.0,1733373.302725972,800.302725973,293176.697274027,10.3848715,0.006310947,0.139625,0.065503635,0.0030634678,0.139625,0.139625,0.00042773667,770.3027300000003,0.14000413,68.78733,27.754328,3.632771,3.5531611,3.66847,3.7551394,4.2137713,3.781272,74.17546764261078,1318.3721022533812,74.3774159271482
